seq,src,dst,noise,received,error,rssi
1,node3-6,node8-7,-15,True,False,22
2,node3-6,node8-7,-15,True,False,23
3,node3-6,node8-7,-15,True,False,20
4,node3-6,node8-7,-15,True,False,15
5,node3-6,node8-7,-15,True,False,17
6,node3-6,node8-7,-15,True,False,16
7,node3-6,node8-7,-15,True,False,17
8,node3-6,node8-7,-15,True,False,17
9,node3-6,node8-7,-15,True,False,16
10,node3-6,node8-7,-15,True,False,17
11,node3-6,node8-7,-15,True,False,17
12,node3-6,node8-7,-15,True,False,17
13,node3-6,node8-7,-15,True,False,17
14,node3-6,node8-7,-15,True,False,17
15,node3-6,node8-7,-15,True,False,17
16,node3-6,node8-7,-15,True,False,16
17,node3-6,node8-7,-15,True,False,17
18,node3-6,node8-7,-15,True,False,16
19,node3-6,node8-7,-15,True,False,17
20,node3-6,node8-7,-15,True,False,17
21,node3-6,node8-7,-15,True,False,17
22,node3-6,node8-7,-15,True,False,16
23,node3-6,node8-7,-15,True,False,17
24,node3-6,node8-7,-15,True,False,16
25,node3-6,node8-7,-15,True,False,16
26,node3-6,node8-7,-15,True,False,17
27,node3-6,node8-7,-15,True,False,16
28,node3-6,node8-7,-15,True,False,18
29,node3-6,node8-7,-15,True,False,17
30,node3-6,node8-7,-15,True,False,16
31,node3-6,node8-7,-15,True,False,17
32,node3-6,node8-7,-15,True,False,16
33,node3-6,node8-7,-15,True,False,16
34,node3-6,node8-7,-15,True,False,17
35,node3-6,node8-7,-15,True,False,18
36,node3-6,node8-7,-15,True,False,18
37,node3-6,node8-7,-15,True,False,18
38,node3-6,node8-7,-15,True,False,17
39,node3-6,node8-7,-15,True,False,18
40,node3-6,node8-7,-15,True,False,18
41,node3-6,node8-7,-15,True,False,17
42,node3-6,node8-7,-15,True,False,17
43,node3-6,node8-7,-15,True,False,17
44,node3-6,node8-7,-15,True,False,18
45,node3-6,node8-7,-15,True,False,18
46,node3-6,node8-7,-15,True,False,18
47,node3-6,node8-7,-15,True,False,18
48,node3-6,node8-7,-15,True,False,17
49,node3-6,node8-7,-15,True,False,18
50,node3-6,node8-7,-15,True,False,18
51,node3-6,node8-7,-15,True,False,18
52,node3-6,node8-7,-15,True,False,17
53,node3-6,node8-7,-15,True,False,18
54,node3-6,node8-7,-15,True,False,18
55,node3-6,node8-7,-15,True,False,18
56,node3-6,node8-7,-15,True,False,17
57,node3-6,node8-7,-15,True,False,18
58,node3-6,node8-7,-15,True,False,17
59,node3-6,node8-7,-15,True,False,17
60,node3-6,node8-7,-15,True,False,17
61,node3-6,node8-7,-15,True,False,18
62,node3-6,node8-7,-15,True,False,18
63,node3-6,node8-7,-15,True,False,17
64,node3-6,node8-7,-15,True,False,18
65,node3-6,node8-7,-15,True,False,17
66,node3-6,node8-7,-15,True,False,17
67,node3-6,node8-7,-15,True,False,18
68,node3-6,node8-7,-15,True,False,18
69,node3-6,node8-7,-15,True,False,18
70,node3-6,node8-7,-15,True,False,18
71,node3-6,node8-7,-15,True,False,17
72,node3-6,node8-7,-15,True,False,18
73,node3-6,node8-7,-15,True,False,18
74,node3-6,node8-7,-15,True,False,18
75,node3-6,node8-7,-15,True,False,18
76,node3-6,node8-7,-15,True,False,18
77,node3-6,node8-7,-15,True,False,17
78,node3-6,node8-7,-15,True,False,17
79,node3-6,node8-7,-15,True,False,17
80,node3-6,node8-7,-15,True,False,18
81,node3-6,node8-7,-15,True,False,18
82,node3-6,node8-7,-15,True,False,18
83,node3-6,node8-7,-15,True,False,18
84,node3-6,node8-7,-15,True,False,18
85,node3-6,node8-7,-15,True,False,18
86,node3-6,node8-7,-15,True,False,18
87,node3-6,node8-7,-15,True,False,17
88,node3-6,node8-7,-15,True,False,17
89,node3-6,node8-7,-15,True,False,18
90,node3-6,node8-7,-15,True,False,18
91,node3-6,node8-7,-15,True,False,18
92,node3-6,node8-7,-15,True,False,18
93,node3-6,node8-7,-15,True,False,17
94,node3-6,node8-7,-15,True,False,18
95,node3-6,node8-7,-15,True,False,18
96,node3-6,node8-7,-15,True,False,18
97,node3-6,node8-7,-15,True,False,17
98,node3-6,node8-7,-15,True,False,18
99,node3-6,node8-7,-15,True,False,18
100,node3-6,node8-7,-15,True,False,17
101,node3-6,node8-7,-15,True,False,18
102,node3-6,node8-7,-15,True,False,18
103,node3-6,node8-7,-15,True,False,18
104,node3-6,node8-7,-15,True,False,18
105,node3-6,node8-7,-15,True,False,18
106,node3-6,node8-7,-15,True,False,18
107,node3-6,node8-7,-15,True,False,17
108,node3-6,node8-7,-15,True,False,18
109,node3-6,node8-7,-15,True,False,18
110,node3-6,node8-7,-15,True,False,18
111,node3-6,node8-7,-15,True,False,18
