seq,src,dst,noise,received,error,rssi
1,node1-2,node1-4,-10,True,False,31
2,node1-2,node1-4,-10,True,False,30
3,node1-2,node1-4,-10,True,False,28
4,node1-2,node1-4,-10,True,False,27
5,node1-2,node1-4,-10,True,False,27
6,node1-2,node1-4,-10,True,False,27
7,node1-2,node1-4,-10,True,False,27
8,node1-2,node1-4,-10,True,False,27
9,node1-2,node1-4,-10,True,False,26
10,node1-2,node1-4,-10,True,False,27
11,node1-2,node1-4,-10,True,False,27
12,node1-2,node1-4,-10,True,False,26
13,node1-2,node1-4,-10,True,False,27
14,node1-2,node1-4,-10,True,False,26
15,node1-2,node1-4,-10,True,False,26
16,node1-2,node1-4,-10,True,False,28
17,node1-2,node1-4,-10,True,False,27
18,node1-2,node1-4,-10,True,False,26
19,node1-2,node1-4,-10,True,False,27
20,node1-2,node1-4,-10,True,False,27
21,node1-2,node1-4,-10,True,False,26
22,node1-2,node1-4,-10,True,False,27
23,node1-2,node1-4,-10,True,False,27
24,node1-2,node1-4,-10,True,False,26
25,node1-2,node1-4,-10,True,False,27
26,node1-2,node1-4,-10,True,False,27
27,node1-2,node1-4,-10,True,False,27
28,node1-2,node1-4,-10,True,False,27
29,node1-2,node1-4,-10,True,False,27
30,node1-2,node1-4,-10,True,False,27
31,node1-2,node1-4,-10,True,False,27
32,node1-2,node1-4,-10,True,False,27
33,node1-2,node1-4,-10,True,False,27
34,node1-2,node1-4,-10,True,False,27
35,node1-2,node1-4,-10,True,False,26
36,node1-2,node1-4,-10,True,False,26
37,node1-2,node1-4,-10,True,False,27
38,node1-2,node1-4,-10,True,False,26
39,node1-2,node1-4,-10,True,False,27
40,node1-2,node1-4,-10,True,False,27
41,node1-2,node1-4,-10,True,False,27
42,node1-2,node1-4,-10,True,False,28
43,node1-2,node1-4,-10,True,False,26
44,node1-2,node1-4,-10,True,False,26
45,node1-2,node1-4,-10,True,False,27
46,node1-2,node1-4,-10,True,False,27
47,node1-2,node1-4,-10,True,False,26
48,node1-2,node1-4,-10,True,False,28
49,node1-2,node1-4,-10,True,False,26
50,node1-2,node1-4,-10,True,False,26
51,node1-2,node1-4,-10,True,False,27
52,node1-2,node1-4,-10,True,False,27
53,node1-2,node1-4,-10,True,False,27
54,node1-2,node1-4,-10,True,False,27
55,node1-2,node1-4,-10,True,False,27
56,node1-2,node1-4,-10,True,False,27
57,node1-2,node1-4,-10,True,False,28
58,node1-2,node1-4,-10,True,False,27
59,node1-2,node1-4,-10,True,False,27
60,node1-2,node1-4,-10,True,False,26
61,node1-2,node1-4,-10,True,False,27
62,node1-2,node1-4,-10,True,False,26
63,node1-2,node1-4,-10,True,False,26
64,node1-2,node1-4,-10,True,False,27
65,node1-2,node1-4,-10,True,False,27
66,node1-2,node1-4,-10,True,False,26
67,node1-2,node1-4,-10,True,False,27
68,node1-2,node1-4,-10,True,False,27
69,node1-2,node1-4,-10,True,False,27
70,node1-2,node1-4,-10,True,False,26
71,node1-2,node1-4,-10,True,False,26
72,node1-2,node1-4,-10,True,False,27
73,node1-2,node1-4,-10,True,False,28
74,node1-2,node1-4,-10,True,False,27
75,node1-2,node1-4,-10,True,False,27
76,node1-2,node1-4,-10,True,False,28
77,node1-2,node1-4,-10,True,False,26
78,node1-2,node1-4,-10,True,False,26
79,node1-2,node1-4,-10,True,False,27
80,node1-2,node1-4,-10,True,False,27
81,node1-2,node1-4,-10,True,False,26
82,node1-2,node1-4,-10,True,False,27
83,node1-2,node1-4,-10,True,False,28
84,node1-2,node1-4,-10,True,False,27
85,node1-2,node1-4,-10,True,False,26
86,node1-2,node1-4,-10,True,False,27
87,node1-2,node1-4,-10,True,False,26
88,node1-2,node1-4,-10,True,False,27
89,node1-2,node1-4,-10,True,False,27
90,node1-2,node1-4,-10,True,False,26
91,node1-2,node1-4,-10,True,False,27
92,node1-2,node1-4,-10,True,False,27
93,node1-2,node1-4,-10,True,False,27
94,node1-2,node1-4,-10,True,False,27
95,node1-2,node1-4,-10,True,False,26
96,node1-2,node1-4,-10,True,False,27
97,node1-2,node1-4,-10,True,False,27
98,node1-2,node1-4,-10,True,False,27
99,node1-2,node1-4,-10,True,False,28
100,node1-2,node1-4,-10,True,False,28
101,node1-2,node1-4,-10,True,False,28
102,node1-2,node1-4,-10,True,False,26
103,node1-2,node1-4,-10,True,False,26
104,node1-2,node1-4,-10,True,False,26
105,node1-2,node1-4,-10,True,False,26
106,node1-2,node1-4,-10,True,False,26
107,node1-2,node1-4,-10,True,False,27
108,node1-2,node1-4,-10,True,False,27
109,node1-2,node1-4,-10,True,False,26
110,node1-2,node1-4,-10,True,False,27
111,node1-2,node1-4,-10,True,False,27
112,node1-2,node1-4,-10,True,False,27
113,node1-2,node1-4,-10,True,False,27
114,node1-2,node1-4,-10,True,False,26
115,node1-2,node1-4,-10,True,False,27
116,node1-2,node1-4,-10,True,False,27
117,node1-2,node1-4,-10,True,False,27
118,node1-2,node1-4,-10,True,False,27
119,node1-2,node1-4,-10,True,False,27
120,node1-2,node1-4,-10,True,False,27
121,node1-2,node1-4,-10,True,False,26
122,node1-2,node1-4,-10,True,False,26
123,node1-2,node1-4,-10,True,False,27
124,node1-2,node1-4,-10,True,False,26
125,node1-2,node1-4,-10,True,False,26
126,node1-2,node1-4,-10,True,False,27
127,node1-2,node1-4,-10,True,False,26
128,node1-2,node1-4,-10,True,False,27
129,node1-2,node1-4,-10,True,False,27
130,node1-2,node1-4,-10,True,False,27
131,node1-2,node1-4,-10,True,False,27
132,node1-2,node1-4,-10,True,False,27
133,node1-2,node1-4,-10,True,False,27
134,node1-2,node1-4,-10,True,False,26
135,node1-2,node1-4,-10,True,False,26
136,node1-2,node1-4,-10,True,False,26
137,node1-2,node1-4,-10,True,False,27
138,node1-2,node1-4,-10,True,False,27
139,node1-2,node1-4,-10,True,False,26
140,node1-2,node1-4,-10,True,False,27
141,node1-2,node1-4,-10,True,False,27
142,node1-2,node1-4,-10,True,False,27
143,node1-2,node1-4,-10,True,False,27
144,node1-2,node1-4,-10,True,False,27
145,node1-2,node1-4,-10,True,False,26
146,node1-2,node1-4,-10,True,False,27
147,node1-2,node1-4,-10,True,False,27
148,node1-2,node1-4,-10,True,False,26
149,node1-2,node1-4,-10,True,False,26
150,node1-2,node1-4,-10,True,False,26
151,node1-2,node1-4,-10,True,False,26
152,node1-2,node1-4,-10,True,False,28
153,node1-2,node1-4,-10,True,False,27
154,node1-2,node1-4,-10,True,False,26
155,node1-2,node1-4,-10,True,False,26
156,node1-2,node1-4,-10,True,False,27
157,node1-2,node1-4,-10,True,False,27
158,node1-2,node1-4,-10,True,False,27
159,node1-2,node1-4,-10,True,False,28
160,node1-2,node1-4,-10,True,False,27
161,node1-2,node1-4,-10,True,False,26
162,node1-2,node1-4,-10,True,False,28
163,node1-2,node1-4,-10,True,False,28
164,node1-2,node1-4,-10,True,False,27
165,node1-2,node1-4,-10,True,False,27
166,node1-2,node1-4,-10,True,False,27
167,node1-2,node1-4,-10,True,False,26
168,node1-2,node1-4,-10,True,False,28
169,node1-2,node1-4,-10,True,False,27
170,node1-2,node1-4,-10,True,False,27
171,node1-2,node1-4,-10,True,False,27
172,node1-2,node1-4,-10,True,False,26
173,node1-2,node1-4,-10,True,False,28
174,node1-2,node1-4,-10,True,False,27
175,node1-2,node1-4,-10,True,False,27
176,node1-2,node1-4,-10,True,False,27
177,node1-2,node1-4,-10,True,False,27
178,node1-2,node1-4,-10,True,False,26
179,node1-2,node1-4,-10,True,False,27
180,node1-2,node1-4,-10,True,False,28
181,node1-2,node1-4,-10,True,False,26
182,node1-2,node1-4,-10,True,False,26
183,node1-2,node1-4,-10,True,False,28
184,node1-2,node1-4,-10,True,False,26
185,node1-2,node1-4,-10,True,False,26
186,node1-2,node1-4,-10,True,False,28
187,node1-2,node1-4,-10,True,False,26
188,node1-2,node1-4,-10,True,False,27
189,node1-2,node1-4,-10,True,False,28
190,node1-2,node1-4,-10,True,False,26
191,node1-2,node1-4,-10,True,False,27
192,node1-2,node1-4,-10,True,False,27
193,node1-2,node1-4,-10,True,False,26
194,node1-2,node1-4,-10,True,False,27
195,node1-2,node1-4,-10,True,False,26
196,node1-2,node1-4,-10,True,False,28
197,node1-2,node1-4,-10,True,False,27
198,node1-2,node1-4,-10,True,False,27
