seq,src,dst,noise,received,error,rssi
1,node5-4,node3-2,-20,True,False,27
2,node5-4,node3-2,-20,True,False,26
3,node5-4,node3-2,-20,True,False,23
4,node5-4,node3-2,-20,True,False,22
5,node5-4,node3-2,-20,True,False,22
6,node5-4,node3-2,-20,True,False,21
7,node5-4,node3-2,-20,True,False,21
8,node5-4,node3-2,-20,True,False,22
9,node5-4,node3-2,-20,True,False,22
10,node5-4,node3-2,-20,True,False,22
11,node5-4,node3-2,-20,True,False,21
12,node5-4,node3-2,-20,True,False,22
13,node5-4,node3-2,-20,True,False,22
14,node5-4,node3-2,-20,True,False,22
15,node5-4,node3-2,-20,True,False,22
16,node5-4,node3-2,-20,True,False,22
17,node5-4,node3-2,-20,True,False,21
18,node5-4,node3-2,-20,True,False,22
19,node5-4,node3-2,-20,True,False,22
20,node5-4,node3-2,-20,True,False,22
21,node5-4,node3-2,-20,True,False,21
22,node5-4,node3-2,-20,True,False,22
23,node5-4,node3-2,-20,True,False,22
24,node5-4,node3-2,-20,True,False,21
25,node5-4,node3-2,-20,True,False,21
26,node5-4,node3-2,-20,True,False,22
27,node5-4,node3-2,-20,True,False,21
28,node5-4,node3-2,-20,True,False,22
29,node5-4,node3-2,-20,True,False,22
30,node5-4,node3-2,-20,True,False,21
31,node5-4,node3-2,-20,True,False,22
32,node5-4,node3-2,-20,True,False,22
33,node5-4,node3-2,-20,True,False,22
34,node5-4,node3-2,-20,True,False,22
35,node5-4,node3-2,-20,True,False,22
36,node5-4,node3-2,-20,True,False,22
37,node5-4,node3-2,-20,True,False,21
38,node5-4,node3-2,-20,True,False,22
39,node5-4,node3-2,-20,True,False,21
40,node5-4,node3-2,-20,True,False,21
41,node5-4,node3-2,-20,True,False,21
42,node5-4,node3-2,-20,True,False,22
43,node5-4,node3-2,-20,True,False,22
44,node5-4,node3-2,-20,True,False,21
45,node5-4,node3-2,-20,True,False,22
46,node5-4,node3-2,-20,True,False,22
47,node5-4,node3-2,-20,True,False,22
48,node5-4,node3-2,-20,True,False,22
49,node5-4,node3-2,-20,True,False,22
50,node5-4,node3-2,-20,True,False,22
51,node5-4,node3-2,-20,True,False,21
52,node5-4,node3-2,-20,True,False,21
53,node5-4,node3-2,-20,True,False,22
54,node5-4,node3-2,-20,True,False,22
55,node5-4,node3-2,-20,True,False,21
56,node5-4,node3-2,-20,True,False,22
57,node5-4,node3-2,-20,True,False,22
58,node5-4,node3-2,-20,True,False,22
59,node5-4,node3-2,-20,True,False,22
60,node5-4,node3-2,-20,True,False,21
61,node5-4,node3-2,-20,True,False,22
62,node5-4,node3-2,-20,True,False,22
63,node5-4,node3-2,-20,True,False,21
64,node5-4,node3-2,-20,True,False,22
65,node5-4,node3-2,-20,True,False,22
66,node5-4,node3-2,-20,True,False,22
67,node5-4,node3-2,-20,True,False,22
68,node5-4,node3-2,-20,True,False,22
69,node5-4,node3-2,-20,True,False,21
70,node5-4,node3-2,-20,True,False,22
71,node5-4,node3-2,-20,True,False,22
