seq,src,dst,noise,received,error,rssi
1,node6-3,node4-5,0,True,False,13
2,node6-3,node4-5,0,True,False,11
3,node6-3,node4-5,0,True,False,8
4,node6-3,node4-5,0,True,False,8
5,node6-3,node4-5,0,True,False,9
6,node6-3,node4-5,0,True,False,9
7,node6-3,node4-5,0,True,False,6
8,node6-3,node4-5,0,True,False,8
9,node6-3,node4-5,0,True,False,7
10,node6-3,node4-5,0,True,False,9
11,node6-3,node4-5,0,True,False,7
12,node6-3,node4-5,0,True,False,9
13,node6-3,node4-5,0,True,False,8
14,node6-3,node4-5,0,True,False,6
15,node6-3,node4-5,0,True,False,9
16,node6-3,node4-5,0,True,False,8
17,node6-3,node4-5,0,True,False,10
18,node6-3,node4-5,0,True,False,8
19,node6-3,node4-5,0,True,False,9
20,node6-3,node4-5,0,True,False,9
21,node6-3,node4-5,0,True,False,9
22,node6-3,node4-5,0,True,False,8
23,node6-3,node4-5,0,True,False,9
24,node6-3,node4-5,0,True,False,7
25,node6-3,node4-5,0,True,False,8
26,node6-3,node4-5,0,True,False,9
27,node6-3,node4-5,0,True,False,9
28,node6-3,node4-5,0,True,False,9
29,node6-3,node4-5,0,True,False,8
30,node6-3,node4-5,0,True,False,9
31,node6-3,node4-5,0,True,False,9
32,node6-3,node4-5,0,True,False,5
33,node6-3,node4-5,0,True,False,9
34,node6-3,node4-5,0,True,False,10
35,node6-3,node4-5,0,True,False,8
36,node6-3,node4-5,0,True,False,9
37,node6-3,node4-5,0,True,False,9
38,node6-3,node4-5,0,True,False,9
39,node6-3,node4-5,0,True,False,8
40,node6-3,node4-5,0,True,False,7
41,node6-3,node4-5,0,True,False,8
42,node6-3,node4-5,0,True,False,8
43,node6-3,node4-5,0,True,False,9
44,node6-3,node4-5,0,True,False,9
45,node6-3,node4-5,0,True,False,9
46,node6-3,node4-5,0,True,False,9
47,node6-3,node4-5,0,True,False,8
48,node6-3,node4-5,0,True,False,7
49,node6-3,node4-5,0,True,False,9
50,node6-3,node4-5,0,True,False,8
51,node6-3,node4-5,0,True,False,9
52,node6-3,node4-5,0,True,False,9
53,node6-3,node4-5,0,True,False,8
54,node6-3,node4-5,0,True,False,8
55,node6-3,node4-5,0,True,False,10
56,node6-3,node4-5,0,True,False,8
57,node6-3,node4-5,0,True,False,7
58,node6-3,node4-5,0,True,False,11
59,node6-3,node4-5,0,True,False,9
60,node6-3,node4-5,0,True,False,5
61,node6-3,node4-5,0,True,False,9
62,node6-3,node4-5,0,True,False,10
63,node6-3,node4-5,0,True,False,10
64,node6-3,node4-5,0,True,False,9
65,node6-3,node4-5,0,True,False,9
66,node6-3,node4-5,0,True,False,9
67,node6-3,node4-5,0,True,False,6
68,node6-3,node4-5,0,True,False,9
69,node6-3,node4-5,0,True,False,8
70,node6-3,node4-5,0,True,False,10
71,node6-3,node4-5,0,True,False,8
72,node6-3,node4-5,0,True,False,8
73,node6-3,node4-5,0,True,False,6
74,node6-3,node4-5,0,True,False,9
75,node6-3,node4-5,0,True,False,9
76,node6-3,node4-5,0,True,False,8
77,node6-3,node4-5,0,True,False,10
78,node6-3,node4-5,0,True,False,9
79,node6-3,node4-5,0,True,False,7
80,node6-3,node4-5,0,True,False,8
81,node6-3,node4-5,0,True,False,9
82,node6-3,node4-5,0,True,False,8
83,node6-3,node4-5,0,True,False,9
84,node6-3,node4-5,0,True,False,9
85,node6-3,node4-5,0,True,False,8
86,node6-3,node4-5,0,True,False,8
87,node6-3,node4-5,0,True,False,7
88,node6-3,node4-5,0,True,False,8
89,node6-3,node4-5,0,True,False,8
90,node6-3,node4-5,0,True,False,11
91,node6-3,node4-5,0,True,False,10
92,node6-3,node4-5,0,True,False,10
93,node6-3,node4-5,0,True,False,8
94,node6-3,node4-5,0,True,False,6
95,node6-3,node4-5,0,True,False,9
96,node6-3,node4-5,0,True,False,7
97,node6-3,node4-5,0,True,False,7
98,node6-3,node4-5,0,True,False,7
99,node6-3,node4-5,0,True,False,8
100,node6-3,node4-5,0,True,False,8
101,node6-3,node4-5,0,True,False,9
102,node6-3,node4-5,0,True,False,8
103,node6-3,node4-5,0,True,False,9
104,node6-3,node4-5,0,True,False,8
105,node6-3,node4-5,0,True,False,10
106,node6-3,node4-5,0,True,False,9
107,node6-3,node4-5,0,True,False,10
108,node6-3,node4-5,0,True,False,9
109,node6-3,node4-5,0,True,False,10
110,node6-3,node4-5,0,True,False,10
111,node6-3,node4-5,0,True,False,8
112,node6-3,node4-5,0,True,False,11
113,node6-3,node4-5,0,True,False,9
114,node6-3,node4-5,0,True,False,8
115,node6-3,node4-5,0,True,False,7
116,node6-3,node4-5,0,True,False,10
117,node6-3,node4-5,0,True,False,9
118,node6-3,node4-5,0,True,False,8
119,node6-3,node4-5,0,True,False,10
120,node6-3,node4-5,0,True,False,8
121,node6-3,node4-5,0,True,False,10
122,node6-3,node4-5,0,True,False,7
123,node6-3,node4-5,0,True,False,7
124,node6-3,node4-5,0,True,False,9
125,node6-3,node4-5,0,True,False,10
126,node6-3,node4-5,0,True,False,9
127,node6-3,node4-5,0,True,False,7
128,node6-3,node4-5,0,True,False,10
129,node6-3,node4-5,0,True,False,10
130,node6-3,node4-5,0,True,False,9
131,node6-3,node4-5,0,True,False,9
132,node6-3,node4-5,0,True,False,9
133,node6-3,node4-5,0,True,False,9
134,node6-3,node4-5,0,True,False,10
135,node6-3,node4-5,0,True,False,8
136,node6-3,node4-5,0,True,False,10
137,node6-3,node4-5,0,True,False,9
138,node6-3,node4-5,0,True,False,8
139,node6-3,node4-5,0,True,False,8
140,node6-3,node4-5,0,True,False,9
141,node6-3,node4-5,0,True,False,8
142,node6-3,node4-5,0,True,False,8
143,node6-3,node4-5,0,True,False,9
144,node6-3,node4-5,0,True,False,9
145,node6-3,node4-5,0,True,False,9
146,node6-3,node4-5,0,True,False,9
147,node6-3,node4-5,0,True,False,6
148,node6-3,node4-5,0,True,False,9
149,node6-3,node4-5,0,True,False,9
150,node6-3,node4-5,0,True,False,8
151,node6-3,node4-5,0,True,False,9
152,node6-3,node4-5,0,True,False,9
153,node6-3,node4-5,0,True,False,8
154,node6-3,node4-5,0,True,False,8
155,node6-3,node4-5,0,True,False,9
