seq,src,dst,noise,received,error,rssi
1,node3-8,node2-5,-10,True,False,12
2,node3-8,node2-5,-10,True,False,11
3,node3-8,node2-5,-10,True,False,10
4,node3-8,node2-5,-10,True,False,10
5,node3-8,node2-5,-10,True,False,9
6,node3-8,node2-5,-10,True,False,10
7,node3-8,node2-5,-10,True,False,9
8,node3-8,node2-5,-10,True,False,9
9,node3-8,node2-5,-10,True,False,10
10,node3-8,node2-5,-10,True,False,10
11,node3-8,node2-5,-10,True,False,9
12,node3-8,node2-5,-10,True,False,9
13,node3-8,node2-5,-10,True,False,10
14,node3-8,node2-5,-10,True,False,10
15,node3-8,node2-5,-10,True,False,11
16,node3-8,node2-5,-10,True,False,10
17,node3-8,node2-5,-10,True,False,10
18,node3-8,node2-5,-10,True,False,10
19,node3-8,node2-5,-10,True,False,10
20,node3-8,node2-5,-10,True,False,9
21,node3-8,node2-5,-10,True,False,11
22,node3-8,node2-5,-10,True,False,11
23,node3-8,node2-5,-10,True,False,10
24,node3-8,node2-5,-10,True,False,9
25,node3-8,node2-5,-10,True,False,9
26,node3-8,node2-5,-10,True,False,10
27,node3-8,node2-5,-10,True,False,9
28,node3-8,node2-5,-10,True,False,10
29,node3-8,node2-5,-10,True,False,9
30,node3-8,node2-5,-10,True,False,9
31,node3-8,node2-5,-10,True,False,9
32,node3-8,node2-5,-10,True,False,9
33,node3-8,node2-5,-10,True,False,10
34,node3-8,node2-5,-10,True,False,11
35,node3-8,node2-5,-10,True,False,10
36,node3-8,node2-5,-10,True,False,9
37,node3-8,node2-5,-10,True,False,11
38,node3-8,node2-5,-10,True,False,10
39,node3-8,node2-5,-10,True,False,10
40,node3-8,node2-5,-10,True,False,10
41,node3-8,node2-5,-10,True,False,10
42,node3-8,node2-5,-10,True,False,10
43,node3-8,node2-5,-10,True,False,10
44,node3-8,node2-5,-10,True,False,10
45,node3-8,node2-5,-10,True,False,10
46,node3-8,node2-5,-10,True,False,10
47,node3-8,node2-5,-10,True,False,9
48,node3-8,node2-5,-10,True,False,9
49,node3-8,node2-5,-10,True,False,10
50,node3-8,node2-5,-10,True,False,10
51,node3-8,node2-5,-10,True,False,9
52,node3-8,node2-5,-10,True,False,10
53,node3-8,node2-5,-10,True,False,10
54,node3-8,node2-5,-10,True,False,9
55,node3-8,node2-5,-10,True,False,9
56,node3-8,node2-5,-10,True,False,10
57,node3-8,node2-5,-10,True,False,10
58,node3-8,node2-5,-10,True,False,10
59,node3-8,node2-5,-10,True,False,9
60,node3-8,node2-5,-10,True,False,9
61,node3-8,node2-5,-10,True,False,10
62,node3-8,node2-5,-10,True,False,11
63,node3-8,node2-5,-10,True,False,10
64,node3-8,node2-5,-10,True,False,9
65,node3-8,node2-5,-10,True,False,9
66,node3-8,node2-5,-10,True,False,10
67,node3-8,node2-5,-10,True,False,10
68,node3-8,node2-5,-10,True,False,10
69,node3-8,node2-5,-10,True,False,9
70,node3-8,node2-5,-10,True,False,9
71,node3-8,node2-5,-10,True,False,10
72,node3-8,node2-5,-10,True,False,8
73,node3-8,node2-5,-10,True,False,10
74,node3-8,node2-5,-10,True,False,10
75,node3-8,node2-5,-10,True,False,10
76,node3-8,node2-5,-10,True,False,10
77,node3-8,node2-5,-10,True,False,9
78,node3-8,node2-5,-10,True,False,11
79,node3-8,node2-5,-10,True,False,9
80,node3-8,node2-5,-10,True,False,9
81,node3-8,node2-5,-10,True,False,10
82,node3-8,node2-5,-10,True,False,10
83,node3-8,node2-5,-10,True,False,10
84,node3-8,node2-5,-10,True,False,10
85,node3-8,node2-5,-10,True,False,9
86,node3-8,node2-5,-10,True,False,9
87,node3-8,node2-5,-10,True,False,10
88,node3-8,node2-5,-10,True,False,11
89,node3-8,node2-5,-10,True,False,8
90,node3-8,node2-5,-10,True,False,10
91,node3-8,node2-5,-10,True,False,9
92,node3-8,node2-5,-10,True,False,10
93,node3-8,node2-5,-10,True,False,10
94,node3-8,node2-5,-10,True,False,10
95,node3-8,node2-5,-10,True,False,10
96,node3-8,node2-5,-10,True,False,10
97,node3-8,node2-5,-10,True,False,9
98,node3-8,node2-5,-10,True,False,9
99,node3-8,node2-5,-10,True,False,9
100,node3-8,node2-5,-10,True,False,10
101,node3-8,node2-5,-10,True,False,9
102,node3-8,node2-5,-10,True,False,10
103,node3-8,node2-5,-10,True,False,11
104,node3-8,node2-5,-10,True,False,10
105,node3-8,node2-5,-10,True,False,9
106,node3-8,node2-5,-10,True,False,10
107,node3-8,node2-5,-10,True,False,10
108,node3-8,node2-5,-10,True,False,10
109,node3-8,node2-5,-10,True,False,10
110,node3-8,node2-5,-10,True,False,9
111,node3-8,node2-5,-10,True,False,9
112,node3-8,node2-5,-10,True,False,8
113,node3-8,node2-5,-10,True,False,10
114,node3-8,node2-5,-10,True,False,9
115,node3-8,node2-5,-10,True,False,10
116,node3-8,node2-5,-10,True,False,10
117,node3-8,node2-5,-10,True,False,10
118,node3-8,node2-5,-10,True,False,9
119,node3-8,node2-5,-10,True,False,10
120,node3-8,node2-5,-10,True,False,9
121,node3-8,node2-5,-10,True,False,10
122,node3-8,node2-5,-10,True,False,9
123,node3-8,node2-5,-10,True,False,10
124,node3-8,node2-5,-10,True,False,9
125,node3-8,node2-5,-10,True,False,9
126,node3-8,node2-5,-10,True,False,9
127,node3-8,node2-5,-10,True,False,9
128,node3-8,node2-5,-10,True,False,9
129,node3-8,node2-5,-10,True,False,11
130,node3-8,node2-5,-10,True,False,9
131,node3-8,node2-5,-10,True,False,11
132,node3-8,node2-5,-10,True,False,9
133,node3-8,node2-5,-10,True,False,10
134,node3-8,node2-5,-10,True,False,9
135,node3-8,node2-5,-10,True,False,8
136,node3-8,node2-5,-10,True,False,9
137,node3-8,node2-5,-10,True,False,10
138,node3-8,node2-5,-10,True,False,9
139,node3-8,node2-5,-10,True,False,10
140,node3-8,node2-5,-10,True,False,9
141,node3-8,node2-5,-10,True,False,10
142,node3-8,node2-5,-10,True,False,8
143,node3-8,node2-5,-10,True,False,9
144,node3-8,node2-5,-10,True,False,9
145,node3-8,node2-5,-10,True,False,10
146,node3-8,node2-5,-10,True,False,11
147,node3-8,node2-5,-10,True,False,10
148,node3-8,node2-5,-10,True,False,11
149,node3-8,node2-5,-10,True,False,10
150,node3-8,node2-5,-10,True,False,10
151,node3-8,node2-5,-10,True,False,9
152,node3-8,node2-5,-10,True,False,9
153,node3-8,node2-5,-10,True,False,11
154,node3-8,node2-5,-10,True,False,10
155,node3-8,node2-5,-10,True,False,9
156,node3-8,node2-5,-10,True,False,10
157,node3-8,node2-5,-10,True,False,8
158,node3-8,node2-5,-10,True,False,9
159,node3-8,node2-5,-10,True,False,10
160,node3-8,node2-5,-10,True,False,11
161,node3-8,node2-5,-10,True,False,9
162,node3-8,node2-5,-10,True,False,9
163,node3-8,node2-5,-10,True,False,10
164,node3-8,node2-5,-10,True,False,10
165,node3-8,node2-5,-10,True,False,10
166,node3-8,node2-5,-10,True,False,10
167,node3-8,node2-5,-10,True,False,10
168,node3-8,node2-5,-10,True,False,10
169,node3-8,node2-5,-10,True,False,8
170,node3-8,node2-5,-10,True,False,9
171,node3-8,node2-5,-10,True,False,9
172,node3-8,node2-5,-10,True,False,9
173,node3-8,node2-5,-10,True,False,10
174,node3-8,node2-5,-10,True,False,11
175,node3-8,node2-5,-10,True,False,10
176,node3-8,node2-5,-10,True,False,10
177,node3-8,node2-5,-10,True,False,10
178,node3-8,node2-5,-10,True,False,9
179,node3-8,node2-5,-10,True,False,9
180,node3-8,node2-5,-10,True,False,10
181,node3-8,node2-5,-10,True,False,10
182,node3-8,node2-5,-10,True,False,11
183,node3-8,node2-5,-10,True,False,10
184,node3-8,node2-5,-10,True,False,8
185,node3-8,node2-5,-10,True,False,10
186,node3-8,node2-5,-10,True,False,10
187,node3-8,node2-5,-10,True,False,10
188,node3-8,node2-5,-10,True,False,10
189,node3-8,node2-5,-10,True,False,10
190,node3-8,node2-5,-10,True,False,9
191,node3-8,node2-5,-10,True,False,10
