seq,src,dst,noise,received,error,rssi
1,node8-1,node6-7,-20,True,False,9
2,node8-1,node6-7,-20,True,False,8
3,node8-1,node6-7,-20,True,False,6
4,node8-1,node6-7,-20,True,False,4
5,node8-1,node6-7,-20,True,False,4
6,node8-1,node6-7,-20,True,False,4
7,node8-1,node6-7,-20,True,False,2
8,node8-1,node6-7,-20,True,False,4
9,node8-1,node6-7,-20,True,False,5
10,node8-1,node6-7,-20,True,False,5
11,node8-1,node6-7,-20,True,False,4
12,node8-1,node6-7,-20,True,False,5
13,node8-1,node6-7,-20,True,False,5
14,node8-1,node6-7,-20,True,False,5
15,node8-1,node6-7,-20,True,False,5
16,node8-1,node6-7,-20,True,False,4
17,node8-1,node6-7,-20,True,False,4
18,node8-1,node6-7,-20,True,False,4
19,node8-1,node6-7,-20,True,False,4
20,node8-1,node6-7,-20,True,False,4
21,node8-1,node6-7,-20,True,False,4
22,node8-1,node6-7,-20,True,False,6
23,node8-1,node6-7,-20,True,False,4
24,node8-1,node6-7,-20,True,False,2
25,node8-1,node6-7,-20,True,False,5
26,node8-1,node6-7,-20,True,False,5
27,node8-1,node6-7,-20,True,False,4
28,node8-1,node6-7,-20,True,False,5
29,node8-1,node6-7,-20,True,False,5
30,node8-1,node6-7,-20,True,False,3
31,node8-1,node6-7,-20,True,False,5
32,node8-1,node6-7,-20,True,False,5
33,node8-1,node6-7,-20,True,False,5
34,node8-1,node6-7,-20,True,False,4
35,node8-1,node6-7,-20,True,False,4
36,node8-1,node6-7,-20,True,False,6
37,node8-1,node6-7,-20,True,False,5
38,node8-1,node6-7,-20,True,False,4
39,node8-1,node6-7,-20,True,False,5
40,node8-1,node6-7,-20,True,False,5
41,node8-1,node6-7,-20,True,False,5
42,node8-1,node6-7,-20,True,False,4
43,node8-1,node6-7,-20,True,False,5
44,node8-1,node6-7,-20,True,False,5
45,node8-1,node6-7,-20,True,False,3
46,node8-1,node6-7,-20,True,False,5
47,node8-1,node6-7,-20,True,False,2
48,node8-1,node6-7,-20,True,False,4
49,node8-1,node6-7,-20,True,False,6
50,node8-1,node6-7,-20,True,False,5
51,node8-1,node6-7,-20,True,False,4
52,node8-1,node6-7,-20,True,False,5
53,node8-1,node6-7,-20,True,False,6
54,node8-1,node6-7,-20,True,False,5
55,node8-1,node6-7,-20,True,False,3
56,node8-1,node6-7,-20,True,False,5
57,node8-1,node6-7,-20,True,False,5
58,node8-1,node6-7,-20,True,False,3
59,node8-1,node6-7,-20,True,False,4
60,node8-1,node6-7,-20,True,False,3
61,node8-1,node6-7,-20,True,False,4
62,node8-1,node6-7,-20,True,False,5
63,node8-1,node6-7,-20,True,False,3
64,node8-1,node6-7,-20,True,False,5
65,node8-1,node6-7,-20,True,False,5
66,node8-1,node6-7,-20,True,False,5
67,node8-1,node6-7,-20,True,False,5
68,node8-1,node6-7,-20,True,False,2
69,node8-1,node6-7,-20,True,False,5
70,node8-1,node6-7,-20,True,False,5
71,node8-1,node6-7,-20,True,False,5
72,node8-1,node6-7,-20,True,False,4
73,node8-1,node6-7,-20,True,False,5
74,node8-1,node6-7,-20,True,False,5
75,node8-1,node6-7,-20,True,False,5
76,node8-1,node6-7,-20,True,False,5
77,node8-1,node6-7,-20,True,False,6
78,node8-1,node6-7,-20,True,False,5
79,node8-1,node6-7,-20,True,False,5
