seq,src,dst,noise,received,error,rssi
1,node3-2,node6-1,-20,True,False,13
2,node3-2,node6-1,-20,True,False,13
3,node3-2,node6-1,-20,True,False,11
4,node3-2,node6-1,-20,True,False,9
5,node3-2,node6-1,-20,True,False,8
6,node3-2,node6-1,-20,True,False,7
7,node3-2,node6-1,-20,True,False,7
8,node3-2,node6-1,-20,True,False,8
9,node3-2,node6-1,-20,True,False,7
10,node3-2,node6-1,-20,True,False,7
11,node3-2,node6-1,-20,True,False,7
12,node3-2,node6-1,-20,True,False,7
13,node3-2,node6-1,-20,True,False,8
14,node3-2,node6-1,-20,True,False,7
15,node3-2,node6-1,-20,True,False,7
16,node3-2,node6-1,-20,True,False,8
17,node3-2,node6-1,-20,True,False,7
18,node3-2,node6-1,-20,True,False,6
19,node3-2,node6-1,-20,True,False,8
20,node3-2,node6-1,-20,True,False,6
21,node3-2,node6-1,-20,True,False,8
22,node3-2,node6-1,-20,True,False,8
23,node3-2,node6-1,-20,True,False,7
24,node3-2,node6-1,-20,True,False,7
25,node3-2,node6-1,-20,True,False,6
26,node3-2,node6-1,-20,True,False,6
27,node3-2,node6-1,-20,True,False,7
28,node3-2,node6-1,-20,True,False,7
29,node3-2,node6-1,-20,True,False,6
30,node3-2,node6-1,-20,True,False,7
31,node3-2,node6-1,-20,True,False,9
32,node3-2,node6-1,-20,True,False,7
33,node3-2,node6-1,-20,True,False,6
34,node3-2,node6-1,-20,True,False,7
35,node3-2,node6-1,-20,True,False,8
36,node3-2,node6-1,-20,True,False,8
37,node3-2,node6-1,-20,True,False,7
38,node3-2,node6-1,-20,True,False,7
39,node3-2,node6-1,-20,True,False,7
40,node3-2,node6-1,-20,True,False,9
41,node3-2,node6-1,-20,True,False,6
42,node3-2,node6-1,-20,True,False,6
43,node3-2,node6-1,-20,True,False,7
44,node3-2,node6-1,-20,True,False,5
45,node3-2,node6-1,-20,True,False,7
46,node3-2,node6-1,-20,True,False,6
47,node3-2,node6-1,-20,True,False,6
48,node3-2,node6-1,-20,True,False,6
49,node3-2,node6-1,-20,True,False,9
50,node3-2,node6-1,-20,True,False,8
51,node3-2,node6-1,-20,True,False,6
52,node3-2,node6-1,-20,True,False,8
53,node3-2,node6-1,-20,True,False,8
54,node3-2,node6-1,-20,True,False,7
55,node3-2,node6-1,-20,True,False,7
56,node3-2,node6-1,-20,True,False,6
57,node3-2,node6-1,-20,True,False,7
58,node3-2,node6-1,-20,True,False,7
59,node3-2,node6-1,-20,True,False,9
60,node3-2,node6-1,-20,True,False,7
61,node3-2,node6-1,-20,True,False,6
62,node3-2,node6-1,-20,True,False,6
63,node3-2,node6-1,-20,True,False,9
64,node3-2,node6-1,-20,True,False,6
65,node3-2,node6-1,-20,True,False,7
66,node3-2,node6-1,-20,True,False,7
67,node3-2,node6-1,-20,True,False,6
68,node3-2,node6-1,-20,True,False,7
69,node3-2,node6-1,-20,True,False,7
70,node3-2,node6-1,-20,True,False,5
71,node3-2,node6-1,-20,True,False,7
72,node3-2,node6-1,-20,True,False,5
73,node3-2,node6-1,-20,True,False,7
74,node3-2,node6-1,-20,True,False,8
75,node3-2,node6-1,-20,True,False,6
76,node3-2,node6-1,-20,True,False,8
77,node3-2,node6-1,-20,True,False,6
78,node3-2,node6-1,-20,True,False,8
79,node3-2,node6-1,-20,True,False,7
80,node3-2,node6-1,-20,True,False,6
81,node3-2,node6-1,-20,True,False,8
82,node3-2,node6-1,-20,True,False,7
83,node3-2,node6-1,-20,True,False,7
84,node3-2,node6-1,-20,True,False,8
85,node3-2,node6-1,-20,True,False,8
86,node3-2,node6-1,-20,True,False,8
87,node3-2,node6-1,-20,True,False,7
