seq,src,dst,noise,received,error,rssi
1,node4-3,node5-2,-20,True,False,31
2,node4-3,node5-2,-20,True,False,29
3,node4-3,node5-2,-20,True,False,27
4,node4-3,node5-2,-20,True,False,23
5,node4-3,node5-2,-20,True,False,24
6,node4-3,node5-2,-20,True,False,24
7,node4-3,node5-2,-20,True,False,24
8,node4-3,node5-2,-20,True,False,23
9,node4-3,node5-2,-20,True,False,24
10,node4-3,node5-2,-20,True,False,24
11,node4-3,node5-2,-20,True,False,24
12,node4-3,node5-2,-20,True,False,24
13,node4-3,node5-2,-20,True,False,23
14,node4-3,node5-2,-20,True,False,24
15,node4-3,node5-2,-20,True,False,24
16,node4-3,node5-2,-20,True,False,24
17,node4-3,node5-2,-20,True,False,23
18,node4-3,node5-2,-20,True,False,24
19,node4-3,node5-2,-20,True,False,24
20,node4-3,node5-2,-20,True,False,24
21,node4-3,node5-2,-20,True,False,24
22,node4-3,node5-2,-20,True,False,24
23,node4-3,node5-2,-20,True,False,23
24,node4-3,node5-2,-20,True,False,23
25,node4-3,node5-2,-20,True,False,24
26,node4-3,node5-2,-20,True,False,24
27,node4-3,node5-2,-20,True,False,23
28,node4-3,node5-2,-20,True,False,23
29,node4-3,node5-2,-20,True,False,23
30,node4-3,node5-2,-20,True,False,24
31,node4-3,node5-2,-20,True,False,23
32,node4-3,node5-2,-20,True,False,23
33,node4-3,node5-2,-20,True,False,24
34,node4-3,node5-2,-20,True,False,23
35,node4-3,node5-2,-20,True,False,24
36,node4-3,node5-2,-20,True,False,23
37,node4-3,node5-2,-20,True,False,23
38,node4-3,node5-2,-20,True,False,23
39,node4-3,node5-2,-20,True,False,24
40,node4-3,node5-2,-20,True,False,24
41,node4-3,node5-2,-20,True,False,24
42,node4-3,node5-2,-20,True,False,23
43,node4-3,node5-2,-20,True,False,24
44,node4-3,node5-2,-20,True,False,24
45,node4-3,node5-2,-20,True,False,23
46,node4-3,node5-2,-20,True,False,24
47,node4-3,node5-2,-20,True,False,23
48,node4-3,node5-2,-20,True,False,24
49,node4-3,node5-2,-20,True,False,24
50,node4-3,node5-2,-20,True,False,24
51,node4-3,node5-2,-20,True,False,24
52,node4-3,node5-2,-20,True,False,23
53,node4-3,node5-2,-20,True,False,23
54,node4-3,node5-2,-20,True,False,24
55,node4-3,node5-2,-20,True,False,24
56,node4-3,node5-2,-20,True,False,24
57,node4-3,node5-2,-20,True,False,23
58,node4-3,node5-2,-20,True,False,24
59,node4-3,node5-2,-20,True,False,24
60,node4-3,node5-2,-20,True,False,23
61,node4-3,node5-2,-20,True,False,24
62,node4-3,node5-2,-20,True,False,25
63,node4-3,node5-2,-20,True,False,24
64,node4-3,node5-2,-20,True,False,24
65,node4-3,node5-2,-20,True,False,23
66,node4-3,node5-2,-20,True,False,24
67,node4-3,node5-2,-20,True,False,23
68,node4-3,node5-2,-20,True,False,23
69,node4-3,node5-2,-20,True,False,23
70,node4-3,node5-2,-20,True,False,24
71,node4-3,node5-2,-20,True,False,24
72,node4-3,node5-2,-20,True,False,24
73,node4-3,node5-2,-20,True,False,24
74,node4-3,node5-2,-20,True,False,24
75,node4-3,node5-2,-20,True,False,23
76,node4-3,node5-2,-20,True,False,23
77,node4-3,node5-2,-20,True,False,24
78,node4-3,node5-2,-20,True,False,24
79,node4-3,node5-2,-20,True,False,24
80,node4-3,node5-2,-20,True,False,24
81,node4-3,node5-2,-20,True,False,24
82,node4-3,node5-2,-20,True,False,23
83,node4-3,node5-2,-20,True,False,24
84,node4-3,node5-2,-20,True,False,24
85,node4-3,node5-2,-20,True,False,24
86,node4-3,node5-2,-20,True,False,24
87,node4-3,node5-2,-20,True,False,23
88,node4-3,node5-2,-20,True,False,23
89,node4-3,node5-2,-20,True,False,24
