seq,src,dst,noise,received,error,rssi
1,node8-7,node7-4,-5,True,False,7
2,node8-7,node7-4,-5,True,False,7
3,node8-7,node7-4,-5,True,False,4
4,node8-7,node7-4,-5,True,False,5
5,node8-7,node7-4,-5,True,False,4
6,node8-7,node7-4,-5,True,False,6
7,node8-7,node7-4,-5,True,False,5
8,node8-7,node7-4,-5,True,False,5
9,node8-7,node7-4,-5,True,False,4
10,node8-7,node7-4,-5,True,False,4
11,node8-7,node7-4,-5,True,False,4
12,node8-7,node7-4,-5,True,False,5
13,node8-7,node7-4,-5,True,False,5
14,node8-7,node7-4,-5,True,False,5
15,node8-7,node7-4,-5,True,False,6
16,node8-7,node7-4,-5,True,False,6
17,node8-7,node7-4,-5,True,False,6
18,node8-7,node7-4,-5,True,False,4
19,node8-7,node7-4,-5,True,False,5
20,node8-7,node7-4,-5,True,False,5
21,node8-7,node7-4,-5,True,False,5
22,node8-7,node7-4,-5,True,False,5
23,node8-7,node7-4,-5,True,False,4
24,node8-7,node7-4,-5,True,False,5
25,node8-7,node7-4,-5,True,False,5
26,node8-7,node7-4,-5,True,False,5
27,node8-7,node7-4,-5,True,False,3
28,node8-7,node7-4,-5,True,False,4
29,node8-7,node7-4,-5,True,False,2
30,node8-7,node7-4,-5,True,False,4
31,node8-7,node7-4,-5,True,False,6
32,node8-7,node7-4,-5,True,False,7
33,node8-7,node7-4,-5,True,False,5
34,node8-7,node7-4,-5,True,False,3
35,node8-7,node7-4,-5,True,False,4
36,node8-7,node7-4,-5,True,False,5
37,node8-7,node7-4,-5,True,False,7
38,node8-7,node7-4,-5,True,False,5
39,node8-7,node7-4,-5,True,False,4
40,node8-7,node7-4,-5,True,False,2
41,node8-7,node7-4,-5,True,False,6
42,node8-7,node7-4,-5,True,False,4
43,node8-7,node7-4,-5,True,False,3
44,node8-7,node7-4,-5,True,False,6
45,node8-7,node7-4,-5,True,False,5
46,node8-7,node7-4,-5,True,False,3
47,node8-7,node7-4,-5,True,False,5
48,node8-7,node7-4,-5,True,False,4
49,node8-7,node7-4,-5,True,False,4
50,node8-7,node7-4,-5,True,False,4
51,node8-7,node7-4,-5,True,False,5
52,node8-7,node7-4,-5,True,False,4
53,node8-7,node7-4,-5,True,False,2
54,node8-7,node7-4,-5,True,False,5
55,node8-7,node7-4,-5,True,False,4
56,node8-7,node7-4,-5,True,False,4
57,node8-7,node7-4,-5,True,False,5
58,node8-7,node7-4,-5,True,False,4
59,node8-7,node7-4,-5,True,False,5
60,node8-7,node7-4,-5,True,False,4
61,node8-7,node7-4,-5,True,False,7
62,node8-7,node7-4,-5,True,False,5
63,node8-7,node7-4,-5,True,False,4
64,node8-7,node7-4,-5,True,False,6
65,node8-7,node7-4,-5,True,False,5
66,node8-7,node7-4,-5,True,False,4
67,node8-7,node7-4,-5,True,False,5
68,node8-7,node7-4,-5,True,False,4
69,node8-7,node7-4,-5,True,False,5
70,node8-7,node7-4,-5,True,False,6
71,node8-7,node7-4,-5,True,False,3
72,node8-7,node7-4,-5,True,False,4
73,node8-7,node7-4,-5,True,False,7
74,node8-7,node7-4,-5,True,False,6
75,node8-7,node7-4,-5,True,False,7
76,node8-7,node7-4,-5,True,False,4
77,node8-7,node7-4,-5,True,False,4
78,node8-7,node7-4,-5,True,False,5
79,node8-7,node7-4,-5,True,False,5
80,node8-7,node7-4,-5,True,False,4
81,node8-7,node7-4,-5,True,False,2
82,node8-7,node7-4,-5,True,False,5
83,node8-7,node7-4,-5,True,False,6
84,node8-7,node7-4,-5,True,False,3
85,node8-7,node7-4,-5,True,False,5
86,node8-7,node7-4,-5,True,False,4
87,node8-7,node7-4,-5,True,False,5
88,node8-7,node7-4,-5,True,False,5
89,node8-7,node7-4,-5,True,False,4
90,node8-7,node7-4,-5,True,False,5
91,node8-7,node7-4,-5,True,False,4
92,node8-7,node7-4,-5,True,False,7
93,node8-7,node7-4,-5,True,False,6
94,node8-7,node7-4,-5,True,False,7
95,node8-7,node7-4,-5,True,False,4
96,node8-7,node7-4,-5,True,False,5
97,node8-7,node7-4,-5,True,False,5
98,node8-7,node7-4,-5,True,False,5
99,node8-7,node7-4,-5,True,False,5
100,node8-7,node7-4,-5,True,False,5
101,node8-7,node7-4,-5,True,False,6
102,node8-7,node7-4,-5,True,False,6
103,node8-7,node7-4,-5,True,False,5
104,node8-7,node7-4,-5,True,False,5
105,node8-7,node7-4,-5,True,False,5
106,node8-7,node7-4,-5,True,False,5
107,node8-7,node7-4,-5,True,False,6
108,node8-7,node7-4,-5,True,False,3
109,node8-7,node7-4,-5,True,False,5
110,node8-7,node7-4,-5,True,False,4
111,node8-7,node7-4,-5,True,False,4
112,node8-7,node7-4,-5,True,False,4
113,node8-7,node7-4,-5,True,False,5
114,node8-7,node7-4,-5,True,False,4
115,node8-7,node7-4,-5,True,False,5
116,node8-7,node7-4,-5,True,False,3
117,node8-7,node7-4,-5,True,False,4
118,node8-7,node7-4,-5,True,False,5
119,node8-7,node7-4,-5,True,False,6
120,node8-7,node7-4,-5,True,False,4
121,node8-7,node7-4,-5,True,False,7
122,node8-7,node7-4,-5,True,False,5
123,node8-7,node7-4,-5,True,False,6
124,node8-7,node7-4,-5,True,False,4
125,node8-7,node7-4,-5,True,False,4
126,node8-7,node7-4,-5,True,False,4
127,node8-7,node7-4,-5,True,False,4
128,node8-7,node7-4,-5,True,False,6
129,node8-7,node7-4,-5,True,False,2
130,node8-7,node7-4,-5,True,False,1
131,node8-7,node7-4,-5,True,False,4
132,node8-7,node7-4,-5,True,False,5
133,node8-7,node7-4,-5,True,False,5
134,node8-7,node7-4,-5,True,False,4
135,node8-7,node7-4,-5,True,False,4
136,node8-7,node7-4,-5,True,False,6
137,node8-7,node7-4,-5,True,False,6
138,node8-7,node7-4,-5,True,False,5
139,node8-7,node7-4,-5,True,False,4
140,node8-7,node7-4,-5,True,False,6
141,node8-7,node7-4,-5,True,False,4
142,node8-7,node7-4,-5,True,False,5
143,node8-7,node7-4,-5,True,False,4
144,node8-7,node7-4,-5,True,False,4
145,node8-7,node7-4,-5,True,False,5
146,node8-7,node7-4,-5,True,False,4
147,node8-7,node7-4,-5,True,False,4
148,node8-7,node7-4,-5,True,False,3
149,node8-7,node7-4,-5,True,False,4
150,node8-7,node7-4,-5,True,False,5
151,node8-7,node7-4,-5,True,False,4
152,node8-7,node7-4,-5,True,False,7
153,node8-7,node7-4,-5,True,False,6
154,node8-7,node7-4,-5,True,False,3
155,node8-7,node7-4,-5,True,False,4
156,node8-7,node7-4,-5,True,False,3
157,node8-7,node7-4,-5,True,False,6
158,node8-7,node7-4,-5,True,False,3
159,node8-7,node7-4,-5,True,False,3
160,node8-7,node7-4,-5,True,False,4
161,node8-7,node7-4,-5,True,False,4
162,node8-7,node7-4,-5,True,False,5
163,node8-7,node7-4,-5,True,False,5
164,node8-7,node7-4,-5,True,False,4
165,node8-7,node7-4,-5,True,False,6
166,node8-7,node7-4,-5,True,False,4
167,node8-7,node7-4,-5,True,False,3
168,node8-7,node7-4,-5,True,False,5
169,node8-7,node7-4,-5,True,False,4
170,node8-7,node7-4,-5,True,False,5
