seq,src,dst,noise,received,error,rssi
1,node1-4,node6-3,-20,True,False,23
2,node1-4,node6-3,-20,True,False,22
3,node1-4,node6-3,-20,True,False,18
4,node1-4,node6-3,-20,True,False,20
5,node1-4,node6-3,-20,True,False,20
6,node1-4,node6-3,-20,True,False,21
7,node1-4,node6-3,-20,True,False,22
8,node1-4,node6-3,-20,True,False,20
9,node1-4,node6-3,-20,True,False,20
10,node1-4,node6-3,-20,True,False,21
11,node1-4,node6-3,-20,True,False,20
12,node1-4,node6-3,-20,True,False,21
13,node1-4,node6-3,-20,True,False,20
14,node1-4,node6-3,-20,True,False,20
15,node1-4,node6-3,-20,True,False,20
16,node1-4,node6-3,-20,True,False,20
17,node1-4,node6-3,-20,True,False,20
18,node1-4,node6-3,-20,True,False,20
19,node1-4,node6-3,-20,True,False,19
20,node1-4,node6-3,-20,True,False,21
21,node1-4,node6-3,-20,True,False,21
22,node1-4,node6-3,-20,True,False,20
23,node1-4,node6-3,-20,True,False,20
24,node1-4,node6-3,-20,True,False,20
25,node1-4,node6-3,-20,True,False,21
26,node1-4,node6-3,-20,True,False,20
27,node1-4,node6-3,-20,True,False,20
28,node1-4,node6-3,-20,True,False,20
29,node1-4,node6-3,-20,True,False,21
30,node1-4,node6-3,-20,True,False,19
31,node1-4,node6-3,-20,True,False,20
32,node1-4,node6-3,-20,True,False,20
33,node1-4,node6-3,-20,True,False,21
34,node1-4,node6-3,-20,True,False,19
35,node1-4,node6-3,-20,True,False,22
36,node1-4,node6-3,-20,True,False,20
37,node1-4,node6-3,-20,True,False,20
38,node1-4,node6-3,-20,True,False,21
39,node1-4,node6-3,-20,True,False,20
40,node1-4,node6-3,-20,True,False,20
41,node1-4,node6-3,-20,True,False,22
42,node1-4,node6-3,-20,True,False,21
43,node1-4,node6-3,-20,True,False,21
44,node1-4,node6-3,-20,True,False,22
45,node1-4,node6-3,-20,True,False,20
46,node1-4,node6-3,-20,True,False,21
47,node1-4,node6-3,-20,True,False,20
48,node1-4,node6-3,-20,True,False,20
49,node1-4,node6-3,-20,True,False,19
50,node1-4,node6-3,-20,True,False,20
51,node1-4,node6-3,-20,True,False,21
52,node1-4,node6-3,-20,True,False,20
53,node1-4,node6-3,-20,True,False,20
54,node1-4,node6-3,-20,True,False,21
55,node1-4,node6-3,-20,True,False,19
56,node1-4,node6-3,-20,True,False,20
57,node1-4,node6-3,-20,True,False,21
58,node1-4,node6-3,-20,True,False,20
59,node1-4,node6-3,-20,True,False,21
60,node1-4,node6-3,-20,True,False,19
61,node1-4,node6-3,-20,True,False,20
62,node1-4,node6-3,-20,True,False,20
63,node1-4,node6-3,-20,True,False,21
64,node1-4,node6-3,-20,True,False,20
65,node1-4,node6-3,-20,True,False,21
66,node1-4,node6-3,-20,True,False,20
67,node1-4,node6-3,-20,True,False,20
68,node1-4,node6-3,-20,True,False,20
69,node1-4,node6-3,-20,True,False,21
70,node1-4,node6-3,-20,True,False,19
71,node1-4,node6-3,-20,True,False,21
72,node1-4,node6-3,-20,True,False,21
73,node1-4,node6-3,-20,True,False,20
74,node1-4,node6-3,-20,True,False,21
75,node1-4,node6-3,-20,True,False,21
76,node1-4,node6-3,-20,True,False,22
77,node1-4,node6-3,-20,True,False,20
78,node1-4,node6-3,-20,True,False,22
79,node1-4,node6-3,-20,True,False,20
80,node1-4,node6-3,-20,True,False,21
81,node1-4,node6-3,-20,True,False,21
82,node1-4,node6-3,-20,True,False,20
83,node1-4,node6-3,-20,True,False,19
84,node1-4,node6-3,-20,True,False,21
85,node1-4,node6-3,-20,True,False,20
86,node1-4,node6-3,-20,True,False,21
87,node1-4,node6-3,-20,True,False,20
88,node1-4,node6-3,-20,True,False,22
89,node1-4,node6-3,-20,True,False,20
90,node1-4,node6-3,-20,True,False,18
91,node1-4,node6-3,-20,True,False,21
92,node1-4,node6-3,-20,True,False,19
93,node1-4,node6-3,-20,True,False,19
94,node1-4,node6-3,-20,True,False,19
95,node1-4,node6-3,-20,True,False,21
96,node1-4,node6-3,-20,True,False,21
97,node1-4,node6-3,-20,True,False,21
98,node1-4,node6-3,-20,True,False,18
99,node1-4,node6-3,-20,True,False,21
100,node1-4,node6-3,-20,True,False,20
101,node1-4,node6-3,-20,True,False,20
102,node1-4,node6-3,-20,True,False,20
103,node1-4,node6-3,-20,True,False,21
104,node1-4,node6-3,-20,True,False,20
105,node1-4,node6-3,-20,True,False,20
106,node1-4,node6-3,-20,True,False,21
107,node1-4,node6-3,-20,True,False,22
108,node1-4,node6-3,-20,True,False,20
109,node1-4,node6-3,-20,True,False,21
110,node1-4,node6-3,-20,True,False,21
111,node1-4,node6-3,-20,True,False,21
112,node1-4,node6-3,-20,True,False,21
113,node1-4,node6-3,-20,True,False,20
114,node1-4,node6-3,-20,True,False,19
115,node1-4,node6-3,-20,True,False,20
116,node1-4,node6-3,-20,True,False,21
117,node1-4,node6-3,-20,True,False,21
118,node1-4,node6-3,-20,True,False,20
119,node1-4,node6-3,-20,True,False,21
120,node1-4,node6-3,-20,True,False,21
121,node1-4,node6-3,-20,True,False,20
122,node1-4,node6-3,-20,True,False,20
123,node1-4,node6-3,-20,True,False,22
124,node1-4,node6-3,-20,True,False,20
125,node1-4,node6-3,-20,True,False,21
126,node1-4,node6-3,-20,True,False,20
127,node1-4,node6-3,-20,True,False,20
128,node1-4,node6-3,-20,True,False,20
129,node1-4,node6-3,-20,True,False,20
130,node1-4,node6-3,-20,True,False,19
131,node1-4,node6-3,-20,True,False,20
132,node1-4,node6-3,-20,True,False,20
133,node1-4,node6-3,-20,True,False,20
134,node1-4,node6-3,-20,True,False,22
135,node1-4,node6-3,-20,True,False,20
136,node1-4,node6-3,-20,True,False,22
137,node1-4,node6-3,-20,True,False,20
138,node1-4,node6-3,-20,True,False,21
139,node1-4,node6-3,-20,True,False,21
140,node1-4,node6-3,-20,True,False,20
141,node1-4,node6-3,-20,True,False,19
142,node1-4,node6-3,-20,True,False,21
143,node1-4,node6-3,-20,True,False,22
144,node1-4,node6-3,-20,True,False,19
145,node1-4,node6-3,-20,True,False,22
146,node1-4,node6-3,-20,True,False,21
147,node1-4,node6-3,-20,True,False,21
148,node1-4,node6-3,-20,True,False,21
149,node1-4,node6-3,-20,True,False,20
150,node1-4,node6-3,-20,True,False,20
151,node1-4,node6-3,-20,True,False,22
152,node1-4,node6-3,-20,True,False,22
153,node1-4,node6-3,-20,True,False,18
154,node1-4,node6-3,-20,True,False,20
155,node1-4,node6-3,-20,True,False,20
