seq,src,dst,noise,received,error,rssi
1,node7-2,node7-4,-20,True,False,35
2,node7-2,node7-4,-20,True,False,36
3,node7-2,node7-4,-20,True,False,33
4,node7-2,node7-4,-20,True,False,30
5,node7-2,node7-4,-20,True,False,30
6,node7-2,node7-4,-20,True,False,30
7,node7-2,node7-4,-20,True,False,30
8,node7-2,node7-4,-20,True,False,30
9,node7-2,node7-4,-20,True,False,29
10,node7-2,node7-4,-20,True,False,29
11,node7-2,node7-4,-20,True,False,29
12,node7-2,node7-4,-20,True,False,30
13,node7-2,node7-4,-20,True,False,30
14,node7-2,node7-4,-20,True,False,29
15,node7-2,node7-4,-20,True,False,31
16,node7-2,node7-4,-20,True,False,30
17,node7-2,node7-4,-20,True,False,30
18,node7-2,node7-4,-20,True,False,30
19,node7-2,node7-4,-20,True,False,31
20,node7-2,node7-4,-20,True,False,30
21,node7-2,node7-4,-20,True,False,31
22,node7-2,node7-4,-20,True,False,30
23,node7-2,node7-4,-20,True,False,29
24,node7-2,node7-4,-20,True,False,31
25,node7-2,node7-4,-20,True,False,30
26,node7-2,node7-4,-20,True,False,29
27,node7-2,node7-4,-20,True,False,31
28,node7-2,node7-4,-20,True,False,30
29,node7-2,node7-4,-20,True,False,30
30,node7-2,node7-4,-20,True,False,30
31,node7-2,node7-4,-20,True,False,31
32,node7-2,node7-4,-20,True,False,31
33,node7-2,node7-4,-20,True,False,29
34,node7-2,node7-4,-20,True,False,30
35,node7-2,node7-4,-20,True,False,31
36,node7-2,node7-4,-20,True,False,29
37,node7-2,node7-4,-20,True,False,29
38,node7-2,node7-4,-20,True,False,30
39,node7-2,node7-4,-20,True,False,29
40,node7-2,node7-4,-20,True,False,29
41,node7-2,node7-4,-20,True,False,29
42,node7-2,node7-4,-20,True,False,29
43,node7-2,node7-4,-20,True,False,30
44,node7-2,node7-4,-20,True,False,30
45,node7-2,node7-4,-20,True,False,30
46,node7-2,node7-4,-20,True,False,30
47,node7-2,node7-4,-20,True,False,30
48,node7-2,node7-4,-20,True,False,30
49,node7-2,node7-4,-20,True,False,29
50,node7-2,node7-4,-20,True,False,30
51,node7-2,node7-4,-20,True,False,30
52,node7-2,node7-4,-20,True,False,31
53,node7-2,node7-4,-20,True,False,30
54,node7-2,node7-4,-20,True,False,29
55,node7-2,node7-4,-20,True,False,31
56,node7-2,node7-4,-20,True,False,30
57,node7-2,node7-4,-20,True,False,30
58,node7-2,node7-4,-20,True,False,31
59,node7-2,node7-4,-20,True,False,31
60,node7-2,node7-4,-20,True,False,30
61,node7-2,node7-4,-20,True,False,30
62,node7-2,node7-4,-20,True,False,31
63,node7-2,node7-4,-20,True,False,29
64,node7-2,node7-4,-20,True,False,30
65,node7-2,node7-4,-20,True,False,30
66,node7-2,node7-4,-20,True,False,30
67,node7-2,node7-4,-20,True,False,30
68,node7-2,node7-4,-20,True,False,31
69,node7-2,node7-4,-20,True,False,29
70,node7-2,node7-4,-20,True,False,31
71,node7-2,node7-4,-20,True,False,30
72,node7-2,node7-4,-20,True,False,31
73,node7-2,node7-4,-20,True,False,30
74,node7-2,node7-4,-20,True,False,30
75,node7-2,node7-4,-20,True,False,30
76,node7-2,node7-4,-20,True,False,29
77,node7-2,node7-4,-20,True,False,29
78,node7-2,node7-4,-20,True,False,30
79,node7-2,node7-4,-20,True,False,30
80,node7-2,node7-4,-20,True,False,29
81,node7-2,node7-4,-20,True,False,31
82,node7-2,node7-4,-20,True,False,29
83,node7-2,node7-4,-20,True,False,31
84,node7-2,node7-4,-20,True,False,30
85,node7-2,node7-4,-20,True,False,30
86,node7-2,node7-4,-20,True,False,30
87,node7-2,node7-4,-20,True,False,30
88,node7-2,node7-4,-20,True,False,31
89,node7-2,node7-4,-20,True,False,30
90,node7-2,node7-4,-20,True,False,30
91,node7-2,node7-4,-20,True,False,29
92,node7-2,node7-4,-20,True,False,30
93,node7-2,node7-4,-20,True,False,30
94,node7-2,node7-4,-20,True,False,29
95,node7-2,node7-4,-20,True,False,31
96,node7-2,node7-4,-20,True,False,31
97,node7-2,node7-4,-20,True,False,31
