seq,src,dst,noise,received,error,rssi
1,node5-8,node7-4,-15,True,False,17
2,node5-8,node7-4,-15,True,False,15
3,node5-8,node7-4,-15,True,False,13
4,node5-8,node7-4,-15,True,False,14
5,node5-8,node7-4,-15,True,False,13
6,node5-8,node7-4,-15,True,False,13
7,node5-8,node7-4,-15,True,False,13
8,node5-8,node7-4,-15,True,False,14
9,node5-8,node7-4,-15,True,False,13
10,node5-8,node7-4,-15,True,False,13
11,node5-8,node7-4,-15,True,False,14
12,node5-8,node7-4,-15,True,False,12
13,node5-8,node7-4,-15,True,False,14
14,node5-8,node7-4,-15,True,False,14
15,node5-8,node7-4,-15,True,False,14
16,node5-8,node7-4,-15,True,False,14
17,node5-8,node7-4,-15,True,False,14
18,node5-8,node7-4,-15,True,False,14
19,node5-8,node7-4,-15,True,False,14
20,node5-8,node7-4,-15,True,False,14
21,node5-8,node7-4,-15,True,False,14
22,node5-8,node7-4,-15,True,False,14
23,node5-8,node7-4,-15,True,False,13
24,node5-8,node7-4,-15,True,False,14
25,node5-8,node7-4,-15,True,False,13
26,node5-8,node7-4,-15,True,False,14
27,node5-8,node7-4,-15,True,False,14
28,node5-8,node7-4,-15,True,False,15
29,node5-8,node7-4,-15,True,False,15
30,node5-8,node7-4,-15,True,False,14
31,node5-8,node7-4,-15,True,False,14
32,node5-8,node7-4,-15,True,False,13
33,node5-8,node7-4,-15,True,False,14
34,node5-8,node7-4,-15,True,False,15
35,node5-8,node7-4,-15,True,False,15
36,node5-8,node7-4,-15,True,False,14
37,node5-8,node7-4,-15,True,False,15
38,node5-8,node7-4,-15,True,False,14
39,node5-8,node7-4,-15,True,False,14
40,node5-8,node7-4,-15,True,False,14
41,node5-8,node7-4,-15,True,False,13
42,node5-8,node7-4,-15,True,False,13
43,node5-8,node7-4,-15,True,False,13
44,node5-8,node7-4,-15,True,False,14
45,node5-8,node7-4,-15,True,False,14
46,node5-8,node7-4,-15,True,False,14
47,node5-8,node7-4,-15,True,False,14
48,node5-8,node7-4,-15,True,False,14
49,node5-8,node7-4,-15,True,False,14
50,node5-8,node7-4,-15,True,False,14
51,node5-8,node7-4,-15,True,False,12
52,node5-8,node7-4,-15,True,False,14
53,node5-8,node7-4,-15,True,False,14
