seq,src,dst,noise,received,error,rssi
1,node3-2,node4-3,0,True,False,9
2,node3-2,node4-3,0,True,False,6
3,node3-2,node4-3,0,True,False,6
4,node3-2,node4-3,0,True,False,5
5,node3-2,node4-3,0,True,False,4
6,node3-2,node4-3,0,True,False,5
7,node3-2,node4-3,0,True,False,5
8,node3-2,node4-3,0,True,False,4
9,node3-2,node4-3,0,True,False,2
10,node3-2,node4-3,0,True,False,2
11,node3-2,node4-3,0,True,False,5
12,node3-2,node4-3,0,True,False,3
13,node3-2,node4-3,0,True,False,3
14,node3-2,node4-3,0,True,False,4
15,node3-2,node4-3,0,True,False,4
16,node3-2,node4-3,0,True,False,3
17,node3-2,node4-3,0,True,False,0
18,node3-2,node4-3,0,True,False,4
19,node3-2,node4-3,0,True,False,4
20,node3-2,node4-3,0,True,False,2
21,node3-2,node4-3,0,True,False,3
22,node3-2,node4-3,0,True,False,3
23,node3-2,node4-3,0,True,False,4
24,node3-2,node4-3,0,True,False,3
25,node3-2,node4-3,0,True,False,0
26,node3-2,node4-3,0,True,False,4
27,node3-2,node4-3,0,True,False,3
28,node3-2,node4-3,0,True,False,3
29,node3-2,node4-3,0,True,False,3
30,node3-2,node4-3,0,True,False,4
31,node3-2,node4-3,0,True,False,2
32,node3-2,node4-3,0,True,False,3
33,node3-2,node4-3,0,True,False,5
34,node3-2,node4-3,0,True,False,3
35,node3-2,node4-3,0,True,False,3
36,node3-2,node4-3,0,True,False,3
37,node3-2,node4-3,0,True,False,3
38,node3-2,node4-3,0,True,False,2
39,node3-2,node4-3,0,True,False,4
40,node3-2,node4-3,0,True,False,4
41,node3-2,node4-3,0,True,False,0
42,node3-2,node4-3,0,True,False,4
43,node3-2,node4-3,0,True,False,4
44,node3-2,node4-3,0,True,False,4
45,node3-2,node4-3,0,True,False,0
46,node3-2,node4-3,0,True,False,2
47,node3-2,node4-3,0,True,False,3
48,node3-2,node4-3,0,True,False,2
49,node3-2,node4-3,0,True,False,5
50,node3-2,node4-3,0,True,False,3
51,node3-2,node4-3,0,True,False,2
52,node3-2,node4-3,0,True,False,3
53,node3-2,node4-3,0,True,False,3
54,node3-2,node4-3,0,True,False,3
55,node3-2,node4-3,0,True,False,4
56,node3-2,node4-3,0,True,False,1
57,node3-2,node4-3,0,True,False,4
58,node3-2,node4-3,0,True,False,5
59,node3-2,node4-3,0,True,False,4
60,node3-2,node4-3,0,True,False,4
61,node3-2,node4-3,0,True,False,4
62,node3-2,node4-3,0,True,False,2
63,node3-2,node4-3,0,True,False,4
64,node3-2,node4-3,0,True,False,3
65,node3-2,node4-3,0,True,False,4
66,node3-2,node4-3,0,True,False,3
67,node3-2,node4-3,0,True,False,3
68,node3-2,node4-3,0,True,False,4
69,node3-2,node4-3,0,False,False,0
70,node3-2,node4-3,0,False,True,0
71,node3-2,node4-3,0,True,False,2
72,node3-2,node4-3,0,True,False,2
73,node3-2,node4-3,0,True,False,2
74,node3-2,node4-3,0,True,False,2
75,node3-2,node4-3,0,True,False,3
76,node3-2,node4-3,0,True,False,3
77,node3-2,node4-3,0,True,False,4
78,node3-2,node4-3,0,True,False,3
79,node3-2,node4-3,0,True,False,3
80,node3-2,node4-3,0,True,False,3
81,node3-2,node4-3,0,True,False,3
82,node3-2,node4-3,0,True,False,2
83,node3-2,node4-3,0,True,False,3
84,node3-2,node4-3,0,True,False,5
85,node3-2,node4-3,0,True,False,4
86,node3-2,node4-3,0,True,False,2
87,node3-2,node4-3,0,True,False,3
88,node3-2,node4-3,0,True,False,3
89,node3-2,node4-3,0,True,False,5
90,node3-2,node4-3,0,True,False,2
91,node3-2,node4-3,0,True,False,2
92,node3-2,node4-3,0,True,False,3
93,node3-2,node4-3,0,True,False,3
94,node3-2,node4-3,0,True,False,2
95,node3-2,node4-3,0,True,False,7
96,node3-2,node4-3,0,True,False,5
97,node3-2,node4-3,0,True,False,3
98,node3-2,node4-3,0,True,False,2
99,node3-2,node4-3,0,True,False,3
100,node3-2,node4-3,0,True,False,2
101,node3-2,node4-3,0,True,False,5
102,node3-2,node4-3,0,True,False,2
103,node3-2,node4-3,0,True,False,3
104,node3-2,node4-3,0,True,False,2
105,node3-2,node4-3,0,True,False,4
106,node3-2,node4-3,0,True,False,3
107,node3-2,node4-3,0,True,False,3
108,node3-2,node4-3,0,True,False,2
109,node3-2,node4-3,0,True,False,4
110,node3-2,node4-3,0,True,False,4
111,node3-2,node4-3,0,True,False,3
112,node3-2,node4-3,0,True,False,2
113,node3-2,node4-3,0,True,False,5
114,node3-2,node4-3,0,True,False,4
115,node3-2,node4-3,0,True,False,4
116,node3-2,node4-3,0,True,False,6
117,node3-2,node4-3,0,True,False,2
118,node3-2,node4-3,0,True,False,2
119,node3-2,node4-3,0,True,False,3
120,node3-2,node4-3,0,True,False,2
121,node3-2,node4-3,0,True,False,3
122,node3-2,node4-3,0,True,False,3
123,node3-2,node4-3,0,True,False,2
124,node3-2,node4-3,0,True,False,3
125,node3-2,node4-3,0,True,False,3
126,node3-2,node4-3,0,True,False,3
127,node3-2,node4-3,0,True,False,3
128,node3-2,node4-3,0,True,False,3
129,node3-2,node4-3,0,True,False,2
130,node3-2,node4-3,0,False,True,0
131,node3-2,node4-3,0,True,False,5
132,node3-2,node4-3,0,True,False,2
133,node3-2,node4-3,0,True,False,2
134,node3-2,node4-3,0,True,False,3
135,node3-2,node4-3,0,True,False,2
136,node3-2,node4-3,0,True,False,4
137,node3-2,node4-3,0,True,False,4
138,node3-2,node4-3,0,True,False,3
139,node3-2,node4-3,0,True,False,0
140,node3-2,node4-3,0,True,False,2
141,node3-2,node4-3,0,True,False,4
142,node3-2,node4-3,0,True,False,4
143,node3-2,node4-3,0,True,False,2
144,node3-2,node4-3,0,True,False,0
145,node3-2,node4-3,0,True,False,3
146,node3-2,node4-3,0,True,False,2
147,node3-2,node4-3,0,True,False,3
148,node3-2,node4-3,0,True,False,3
149,node3-2,node4-3,0,True,False,3
150,node3-2,node4-3,0,True,False,2
