seq,src,dst,noise,received,error,rssi
1,node4-1,node6-5,-10,True,False,15
2,node4-1,node6-5,-10,True,False,13
3,node4-1,node6-5,-10,True,False,8
4,node4-1,node6-5,-10,True,False,7
5,node4-1,node6-5,-10,True,False,8
6,node4-1,node6-5,-10,True,False,9
7,node4-1,node6-5,-10,True,False,8
8,node4-1,node6-5,-10,True,False,8
9,node4-1,node6-5,-10,True,False,9
10,node4-1,node6-5,-10,True,False,9
11,node4-1,node6-5,-10,True,False,8
12,node4-1,node6-5,-10,True,False,9
13,node4-1,node6-5,-10,True,False,8
14,node4-1,node6-5,-10,True,False,8
15,node4-1,node6-5,-10,True,False,8
16,node4-1,node6-5,-10,True,False,8
17,node4-1,node6-5,-10,True,False,7
18,node4-1,node6-5,-10,True,False,7
19,node4-1,node6-5,-10,True,False,7
20,node4-1,node6-5,-10,True,False,7
21,node4-1,node6-5,-10,True,False,8
22,node4-1,node6-5,-10,True,False,9
23,node4-1,node6-5,-10,True,False,8
24,node4-1,node6-5,-10,True,False,9
25,node4-1,node6-5,-10,True,False,8
26,node4-1,node6-5,-10,True,False,8
27,node4-1,node6-5,-10,True,False,8
28,node4-1,node6-5,-10,True,False,8
29,node4-1,node6-5,-10,True,False,7
30,node4-1,node6-5,-10,True,False,9
31,node4-1,node6-5,-10,True,False,8
32,node4-1,node6-5,-10,True,False,9
33,node4-1,node6-5,-10,True,False,8
34,node4-1,node6-5,-10,True,False,7
35,node4-1,node6-5,-10,True,False,9
36,node4-1,node6-5,-10,True,False,9
37,node4-1,node6-5,-10,True,False,8
38,node4-1,node6-5,-10,True,False,8
39,node4-1,node6-5,-10,True,False,9
40,node4-1,node6-5,-10,True,False,8
41,node4-1,node6-5,-10,True,False,7
42,node4-1,node6-5,-10,True,False,9
43,node4-1,node6-5,-10,True,False,10
44,node4-1,node6-5,-10,True,False,9
45,node4-1,node6-5,-10,True,False,9
46,node4-1,node6-5,-10,True,False,7
47,node4-1,node6-5,-10,True,False,8
48,node4-1,node6-5,-10,True,False,9
49,node4-1,node6-5,-10,True,False,8
50,node4-1,node6-5,-10,True,False,9
51,node4-1,node6-5,-10,True,False,9
52,node4-1,node6-5,-10,True,False,7
53,node4-1,node6-5,-10,True,False,8
54,node4-1,node6-5,-10,True,False,10
55,node4-1,node6-5,-10,True,False,9
56,node4-1,node6-5,-10,True,False,8
57,node4-1,node6-5,-10,True,False,8
58,node4-1,node6-5,-10,True,False,8
59,node4-1,node6-5,-10,True,False,8
60,node4-1,node6-5,-10,True,False,8
61,node4-1,node6-5,-10,True,False,9
62,node4-1,node6-5,-10,True,False,8
63,node4-1,node6-5,-10,True,False,8
64,node4-1,node6-5,-10,True,False,7
65,node4-1,node6-5,-10,True,False,8
66,node4-1,node6-5,-10,True,False,7
67,node4-1,node6-5,-10,True,False,9
68,node4-1,node6-5,-10,True,False,8
69,node4-1,node6-5,-10,True,False,8
70,node4-1,node6-5,-10,True,False,8
71,node4-1,node6-5,-10,True,False,8
72,node4-1,node6-5,-10,True,False,7
73,node4-1,node6-5,-10,True,False,9
74,node4-1,node6-5,-10,True,False,9
75,node4-1,node6-5,-10,True,False,6
76,node4-1,node6-5,-10,True,False,7
77,node4-1,node6-5,-10,True,False,7
78,node4-1,node6-5,-10,True,False,9
79,node4-1,node6-5,-10,True,False,8
80,node4-1,node6-5,-10,True,False,8
81,node4-1,node6-5,-10,True,False,7
82,node4-1,node6-5,-10,True,False,10
83,node4-1,node6-5,-10,True,False,9
84,node4-1,node6-5,-10,True,False,7
85,node4-1,node6-5,-10,True,False,8
86,node4-1,node6-5,-10,True,False,8
87,node4-1,node6-5,-10,True,False,8
88,node4-1,node6-5,-10,True,False,8
89,node4-1,node6-5,-10,True,False,8
90,node4-1,node6-5,-10,True,False,9
91,node4-1,node6-5,-10,True,False,7
92,node4-1,node6-5,-10,True,False,7
93,node4-1,node6-5,-10,True,False,9
94,node4-1,node6-5,-10,True,False,9
95,node4-1,node6-5,-10,True,False,8
96,node4-1,node6-5,-10,True,False,8
97,node4-1,node6-5,-10,True,False,8
98,node4-1,node6-5,-10,True,False,7
99,node4-1,node6-5,-10,True,False,7
100,node4-1,node6-5,-10,True,False,8
101,node4-1,node6-5,-10,True,False,8
102,node4-1,node6-5,-10,True,False,9
103,node4-1,node6-5,-10,True,False,8
104,node4-1,node6-5,-10,True,False,7
105,node4-1,node6-5,-10,True,False,8
106,node4-1,node6-5,-10,True,False,7
107,node4-1,node6-5,-10,True,False,7
108,node4-1,node6-5,-10,True,False,9
109,node4-1,node6-5,-10,True,False,8
110,node4-1,node6-5,-10,True,False,9
