seq,src,dst,noise,received,error,rssi
1,node2-1,node7-6,0,True,False,4
2,node2-1,node7-6,0,True,False,6
3,node2-1,node7-6,0,True,False,1
4,node2-1,node7-6,0,True,False,3
5,node2-1,node7-6,0,True,False,3
6,node2-1,node7-6,0,False,False,0
7,node2-1,node7-6,0,False,False,0
8,node2-1,node7-6,0,True,False,3
9,node2-1,node7-6,0,False,False,0
10,node2-1,node7-6,0,True,False,4
11,node2-1,node7-6,0,False,False,0
12,node2-1,node7-6,0,True,False,4
13,node2-1,node7-6,0,True,False,2
14,node2-1,node7-6,0,True,False,3
15,node2-1,node7-6,0,True,False,4
16,node2-1,node7-6,0,False,False,0
17,node2-1,node7-6,0,True,False,2
18,node2-1,node7-6,0,True,False,4
19,node2-1,node7-6,0,False,False,0
20,node2-1,node7-6,0,True,False,4
21,node2-1,node7-6,0,True,False,4
22,node2-1,node7-6,0,False,False,0
23,node2-1,node7-6,0,True,False,3
24,node2-1,node7-6,0,True,False,4
25,node2-1,node7-6,0,True,False,3
26,node2-1,node7-6,0,True,False,4
27,node2-1,node7-6,0,True,False,4
28,node2-1,node7-6,0,True,False,4
29,node2-1,node7-6,0,False,False,0
30,node2-1,node7-6,0,True,False,4
31,node2-1,node7-6,0,True,False,4
32,node2-1,node7-6,0,False,False,0
33,node2-1,node7-6,0,False,False,0
34,node2-1,node7-6,0,True,False,3
35,node2-1,node7-6,0,True,False,4
36,node2-1,node7-6,0,True,False,3
37,node2-1,node7-6,0,True,False,4
38,node2-1,node7-6,0,True,False,5
39,node2-1,node7-6,0,True,False,4
40,node2-1,node7-6,0,True,False,4
41,node2-1,node7-6,0,True,False,3
42,node2-1,node7-6,0,True,False,4
43,node2-1,node7-6,0,True,False,5
44,node2-1,node7-6,0,False,False,0
45,node2-1,node7-6,0,True,False,2
46,node2-1,node7-6,0,True,False,4
47,node2-1,node7-6,0,True,False,4
48,node2-1,node7-6,0,False,False,0
49,node2-1,node7-6,0,True,False,5
50,node2-1,node7-6,0,True,False,3
51,node2-1,node7-6,0,True,False,2
52,node2-1,node7-6,0,True,False,3
53,node2-1,node7-6,0,True,False,3
54,node2-1,node7-6,0,True,False,4
55,node2-1,node7-6,0,True,False,3
56,node2-1,node7-6,0,True,False,5
57,node2-1,node7-6,0,False,False,0
58,node2-1,node7-6,0,True,False,4
59,node2-1,node7-6,0,True,False,4
60,node2-1,node7-6,0,False,False,0
61,node2-1,node7-6,0,True,False,3
62,node2-1,node7-6,0,True,False,2
63,node2-1,node7-6,0,True,False,4
64,node2-1,node7-6,0,True,False,3
65,node2-1,node7-6,0,False,False,0
66,node2-1,node7-6,0,False,False,0
67,node2-1,node7-6,0,False,False,0
68,node2-1,node7-6,0,True,False,4
69,node2-1,node7-6,0,True,False,3
70,node2-1,node7-6,0,True,False,4
71,node2-1,node7-6,0,True,False,5
72,node2-1,node7-6,0,True,False,3
73,node2-1,node7-6,0,False,False,0
74,node2-1,node7-6,0,True,False,4
75,node2-1,node7-6,0,True,False,3
76,node2-1,node7-6,0,True,False,3
77,node2-1,node7-6,0,True,False,4
78,node2-1,node7-6,0,True,False,4
79,node2-1,node7-6,0,False,False,0
80,node2-1,node7-6,0,True,False,2
81,node2-1,node7-6,0,True,False,4
82,node2-1,node7-6,0,True,False,3
83,node2-1,node7-6,0,True,False,4
84,node2-1,node7-6,0,True,False,3
85,node2-1,node7-6,0,True,False,4
86,node2-1,node7-6,0,True,False,4
87,node2-1,node7-6,0,True,False,5
88,node2-1,node7-6,0,True,False,3
89,node2-1,node7-6,0,True,False,4
90,node2-1,node7-6,0,True,False,5
91,node2-1,node7-6,0,True,False,4
92,node2-1,node7-6,0,True,False,4
93,node2-1,node7-6,0,True,False,4
