seq,src,dst,noise,received,error,rssi
1,node5-4,node2-5,0,True,False,7
2,node5-4,node2-5,0,True,False,6
3,node5-4,node2-5,0,True,False,1
4,node5-4,node2-5,0,True,False,1
5,node5-4,node2-5,0,True,False,2
6,node5-4,node2-5,0,True,False,3
7,node5-4,node2-5,0,True,False,3
8,node5-4,node2-5,0,True,False,1
9,node5-4,node2-5,0,True,False,3
10,node5-4,node2-5,0,True,False,1
11,node5-4,node2-5,0,True,False,2
12,node5-4,node2-5,0,True,False,2
13,node5-4,node2-5,0,True,False,3
14,node5-4,node2-5,0,True,False,3
15,node5-4,node2-5,0,True,False,3
16,node5-4,node2-5,0,True,False,2
17,node5-4,node2-5,0,True,False,2
18,node5-4,node2-5,0,True,False,1
19,node5-4,node2-5,0,True,False,2
20,node5-4,node2-5,0,True,False,2
21,node5-4,node2-5,0,True,False,3
22,node5-4,node2-5,0,True,False,3
23,node5-4,node2-5,0,True,False,2
24,node5-4,node2-5,0,True,False,2
25,node5-4,node2-5,0,True,False,3
26,node5-4,node2-5,0,True,False,2
27,node5-4,node2-5,0,True,False,2
28,node5-4,node2-5,0,True,False,3
29,node5-4,node2-5,0,False,False,0
30,node5-4,node2-5,0,True,False,3
31,node5-4,node2-5,0,True,False,2
32,node5-4,node2-5,0,True,False,3
33,node5-4,node2-5,0,True,False,2
34,node5-4,node2-5,0,True,False,3
35,node5-4,node2-5,0,True,False,2
36,node5-4,node2-5,0,True,False,2
37,node5-4,node2-5,0,True,False,3
38,node5-4,node2-5,0,True,False,2
39,node5-4,node2-5,0,True,False,1
40,node5-4,node2-5,0,True,False,3
41,node5-4,node2-5,0,True,False,3
42,node5-4,node2-5,0,True,False,2
43,node5-4,node2-5,0,True,False,2
44,node5-4,node2-5,0,True,False,1
45,node5-4,node2-5,0,True,False,2
46,node5-4,node2-5,0,True,False,1
47,node5-4,node2-5,0,True,False,3
48,node5-4,node2-5,0,True,False,3
49,node5-4,node2-5,0,True,False,1
50,node5-4,node2-5,0,True,False,2
51,node5-4,node2-5,0,True,False,2
52,node5-4,node2-5,0,True,False,3
53,node5-4,node2-5,0,True,False,2
54,node5-4,node2-5,0,True,False,2
55,node5-4,node2-5,0,True,False,2
56,node5-4,node2-5,0,True,False,1
57,node5-4,node2-5,0,True,False,1
58,node5-4,node2-5,0,True,False,2
59,node5-4,node2-5,0,True,False,2
60,node5-4,node2-5,0,True,False,1
61,node5-4,node2-5,0,True,False,3
62,node5-4,node2-5,0,True,False,2
63,node5-4,node2-5,0,True,False,2
64,node5-4,node2-5,0,True,False,2
65,node5-4,node2-5,0,True,False,3
66,node5-4,node2-5,0,True,False,4
67,node5-4,node2-5,0,True,False,1
68,node5-4,node2-5,0,True,False,3
69,node5-4,node2-5,0,True,False,3
70,node5-4,node2-5,0,True,False,2
71,node5-4,node2-5,0,True,False,2
72,node5-4,node2-5,0,True,False,3
73,node5-4,node2-5,0,True,False,3
74,node5-4,node2-5,0,True,False,2
75,node5-4,node2-5,0,True,False,2
76,node5-4,node2-5,0,True,False,3
77,node5-4,node2-5,0,True,False,1
