seq,src,dst,noise,received,error,rssi
1,node1-2,node5-6,-15,True,False,11
2,node1-2,node5-6,-15,True,False,9
3,node1-2,node5-6,-15,True,False,5
4,node1-2,node5-6,-15,True,False,8
5,node1-2,node5-6,-15,True,False,6
6,node1-2,node5-6,-15,True,False,7
7,node1-2,node5-6,-15,True,False,6
8,node1-2,node5-6,-15,True,False,6
9,node1-2,node5-6,-15,True,False,6
10,node1-2,node5-6,-15,True,False,7
11,node1-2,node5-6,-15,True,False,8
12,node1-2,node5-6,-15,True,False,7
13,node1-2,node5-6,-15,True,False,6
14,node1-2,node5-6,-15,True,False,6
15,node1-2,node5-6,-15,True,False,7
16,node1-2,node5-6,-15,True,False,6
17,node1-2,node5-6,-15,True,False,8
18,node1-2,node5-6,-15,True,False,7
19,node1-2,node5-6,-15,True,False,9
20,node1-2,node5-6,-15,True,False,7
21,node1-2,node5-6,-15,True,False,8
22,node1-2,node5-6,-15,True,False,5
23,node1-2,node5-6,-15,True,False,6
24,node1-2,node5-6,-15,True,False,7
25,node1-2,node5-6,-15,True,False,6
26,node1-2,node5-6,-15,True,False,7
27,node1-2,node5-6,-15,True,False,5
28,node1-2,node5-6,-15,True,False,7
29,node1-2,node5-6,-15,True,False,8
30,node1-2,node5-6,-15,True,False,7
31,node1-2,node5-6,-15,True,False,7
32,node1-2,node5-6,-15,True,False,6
33,node1-2,node5-6,-15,True,False,8
34,node1-2,node5-6,-15,True,False,6
35,node1-2,node5-6,-15,True,False,8
36,node1-2,node5-6,-15,True,False,7
37,node1-2,node5-6,-15,True,False,6
38,node1-2,node5-6,-15,True,False,7
39,node1-2,node5-6,-15,True,False,7
40,node1-2,node5-6,-15,True,False,8
41,node1-2,node5-6,-15,True,False,6
42,node1-2,node5-6,-15,True,False,6
43,node1-2,node5-6,-15,True,False,8
44,node1-2,node5-6,-15,True,False,7
45,node1-2,node5-6,-15,True,False,6
46,node1-2,node5-6,-15,True,False,7
47,node1-2,node5-6,-15,True,False,5
48,node1-2,node5-6,-15,True,False,6
49,node1-2,node5-6,-15,True,False,7
50,node1-2,node5-6,-15,True,False,8
51,node1-2,node5-6,-15,True,False,7
