seq,src,dst,noise,received,error,rssi
1,node3-4,node8-5,-5,True,False,12
2,node3-4,node8-5,-5,True,False,11
3,node3-4,node8-5,-5,True,False,8
4,node3-4,node8-5,-5,True,False,7
5,node3-4,node8-5,-5,True,False,7
6,node3-4,node8-5,-5,True,False,7
7,node3-4,node8-5,-5,True,False,7
8,node3-4,node8-5,-5,True,False,7
9,node3-4,node8-5,-5,True,False,6
10,node3-4,node8-5,-5,True,False,7
11,node3-4,node8-5,-5,True,False,6
12,node3-4,node8-5,-5,True,False,7
13,node3-4,node8-5,-5,True,False,6
14,node3-4,node8-5,-5,True,False,7
15,node3-4,node8-5,-5,True,False,7
16,node3-4,node8-5,-5,True,False,7
17,node3-4,node8-5,-5,True,False,5
18,node3-4,node8-5,-5,True,False,7
19,node3-4,node8-5,-5,True,False,6
20,node3-4,node8-5,-5,True,False,6
21,node3-4,node8-5,-5,True,False,6
22,node3-4,node8-5,-5,True,False,7
23,node3-4,node8-5,-5,True,False,7
24,node3-4,node8-5,-5,True,False,5
25,node3-4,node8-5,-5,True,False,7
26,node3-4,node8-5,-5,True,False,6
27,node3-4,node8-5,-5,True,False,7
28,node3-4,node8-5,-5,True,False,6
29,node3-4,node8-5,-5,True,False,7
30,node3-4,node8-5,-5,True,False,7
31,node3-4,node8-5,-5,True,False,6
32,node3-4,node8-5,-5,True,False,7
33,node3-4,node8-5,-5,True,False,7
34,node3-4,node8-5,-5,True,False,7
35,node3-4,node8-5,-5,True,False,5
36,node3-4,node8-5,-5,True,False,7
37,node3-4,node8-5,-5,True,False,7
38,node3-4,node8-5,-5,True,False,6
39,node3-4,node8-5,-5,True,False,6
40,node3-4,node8-5,-5,True,False,8
41,node3-4,node8-5,-5,True,False,7
42,node3-4,node8-5,-5,True,False,7
43,node3-4,node8-5,-5,True,False,5
44,node3-4,node8-5,-5,True,False,6
45,node3-4,node8-5,-5,True,False,7
46,node3-4,node8-5,-5,True,False,6
47,node3-4,node8-5,-5,True,False,7
48,node3-4,node8-5,-5,True,False,6
49,node3-4,node8-5,-5,True,False,6
50,node3-4,node8-5,-5,True,False,7
51,node3-4,node8-5,-5,True,False,6
52,node3-4,node8-5,-5,True,False,6
53,node3-4,node8-5,-5,True,False,6
54,node3-4,node8-5,-5,True,False,6
55,node3-4,node8-5,-5,True,False,8
56,node3-4,node8-5,-5,True,False,6
57,node3-4,node8-5,-5,True,False,7
58,node3-4,node8-5,-5,True,False,6
59,node3-4,node8-5,-5,True,False,7
60,node3-4,node8-5,-5,True,False,8
61,node3-4,node8-5,-5,True,False,7
62,node3-4,node8-5,-5,True,False,6
63,node3-4,node8-5,-5,True,False,5
64,node3-4,node8-5,-5,True,False,7
65,node3-4,node8-5,-5,True,False,6
66,node3-4,node8-5,-5,True,False,6
67,node3-4,node8-5,-5,True,False,8
68,node3-4,node8-5,-5,True,False,7
69,node3-4,node8-5,-5,True,False,7
70,node3-4,node8-5,-5,True,False,6
71,node3-4,node8-5,-5,True,False,7
72,node3-4,node8-5,-5,True,False,7
73,node3-4,node8-5,-5,True,False,6
74,node3-4,node8-5,-5,True,False,8
75,node3-4,node8-5,-5,True,False,5
76,node3-4,node8-5,-5,True,False,7
77,node3-4,node8-5,-5,True,False,7
78,node3-4,node8-5,-5,True,False,6
79,node3-4,node8-5,-5,True,False,7
80,node3-4,node8-5,-5,True,False,6
81,node3-4,node8-5,-5,True,False,7
82,node3-4,node8-5,-5,True,False,7
83,node3-4,node8-5,-5,True,False,6
84,node3-4,node8-5,-5,True,False,7
85,node3-4,node8-5,-5,True,False,6
86,node3-4,node8-5,-5,True,False,6
87,node3-4,node8-5,-5,True,False,7
88,node3-4,node8-5,-5,True,False,7
89,node3-4,node8-5,-5,True,False,6
90,node3-4,node8-5,-5,True,False,6
91,node3-4,node8-5,-5,True,False,7
92,node3-4,node8-5,-5,True,False,7
93,node3-4,node8-5,-5,True,False,7
94,node3-4,node8-5,-5,True,False,6
95,node3-4,node8-5,-5,True,False,6
