seq,src,dst,noise,received,error,rssi
1,node1-4,node4-3,-10,True,False,10
2,node1-4,node4-3,-10,True,False,7
3,node1-4,node4-3,-10,True,False,7
4,node1-4,node4-3,-10,True,False,6
5,node1-4,node4-3,-10,True,False,8
6,node1-4,node4-3,-10,True,False,9
7,node1-4,node4-3,-10,True,False,7
8,node1-4,node4-3,-10,True,False,7
9,node1-4,node4-3,-10,True,False,8
10,node1-4,node4-3,-10,True,False,6
11,node1-4,node4-3,-10,True,False,8
12,node1-4,node4-3,-10,True,False,7
13,node1-4,node4-3,-10,True,False,6
14,node1-4,node4-3,-10,True,False,7
15,node1-4,node4-3,-10,True,False,6
16,node1-4,node4-3,-10,True,False,7
17,node1-4,node4-3,-10,True,False,8
18,node1-4,node4-3,-10,True,False,7
19,node1-4,node4-3,-10,True,False,6
20,node1-4,node4-3,-10,True,False,6
21,node1-4,node4-3,-10,True,False,7
22,node1-4,node4-3,-10,True,False,8
23,node1-4,node4-3,-10,True,False,8
24,node1-4,node4-3,-10,True,False,6
25,node1-4,node4-3,-10,True,False,7
26,node1-4,node4-3,-10,True,False,8
27,node1-4,node4-3,-10,True,False,8
28,node1-4,node4-3,-10,True,False,6
29,node1-4,node4-3,-10,True,False,7
30,node1-4,node4-3,-10,True,False,7
31,node1-4,node4-3,-10,True,False,6
32,node1-4,node4-3,-10,True,False,7
33,node1-4,node4-3,-10,True,False,7
34,node1-4,node4-3,-10,True,False,6
35,node1-4,node4-3,-10,True,False,4
36,node1-4,node4-3,-10,True,False,6
37,node1-4,node4-3,-10,True,False,6
38,node1-4,node4-3,-10,True,False,8
39,node1-4,node4-3,-10,True,False,8
40,node1-4,node4-3,-10,True,False,7
41,node1-4,node4-3,-10,True,False,7
42,node1-4,node4-3,-10,True,False,6
43,node1-4,node4-3,-10,True,False,8
44,node1-4,node4-3,-10,True,False,8
45,node1-4,node4-3,-10,True,False,6
46,node1-4,node4-3,-10,True,False,7
47,node1-4,node4-3,-10,True,False,5
48,node1-4,node4-3,-10,True,False,5
49,node1-4,node4-3,-10,True,False,6
50,node1-4,node4-3,-10,True,False,6
51,node1-4,node4-3,-10,True,False,8
52,node1-4,node4-3,-10,True,False,6
53,node1-4,node4-3,-10,True,False,4
54,node1-4,node4-3,-10,True,False,7
55,node1-4,node4-3,-10,True,False,7
56,node1-4,node4-3,-10,True,False,7
57,node1-4,node4-3,-10,True,False,9
58,node1-4,node4-3,-10,True,False,7
59,node1-4,node4-3,-10,True,False,6
60,node1-4,node4-3,-10,True,False,7
61,node1-4,node4-3,-10,True,False,7
62,node1-4,node4-3,-10,True,False,7
63,node1-4,node4-3,-10,True,False,9
64,node1-4,node4-3,-10,True,False,5
65,node1-4,node4-3,-10,True,False,7
66,node1-4,node4-3,-10,True,False,7
67,node1-4,node4-3,-10,True,False,5
68,node1-4,node4-3,-10,True,False,7
69,node1-4,node4-3,-10,True,False,6
70,node1-4,node4-3,-10,True,False,8
71,node1-4,node4-3,-10,True,False,7
72,node1-4,node4-3,-10,True,False,7
73,node1-4,node4-3,-10,True,False,8
74,node1-4,node4-3,-10,True,False,5
