seq,src,dst,noise,received,error,rssi
1,node5-2,node3-8,-15,True,False,11
2,node5-2,node3-8,-15,True,False,10
3,node5-2,node3-8,-15,True,False,7
4,node5-2,node3-8,-15,True,False,7
5,node5-2,node3-8,-15,True,False,8
6,node5-2,node3-8,-15,True,False,7
7,node5-2,node3-8,-15,True,False,6
8,node5-2,node3-8,-15,True,False,6
9,node5-2,node3-8,-15,True,False,8
10,node5-2,node3-8,-15,True,False,8
11,node5-2,node3-8,-15,True,False,7
12,node5-2,node3-8,-15,True,False,7
13,node5-2,node3-8,-15,True,False,6
14,node5-2,node3-8,-15,True,False,4
15,node5-2,node3-8,-15,True,False,7
16,node5-2,node3-8,-15,True,False,7
17,node5-2,node3-8,-15,True,False,6
18,node5-2,node3-8,-15,True,False,8
19,node5-2,node3-8,-15,True,False,8
20,node5-2,node3-8,-15,True,False,6
21,node5-2,node3-8,-15,True,False,7
22,node5-2,node3-8,-15,True,False,7
23,node5-2,node3-8,-15,True,False,7
24,node5-2,node3-8,-15,True,False,7
25,node5-2,node3-8,-15,True,False,7
26,node5-2,node3-8,-15,True,False,8
27,node5-2,node3-8,-15,True,False,5
28,node5-2,node3-8,-15,True,False,6
29,node5-2,node3-8,-15,True,False,7
30,node5-2,node3-8,-15,True,False,4
31,node5-2,node3-8,-15,True,False,6
32,node5-2,node3-8,-15,True,False,6
33,node5-2,node3-8,-15,True,False,6
34,node5-2,node3-8,-15,True,False,6
35,node5-2,node3-8,-15,True,False,8
36,node5-2,node3-8,-15,True,False,8
37,node5-2,node3-8,-15,True,False,7
38,node5-2,node3-8,-15,True,False,6
39,node5-2,node3-8,-15,True,False,8
40,node5-2,node3-8,-15,True,False,7
41,node5-2,node3-8,-15,True,False,7
42,node5-2,node3-8,-15,True,False,7
43,node5-2,node3-8,-15,True,False,7
44,node5-2,node3-8,-15,True,False,7
45,node5-2,node3-8,-15,True,False,8
46,node5-2,node3-8,-15,True,False,4
47,node5-2,node3-8,-15,True,False,8
48,node5-2,node3-8,-15,True,False,8
49,node5-2,node3-8,-15,True,False,8
50,node5-2,node3-8,-15,False,False,0
51,node5-2,node3-8,-15,True,False,7
52,node5-2,node3-8,-15,True,False,8
53,node5-2,node3-8,-15,True,False,6
54,node5-2,node3-8,-15,True,False,7
55,node5-2,node3-8,-15,True,False,7
56,node5-2,node3-8,-15,True,False,8
57,node5-2,node3-8,-15,True,False,8
58,node5-2,node3-8,-15,True,False,7
59,node5-2,node3-8,-15,True,False,7
60,node5-2,node3-8,-15,True,False,6
61,node5-2,node3-8,-15,True,False,8
62,node5-2,node3-8,-15,True,False,7
63,node5-2,node3-8,-15,True,False,6
64,node5-2,node3-8,-15,True,False,6
65,node5-2,node3-8,-15,True,False,6
66,node5-2,node3-8,-15,True,False,8
67,node5-2,node3-8,-15,True,False,6
68,node5-2,node3-8,-15,True,False,7
69,node5-2,node3-8,-15,True,False,7
70,node5-2,node3-8,-15,True,False,6
71,node5-2,node3-8,-15,True,False,6
72,node5-2,node3-8,-15,True,False,5
73,node5-2,node3-8,-15,True,False,8
74,node5-2,node3-8,-15,True,False,5
75,node5-2,node3-8,-15,True,False,7
76,node5-2,node3-8,-15,True,False,7
77,node5-2,node3-8,-15,True,False,8
78,node5-2,node3-8,-15,True,False,7
79,node5-2,node3-8,-15,True,False,5
80,node5-2,node3-8,-15,True,False,5
81,node5-2,node3-8,-15,True,False,5
82,node5-2,node3-8,-15,True,False,8
83,node5-2,node3-8,-15,True,False,8
84,node5-2,node3-8,-15,True,False,7
85,node5-2,node3-8,-15,True,False,6
86,node5-2,node3-8,-15,True,False,6
87,node5-2,node3-8,-15,True,False,7
88,node5-2,node3-8,-15,True,False,5
89,node5-2,node3-8,-15,True,False,6
90,node5-2,node3-8,-15,True,False,8
91,node5-2,node3-8,-15,True,False,6
92,node5-2,node3-8,-15,True,False,7
93,node5-2,node3-8,-15,True,False,7
94,node5-2,node3-8,-15,True,False,6
95,node5-2,node3-8,-15,True,False,5
96,node5-2,node3-8,-15,True,False,8
97,node5-2,node3-8,-15,True,False,9
98,node5-2,node3-8,-15,True,False,5
99,node5-2,node3-8,-15,True,False,7
100,node5-2,node3-8,-15,True,False,7
101,node5-2,node3-8,-15,True,False,7
102,node5-2,node3-8,-15,True,False,8
103,node5-2,node3-8,-15,True,False,6
104,node5-2,node3-8,-15,True,False,7
105,node5-2,node3-8,-15,True,False,6
106,node5-2,node3-8,-15,True,False,5
107,node5-2,node3-8,-15,True,False,7
108,node5-2,node3-8,-15,True,False,9
109,node5-2,node3-8,-15,True,False,7
110,node5-2,node3-8,-15,True,False,6
111,node5-2,node3-8,-15,True,False,5
112,node5-2,node3-8,-15,True,False,7
113,node5-2,node3-8,-15,True,False,7
114,node5-2,node3-8,-15,True,False,8
115,node5-2,node3-8,-15,True,False,6
116,node5-2,node3-8,-15,True,False,7
117,node5-2,node3-8,-15,True,False,8
118,node5-2,node3-8,-15,True,False,7
119,node5-2,node3-8,-15,True,False,6
120,node5-2,node3-8,-15,True,False,7
121,node5-2,node3-8,-15,True,False,6
122,node5-2,node3-8,-15,True,False,8
123,node5-2,node3-8,-15,True,False,7
124,node5-2,node3-8,-15,True,False,8
125,node5-2,node3-8,-15,True,False,8
126,node5-2,node3-8,-15,True,False,6
127,node5-2,node3-8,-15,True,False,7
128,node5-2,node3-8,-15,True,False,4
129,node5-2,node3-8,-15,True,False,6
130,node5-2,node3-8,-15,True,False,8
131,node5-2,node3-8,-15,True,False,5
132,node5-2,node3-8,-15,True,False,7
133,node5-2,node3-8,-15,True,False,7
134,node5-2,node3-8,-15,True,False,7
135,node5-2,node3-8,-15,True,False,8
136,node5-2,node3-8,-15,True,False,7
137,node5-2,node3-8,-15,True,False,6
138,node5-2,node3-8,-15,True,False,7
139,node5-2,node3-8,-15,True,False,7
140,node5-2,node3-8,-15,True,False,6
141,node5-2,node3-8,-15,True,False,8
142,node5-2,node3-8,-15,True,False,6
143,node5-2,node3-8,-15,True,False,8
144,node5-2,node3-8,-15,True,False,6
145,node5-2,node3-8,-15,True,False,9
146,node5-2,node3-8,-15,True,False,6
147,node5-2,node3-8,-15,True,False,6
148,node5-2,node3-8,-15,True,False,7
149,node5-2,node3-8,-15,True,False,8
150,node5-2,node3-8,-15,True,False,7
151,node5-2,node3-8,-15,True,False,7
152,node5-2,node3-8,-15,True,False,7
153,node5-2,node3-8,-15,True,False,6
154,node5-2,node3-8,-15,True,False,7
155,node5-2,node3-8,-15,True,False,6
156,node5-2,node3-8,-15,True,False,5
157,node5-2,node3-8,-15,True,False,7
158,node5-2,node3-8,-15,True,False,7
159,node5-2,node3-8,-15,True,False,6
160,node5-2,node3-8,-15,True,False,9
161,node5-2,node3-8,-15,True,False,6
162,node5-2,node3-8,-15,True,False,6
163,node5-2,node3-8,-15,True,False,7
164,node5-2,node3-8,-15,True,False,7
165,node5-2,node3-8,-15,True,False,7
166,node5-2,node3-8,-15,True,False,6
167,node5-2,node3-8,-15,True,False,5
168,node5-2,node3-8,-15,True,False,6
169,node5-2,node3-8,-15,True,False,5
170,node5-2,node3-8,-15,True,False,7
171,node5-2,node3-8,-15,True,False,5
172,node5-2,node3-8,-15,True,False,5
173,node5-2,node3-8,-15,True,False,7
174,node5-2,node3-8,-15,True,False,6
175,node5-2,node3-8,-15,True,False,7
176,node5-2,node3-8,-15,True,False,7
177,node5-2,node3-8,-15,True,False,6
178,node5-2,node3-8,-15,True,False,7
179,node5-2,node3-8,-15,True,False,6
180,node5-2,node3-8,-15,True,False,7
181,node5-2,node3-8,-15,True,False,6
182,node5-2,node3-8,-15,True,False,6
183,node5-2,node3-8,-15,True,False,6
184,node5-2,node3-8,-15,True,False,7
185,node5-2,node3-8,-15,True,False,7
186,node5-2,node3-8,-15,True,False,7
187,node5-2,node3-8,-15,True,False,8
188,node5-2,node3-8,-15,True,False,8
189,node5-2,node3-8,-15,True,False,7
190,node5-2,node3-8,-15,True,False,7
191,node5-2,node3-8,-15,True,False,6
192,node5-2,node3-8,-15,True,False,6
193,node5-2,node3-8,-15,True,False,8
194,node5-2,node3-8,-15,True,False,6
195,node5-2,node3-8,-15,True,False,6
196,node5-2,node3-8,-15,True,False,5
197,node5-2,node3-8,-15,True,False,6
198,node5-2,node3-8,-15,True,False,7
199,node5-2,node3-8,-15,True,False,7
200,node5-2,node3-8,-15,True,False,7
201,node5-2,node3-8,-15,True,False,9
202,node5-2,node3-8,-15,True,False,6
203,node5-2,node3-8,-15,True,False,7
204,node5-2,node3-8,-15,True,False,6
205,node5-2,node3-8,-15,True,False,7
206,node5-2,node3-8,-15,True,False,8
207,node5-2,node3-8,-15,True,False,8
208,node5-2,node3-8,-15,True,False,7
209,node5-2,node3-8,-15,True,False,6
210,node5-2,node3-8,-15,True,False,6
211,node5-2,node3-8,-15,True,False,5
212,node5-2,node3-8,-15,True,False,7
213,node5-2,node3-8,-15,True,False,7
214,node5-2,node3-8,-15,True,False,7
215,node5-2,node3-8,-15,True,False,6
216,node5-2,node3-8,-15,True,False,7
217,node5-2,node3-8,-15,True,False,5
218,node5-2,node3-8,-15,True,False,7
219,node5-2,node3-8,-15,True,False,7
220,node5-2,node3-8,-15,True,False,8
221,node5-2,node3-8,-15,True,False,6
222,node5-2,node3-8,-15,True,False,7
223,node5-2,node3-8,-15,True,False,7
