seq,src,dst,noise,received,error,rssi
1,node4-3,node5-4,-5,True,False,18
2,node4-3,node5-4,-5,True,False,16
3,node4-3,node5-4,-5,True,False,14
4,node4-3,node5-4,-5,True,False,10
5,node4-3,node5-4,-5,True,False,11
6,node4-3,node5-4,-5,True,False,11
7,node4-3,node5-4,-5,True,False,12
8,node4-3,node5-4,-5,True,False,10
9,node4-3,node5-4,-5,True,False,12
10,node4-3,node5-4,-5,True,False,11
11,node4-3,node5-4,-5,True,False,11
12,node4-3,node5-4,-5,True,False,11
13,node4-3,node5-4,-5,True,False,11
14,node4-3,node5-4,-5,True,False,12
15,node4-3,node5-4,-5,True,False,10
16,node4-3,node5-4,-5,True,False,11
17,node4-3,node5-4,-5,True,False,11
18,node4-3,node5-4,-5,True,False,11
19,node4-3,node5-4,-5,True,False,11
20,node4-3,node5-4,-5,True,False,11
21,node4-3,node5-4,-5,True,False,12
22,node4-3,node5-4,-5,True,False,10
23,node4-3,node5-4,-5,True,False,12
24,node4-3,node5-4,-5,True,False,11
25,node4-3,node5-4,-5,True,False,11
26,node4-3,node5-4,-5,True,False,11
27,node4-3,node5-4,-5,True,False,12
28,node4-3,node5-4,-5,True,False,10
29,node4-3,node5-4,-5,True,False,11
30,node4-3,node5-4,-5,True,False,12
31,node4-3,node5-4,-5,True,False,12
32,node4-3,node5-4,-5,True,False,10
33,node4-3,node5-4,-5,True,False,11
34,node4-3,node5-4,-5,True,False,11
35,node4-3,node5-4,-5,True,False,12
36,node4-3,node5-4,-5,True,False,11
37,node4-3,node5-4,-5,True,False,12
38,node4-3,node5-4,-5,True,False,13
39,node4-3,node5-4,-5,True,False,11
40,node4-3,node5-4,-5,True,False,11
41,node4-3,node5-4,-5,True,False,10
42,node4-3,node5-4,-5,True,False,10
43,node4-3,node5-4,-5,True,False,12
44,node4-3,node5-4,-5,True,False,11
45,node4-3,node5-4,-5,True,False,13
46,node4-3,node5-4,-5,True,False,12
47,node4-3,node5-4,-5,True,False,11
48,node4-3,node5-4,-5,True,False,10
49,node4-3,node5-4,-5,True,False,12
50,node4-3,node5-4,-5,True,False,12
51,node4-3,node5-4,-5,True,False,10
52,node4-3,node5-4,-5,True,False,12
53,node4-3,node5-4,-5,True,False,10
54,node4-3,node5-4,-5,True,False,10
55,node4-3,node5-4,-5,True,False,10
56,node4-3,node5-4,-5,True,False,10
57,node4-3,node5-4,-5,True,False,10
58,node4-3,node5-4,-5,True,False,11
59,node4-3,node5-4,-5,True,False,11
60,node4-3,node5-4,-5,True,False,11
61,node4-3,node5-4,-5,True,False,12
62,node4-3,node5-4,-5,True,False,11
63,node4-3,node5-4,-5,True,False,11
64,node4-3,node5-4,-5,True,False,12
65,node4-3,node5-4,-5,True,False,11
66,node4-3,node5-4,-5,True,False,12
67,node4-3,node5-4,-5,True,False,11
68,node4-3,node5-4,-5,True,False,11
69,node4-3,node5-4,-5,True,False,11
70,node4-3,node5-4,-5,True,False,12
71,node4-3,node5-4,-5,True,False,11
72,node4-3,node5-4,-5,True,False,10
73,node4-3,node5-4,-5,True,False,11
74,node4-3,node5-4,-5,True,False,11
75,node4-3,node5-4,-5,True,False,11
76,node4-3,node5-4,-5,True,False,11
77,node4-3,node5-4,-5,True,False,10
78,node4-3,node5-4,-5,True,False,11
79,node4-3,node5-4,-5,True,False,11
80,node4-3,node5-4,-5,True,False,10
81,node4-3,node5-4,-5,True,False,10
82,node4-3,node5-4,-5,True,False,11
83,node4-3,node5-4,-5,True,False,10
84,node4-3,node5-4,-5,True,False,10
85,node4-3,node5-4,-5,True,False,11
86,node4-3,node5-4,-5,True,False,12
87,node4-3,node5-4,-5,True,False,11
88,node4-3,node5-4,-5,True,False,11
89,node4-3,node5-4,-5,True,False,10
90,node4-3,node5-4,-5,True,False,12
91,node4-3,node5-4,-5,True,False,10
92,node4-3,node5-4,-5,True,False,11
93,node4-3,node5-4,-5,True,False,12
94,node4-3,node5-4,-5,True,False,11
95,node4-3,node5-4,-5,True,False,11
96,node4-3,node5-4,-5,True,False,11
97,node4-3,node5-4,-5,True,False,11
98,node4-3,node5-4,-5,True,False,10
99,node4-3,node5-4,-5,True,False,10
100,node4-3,node5-4,-5,True,False,10
101,node4-3,node5-4,-5,True,False,11
102,node4-3,node5-4,-5,True,False,11
103,node4-3,node5-4,-5,True,False,11
104,node4-3,node5-4,-5,True,False,10
105,node4-3,node5-4,-5,True,False,11
106,node4-3,node5-4,-5,True,False,12
107,node4-3,node5-4,-5,True,False,10
108,node4-3,node5-4,-5,True,False,11
109,node4-3,node5-4,-5,True,False,11
110,node4-3,node5-4,-5,True,False,9
111,node4-3,node5-4,-5,True,False,12
112,node4-3,node5-4,-5,True,False,12
113,node4-3,node5-4,-5,True,False,11
114,node4-3,node5-4,-5,True,False,11
115,node4-3,node5-4,-5,True,False,12
116,node4-3,node5-4,-5,True,False,11
117,node4-3,node5-4,-5,True,False,12
118,node4-3,node5-4,-5,True,False,11
119,node4-3,node5-4,-5,True,False,11
