seq,src,dst,noise,received,error,rssi
1,node6-5,node3-2,-5,True,False,10
2,node6-5,node3-2,-5,True,False,10
3,node6-5,node3-2,-5,True,False,8
4,node6-5,node3-2,-5,True,False,5
5,node6-5,node3-2,-5,True,False,6
6,node6-5,node3-2,-5,True,False,5
7,node6-5,node3-2,-5,True,False,8
8,node6-5,node3-2,-5,True,False,6
9,node6-5,node3-2,-5,True,False,7
10,node6-5,node3-2,-5,True,False,5
11,node6-5,node3-2,-5,True,False,7
12,node6-5,node3-2,-5,True,False,4
13,node6-5,node3-2,-5,True,False,7
14,node6-5,node3-2,-5,True,False,6
15,node6-5,node3-2,-5,True,False,6
16,node6-5,node3-2,-5,True,False,5
17,node6-5,node3-2,-5,True,False,5
18,node6-5,node3-2,-5,True,False,6
19,node6-5,node3-2,-5,True,False,4
20,node6-5,node3-2,-5,True,False,5
21,node6-5,node3-2,-5,True,False,7
22,node6-5,node3-2,-5,True,False,6
23,node6-5,node3-2,-5,True,False,6
24,node6-5,node3-2,-5,True,False,6
25,node6-5,node3-2,-5,True,False,5
26,node6-5,node3-2,-5,True,False,6
27,node6-5,node3-2,-5,True,False,6
28,node6-5,node3-2,-5,True,False,6
29,node6-5,node3-2,-5,True,False,6
30,node6-5,node3-2,-5,True,False,5
31,node6-5,node3-2,-5,True,False,4
32,node6-5,node3-2,-5,True,False,8
33,node6-5,node3-2,-5,True,False,7
34,node6-5,node3-2,-5,True,False,6
35,node6-5,node3-2,-5,True,False,6
36,node6-5,node3-2,-5,True,False,7
37,node6-5,node3-2,-5,True,False,5
38,node6-5,node3-2,-5,True,False,8
39,node6-5,node3-2,-5,True,False,6
40,node6-5,node3-2,-5,True,False,8
41,node6-5,node3-2,-5,True,False,6
42,node6-5,node3-2,-5,True,False,6
43,node6-5,node3-2,-5,True,False,7
44,node6-5,node3-2,-5,True,False,6
45,node6-5,node3-2,-5,True,False,5
46,node6-5,node3-2,-5,True,False,6
47,node6-5,node3-2,-5,True,False,7
48,node6-5,node3-2,-5,True,False,7
49,node6-5,node3-2,-5,True,False,6
50,node6-5,node3-2,-5,True,False,5
51,node6-5,node3-2,-5,True,False,6
52,node6-5,node3-2,-5,True,False,4
53,node6-5,node3-2,-5,True,False,7
54,node6-5,node3-2,-5,True,False,6
55,node6-5,node3-2,-5,True,False,5
56,node6-5,node3-2,-5,True,False,4
57,node6-5,node3-2,-5,True,False,6
58,node6-5,node3-2,-5,True,False,6
59,node6-5,node3-2,-5,True,False,4
60,node6-5,node3-2,-5,True,False,6
61,node6-5,node3-2,-5,True,False,5
62,node6-5,node3-2,-5,True,False,7
63,node6-5,node3-2,-5,True,False,5
64,node6-5,node3-2,-5,True,False,8
65,node6-5,node3-2,-5,True,False,4
66,node6-5,node3-2,-5,True,False,4
67,node6-5,node3-2,-5,True,False,7
68,node6-5,node3-2,-5,True,False,8
69,node6-5,node3-2,-5,True,False,6
70,node6-5,node3-2,-5,True,False,6
71,node6-5,node3-2,-5,True,False,5
72,node6-5,node3-2,-5,True,False,7
73,node6-5,node3-2,-5,True,False,8
74,node6-5,node3-2,-5,True,False,7
75,node6-5,node3-2,-5,True,False,5
76,node6-5,node3-2,-5,True,False,6
77,node6-5,node3-2,-5,True,False,6
78,node6-5,node3-2,-5,True,False,4
79,node6-5,node3-2,-5,True,False,6
80,node6-5,node3-2,-5,True,False,7
81,node6-5,node3-2,-5,True,False,8
82,node6-5,node3-2,-5,True,False,6
83,node6-5,node3-2,-5,True,False,9
84,node6-5,node3-2,-5,True,False,6
85,node6-5,node3-2,-5,True,False,7
86,node6-5,node3-2,-5,True,False,6
87,node6-5,node3-2,-5,True,False,5
88,node6-5,node3-2,-5,True,False,7
89,node6-5,node3-2,-5,True,False,6
90,node6-5,node3-2,-5,True,False,7
91,node6-5,node3-2,-5,True,False,7
92,node6-5,node3-2,-5,True,False,8
93,node6-5,node3-2,-5,True,False,5
94,node6-5,node3-2,-5,True,False,5
95,node6-5,node3-2,-5,True,False,3
96,node6-5,node3-2,-5,True,False,8
97,node6-5,node3-2,-5,True,False,6
98,node6-5,node3-2,-5,True,False,5
99,node6-5,node3-2,-5,True,False,6
100,node6-5,node3-2,-5,True,False,6
101,node6-5,node3-2,-5,True,False,6
102,node6-5,node3-2,-5,True,False,7
103,node6-5,node3-2,-5,True,False,7
104,node6-5,node3-2,-5,True,False,5
105,node6-5,node3-2,-5,True,False,8
106,node6-5,node3-2,-5,True,False,7
107,node6-5,node3-2,-5,True,False,4
108,node6-5,node3-2,-5,True,False,7
109,node6-5,node3-2,-5,True,False,6
110,node6-5,node3-2,-5,True,False,7
111,node6-5,node3-2,-5,True,False,7
112,node6-5,node3-2,-5,True,False,6
113,node6-5,node3-2,-5,True,False,6
114,node6-5,node3-2,-5,True,False,5
115,node6-5,node3-2,-5,True,False,6
116,node6-5,node3-2,-5,True,False,7
117,node6-5,node3-2,-5,True,False,8
118,node6-5,node3-2,-5,True,False,6
119,node6-5,node3-2,-5,True,False,7
120,node6-5,node3-2,-5,True,False,5
121,node6-5,node3-2,-5,True,False,6
122,node6-5,node3-2,-5,True,False,6
123,node6-5,node3-2,-5,True,False,8
124,node6-5,node3-2,-5,True,False,6
125,node6-5,node3-2,-5,True,False,7
126,node6-5,node3-2,-5,True,False,8
127,node6-5,node3-2,-5,True,False,7
128,node6-5,node3-2,-5,True,False,5
129,node6-5,node3-2,-5,True,False,7
130,node6-5,node3-2,-5,True,False,5
131,node6-5,node3-2,-5,True,False,7
132,node6-5,node3-2,-5,True,False,6
133,node6-5,node3-2,-5,True,False,6
134,node6-5,node3-2,-5,True,False,6
135,node6-5,node3-2,-5,True,False,9
136,node6-5,node3-2,-5,True,False,5
137,node6-5,node3-2,-5,True,False,6
138,node6-5,node3-2,-5,True,False,7
139,node6-5,node3-2,-5,True,False,5
140,node6-5,node3-2,-5,True,False,5
141,node6-5,node3-2,-5,True,False,7
142,node6-5,node3-2,-5,True,False,7
143,node6-5,node3-2,-5,True,False,6
144,node6-5,node3-2,-5,True,False,6
145,node6-5,node3-2,-5,True,False,4
146,node6-5,node3-2,-5,True,False,7
147,node6-5,node3-2,-5,True,False,6
148,node6-5,node3-2,-5,True,False,5
149,node6-5,node3-2,-5,True,False,6
150,node6-5,node3-2,-5,True,False,7
151,node6-5,node3-2,-5,True,False,6
152,node6-5,node3-2,-5,True,False,8
153,node6-5,node3-2,-5,True,False,5
154,node6-5,node3-2,-5,True,False,5
155,node6-5,node3-2,-5,True,False,4
156,node6-5,node3-2,-5,True,False,6
157,node6-5,node3-2,-5,True,False,5
158,node6-5,node3-2,-5,True,False,8
159,node6-5,node3-2,-5,True,False,5
160,node6-5,node3-2,-5,True,False,7
161,node6-5,node3-2,-5,True,False,6
162,node6-5,node3-2,-5,True,False,5
163,node6-5,node3-2,-5,True,False,4
164,node6-5,node3-2,-5,True,False,8
