seq,src,dst,noise,received,error,rssi
1,node8-7,node3-4,-20,True,False,28
2,node8-7,node3-4,-20,True,False,26
3,node8-7,node3-4,-20,True,False,24
4,node8-7,node3-4,-20,True,False,23
5,node8-7,node3-4,-20,True,False,24
6,node8-7,node3-4,-20,True,False,21
7,node8-7,node3-4,-20,True,False,23
8,node8-7,node3-4,-20,True,False,22
9,node8-7,node3-4,-20,True,False,23
10,node8-7,node3-4,-20,True,False,24
11,node8-7,node3-4,-20,True,False,22
12,node8-7,node3-4,-20,True,False,22
13,node8-7,node3-4,-20,True,False,23
14,node8-7,node3-4,-20,True,False,23
15,node8-7,node3-4,-20,True,False,23
16,node8-7,node3-4,-20,True,False,23
17,node8-7,node3-4,-20,True,False,21
18,node8-7,node3-4,-20,True,False,23
19,node8-7,node3-4,-20,True,False,22
20,node8-7,node3-4,-20,True,False,23
21,node8-7,node3-4,-20,True,False,22
22,node8-7,node3-4,-20,True,False,22
23,node8-7,node3-4,-20,True,False,22
24,node8-7,node3-4,-20,True,False,23
25,node8-7,node3-4,-20,True,False,22
26,node8-7,node3-4,-20,True,False,22
27,node8-7,node3-4,-20,True,False,23
28,node8-7,node3-4,-20,True,False,22
29,node8-7,node3-4,-20,True,False,23
30,node8-7,node3-4,-20,True,False,22
31,node8-7,node3-4,-20,True,False,23
32,node8-7,node3-4,-20,True,False,23
33,node8-7,node3-4,-20,True,False,23
34,node8-7,node3-4,-20,True,False,22
35,node8-7,node3-4,-20,True,False,23
36,node8-7,node3-4,-20,True,False,23
37,node8-7,node3-4,-20,True,False,23
38,node8-7,node3-4,-20,True,False,22
39,node8-7,node3-4,-20,True,False,23
40,node8-7,node3-4,-20,True,False,23
41,node8-7,node3-4,-20,True,False,23
42,node8-7,node3-4,-20,True,False,23
43,node8-7,node3-4,-20,True,False,23
44,node8-7,node3-4,-20,True,False,22
45,node8-7,node3-4,-20,True,False,23
46,node8-7,node3-4,-20,True,False,23
47,node8-7,node3-4,-20,True,False,22
48,node8-7,node3-4,-20,True,False,23
49,node8-7,node3-4,-20,True,False,23
50,node8-7,node3-4,-20,True,False,23
51,node8-7,node3-4,-20,True,False,22
52,node8-7,node3-4,-20,True,False,23
53,node8-7,node3-4,-20,True,False,22
54,node8-7,node3-4,-20,True,False,21
55,node8-7,node3-4,-20,True,False,21
56,node8-7,node3-4,-20,True,False,23
57,node8-7,node3-4,-20,True,False,22
58,node8-7,node3-4,-20,True,False,23
59,node8-7,node3-4,-20,True,False,23
60,node8-7,node3-4,-20,True,False,23
61,node8-7,node3-4,-20,True,False,23
62,node8-7,node3-4,-20,True,False,23
63,node8-7,node3-4,-20,True,False,23
64,node8-7,node3-4,-20,True,False,23
65,node8-7,node3-4,-20,True,False,23
66,node8-7,node3-4,-20,True,False,22
67,node8-7,node3-4,-20,True,False,23
68,node8-7,node3-4,-20,True,False,23
69,node8-7,node3-4,-20,True,False,22
70,node8-7,node3-4,-20,True,False,23
71,node8-7,node3-4,-20,True,False,22
72,node8-7,node3-4,-20,True,False,22
73,node8-7,node3-4,-20,True,False,22
74,node8-7,node3-4,-20,True,False,22
75,node8-7,node3-4,-20,True,False,22
