seq,src,dst,noise,received,error,rssi
1,node4-3,node5-4,0,True,False,14
2,node4-3,node5-4,0,True,False,12
3,node4-3,node5-4,0,True,False,9
4,node4-3,node5-4,0,True,False,5
5,node4-3,node5-4,0,True,False,7
6,node4-3,node5-4,0,True,False,8
7,node4-3,node5-4,0,True,False,5
8,node4-3,node5-4,0,True,False,6
9,node4-3,node5-4,0,True,False,7
10,node4-3,node5-4,0,True,False,6
11,node4-3,node5-4,0,True,False,7
12,node4-3,node5-4,0,True,False,7
13,node4-3,node5-4,0,True,False,6
14,node4-3,node5-4,0,True,False,7
15,node4-3,node5-4,0,True,False,6
16,node4-3,node5-4,0,True,False,7
17,node4-3,node5-4,0,True,False,6
18,node4-3,node5-4,0,True,False,6
19,node4-3,node5-4,0,True,False,7
20,node4-3,node5-4,0,True,False,7
21,node4-3,node5-4,0,True,False,8
22,node4-3,node5-4,0,True,False,7
23,node4-3,node5-4,0,True,False,7
24,node4-3,node5-4,0,True,False,6
25,node4-3,node5-4,0,True,False,6
26,node4-3,node5-4,0,True,False,6
27,node4-3,node5-4,0,True,False,7
28,node4-3,node5-4,0,True,False,7
29,node4-3,node5-4,0,True,False,6
30,node4-3,node5-4,0,True,False,5
31,node4-3,node5-4,0,True,False,7
32,node4-3,node5-4,0,True,False,6
33,node4-3,node5-4,0,True,False,5
34,node4-3,node5-4,0,True,False,7
35,node4-3,node5-4,0,True,False,6
36,node4-3,node5-4,0,True,False,7
37,node4-3,node5-4,0,True,False,6
38,node4-3,node5-4,0,True,False,7
39,node4-3,node5-4,0,True,False,6
40,node4-3,node5-4,0,True,False,6
41,node4-3,node5-4,0,True,False,5
42,node4-3,node5-4,0,True,False,7
43,node4-3,node5-4,0,True,False,5
44,node4-3,node5-4,0,True,False,5
45,node4-3,node5-4,0,True,False,6
46,node4-3,node5-4,0,True,False,5
47,node4-3,node5-4,0,True,False,7
48,node4-3,node5-4,0,True,False,8
49,node4-3,node5-4,0,True,False,6
50,node4-3,node5-4,0,True,False,7
51,node4-3,node5-4,0,True,False,6
52,node4-3,node5-4,0,True,False,6
53,node4-3,node5-4,0,True,False,7
54,node4-3,node5-4,0,True,False,6
55,node4-3,node5-4,0,True,False,7
56,node4-3,node5-4,0,True,False,8
57,node4-3,node5-4,0,True,False,6
58,node4-3,node5-4,0,True,False,6
59,node4-3,node5-4,0,True,False,6
60,node4-3,node5-4,0,True,False,6
61,node4-3,node5-4,0,True,False,8
62,node4-3,node5-4,0,True,False,5
63,node4-3,node5-4,0,True,False,7
64,node4-3,node5-4,0,True,False,7
65,node4-3,node5-4,0,True,False,6
66,node4-3,node5-4,0,True,False,4
67,node4-3,node5-4,0,True,False,6
68,node4-3,node5-4,0,True,False,7
69,node4-3,node5-4,0,True,False,8
70,node4-3,node5-4,0,True,False,7
71,node4-3,node5-4,0,True,False,7
72,node4-3,node5-4,0,True,False,7
73,node4-3,node5-4,0,True,False,7
74,node4-3,node5-4,0,True,False,7
75,node4-3,node5-4,0,True,False,6
76,node4-3,node5-4,0,True,False,8
77,node4-3,node5-4,0,True,False,5
78,node4-3,node5-4,0,True,False,6
79,node4-3,node5-4,0,True,False,6
80,node4-3,node5-4,0,True,False,5
81,node4-3,node5-4,0,True,False,5
82,node4-3,node5-4,0,True,False,6
83,node4-3,node5-4,0,True,False,8
84,node4-3,node5-4,0,True,False,6
85,node4-3,node5-4,0,True,False,8
86,node4-3,node5-4,0,True,False,7
87,node4-3,node5-4,0,True,False,7
88,node4-3,node5-4,0,True,False,7
89,node4-3,node5-4,0,True,False,7
90,node4-3,node5-4,0,True,False,4
91,node4-3,node5-4,0,True,False,6
92,node4-3,node5-4,0,True,False,8
93,node4-3,node5-4,0,True,False,7
94,node4-3,node5-4,0,True,False,6
95,node4-3,node5-4,0,True,False,7
96,node4-3,node5-4,0,True,False,7
97,node4-3,node5-4,0,True,False,6
98,node4-3,node5-4,0,True,False,7
99,node4-3,node5-4,0,True,False,7
100,node4-3,node5-4,0,True,False,7
101,node4-3,node5-4,0,True,False,6
102,node4-3,node5-4,0,True,False,7
103,node4-3,node5-4,0,True,False,6
104,node4-3,node5-4,0,True,False,6
105,node4-3,node5-4,0,True,False,5
106,node4-3,node5-4,0,True,False,6
107,node4-3,node5-4,0,True,False,5
108,node4-3,node5-4,0,True,False,6
109,node4-3,node5-4,0,True,False,6
110,node4-3,node5-4,0,True,False,8
111,node4-3,node5-4,0,True,False,7
112,node4-3,node5-4,0,True,False,6
113,node4-3,node5-4,0,True,False,7
114,node4-3,node5-4,0,True,False,7
115,node4-3,node5-4,0,True,False,6
116,node4-3,node5-4,0,True,False,6
117,node4-3,node5-4,0,True,False,6
118,node4-3,node5-4,0,True,False,7
119,node4-3,node5-4,0,True,False,7
120,node4-3,node5-4,0,True,False,7
121,node4-3,node5-4,0,True,False,5
122,node4-3,node5-4,0,True,False,5
123,node4-3,node5-4,0,True,False,8
124,node4-3,node5-4,0,True,False,7
125,node4-3,node5-4,0,True,False,7
126,node4-3,node5-4,0,True,False,8
127,node4-3,node5-4,0,True,False,6
128,node4-3,node5-4,0,True,False,7
129,node4-3,node5-4,0,True,False,7
130,node4-3,node5-4,0,True,False,7
131,node4-3,node5-4,0,True,False,6
132,node4-3,node5-4,0,True,False,6
133,node4-3,node5-4,0,True,False,6
134,node4-3,node5-4,0,True,False,7
135,node4-3,node5-4,0,True,False,6
136,node4-3,node5-4,0,True,False,5
137,node4-3,node5-4,0,True,False,6
138,node4-3,node5-4,0,True,False,7
139,node4-3,node5-4,0,True,False,6
140,node4-3,node5-4,0,True,False,9
141,node4-3,node5-4,0,True,False,5
142,node4-3,node5-4,0,True,False,5
143,node4-3,node5-4,0,True,False,7
144,node4-3,node5-4,0,True,False,8
145,node4-3,node5-4,0,True,False,7
146,node4-3,node5-4,0,True,False,8
147,node4-3,node5-4,0,True,False,7
148,node4-3,node5-4,0,True,False,6
149,node4-3,node5-4,0,True,False,7
150,node4-3,node5-4,0,True,False,8
151,node4-3,node5-4,0,True,False,6
152,node4-3,node5-4,0,True,False,6
153,node4-3,node5-4,0,True,False,8
154,node4-3,node5-4,0,True,False,6
155,node4-3,node5-4,0,True,False,6
156,node4-3,node5-4,0,True,False,6
157,node4-3,node5-4,0,True,False,8
158,node4-3,node5-4,0,True,False,5
159,node4-3,node5-4,0,True,False,7
160,node4-3,node5-4,0,True,False,8
161,node4-3,node5-4,0,True,False,7
162,node4-3,node5-4,0,True,False,6
163,node4-3,node5-4,0,True,False,6
164,node4-3,node5-4,0,True,False,5
165,node4-3,node5-4,0,True,False,5
166,node4-3,node5-4,0,True,False,7
167,node4-3,node5-4,0,True,False,8
168,node4-3,node5-4,0,True,False,7
169,node4-3,node5-4,0,True,False,7
170,node4-3,node5-4,0,True,False,5
171,node4-3,node5-4,0,True,False,7
172,node4-3,node5-4,0,True,False,6
173,node4-3,node5-4,0,True,False,7
174,node4-3,node5-4,0,True,False,7
175,node4-3,node5-4,0,True,False,6
176,node4-3,node5-4,0,True,False,7
177,node4-3,node5-4,0,True,False,6
178,node4-3,node5-4,0,True,False,6
179,node4-3,node5-4,0,True,False,7
180,node4-3,node5-4,0,True,False,7
181,node4-3,node5-4,0,True,False,7
182,node4-3,node5-4,0,True,False,7
183,node4-3,node5-4,0,True,False,6
184,node4-3,node5-4,0,True,False,6
185,node4-3,node5-4,0,True,False,6
186,node4-3,node5-4,0,True,False,7
187,node4-3,node5-4,0,True,False,7
188,node4-3,node5-4,0,True,False,7
189,node4-3,node5-4,0,True,False,5
190,node4-3,node5-4,0,True,False,6
191,node4-3,node5-4,0,True,False,7
192,node4-3,node5-4,0,True,False,7
193,node4-3,node5-4,0,True,False,6
194,node4-3,node5-4,0,True,False,7
195,node4-3,node5-4,0,True,False,7
196,node4-3,node5-4,0,True,False,6
197,node4-3,node5-4,0,True,False,5
198,node4-3,node5-4,0,True,False,8
199,node4-3,node5-4,0,True,False,7
200,node4-3,node5-4,0,True,False,7
201,node4-3,node5-4,0,True,False,7
202,node4-3,node5-4,0,True,False,5
203,node4-3,node5-4,0,True,False,6
204,node4-3,node5-4,0,True,False,6
205,node4-3,node5-4,0,True,False,6
206,node4-3,node5-4,0,True,False,7
207,node4-3,node5-4,0,True,False,7
208,node4-3,node5-4,0,True,False,6
209,node4-3,node5-4,0,True,False,6
210,node4-3,node5-4,0,True,False,6
211,node4-3,node5-4,0,True,False,6
212,node4-3,node5-4,0,True,False,7
213,node4-3,node5-4,0,True,False,8
214,node4-3,node5-4,0,True,False,7
215,node4-3,node5-4,0,True,False,8
216,node4-3,node5-4,0,True,False,7
217,node4-3,node5-4,0,True,False,6
218,node4-3,node5-4,0,True,False,7
