seq,src,dst,noise,received,error,rssi
1,node1-2,node1-6,-20,True,False,19
2,node1-2,node1-6,-20,True,False,18
3,node1-2,node1-6,-20,True,False,14
4,node1-2,node1-6,-20,True,False,12
5,node1-2,node1-6,-20,True,False,11
6,node1-2,node1-6,-20,True,False,13
7,node1-2,node1-6,-20,True,False,12
8,node1-2,node1-6,-20,True,False,12
9,node1-2,node1-6,-20,True,False,12
10,node1-2,node1-6,-20,True,False,12
11,node1-2,node1-6,-20,True,False,13
12,node1-2,node1-6,-20,True,False,12
13,node1-2,node1-6,-20,True,False,12
14,node1-2,node1-6,-20,True,False,11
15,node1-2,node1-6,-20,True,False,12
16,node1-2,node1-6,-20,True,False,12
17,node1-2,node1-6,-20,True,False,12
18,node1-2,node1-6,-20,True,False,11
19,node1-2,node1-6,-20,True,False,12
20,node1-2,node1-6,-20,True,False,12
21,node1-2,node1-6,-20,True,False,11
22,node1-2,node1-6,-20,True,False,12
23,node1-2,node1-6,-20,True,False,12
24,node1-2,node1-6,-20,True,False,13
25,node1-2,node1-6,-20,True,False,11
26,node1-2,node1-6,-20,True,False,12
27,node1-2,node1-6,-20,True,False,13
28,node1-2,node1-6,-20,True,False,12
29,node1-2,node1-6,-20,True,False,12
30,node1-2,node1-6,-20,True,False,13
31,node1-2,node1-6,-20,True,False,13
32,node1-2,node1-6,-20,True,False,12
33,node1-2,node1-6,-20,True,False,13
34,node1-2,node1-6,-20,True,False,11
35,node1-2,node1-6,-20,True,False,12
36,node1-2,node1-6,-20,True,False,12
37,node1-2,node1-6,-20,True,False,13
38,node1-2,node1-6,-20,True,False,13
39,node1-2,node1-6,-20,True,False,11
40,node1-2,node1-6,-20,True,False,13
41,node1-2,node1-6,-20,True,False,12
42,node1-2,node1-6,-20,True,False,13
43,node1-2,node1-6,-20,True,False,12
44,node1-2,node1-6,-20,True,False,13
45,node1-2,node1-6,-20,True,False,11
46,node1-2,node1-6,-20,True,False,11
47,node1-2,node1-6,-20,True,False,12
48,node1-2,node1-6,-20,True,False,12
49,node1-2,node1-6,-20,True,False,12
50,node1-2,node1-6,-20,True,False,12
51,node1-2,node1-6,-20,True,False,11
52,node1-2,node1-6,-20,True,False,13
53,node1-2,node1-6,-20,True,False,11
54,node1-2,node1-6,-20,True,False,12
55,node1-2,node1-6,-20,True,False,12
56,node1-2,node1-6,-20,True,False,11
57,node1-2,node1-6,-20,True,False,12
58,node1-2,node1-6,-20,True,False,12
59,node1-2,node1-6,-20,True,False,11
60,node1-2,node1-6,-20,True,False,11
61,node1-2,node1-6,-20,True,False,12
62,node1-2,node1-6,-20,True,False,12
63,node1-2,node1-6,-20,True,False,11
64,node1-2,node1-6,-20,True,False,11
65,node1-2,node1-6,-20,True,False,12
66,node1-2,node1-6,-20,True,False,11
67,node1-2,node1-6,-20,True,False,12
68,node1-2,node1-6,-20,True,False,12
69,node1-2,node1-6,-20,True,False,12
70,node1-2,node1-6,-20,True,False,12
71,node1-2,node1-6,-20,True,False,12
72,node1-2,node1-6,-20,True,False,13
73,node1-2,node1-6,-20,True,False,12
74,node1-2,node1-6,-20,True,False,12
75,node1-2,node1-6,-20,True,False,12
76,node1-2,node1-6,-20,True,False,12
77,node1-2,node1-6,-20,True,False,12
78,node1-2,node1-6,-20,True,False,12
79,node1-2,node1-6,-20,True,False,12
80,node1-2,node1-6,-20,True,False,12
81,node1-2,node1-6,-20,True,False,12
82,node1-2,node1-6,-20,True,False,13
83,node1-2,node1-6,-20,True,False,12
84,node1-2,node1-6,-20,True,False,12
85,node1-2,node1-6,-20,True,False,12
86,node1-2,node1-6,-20,True,False,12
87,node1-2,node1-6,-20,True,False,13
88,node1-2,node1-6,-20,True,False,13
89,node1-2,node1-6,-20,True,False,12
90,node1-2,node1-6,-20,True,False,12
91,node1-2,node1-6,-20,True,False,12
92,node1-2,node1-6,-20,True,False,12
93,node1-2,node1-6,-20,True,False,12
94,node1-2,node1-6,-20,True,False,13
95,node1-2,node1-6,-20,True,False,12
96,node1-2,node1-6,-20,True,False,12
97,node1-2,node1-6,-20,True,False,12
98,node1-2,node1-6,-20,True,False,11
99,node1-2,node1-6,-20,True,False,12
100,node1-2,node1-6,-20,True,False,12
101,node1-2,node1-6,-20,True,False,12
102,node1-2,node1-6,-20,True,False,11
103,node1-2,node1-6,-20,True,False,12
104,node1-2,node1-6,-20,True,False,13
105,node1-2,node1-6,-20,True,False,13
106,node1-2,node1-6,-20,True,False,11
107,node1-2,node1-6,-20,True,False,11
108,node1-2,node1-6,-20,True,False,13
109,node1-2,node1-6,-20,True,False,11
110,node1-2,node1-6,-20,True,False,13
111,node1-2,node1-6,-20,True,False,12
112,node1-2,node1-6,-20,True,False,12
113,node1-2,node1-6,-20,True,False,13
114,node1-2,node1-6,-20,True,False,11
115,node1-2,node1-6,-20,True,False,11
116,node1-2,node1-6,-20,True,False,12
117,node1-2,node1-6,-20,True,False,12
118,node1-2,node1-6,-20,True,False,12
119,node1-2,node1-6,-20,True,False,12
120,node1-2,node1-6,-20,True,False,11
121,node1-2,node1-6,-20,True,False,12
122,node1-2,node1-6,-20,True,False,11
123,node1-2,node1-6,-20,True,False,12
124,node1-2,node1-6,-20,True,False,12
125,node1-2,node1-6,-20,True,False,12
126,node1-2,node1-6,-20,True,False,12
127,node1-2,node1-6,-20,True,False,12
128,node1-2,node1-6,-20,True,False,11
129,node1-2,node1-6,-20,True,False,12
130,node1-2,node1-6,-20,True,False,11
131,node1-2,node1-6,-20,True,False,13
132,node1-2,node1-6,-20,True,False,11
133,node1-2,node1-6,-20,True,False,12
134,node1-2,node1-6,-20,True,False,11
135,node1-2,node1-6,-20,True,False,12
136,node1-2,node1-6,-20,True,False,12
137,node1-2,node1-6,-20,True,False,12
138,node1-2,node1-6,-20,True,False,11
139,node1-2,node1-6,-20,True,False,11
140,node1-2,node1-6,-20,True,False,12
141,node1-2,node1-6,-20,True,False,11
142,node1-2,node1-6,-20,True,False,12
143,node1-2,node1-6,-20,True,False,12
144,node1-2,node1-6,-20,True,False,12
145,node1-2,node1-6,-20,True,False,12
146,node1-2,node1-6,-20,True,False,12
147,node1-2,node1-6,-20,True,False,12
148,node1-2,node1-6,-20,True,False,12
149,node1-2,node1-6,-20,True,False,12
150,node1-2,node1-6,-20,True,False,12
151,node1-2,node1-6,-20,True,False,12
152,node1-2,node1-6,-20,True,False,11
153,node1-2,node1-6,-20,True,False,13
154,node1-2,node1-6,-20,True,False,12
155,node1-2,node1-6,-20,True,False,12
156,node1-2,node1-6,-20,True,False,12
157,node1-2,node1-6,-20,True,False,12
158,node1-2,node1-6,-20,True,False,11
159,node1-2,node1-6,-20,True,False,11
160,node1-2,node1-6,-20,True,False,12
161,node1-2,node1-6,-20,True,False,13
162,node1-2,node1-6,-20,True,False,12
163,node1-2,node1-6,-20,True,False,12
164,node1-2,node1-6,-20,True,False,11
165,node1-2,node1-6,-20,True,False,12
166,node1-2,node1-6,-20,True,False,12
167,node1-2,node1-6,-20,True,False,11
