seq,src,dst,noise,received,error,rssi
1,node4-5,node8-5,-15,True,False,13
2,node4-5,node8-5,-15,True,False,12
3,node4-5,node8-5,-15,True,False,11
4,node4-5,node8-5,-15,True,False,7
5,node4-5,node8-5,-15,True,False,7
6,node4-5,node8-5,-15,True,False,7
7,node4-5,node8-5,-15,True,False,7
8,node4-5,node8-5,-15,True,False,7
9,node4-5,node8-5,-15,True,False,4
10,node4-5,node8-5,-15,True,False,5
11,node4-5,node8-5,-15,True,False,6
12,node4-5,node8-5,-15,True,False,8
13,node4-5,node8-5,-15,True,False,8
14,node4-5,node8-5,-15,True,False,7
15,node4-5,node8-5,-15,True,False,6
16,node4-5,node8-5,-15,True,False,8
17,node4-5,node8-5,-15,True,False,7
18,node4-5,node8-5,-15,True,False,7
19,node4-5,node8-5,-15,True,False,5
20,node4-5,node8-5,-15,True,False,7
21,node4-5,node8-5,-15,True,False,6
22,node4-5,node8-5,-15,True,False,8
23,node4-5,node8-5,-15,True,False,6
24,node4-5,node8-5,-15,True,False,5
25,node4-5,node8-5,-15,True,False,8
26,node4-5,node8-5,-15,True,False,7
27,node4-5,node8-5,-15,True,False,7
28,node4-5,node8-5,-15,True,False,8
29,node4-5,node8-5,-15,True,False,8
30,node4-5,node8-5,-15,True,False,6
31,node4-5,node8-5,-15,True,False,7
32,node4-5,node8-5,-15,True,False,6
33,node4-5,node8-5,-15,True,False,6
34,node4-5,node8-5,-15,True,False,7
35,node4-5,node8-5,-15,True,False,6
36,node4-5,node8-5,-15,True,False,8
37,node4-5,node8-5,-15,True,False,7
38,node4-5,node8-5,-15,True,False,6
39,node4-5,node8-5,-15,True,False,5
40,node4-5,node8-5,-15,True,False,6
41,node4-5,node8-5,-15,True,False,7
42,node4-5,node8-5,-15,True,False,6
43,node4-5,node8-5,-15,True,False,6
44,node4-5,node8-5,-15,True,False,7
45,node4-5,node8-5,-15,True,False,6
46,node4-5,node8-5,-15,True,False,6
47,node4-5,node8-5,-15,True,False,8
48,node4-5,node8-5,-15,True,False,6
49,node4-5,node8-5,-15,True,False,7
50,node4-5,node8-5,-15,True,False,8
51,node4-5,node8-5,-15,True,False,6
52,node4-5,node8-5,-15,True,False,8
53,node4-5,node8-5,-15,True,False,8
54,node4-5,node8-5,-15,True,False,6
55,node4-5,node8-5,-15,True,False,5
56,node4-5,node8-5,-15,True,False,6
57,node4-5,node8-5,-15,True,False,6
58,node4-5,node8-5,-15,True,False,6
59,node4-5,node8-5,-15,True,False,7
60,node4-5,node8-5,-15,True,False,7
61,node4-5,node8-5,-15,True,False,7
62,node4-5,node8-5,-15,True,False,9
63,node4-5,node8-5,-15,True,False,9
64,node4-5,node8-5,-15,True,False,7
65,node4-5,node8-5,-15,True,False,6
66,node4-5,node8-5,-15,True,False,7
67,node4-5,node8-5,-15,True,False,8
68,node4-5,node8-5,-15,True,False,8
69,node4-5,node8-5,-15,True,False,6
70,node4-5,node8-5,-15,True,False,8
71,node4-5,node8-5,-15,True,False,6
72,node4-5,node8-5,-15,True,False,6
73,node4-5,node8-5,-15,True,False,6
74,node4-5,node8-5,-15,True,False,7
75,node4-5,node8-5,-15,True,False,6
76,node4-5,node8-5,-15,True,False,7
77,node4-5,node8-5,-15,True,False,6
78,node4-5,node8-5,-15,True,False,8
79,node4-5,node8-5,-15,True,False,7
80,node4-5,node8-5,-15,True,False,8
81,node4-5,node8-5,-15,True,False,6
82,node4-5,node8-5,-15,True,False,6
83,node4-5,node8-5,-15,True,False,7
84,node4-5,node8-5,-15,True,False,7
85,node4-5,node8-5,-15,True,False,6
86,node4-5,node8-5,-15,True,False,7
87,node4-5,node8-5,-15,True,False,8
88,node4-5,node8-5,-15,True,False,6
89,node4-5,node8-5,-15,True,False,6
90,node4-5,node8-5,-15,True,False,6
91,node4-5,node8-5,-15,True,False,7
92,node4-5,node8-5,-15,True,False,7
93,node4-5,node8-5,-15,True,False,9
94,node4-5,node8-5,-15,True,False,8
95,node4-5,node8-5,-15,True,False,7
96,node4-5,node8-5,-15,True,False,9
97,node4-5,node8-5,-15,True,False,8
98,node4-5,node8-5,-15,True,False,6
99,node4-5,node8-5,-15,True,False,8
100,node4-5,node8-5,-15,True,False,5
101,node4-5,node8-5,-15,True,False,7
