seq,src,dst,noise,received,error,rssi
1,node6-5,node3-8,-10,True,False,12
2,node6-5,node3-8,-10,True,False,11
3,node6-5,node3-8,-10,True,False,7
4,node6-5,node3-8,-10,True,False,10
5,node6-5,node3-8,-10,True,False,9
6,node6-5,node3-8,-10,True,False,7
7,node6-5,node3-8,-10,True,False,9
8,node6-5,node3-8,-10,True,False,8
9,node6-5,node3-8,-10,True,False,7
10,node6-5,node3-8,-10,True,False,8
11,node6-5,node3-8,-10,True,False,7
12,node6-5,node3-8,-10,True,False,7
13,node6-5,node3-8,-10,True,False,7
14,node6-5,node3-8,-10,True,False,7
15,node6-5,node3-8,-10,True,False,7
16,node6-5,node3-8,-10,True,False,6
17,node6-5,node3-8,-10,True,False,8
18,node6-5,node3-8,-10,True,False,5
19,node6-5,node3-8,-10,True,False,7
20,node6-5,node3-8,-10,True,False,9
21,node6-5,node3-8,-10,True,False,9
22,node6-5,node3-8,-10,True,False,9
23,node6-5,node3-8,-10,True,False,8
24,node6-5,node3-8,-10,True,False,8
25,node6-5,node3-8,-10,True,False,7
26,node6-5,node3-8,-10,True,False,7
27,node6-5,node3-8,-10,True,False,6
28,node6-5,node3-8,-10,True,False,8
29,node6-5,node3-8,-10,True,False,7
30,node6-5,node3-8,-10,True,False,8
31,node6-5,node3-8,-10,True,False,8
32,node6-5,node3-8,-10,True,False,8
33,node6-5,node3-8,-10,True,False,9
34,node6-5,node3-8,-10,True,False,9
35,node6-5,node3-8,-10,True,False,7
36,node6-5,node3-8,-10,True,False,8
37,node6-5,node3-8,-10,True,False,8
38,node6-5,node3-8,-10,True,False,7
39,node6-5,node3-8,-10,True,False,9
40,node6-5,node3-8,-10,True,False,9
41,node6-5,node3-8,-10,True,False,8
42,node6-5,node3-8,-10,True,False,7
43,node6-5,node3-8,-10,True,False,7
44,node6-5,node3-8,-10,True,False,9
45,node6-5,node3-8,-10,True,False,9
46,node6-5,node3-8,-10,True,False,7
47,node6-5,node3-8,-10,True,False,9
48,node6-5,node3-8,-10,True,False,8
49,node6-5,node3-8,-10,True,False,9
50,node6-5,node3-8,-10,True,False,8
51,node6-5,node3-8,-10,True,False,9
52,node6-5,node3-8,-10,True,False,9
53,node6-5,node3-8,-10,True,False,8
54,node6-5,node3-8,-10,True,False,8
55,node6-5,node3-8,-10,True,False,7
56,node6-5,node3-8,-10,True,False,7
57,node6-5,node3-8,-10,True,False,8
58,node6-5,node3-8,-10,True,False,7
59,node6-5,node3-8,-10,True,False,7
60,node6-5,node3-8,-10,True,False,9
61,node6-5,node3-8,-10,True,False,9
62,node6-5,node3-8,-10,True,False,8
63,node6-5,node3-8,-10,True,False,8
64,node6-5,node3-8,-10,True,False,8
65,node6-5,node3-8,-10,True,False,10
66,node6-5,node3-8,-10,True,False,8
67,node6-5,node3-8,-10,True,False,8
68,node6-5,node3-8,-10,True,False,8
69,node6-5,node3-8,-10,True,False,8
70,node6-5,node3-8,-10,True,False,9
71,node6-5,node3-8,-10,True,False,8
72,node6-5,node3-8,-10,True,False,9
73,node6-5,node3-8,-10,True,False,7
74,node6-5,node3-8,-10,True,False,7
75,node6-5,node3-8,-10,True,False,7
76,node6-5,node3-8,-10,True,False,9
77,node6-5,node3-8,-10,True,False,9
78,node6-5,node3-8,-10,True,False,9
79,node6-5,node3-8,-10,True,False,8
80,node6-5,node3-8,-10,True,False,9
81,node6-5,node3-8,-10,True,False,8
82,node6-5,node3-8,-10,True,False,8
83,node6-5,node3-8,-10,True,False,9
84,node6-5,node3-8,-10,True,False,8
85,node6-5,node3-8,-10,True,False,10
86,node6-5,node3-8,-10,True,False,9
87,node6-5,node3-8,-10,True,False,7
88,node6-5,node3-8,-10,True,False,8
89,node6-5,node3-8,-10,True,False,7
90,node6-5,node3-8,-10,True,False,7
91,node6-5,node3-8,-10,True,False,8
92,node6-5,node3-8,-10,True,False,8
93,node6-5,node3-8,-10,True,False,8
94,node6-5,node3-8,-10,True,False,9
95,node6-5,node3-8,-10,True,False,8
96,node6-5,node3-8,-10,True,False,9
97,node6-5,node3-8,-10,True,False,9
98,node6-5,node3-8,-10,True,False,9
99,node6-5,node3-8,-10,True,False,7
100,node6-5,node3-8,-10,True,False,8
101,node6-5,node3-8,-10,True,False,8
102,node6-5,node3-8,-10,True,False,8
103,node6-5,node3-8,-10,True,False,10
104,node6-5,node3-8,-10,True,False,6
105,node6-5,node3-8,-10,True,False,9
106,node6-5,node3-8,-10,True,False,9
107,node6-5,node3-8,-10,True,False,8
108,node6-5,node3-8,-10,True,False,8
109,node6-5,node3-8,-10,True,False,7
110,node6-5,node3-8,-10,True,False,9
111,node6-5,node3-8,-10,True,False,7
112,node6-5,node3-8,-10,True,False,5
113,node6-5,node3-8,-10,True,False,8
114,node6-5,node3-8,-10,True,False,9
115,node6-5,node3-8,-10,True,False,9
116,node6-5,node3-8,-10,True,False,7
117,node6-5,node3-8,-10,True,False,7
118,node6-5,node3-8,-10,True,False,8
119,node6-5,node3-8,-10,True,False,7
120,node6-5,node3-8,-10,True,False,9
121,node6-5,node3-8,-10,True,False,8
122,node6-5,node3-8,-10,True,False,9
123,node6-5,node3-8,-10,True,False,8
124,node6-5,node3-8,-10,True,False,7
125,node6-5,node3-8,-10,True,False,10
126,node6-5,node3-8,-10,True,False,8
127,node6-5,node3-8,-10,True,False,7
128,node6-5,node3-8,-10,True,False,9
129,node6-5,node3-8,-10,True,False,7
130,node6-5,node3-8,-10,True,False,8
131,node6-5,node3-8,-10,True,False,9
132,node6-5,node3-8,-10,True,False,9
133,node6-5,node3-8,-10,True,False,9
134,node6-5,node3-8,-10,True,False,8
135,node6-5,node3-8,-10,True,False,8
136,node6-5,node3-8,-10,True,False,7
137,node6-5,node3-8,-10,True,False,9
138,node6-5,node3-8,-10,True,False,8
139,node6-5,node3-8,-10,True,False,7
140,node6-5,node3-8,-10,True,False,8
141,node6-5,node3-8,-10,True,False,9
142,node6-5,node3-8,-10,True,False,9
143,node6-5,node3-8,-10,True,False,8
144,node6-5,node3-8,-10,True,False,8
145,node6-5,node3-8,-10,True,False,9
146,node6-5,node3-8,-10,True,False,9
147,node6-5,node3-8,-10,True,False,8
148,node6-5,node3-8,-10,True,False,8
149,node6-5,node3-8,-10,True,False,9
150,node6-5,node3-8,-10,True,False,6
151,node6-5,node3-8,-10,True,False,7
152,node6-5,node3-8,-10,True,False,8
153,node6-5,node3-8,-10,True,False,9
154,node6-5,node3-8,-10,True,False,8
155,node6-5,node3-8,-10,True,False,10
156,node6-5,node3-8,-10,True,False,9
157,node6-5,node3-8,-10,True,False,8
158,node6-5,node3-8,-10,True,False,7
159,node6-5,node3-8,-10,True,False,8
160,node6-5,node3-8,-10,True,False,9
161,node6-5,node3-8,-10,True,False,8
162,node6-5,node3-8,-10,True,False,9
163,node6-5,node3-8,-10,True,False,8
164,node6-5,node3-8,-10,True,False,8
165,node6-5,node3-8,-10,True,False,8
166,node6-5,node3-8,-10,True,False,9
167,node6-5,node3-8,-10,True,False,7
168,node6-5,node3-8,-10,True,False,6
169,node6-5,node3-8,-10,True,False,8
170,node6-5,node3-8,-10,True,False,8
171,node6-5,node3-8,-10,True,False,8
172,node6-5,node3-8,-10,True,False,8
173,node6-5,node3-8,-10,True,False,7
174,node6-5,node3-8,-10,True,False,8
175,node6-5,node3-8,-10,True,False,8
176,node6-5,node3-8,-10,True,False,8
177,node6-5,node3-8,-10,True,False,7
178,node6-5,node3-8,-10,True,False,8
179,node6-5,node3-8,-10,True,False,9
180,node6-5,node3-8,-10,True,False,7
181,node6-5,node3-8,-10,True,False,8
182,node6-5,node3-8,-10,True,False,8
183,node6-5,node3-8,-10,True,False,9
184,node6-5,node3-8,-10,True,False,9
185,node6-5,node3-8,-10,True,False,8
186,node6-5,node3-8,-10,True,False,8
187,node6-5,node3-8,-10,True,False,6
188,node6-5,node3-8,-10,True,False,8
189,node6-5,node3-8,-10,True,False,8
190,node6-5,node3-8,-10,True,False,8
191,node6-5,node3-8,-10,True,False,8
192,node6-5,node3-8,-10,True,False,7
193,node6-5,node3-8,-10,True,False,9
194,node6-5,node3-8,-10,True,False,9
195,node6-5,node3-8,-10,True,False,9
196,node6-5,node3-8,-10,True,False,8
197,node6-5,node3-8,-10,True,False,8
198,node6-5,node3-8,-10,True,False,8
199,node6-5,node3-8,-10,True,False,9
200,node6-5,node3-8,-10,True,False,8
201,node6-5,node3-8,-10,True,False,8
202,node6-5,node3-8,-10,True,False,8
203,node6-5,node3-8,-10,True,False,9
204,node6-5,node3-8,-10,True,False,9
205,node6-5,node3-8,-10,True,False,8
206,node6-5,node3-8,-10,True,False,10
207,node6-5,node3-8,-10,True,False,9
208,node6-5,node3-8,-10,True,False,8
209,node6-5,node3-8,-10,True,False,10
210,node6-5,node3-8,-10,True,False,9
211,node6-5,node3-8,-10,True,False,8
212,node6-5,node3-8,-10,True,False,7
213,node6-5,node3-8,-10,True,False,10
214,node6-5,node3-8,-10,True,False,7
215,node6-5,node3-8,-10,True,False,6
216,node6-5,node3-8,-10,True,False,7
217,node6-5,node3-8,-10,True,False,8
218,node6-5,node3-8,-10,True,False,8
219,node6-5,node3-8,-10,True,False,8
220,node6-5,node3-8,-10,True,False,8
221,node6-5,node3-8,-10,True,False,8
222,node6-5,node3-8,-10,True,False,9
223,node6-5,node3-8,-10,True,False,9
224,node6-5,node3-8,-10,True,False,9
225,node6-5,node3-8,-10,True,False,10
226,node6-5,node3-8,-10,True,False,9
227,node6-5,node3-8,-10,True,False,9
228,node6-5,node3-8,-10,True,False,8
229,node6-5,node3-8,-10,True,False,8
230,node6-5,node3-8,-10,True,False,8
231,node6-5,node3-8,-10,True,False,9
232,node6-5,node3-8,-10,True,False,8
233,node6-5,node3-8,-10,True,False,7
234,node6-5,node3-8,-10,True,False,8
235,node6-5,node3-8,-10,True,False,8
236,node6-5,node3-8,-10,True,False,9
237,node6-5,node3-8,-10,True,False,8
238,node6-5,node3-8,-10,True,False,8
239,node6-5,node3-8,-10,True,False,8
240,node6-5,node3-8,-10,True,False,7
241,node6-5,node3-8,-10,True,False,7
242,node6-5,node3-8,-10,True,False,9
243,node6-5,node3-8,-10,True,False,9
244,node6-5,node3-8,-10,True,False,9
245,node6-5,node3-8,-10,True,False,8
246,node6-5,node3-8,-10,True,False,8
247,node6-5,node3-8,-10,True,False,7
248,node6-5,node3-8,-10,True,False,9
249,node6-5,node3-8,-10,True,False,7
250,node6-5,node3-8,-10,True,False,8
251,node6-5,node3-8,-10,True,False,8
252,node6-5,node3-8,-10,True,False,9
253,node6-5,node3-8,-10,True,False,8
254,node6-5,node3-8,-10,True,False,8
255,node6-5,node3-8,-10,True,False,8
256,node6-5,node3-8,-10,True,False,6
257,node6-5,node3-8,-10,True,False,8
258,node6-5,node3-8,-10,True,False,8
259,node6-5,node3-8,-10,True,False,8
260,node6-5,node3-8,-10,True,False,9
261,node6-5,node3-8,-10,True,False,9
262,node6-5,node3-8,-10,True,False,7
263,node6-5,node3-8,-10,True,False,8
264,node6-5,node3-8,-10,True,False,8
265,node6-5,node3-8,-10,True,False,8
266,node6-5,node3-8,-10,True,False,8
267,node6-5,node3-8,-10,True,False,9
268,node6-5,node3-8,-10,True,False,9
269,node6-5,node3-8,-10,True,False,9
270,node6-5,node3-8,-10,True,False,7
271,node6-5,node3-8,-10,True,False,9
272,node6-5,node3-8,-10,True,False,7
273,node6-5,node3-8,-10,True,False,7
274,node6-5,node3-8,-10,True,False,8
275,node6-5,node3-8,-10,True,False,8
276,node6-5,node3-8,-10,True,False,8
277,node6-5,node3-8,-10,True,False,9
278,node6-5,node3-8,-10,True,False,7
279,node6-5,node3-8,-10,True,False,8
280,node6-5,node3-8,-10,True,False,8
281,node6-5,node3-8,-10,True,False,9
