seq,src,dst,noise,received,error,rssi
1,node8-3,node2-5,-15,True,False,16
2,node8-3,node2-5,-15,True,False,14
3,node8-3,node2-5,-15,True,False,12
4,node8-3,node2-5,-15,True,False,12
5,node8-3,node2-5,-15,True,False,11
6,node8-3,node2-5,-15,True,False,12
7,node8-3,node2-5,-15,True,False,13
8,node8-3,node2-5,-15,True,False,12
9,node8-3,node2-5,-15,True,False,12
10,node8-3,node2-5,-15,True,False,10
11,node8-3,node2-5,-15,True,False,13
12,node8-3,node2-5,-15,True,False,11
13,node8-3,node2-5,-15,True,False,10
14,node8-3,node2-5,-15,True,False,12
15,node8-3,node2-5,-15,True,False,11
16,node8-3,node2-5,-15,True,False,11
17,node8-3,node2-5,-15,True,False,12
18,node8-3,node2-5,-15,True,False,12
19,node8-3,node2-5,-15,True,False,11
20,node8-3,node2-5,-15,True,False,11
21,node8-3,node2-5,-15,True,False,11
22,node8-3,node2-5,-15,True,False,11
23,node8-3,node2-5,-15,True,False,11
24,node8-3,node2-5,-15,True,False,11
25,node8-3,node2-5,-15,True,False,12
26,node8-3,node2-5,-15,True,False,12
27,node8-3,node2-5,-15,True,False,12
28,node8-3,node2-5,-15,True,False,12
29,node8-3,node2-5,-15,True,False,11
30,node8-3,node2-5,-15,True,False,11
31,node8-3,node2-5,-15,True,False,11
32,node8-3,node2-5,-15,True,False,11
33,node8-3,node2-5,-15,True,False,12
34,node8-3,node2-5,-15,True,False,11
35,node8-3,node2-5,-15,True,False,11
36,node8-3,node2-5,-15,True,False,12
37,node8-3,node2-5,-15,True,False,11
38,node8-3,node2-5,-15,True,False,10
39,node8-3,node2-5,-15,True,False,12
40,node8-3,node2-5,-15,True,False,11
41,node8-3,node2-5,-15,True,False,12
42,node8-3,node2-5,-15,True,False,11
43,node8-3,node2-5,-15,True,False,11
44,node8-3,node2-5,-15,True,False,11
45,node8-3,node2-5,-15,True,False,11
46,node8-3,node2-5,-15,True,False,12
47,node8-3,node2-5,-15,True,False,12
48,node8-3,node2-5,-15,True,False,12
49,node8-3,node2-5,-15,True,False,12
50,node8-3,node2-5,-15,True,False,11
51,node8-3,node2-5,-15,True,False,11
52,node8-3,node2-5,-15,True,False,12
53,node8-3,node2-5,-15,True,False,11
54,node8-3,node2-5,-15,True,False,10
55,node8-3,node2-5,-15,True,False,12
56,node8-3,node2-5,-15,True,False,13
57,node8-3,node2-5,-15,True,False,12
58,node8-3,node2-5,-15,True,False,12
59,node8-3,node2-5,-15,True,False,12
60,node8-3,node2-5,-15,True,False,12
61,node8-3,node2-5,-15,True,False,11
62,node8-3,node2-5,-15,True,False,12
63,node8-3,node2-5,-15,True,False,13
64,node8-3,node2-5,-15,True,False,11
65,node8-3,node2-5,-15,True,False,11
66,node8-3,node2-5,-15,True,False,11
67,node8-3,node2-5,-15,True,False,11
68,node8-3,node2-5,-15,True,False,11
69,node8-3,node2-5,-15,True,False,12
70,node8-3,node2-5,-15,True,False,11
71,node8-3,node2-5,-15,True,False,12
72,node8-3,node2-5,-15,True,False,11
73,node8-3,node2-5,-15,True,False,12
74,node8-3,node2-5,-15,True,False,12
75,node8-3,node2-5,-15,True,False,11
76,node8-3,node2-5,-15,True,False,11
77,node8-3,node2-5,-15,True,False,12
78,node8-3,node2-5,-15,True,False,12
79,node8-3,node2-5,-15,True,False,12
80,node8-3,node2-5,-15,True,False,12
81,node8-3,node2-5,-15,True,False,12
82,node8-3,node2-5,-15,True,False,12
83,node8-3,node2-5,-15,True,False,12
84,node8-3,node2-5,-15,True,False,11
85,node8-3,node2-5,-15,True,False,12
86,node8-3,node2-5,-15,True,False,11
87,node8-3,node2-5,-15,True,False,11
88,node8-3,node2-5,-15,True,False,13
89,node8-3,node2-5,-15,True,False,12
90,node8-3,node2-5,-15,True,False,13
91,node8-3,node2-5,-15,True,False,13
92,node8-3,node2-5,-15,True,False,12
93,node8-3,node2-5,-15,True,False,11
94,node8-3,node2-5,-15,True,False,13
95,node8-3,node2-5,-15,True,False,11
96,node8-3,node2-5,-15,True,False,12
97,node8-3,node2-5,-15,True,False,11
98,node8-3,node2-5,-15,True,False,12
99,node8-3,node2-5,-15,True,False,12
100,node8-3,node2-5,-15,True,False,11
101,node8-3,node2-5,-15,True,False,11
102,node8-3,node2-5,-15,True,False,11
103,node8-3,node2-5,-15,True,False,12
104,node8-3,node2-5,-15,True,False,11
105,node8-3,node2-5,-15,True,False,11
106,node8-3,node2-5,-15,True,False,12
107,node8-3,node2-5,-15,True,False,13
108,node8-3,node2-5,-15,True,False,12
109,node8-3,node2-5,-15,True,False,11
110,node8-3,node2-5,-15,True,False,12
111,node8-3,node2-5,-15,True,False,12
112,node8-3,node2-5,-15,True,False,12
113,node8-3,node2-5,-15,True,False,11
114,node8-3,node2-5,-15,True,False,12
115,node8-3,node2-5,-15,True,False,11
116,node8-3,node2-5,-15,True,False,12
117,node8-3,node2-5,-15,True,False,10
118,node8-3,node2-5,-15,True,False,12
119,node8-3,node2-5,-15,True,False,11
120,node8-3,node2-5,-15,True,False,12
121,node8-3,node2-5,-15,True,False,12
122,node8-3,node2-5,-15,True,False,11
123,node8-3,node2-5,-15,True,False,11
124,node8-3,node2-5,-15,True,False,12
125,node8-3,node2-5,-15,True,False,12
126,node8-3,node2-5,-15,True,False,12
127,node8-3,node2-5,-15,True,False,11
128,node8-3,node2-5,-15,True,False,12
129,node8-3,node2-5,-15,True,False,12
130,node8-3,node2-5,-15,True,False,11
131,node8-3,node2-5,-15,True,False,12
132,node8-3,node2-5,-15,True,False,10
133,node8-3,node2-5,-15,True,False,12
134,node8-3,node2-5,-15,True,False,11
135,node8-3,node2-5,-15,True,False,11
136,node8-3,node2-5,-15,True,False,12
137,node8-3,node2-5,-15,True,False,12
138,node8-3,node2-5,-15,True,False,11
139,node8-3,node2-5,-15,True,False,11
140,node8-3,node2-5,-15,True,False,11
141,node8-3,node2-5,-15,True,False,12
142,node8-3,node2-5,-15,True,False,12
143,node8-3,node2-5,-15,True,False,12
144,node8-3,node2-5,-15,True,False,12
145,node8-3,node2-5,-15,True,False,13
146,node8-3,node2-5,-15,True,False,12
147,node8-3,node2-5,-15,True,False,12
148,node8-3,node2-5,-15,True,False,12
149,node8-3,node2-5,-15,True,False,13
150,node8-3,node2-5,-15,True,False,12
151,node8-3,node2-5,-15,True,False,12
152,node8-3,node2-5,-15,True,False,13
153,node8-3,node2-5,-15,True,False,12
154,node8-3,node2-5,-15,True,False,12
155,node8-3,node2-5,-15,True,False,13
156,node8-3,node2-5,-15,True,False,12
157,node8-3,node2-5,-15,True,False,13
158,node8-3,node2-5,-15,True,False,11
159,node8-3,node2-5,-15,True,False,11
