seq,src,dst,noise,received,error,rssi
1,node5-4,node4-1,-10,True,False,15
2,node5-4,node4-1,-10,True,False,11
3,node5-4,node4-1,-10,True,False,10
4,node5-4,node4-1,-10,True,False,10
5,node5-4,node4-1,-10,True,False,9
6,node5-4,node4-1,-10,True,False,9
7,node5-4,node4-1,-10,True,False,8
8,node5-4,node4-1,-10,True,False,9
9,node5-4,node4-1,-10,True,False,9
10,node5-4,node4-1,-10,True,False,9
11,node5-4,node4-1,-10,True,False,8
12,node5-4,node4-1,-10,True,False,10
13,node5-4,node4-1,-10,True,False,10
14,node5-4,node4-1,-10,True,False,9
15,node5-4,node4-1,-10,True,False,9
16,node5-4,node4-1,-10,True,False,9
17,node5-4,node4-1,-10,True,False,9
18,node5-4,node4-1,-10,True,False,9
19,node5-4,node4-1,-10,True,False,9
20,node5-4,node4-1,-10,True,False,9
21,node5-4,node4-1,-10,True,False,9
22,node5-4,node4-1,-10,True,False,9
23,node5-4,node4-1,-10,True,False,9
24,node5-4,node4-1,-10,True,False,10
25,node5-4,node4-1,-10,True,False,8
26,node5-4,node4-1,-10,True,False,8
27,node5-4,node4-1,-10,True,False,9
28,node5-4,node4-1,-10,True,False,9
29,node5-4,node4-1,-10,True,False,8
30,node5-4,node4-1,-10,True,False,8
31,node5-4,node4-1,-10,True,False,10
32,node5-4,node4-1,-10,True,False,9
33,node5-4,node4-1,-10,True,False,10
34,node5-4,node4-1,-10,True,False,8
35,node5-4,node4-1,-10,True,False,9
36,node5-4,node4-1,-10,True,False,10
37,node5-4,node4-1,-10,True,False,7
38,node5-4,node4-1,-10,True,False,9
39,node5-4,node4-1,-10,True,False,9
40,node5-4,node4-1,-10,True,False,9
41,node5-4,node4-1,-10,True,False,8
42,node5-4,node4-1,-10,True,False,8
43,node5-4,node4-1,-10,True,False,9
44,node5-4,node4-1,-10,True,False,9
45,node5-4,node4-1,-10,True,False,9
46,node5-4,node4-1,-10,True,False,9
47,node5-4,node4-1,-10,True,False,9
48,node5-4,node4-1,-10,True,False,9
49,node5-4,node4-1,-10,True,False,9
50,node5-4,node4-1,-10,True,False,10
51,node5-4,node4-1,-10,True,False,9
52,node5-4,node4-1,-10,True,False,9
53,node5-4,node4-1,-10,True,False,10
54,node5-4,node4-1,-10,True,False,9
55,node5-4,node4-1,-10,True,False,8
56,node5-4,node4-1,-10,True,False,10
57,node5-4,node4-1,-10,True,False,10
58,node5-4,node4-1,-10,True,False,8
59,node5-4,node4-1,-10,True,False,9
60,node5-4,node4-1,-10,True,False,8
61,node5-4,node4-1,-10,True,False,9
62,node5-4,node4-1,-10,True,False,10
63,node5-4,node4-1,-10,True,False,9
64,node5-4,node4-1,-10,True,False,9
65,node5-4,node4-1,-10,True,False,9
66,node5-4,node4-1,-10,True,False,9
67,node5-4,node4-1,-10,True,False,10
68,node5-4,node4-1,-10,True,False,9
69,node5-4,node4-1,-10,True,False,10
70,node5-4,node4-1,-10,True,False,9
71,node5-4,node4-1,-10,True,False,9
72,node5-4,node4-1,-10,True,False,9
73,node5-4,node4-1,-10,True,False,9
74,node5-4,node4-1,-10,True,False,9
75,node5-4,node4-1,-10,True,False,9
76,node5-4,node4-1,-10,True,False,10
77,node5-4,node4-1,-10,True,False,9
78,node5-4,node4-1,-10,True,False,9
79,node5-4,node4-1,-10,True,False,8
80,node5-4,node4-1,-10,True,False,9
81,node5-4,node4-1,-10,True,False,9
82,node5-4,node4-1,-10,True,False,9
83,node5-4,node4-1,-10,True,False,8
84,node5-4,node4-1,-10,True,False,9
85,node5-4,node4-1,-10,True,False,9
86,node5-4,node4-1,-10,True,False,7
87,node5-4,node4-1,-10,True,False,8
88,node5-4,node4-1,-10,True,False,9
89,node5-4,node4-1,-10,True,False,10
90,node5-4,node4-1,-10,True,False,8
91,node5-4,node4-1,-10,True,False,9
92,node5-4,node4-1,-10,True,False,9
93,node5-4,node4-1,-10,True,False,9
94,node5-4,node4-1,-10,True,False,8
95,node5-4,node4-1,-10,True,False,9
96,node5-4,node4-1,-10,True,False,8
97,node5-4,node4-1,-10,True,False,10
98,node5-4,node4-1,-10,True,False,8
99,node5-4,node4-1,-10,True,False,9
100,node5-4,node4-1,-10,True,False,10
101,node5-4,node4-1,-10,True,False,9
102,node5-4,node4-1,-10,True,False,9
103,node5-4,node4-1,-10,True,False,8
104,node5-4,node4-1,-10,True,False,8
105,node5-4,node4-1,-10,True,False,9
106,node5-4,node4-1,-10,True,False,9
107,node5-4,node4-1,-10,True,False,9
108,node5-4,node4-1,-10,True,False,9
109,node5-4,node4-1,-10,True,False,8
110,node5-4,node4-1,-10,True,False,9
111,node5-4,node4-1,-10,True,False,8
112,node5-4,node4-1,-10,True,False,10
113,node5-4,node4-1,-10,True,False,8
114,node5-4,node4-1,-10,True,False,9
115,node5-4,node4-1,-10,True,False,8
116,node5-4,node4-1,-10,True,False,9
117,node5-4,node4-1,-10,True,False,10
118,node5-4,node4-1,-10,True,False,9
119,node5-4,node4-1,-10,True,False,7
120,node5-4,node4-1,-10,True,False,9
121,node5-4,node4-1,-10,True,False,10
