seq,src,dst,noise,received,error,rssi
1,node8-3,node6-3,-20,True,False,30
2,node8-3,node6-3,-20,True,False,29
3,node8-3,node6-3,-20,True,False,27
4,node8-3,node6-3,-20,True,False,23
5,node8-3,node6-3,-20,True,False,24
6,node8-3,node6-3,-20,True,False,25
7,node8-3,node6-3,-20,True,False,25
8,node8-3,node6-3,-20,True,False,24
9,node8-3,node6-3,-20,True,False,25
10,node8-3,node6-3,-20,True,False,24
11,node8-3,node6-3,-20,True,False,24
12,node8-3,node6-3,-20,True,False,24
13,node8-3,node6-3,-20,True,False,24
14,node8-3,node6-3,-20,True,False,25
15,node8-3,node6-3,-20,True,False,24
16,node8-3,node6-3,-20,True,False,24
17,node8-3,node6-3,-20,True,False,26
18,node8-3,node6-3,-20,True,False,25
19,node8-3,node6-3,-20,True,False,24
20,node8-3,node6-3,-20,True,False,24
21,node8-3,node6-3,-20,True,False,24
22,node8-3,node6-3,-20,True,False,23
23,node8-3,node6-3,-20,True,False,25
24,node8-3,node6-3,-20,True,False,24
25,node8-3,node6-3,-20,True,False,24
26,node8-3,node6-3,-20,True,False,25
27,node8-3,node6-3,-20,True,False,25
28,node8-3,node6-3,-20,True,False,25
29,node8-3,node6-3,-20,True,False,24
30,node8-3,node6-3,-20,True,False,24
31,node8-3,node6-3,-20,True,False,25
32,node8-3,node6-3,-20,True,False,25
33,node8-3,node6-3,-20,True,False,25
34,node8-3,node6-3,-20,True,False,25
35,node8-3,node6-3,-20,True,False,25
36,node8-3,node6-3,-20,True,False,24
37,node8-3,node6-3,-20,True,False,25
38,node8-3,node6-3,-20,True,False,24
39,node8-3,node6-3,-20,True,False,25
40,node8-3,node6-3,-20,True,False,25
41,node8-3,node6-3,-20,True,False,25
42,node8-3,node6-3,-20,True,False,25
43,node8-3,node6-3,-20,True,False,23
44,node8-3,node6-3,-20,True,False,25
45,node8-3,node6-3,-20,True,False,25
46,node8-3,node6-3,-20,True,False,25
47,node8-3,node6-3,-20,True,False,24
48,node8-3,node6-3,-20,True,False,24
49,node8-3,node6-3,-20,True,False,25
50,node8-3,node6-3,-20,True,False,25
51,node8-3,node6-3,-20,True,False,25
52,node8-3,node6-3,-20,True,False,25
53,node8-3,node6-3,-20,True,False,25
54,node8-3,node6-3,-20,True,False,24
55,node8-3,node6-3,-20,True,False,25
56,node8-3,node6-3,-20,True,False,25
57,node8-3,node6-3,-20,True,False,23
58,node8-3,node6-3,-20,True,False,24
59,node8-3,node6-3,-20,True,False,24
60,node8-3,node6-3,-20,True,False,25
61,node8-3,node6-3,-20,True,False,24
62,node8-3,node6-3,-20,True,False,24
63,node8-3,node6-3,-20,True,False,24
64,node8-3,node6-3,-20,True,False,25
65,node8-3,node6-3,-20,True,False,23
66,node8-3,node6-3,-20,True,False,23
67,node8-3,node6-3,-20,True,False,25
68,node8-3,node6-3,-20,True,False,24
69,node8-3,node6-3,-20,True,False,25
70,node8-3,node6-3,-20,True,False,23
71,node8-3,node6-3,-20,True,False,23
72,node8-3,node6-3,-20,True,False,25
73,node8-3,node6-3,-20,True,False,25
74,node8-3,node6-3,-20,True,False,24
75,node8-3,node6-3,-20,True,False,25
76,node8-3,node6-3,-20,True,False,24
77,node8-3,node6-3,-20,True,False,23
78,node8-3,node6-3,-20,True,False,25
79,node8-3,node6-3,-20,True,False,24
