seq,src,dst,noise,received,error,rssi
1,node4-1,node3-4,-5,True,False,14
2,node4-1,node3-4,-5,True,False,12
3,node4-1,node3-4,-5,True,False,9
4,node4-1,node3-4,-5,True,False,9
5,node4-1,node3-4,-5,True,False,8
6,node4-1,node3-4,-5,True,False,6
7,node4-1,node3-4,-5,True,False,9
8,node4-1,node3-4,-5,True,False,7
9,node4-1,node3-4,-5,True,False,9
10,node4-1,node3-4,-5,True,False,8
11,node4-1,node3-4,-5,True,False,7
12,node4-1,node3-4,-5,True,False,7
13,node4-1,node3-4,-5,True,False,7
14,node4-1,node3-4,-5,True,False,8
15,node4-1,node3-4,-5,True,False,9
16,node4-1,node3-4,-5,True,False,7
17,node4-1,node3-4,-5,True,False,6
18,node4-1,node3-4,-5,True,False,7
19,node4-1,node3-4,-5,True,False,7
20,node4-1,node3-4,-5,True,False,8
21,node4-1,node3-4,-5,True,False,6
22,node4-1,node3-4,-5,True,False,6
23,node4-1,node3-4,-5,True,False,6
24,node4-1,node3-4,-5,True,False,5
25,node4-1,node3-4,-5,True,False,7
26,node4-1,node3-4,-5,True,False,8
27,node4-1,node3-4,-5,True,False,7
28,node4-1,node3-4,-5,True,False,7
29,node4-1,node3-4,-5,True,False,7
30,node4-1,node3-4,-5,True,False,9
31,node4-1,node3-4,-5,True,False,9
32,node4-1,node3-4,-5,True,False,6
33,node4-1,node3-4,-5,True,False,8
34,node4-1,node3-4,-5,True,False,8
35,node4-1,node3-4,-5,True,False,6
36,node4-1,node3-4,-5,True,False,6
37,node4-1,node3-4,-5,True,False,7
38,node4-1,node3-4,-5,True,False,5
39,node4-1,node3-4,-5,True,False,6
40,node4-1,node3-4,-5,True,False,8
41,node4-1,node3-4,-5,True,False,6
42,node4-1,node3-4,-5,True,False,8
43,node4-1,node3-4,-5,True,False,7
44,node4-1,node3-4,-5,True,False,5
45,node4-1,node3-4,-5,True,False,8
46,node4-1,node3-4,-5,True,False,7
47,node4-1,node3-4,-5,True,False,7
48,node4-1,node3-4,-5,True,False,7
49,node4-1,node3-4,-5,True,False,7
50,node4-1,node3-4,-5,True,False,7
51,node4-1,node3-4,-5,True,False,6
52,node4-1,node3-4,-5,True,False,7
53,node4-1,node3-4,-5,True,False,6
54,node4-1,node3-4,-5,True,False,7
55,node4-1,node3-4,-5,True,False,6
56,node4-1,node3-4,-5,True,False,7
57,node4-1,node3-4,-5,True,False,8
58,node4-1,node3-4,-5,True,False,7
59,node4-1,node3-4,-5,True,False,7
60,node4-1,node3-4,-5,True,False,7
61,node4-1,node3-4,-5,True,False,7
62,node4-1,node3-4,-5,True,False,7
63,node4-1,node3-4,-5,True,False,9
64,node4-1,node3-4,-5,True,False,7
65,node4-1,node3-4,-5,True,False,8
66,node4-1,node3-4,-5,True,False,7
67,node4-1,node3-4,-5,True,False,8
68,node4-1,node3-4,-5,True,False,8
69,node4-1,node3-4,-5,True,False,5
70,node4-1,node3-4,-5,True,False,7
71,node4-1,node3-4,-5,True,False,5
72,node4-1,node3-4,-5,True,False,7
73,node4-1,node3-4,-5,True,False,5
74,node4-1,node3-4,-5,True,False,5
75,node4-1,node3-4,-5,True,False,6
76,node4-1,node3-4,-5,True,False,8
77,node4-1,node3-4,-5,True,False,6
78,node4-1,node3-4,-5,True,False,5
79,node4-1,node3-4,-5,True,False,7
80,node4-1,node3-4,-5,True,False,7
81,node4-1,node3-4,-5,True,False,6
82,node4-1,node3-4,-5,True,False,4
83,node4-1,node3-4,-5,True,False,8
84,node4-1,node3-4,-5,True,False,7
85,node4-1,node3-4,-5,True,False,6
86,node4-1,node3-4,-5,True,False,7
87,node4-1,node3-4,-5,True,False,5
88,node4-1,node3-4,-5,True,False,8
89,node4-1,node3-4,-5,True,False,6
90,node4-1,node3-4,-5,True,False,7
91,node4-1,node3-4,-5,True,False,7
92,node4-1,node3-4,-5,True,False,6
93,node4-1,node3-4,-5,True,False,6
94,node4-1,node3-4,-5,True,False,7
95,node4-1,node3-4,-5,True,False,7
96,node4-1,node3-4,-5,True,False,7
97,node4-1,node3-4,-5,True,False,7
98,node4-1,node3-4,-5,True,False,7
99,node4-1,node3-4,-5,True,False,8
100,node4-1,node3-4,-5,True,False,6
101,node4-1,node3-4,-5,True,False,5
102,node4-1,node3-4,-5,True,False,7
103,node4-1,node3-4,-5,True,False,7
104,node4-1,node3-4,-5,True,False,8
105,node4-1,node3-4,-5,True,False,8
106,node4-1,node3-4,-5,True,False,8
107,node4-1,node3-4,-5,True,False,6
108,node4-1,node3-4,-5,True,False,7
109,node4-1,node3-4,-5,True,False,7
110,node4-1,node3-4,-5,True,False,8
111,node4-1,node3-4,-5,True,False,6
112,node4-1,node3-4,-5,True,False,7
113,node4-1,node3-4,-5,True,False,5
114,node4-1,node3-4,-5,True,False,8
115,node4-1,node3-4,-5,True,False,9
116,node4-1,node3-4,-5,True,False,6
117,node4-1,node3-4,-5,True,False,7
118,node4-1,node3-4,-5,True,False,7
119,node4-1,node3-4,-5,True,False,7
120,node4-1,node3-4,-5,True,False,4
121,node4-1,node3-4,-5,True,False,7
122,node4-1,node3-4,-5,True,False,6
123,node4-1,node3-4,-5,True,False,7
124,node4-1,node3-4,-5,True,False,7
125,node4-1,node3-4,-5,True,False,6
126,node4-1,node3-4,-5,True,False,8
127,node4-1,node3-4,-5,True,False,6
128,node4-1,node3-4,-5,True,False,6
129,node4-1,node3-4,-5,True,False,8
130,node4-1,node3-4,-5,True,False,8
131,node4-1,node3-4,-5,True,False,6
132,node4-1,node3-4,-5,True,False,7
133,node4-1,node3-4,-5,True,False,7
134,node4-1,node3-4,-5,True,False,7
135,node4-1,node3-4,-5,True,False,9
136,node4-1,node3-4,-5,True,False,7
137,node4-1,node3-4,-5,True,False,7
138,node4-1,node3-4,-5,True,False,6
139,node4-1,node3-4,-5,True,False,7
140,node4-1,node3-4,-5,True,False,9
141,node4-1,node3-4,-5,True,False,8
142,node4-1,node3-4,-5,True,False,6
143,node4-1,node3-4,-5,True,False,7
