seq,src,dst,noise,received,error,rssi
1,node3-8,node2-5,-20,True,False,23
2,node3-8,node2-5,-20,True,False,21
3,node3-8,node2-5,-20,True,False,20
4,node3-8,node2-5,-20,True,False,20
5,node3-8,node2-5,-20,True,False,20
6,node3-8,node2-5,-20,True,False,20
7,node3-8,node2-5,-20,True,False,20
8,node3-8,node2-5,-20,True,False,19
9,node3-8,node2-5,-20,True,False,20
10,node3-8,node2-5,-20,True,False,20
11,node3-8,node2-5,-20,True,False,21
12,node3-8,node2-5,-20,True,False,19
13,node3-8,node2-5,-20,True,False,20
14,node3-8,node2-5,-20,True,False,19
15,node3-8,node2-5,-20,True,False,20
16,node3-8,node2-5,-20,True,False,20
17,node3-8,node2-5,-20,True,False,20
18,node3-8,node2-5,-20,True,False,19
19,node3-8,node2-5,-20,True,False,21
20,node3-8,node2-5,-20,True,False,20
21,node3-8,node2-5,-20,True,False,19
22,node3-8,node2-5,-20,True,False,20
23,node3-8,node2-5,-20,True,False,20
24,node3-8,node2-5,-20,True,False,20
25,node3-8,node2-5,-20,True,False,19
26,node3-8,node2-5,-20,True,False,20
27,node3-8,node2-5,-20,True,False,20
28,node3-8,node2-5,-20,True,False,20
29,node3-8,node2-5,-20,True,False,20
30,node3-8,node2-5,-20,True,False,19
31,node3-8,node2-5,-20,True,False,20
32,node3-8,node2-5,-20,True,False,22
33,node3-8,node2-5,-20,True,False,21
34,node3-8,node2-5,-20,True,False,20
35,node3-8,node2-5,-20,True,False,19
36,node3-8,node2-5,-20,True,False,21
37,node3-8,node2-5,-20,True,False,19
38,node3-8,node2-5,-20,True,False,20
39,node3-8,node2-5,-20,True,False,21
40,node3-8,node2-5,-20,True,False,20
41,node3-8,node2-5,-20,True,False,20
42,node3-8,node2-5,-20,True,False,20
43,node3-8,node2-5,-20,True,False,19
44,node3-8,node2-5,-20,True,False,21
45,node3-8,node2-5,-20,True,False,20
46,node3-8,node2-5,-20,True,False,20
47,node3-8,node2-5,-20,True,False,20
48,node3-8,node2-5,-20,True,False,19
49,node3-8,node2-5,-20,True,False,20
50,node3-8,node2-5,-20,True,False,21
51,node3-8,node2-5,-20,True,False,20
52,node3-8,node2-5,-20,True,False,21
53,node3-8,node2-5,-20,True,False,20
54,node3-8,node2-5,-20,True,False,20
55,node3-8,node2-5,-20,True,False,20
56,node3-8,node2-5,-20,True,False,19
57,node3-8,node2-5,-20,True,False,20
58,node3-8,node2-5,-20,True,False,20
59,node3-8,node2-5,-20,True,False,20
60,node3-8,node2-5,-20,True,False,20
61,node3-8,node2-5,-20,True,False,20
62,node3-8,node2-5,-20,True,False,20
63,node3-8,node2-5,-20,True,False,20
64,node3-8,node2-5,-20,True,False,20
65,node3-8,node2-5,-20,True,False,19
66,node3-8,node2-5,-20,True,False,20
67,node3-8,node2-5,-20,True,False,20
68,node3-8,node2-5,-20,True,False,20
69,node3-8,node2-5,-20,True,False,20
70,node3-8,node2-5,-20,True,False,20
71,node3-8,node2-5,-20,True,False,20
72,node3-8,node2-5,-20,True,False,20
73,node3-8,node2-5,-20,True,False,19
74,node3-8,node2-5,-20,True,False,20
75,node3-8,node2-5,-20,True,False,20
76,node3-8,node2-5,-20,True,False,19
77,node3-8,node2-5,-20,True,False,20
78,node3-8,node2-5,-20,True,False,20
79,node3-8,node2-5,-20,True,False,20
80,node3-8,node2-5,-20,True,False,19
81,node3-8,node2-5,-20,True,False,19
82,node3-8,node2-5,-20,True,False,20
83,node3-8,node2-5,-20,True,False,19
84,node3-8,node2-5,-20,True,False,21
85,node3-8,node2-5,-20,True,False,19
86,node3-8,node2-5,-20,True,False,20
87,node3-8,node2-5,-20,True,False,19
88,node3-8,node2-5,-20,True,False,20
89,node3-8,node2-5,-20,True,False,21
90,node3-8,node2-5,-20,True,False,20
91,node3-8,node2-5,-20,True,False,19
92,node3-8,node2-5,-20,True,False,19
93,node3-8,node2-5,-20,True,False,19
94,node3-8,node2-5,-20,True,False,20
95,node3-8,node2-5,-20,True,False,20
96,node3-8,node2-5,-20,True,False,19
97,node3-8,node2-5,-20,True,False,19
98,node3-8,node2-5,-20,True,False,20
99,node3-8,node2-5,-20,True,False,20
100,node3-8,node2-5,-20,True,False,20
101,node3-8,node2-5,-20,True,False,20
102,node3-8,node2-5,-20,True,False,20
103,node3-8,node2-5,-20,True,False,20
104,node3-8,node2-5,-20,True,False,20
105,node3-8,node2-5,-20,True,False,20
106,node3-8,node2-5,-20,True,False,19
107,node3-8,node2-5,-20,True,False,20
108,node3-8,node2-5,-20,True,False,19
109,node3-8,node2-5,-20,True,False,20
110,node3-8,node2-5,-20,True,False,21
111,node3-8,node2-5,-20,True,False,20
112,node3-8,node2-5,-20,True,False,20
113,node3-8,node2-5,-20,True,False,20
114,node3-8,node2-5,-20,True,False,20
115,node3-8,node2-5,-20,True,False,21
116,node3-8,node2-5,-20,True,False,20
117,node3-8,node2-5,-20,True,False,20
118,node3-8,node2-5,-20,True,False,19
119,node3-8,node2-5,-20,True,False,20
120,node3-8,node2-5,-20,True,False,20
121,node3-8,node2-5,-20,True,False,20
122,node3-8,node2-5,-20,True,False,20
123,node3-8,node2-5,-20,True,False,21
124,node3-8,node2-5,-20,True,False,19
125,node3-8,node2-5,-20,True,False,20
126,node3-8,node2-5,-20,True,False,20
127,node3-8,node2-5,-20,True,False,20
128,node3-8,node2-5,-20,True,False,19
129,node3-8,node2-5,-20,True,False,19
130,node3-8,node2-5,-20,True,False,19
131,node3-8,node2-5,-20,True,False,20
132,node3-8,node2-5,-20,True,False,19
133,node3-8,node2-5,-20,True,False,20
134,node3-8,node2-5,-20,True,False,20
135,node3-8,node2-5,-20,True,False,20
136,node3-8,node2-5,-20,True,False,20
137,node3-8,node2-5,-20,True,False,20
138,node3-8,node2-5,-20,True,False,20
139,node3-8,node2-5,-20,True,False,21
140,node3-8,node2-5,-20,True,False,21
141,node3-8,node2-5,-20,True,False,20
142,node3-8,node2-5,-20,True,False,20
143,node3-8,node2-5,-20,True,False,20
144,node3-8,node2-5,-20,True,False,20
145,node3-8,node2-5,-20,True,False,19
146,node3-8,node2-5,-20,True,False,21
147,node3-8,node2-5,-20,True,False,20
148,node3-8,node2-5,-20,True,False,20
149,node3-8,node2-5,-20,True,False,21
150,node3-8,node2-5,-20,True,False,19
151,node3-8,node2-5,-20,True,False,20
152,node3-8,node2-5,-20,True,False,21
153,node3-8,node2-5,-20,True,False,20
154,node3-8,node2-5,-20,True,False,19
155,node3-8,node2-5,-20,True,False,20
156,node3-8,node2-5,-20,True,False,20
157,node3-8,node2-5,-20,True,False,20
158,node3-8,node2-5,-20,True,False,20
159,node3-8,node2-5,-20,True,False,20
160,node3-8,node2-5,-20,True,False,20
161,node3-8,node2-5,-20,True,False,19
162,node3-8,node2-5,-20,True,False,20
163,node3-8,node2-5,-20,True,False,20
164,node3-8,node2-5,-20,True,False,20
165,node3-8,node2-5,-20,True,False,20
166,node3-8,node2-5,-20,True,False,20
167,node3-8,node2-5,-20,True,False,20
168,node3-8,node2-5,-20,True,False,21
169,node3-8,node2-5,-20,True,False,20
170,node3-8,node2-5,-20,True,False,20
171,node3-8,node2-5,-20,True,False,20
