seq,src,dst,noise,received,error,rssi
1,node1-4,node8-3,-15,True,False,18
2,node1-4,node8-3,-15,True,False,17
3,node1-4,node8-3,-15,True,False,13
4,node1-4,node8-3,-15,True,False,14
5,node1-4,node8-3,-15,True,False,14
6,node1-4,node8-3,-15,True,False,15
7,node1-4,node8-3,-15,True,False,14
8,node1-4,node8-3,-15,True,False,15
9,node1-4,node8-3,-15,True,False,14
10,node1-4,node8-3,-15,True,False,14
11,node1-4,node8-3,-15,True,False,15
12,node1-4,node8-3,-15,True,False,14
13,node1-4,node8-3,-15,True,False,15
14,node1-4,node8-3,-15,True,False,15
15,node1-4,node8-3,-15,True,False,14
16,node1-4,node8-3,-15,True,False,15
17,node1-4,node8-3,-15,True,False,15
18,node1-4,node8-3,-15,True,False,15
19,node1-4,node8-3,-15,True,False,15
20,node1-4,node8-3,-15,True,False,14
21,node1-4,node8-3,-15,True,False,14
22,node1-4,node8-3,-15,True,False,14
23,node1-4,node8-3,-15,True,False,14
24,node1-4,node8-3,-15,True,False,14
25,node1-4,node8-3,-15,True,False,14
26,node1-4,node8-3,-15,True,False,15
27,node1-4,node8-3,-15,True,False,14
28,node1-4,node8-3,-15,True,False,15
29,node1-4,node8-3,-15,True,False,14
30,node1-4,node8-3,-15,True,False,13
31,node1-4,node8-3,-15,True,False,15
32,node1-4,node8-3,-15,True,False,13
33,node1-4,node8-3,-15,True,False,14
34,node1-4,node8-3,-15,True,False,14
35,node1-4,node8-3,-15,True,False,14
36,node1-4,node8-3,-15,True,False,14
37,node1-4,node8-3,-15,True,False,14
38,node1-4,node8-3,-15,True,False,15
39,node1-4,node8-3,-15,True,False,14
40,node1-4,node8-3,-15,True,False,14
41,node1-4,node8-3,-15,True,False,15
42,node1-4,node8-3,-15,True,False,14
43,node1-4,node8-3,-15,True,False,14
44,node1-4,node8-3,-15,True,False,15
45,node1-4,node8-3,-15,True,False,15
46,node1-4,node8-3,-15,True,False,14
47,node1-4,node8-3,-15,True,False,14
48,node1-4,node8-3,-15,True,False,14
49,node1-4,node8-3,-15,True,False,14
50,node1-4,node8-3,-15,True,False,14
51,node1-4,node8-3,-15,True,False,15
52,node1-4,node8-3,-15,True,False,15
53,node1-4,node8-3,-15,True,False,14
54,node1-4,node8-3,-15,True,False,14
55,node1-4,node8-3,-15,True,False,15
56,node1-4,node8-3,-15,True,False,14
57,node1-4,node8-3,-15,True,False,15
58,node1-4,node8-3,-15,True,False,14
59,node1-4,node8-3,-15,True,False,14
60,node1-4,node8-3,-15,True,False,14
61,node1-4,node8-3,-15,True,False,14
62,node1-4,node8-3,-15,True,False,14
63,node1-4,node8-3,-15,True,False,14
64,node1-4,node8-3,-15,True,False,15
65,node1-4,node8-3,-15,True,False,15
66,node1-4,node8-3,-15,True,False,14
67,node1-4,node8-3,-15,True,False,14
68,node1-4,node8-3,-15,True,False,14
69,node1-4,node8-3,-15,True,False,15
70,node1-4,node8-3,-15,True,False,14
71,node1-4,node8-3,-15,True,False,14
72,node1-4,node8-3,-15,True,False,14
73,node1-4,node8-3,-15,True,False,14
74,node1-4,node8-3,-15,True,False,14
75,node1-4,node8-3,-15,True,False,15
76,node1-4,node8-3,-15,True,False,14
77,node1-4,node8-3,-15,True,False,14
78,node1-4,node8-3,-15,True,False,14
79,node1-4,node8-3,-15,True,False,14
80,node1-4,node8-3,-15,True,False,15
81,node1-4,node8-3,-15,True,False,15
82,node1-4,node8-3,-15,True,False,14
83,node1-4,node8-3,-15,True,False,14
84,node1-4,node8-3,-15,True,False,15
85,node1-4,node8-3,-15,True,False,15
86,node1-4,node8-3,-15,True,False,15
87,node1-4,node8-3,-15,True,False,14
88,node1-4,node8-3,-15,True,False,15
89,node1-4,node8-3,-15,True,False,15
90,node1-4,node8-3,-15,True,False,14
91,node1-4,node8-3,-15,True,False,14
92,node1-4,node8-3,-15,True,False,14
93,node1-4,node8-3,-15,True,False,15
94,node1-4,node8-3,-15,True,False,14
95,node1-4,node8-3,-15,True,False,15
96,node1-4,node8-3,-15,True,False,15
97,node1-4,node8-3,-15,True,False,15
98,node1-4,node8-3,-15,True,False,16
99,node1-4,node8-3,-15,True,False,14
100,node1-4,node8-3,-15,True,False,14
101,node1-4,node8-3,-15,True,False,14
102,node1-4,node8-3,-15,True,False,15
103,node1-4,node8-3,-15,True,False,15
104,node1-4,node8-3,-15,True,False,14
105,node1-4,node8-3,-15,True,False,14
106,node1-4,node8-3,-15,True,False,13
107,node1-4,node8-3,-15,True,False,14
108,node1-4,node8-3,-15,True,False,15
109,node1-4,node8-3,-15,True,False,14
110,node1-4,node8-3,-15,True,False,14
111,node1-4,node8-3,-15,True,False,14
112,node1-4,node8-3,-15,True,False,14
113,node1-4,node8-3,-15,True,False,14
114,node1-4,node8-3,-15,True,False,14
115,node1-4,node8-3,-15,True,False,14
116,node1-4,node8-3,-15,True,False,15
117,node1-4,node8-3,-15,True,False,14
118,node1-4,node8-3,-15,True,False,14
119,node1-4,node8-3,-15,True,False,14
120,node1-4,node8-3,-15,True,False,14
121,node1-4,node8-3,-15,True,False,13
122,node1-4,node8-3,-15,True,False,14
123,node1-4,node8-3,-15,True,False,15
124,node1-4,node8-3,-15,True,False,14
125,node1-4,node8-3,-15,True,False,15
126,node1-4,node8-3,-15,True,False,14
127,node1-4,node8-3,-15,True,False,14
128,node1-4,node8-3,-15,True,False,13
129,node1-4,node8-3,-15,True,False,14
130,node1-4,node8-3,-15,True,False,15
131,node1-4,node8-3,-15,True,False,14
132,node1-4,node8-3,-15,True,False,14
133,node1-4,node8-3,-15,True,False,14
134,node1-4,node8-3,-15,True,False,14
135,node1-4,node8-3,-15,True,False,15
136,node1-4,node8-3,-15,True,False,14
137,node1-4,node8-3,-15,True,False,15
138,node1-4,node8-3,-15,True,False,14
139,node1-4,node8-3,-15,True,False,15
140,node1-4,node8-3,-15,True,False,14
141,node1-4,node8-3,-15,True,False,15
142,node1-4,node8-3,-15,True,False,14
143,node1-4,node8-3,-15,True,False,15
144,node1-4,node8-3,-15,True,False,15
145,node1-4,node8-3,-15,True,False,14
146,node1-4,node8-3,-15,True,False,15
147,node1-4,node8-3,-15,True,False,14
148,node1-4,node8-3,-15,True,False,14
149,node1-4,node8-3,-15,True,False,14
150,node1-4,node8-3,-15,True,False,14
151,node1-4,node8-3,-15,True,False,14
152,node1-4,node8-3,-15,True,False,14
153,node1-4,node8-3,-15,True,False,14
154,node1-4,node8-3,-15,True,False,14
155,node1-4,node8-3,-15,True,False,14
