seq,src,dst,noise,received,error,rssi
1,node1-4,node3-4,-20,True,False,33
2,node1-4,node3-4,-20,True,False,31
3,node1-4,node3-4,-20,True,False,28
4,node1-4,node3-4,-20,True,False,29
5,node1-4,node3-4,-20,True,False,28
6,node1-4,node3-4,-20,True,False,28
7,node1-4,node3-4,-20,True,False,27
8,node1-4,node3-4,-20,True,False,28
9,node1-4,node3-4,-20,True,False,27
10,node1-4,node3-4,-20,True,False,28
11,node1-4,node3-4,-20,True,False,28
12,node1-4,node3-4,-20,True,False,29
13,node1-4,node3-4,-20,True,False,29
14,node1-4,node3-4,-20,True,False,29
15,node1-4,node3-4,-20,True,False,28
16,node1-4,node3-4,-20,True,False,28
17,node1-4,node3-4,-20,True,False,29
18,node1-4,node3-4,-20,True,False,28
19,node1-4,node3-4,-20,True,False,28
20,node1-4,node3-4,-20,True,False,29
21,node1-4,node3-4,-20,True,False,28
22,node1-4,node3-4,-20,True,False,28
23,node1-4,node3-4,-20,True,False,29
24,node1-4,node3-4,-20,True,False,28
25,node1-4,node3-4,-20,True,False,29
26,node1-4,node3-4,-20,True,False,28
27,node1-4,node3-4,-20,True,False,28
28,node1-4,node3-4,-20,True,False,29
29,node1-4,node3-4,-20,True,False,28
30,node1-4,node3-4,-20,True,False,28
31,node1-4,node3-4,-20,True,False,28
32,node1-4,node3-4,-20,True,False,28
33,node1-4,node3-4,-20,True,False,28
34,node1-4,node3-4,-20,True,False,28
35,node1-4,node3-4,-20,True,False,28
36,node1-4,node3-4,-20,True,False,28
37,node1-4,node3-4,-20,True,False,29
38,node1-4,node3-4,-20,True,False,28
39,node1-4,node3-4,-20,True,False,28
40,node1-4,node3-4,-20,True,False,28
41,node1-4,node3-4,-20,True,False,29
42,node1-4,node3-4,-20,True,False,28
43,node1-4,node3-4,-20,True,False,28
44,node1-4,node3-4,-20,True,False,28
45,node1-4,node3-4,-20,True,False,29
46,node1-4,node3-4,-20,True,False,28
47,node1-4,node3-4,-20,True,False,29
48,node1-4,node3-4,-20,True,False,28
49,node1-4,node3-4,-20,True,False,28
50,node1-4,node3-4,-20,True,False,29
51,node1-4,node3-4,-20,True,False,28
52,node1-4,node3-4,-20,True,False,29
53,node1-4,node3-4,-20,True,False,28
54,node1-4,node3-4,-20,True,False,29
55,node1-4,node3-4,-20,True,False,27
56,node1-4,node3-4,-20,True,False,28
57,node1-4,node3-4,-20,True,False,27
58,node1-4,node3-4,-20,True,False,29
59,node1-4,node3-4,-20,True,False,28
60,node1-4,node3-4,-20,True,False,28
61,node1-4,node3-4,-20,True,False,27
62,node1-4,node3-4,-20,True,False,28
63,node1-4,node3-4,-20,True,False,28
64,node1-4,node3-4,-20,True,False,28
65,node1-4,node3-4,-20,True,False,29
66,node1-4,node3-4,-20,True,False,28
67,node1-4,node3-4,-20,True,False,28
68,node1-4,node3-4,-20,True,False,28
69,node1-4,node3-4,-20,True,False,29
70,node1-4,node3-4,-20,True,False,28
71,node1-4,node3-4,-20,True,False,29
72,node1-4,node3-4,-20,True,False,29
73,node1-4,node3-4,-20,True,False,27
74,node1-4,node3-4,-20,True,False,29
75,node1-4,node3-4,-20,True,False,28
76,node1-4,node3-4,-20,True,False,28
77,node1-4,node3-4,-20,True,False,29
78,node1-4,node3-4,-20,True,False,28
79,node1-4,node3-4,-20,True,False,28
80,node1-4,node3-4,-20,True,False,28
81,node1-4,node3-4,-20,True,False,27
82,node1-4,node3-4,-20,True,False,29
83,node1-4,node3-4,-20,True,False,27
84,node1-4,node3-4,-20,True,False,29
85,node1-4,node3-4,-20,True,False,28
86,node1-4,node3-4,-20,True,False,29
87,node1-4,node3-4,-20,True,False,29
88,node1-4,node3-4,-20,True,False,29
89,node1-4,node3-4,-20,True,False,28
90,node1-4,node3-4,-20,True,False,28
91,node1-4,node3-4,-20,True,False,28
92,node1-4,node3-4,-20,True,False,28
93,node1-4,node3-4,-20,True,False,28
94,node1-4,node3-4,-20,True,False,28
95,node1-4,node3-4,-20,True,False,28
96,node1-4,node3-4,-20,True,False,29
