seq,src,dst,noise,received,error,rssi
1,node6-1,node4-3,-20,True,False,18
2,node6-1,node4-3,-20,True,False,17
3,node6-1,node4-3,-20,True,False,15
4,node6-1,node4-3,-20,True,False,13
5,node6-1,node4-3,-20,True,False,13
6,node6-1,node4-3,-20,True,False,12
7,node6-1,node4-3,-20,True,False,11
8,node6-1,node4-3,-20,True,False,12
9,node6-1,node4-3,-20,True,False,13
10,node6-1,node4-3,-20,True,False,13
11,node6-1,node4-3,-20,True,False,12
12,node6-1,node4-3,-20,True,False,12
13,node6-1,node4-3,-20,True,False,12
14,node6-1,node4-3,-20,True,False,12
15,node6-1,node4-3,-20,True,False,12
16,node6-1,node4-3,-20,True,False,12
17,node6-1,node4-3,-20,True,False,13
18,node6-1,node4-3,-20,True,False,12
19,node6-1,node4-3,-20,True,False,12
20,node6-1,node4-3,-20,True,False,12
21,node6-1,node4-3,-20,True,False,12
22,node6-1,node4-3,-20,True,False,12
23,node6-1,node4-3,-20,True,False,13
24,node6-1,node4-3,-20,True,False,12
25,node6-1,node4-3,-20,True,False,12
26,node6-1,node4-3,-20,True,False,11
27,node6-1,node4-3,-20,True,False,13
28,node6-1,node4-3,-20,True,False,11
29,node6-1,node4-3,-20,True,False,11
30,node6-1,node4-3,-20,True,False,13
31,node6-1,node4-3,-20,True,False,13
32,node6-1,node4-3,-20,True,False,12
33,node6-1,node4-3,-20,True,False,12
34,node6-1,node4-3,-20,True,False,12
35,node6-1,node4-3,-20,True,False,12
36,node6-1,node4-3,-20,True,False,11
37,node6-1,node4-3,-20,True,False,12
38,node6-1,node4-3,-20,True,False,12
39,node6-1,node4-3,-20,True,False,12
40,node6-1,node4-3,-20,True,False,12
41,node6-1,node4-3,-20,True,False,11
42,node6-1,node4-3,-20,True,False,13
43,node6-1,node4-3,-20,True,False,12
44,node6-1,node4-3,-20,True,False,12
45,node6-1,node4-3,-20,True,False,12
46,node6-1,node4-3,-20,True,False,12
47,node6-1,node4-3,-20,True,False,12
48,node6-1,node4-3,-20,True,False,12
49,node6-1,node4-3,-20,True,False,13
50,node6-1,node4-3,-20,True,False,12
51,node6-1,node4-3,-20,True,False,12
52,node6-1,node4-3,-20,True,False,13
53,node6-1,node4-3,-20,True,False,13
54,node6-1,node4-3,-20,True,False,12
55,node6-1,node4-3,-20,True,False,13
56,node6-1,node4-3,-20,True,False,12
57,node6-1,node4-3,-20,True,False,12
58,node6-1,node4-3,-20,True,False,12
59,node6-1,node4-3,-20,True,False,13
60,node6-1,node4-3,-20,True,False,12
61,node6-1,node4-3,-20,True,False,11
62,node6-1,node4-3,-20,True,False,12
63,node6-1,node4-3,-20,True,False,12
64,node6-1,node4-3,-20,True,False,12
65,node6-1,node4-3,-20,True,False,12
66,node6-1,node4-3,-20,True,False,12
67,node6-1,node4-3,-20,True,False,13
68,node6-1,node4-3,-20,True,False,12
69,node6-1,node4-3,-20,True,False,11
70,node6-1,node4-3,-20,True,False,12
71,node6-1,node4-3,-20,True,False,13
72,node6-1,node4-3,-20,True,False,12
73,node6-1,node4-3,-20,True,False,12
74,node6-1,node4-3,-20,True,False,13
75,node6-1,node4-3,-20,True,False,13
76,node6-1,node4-3,-20,True,False,13
77,node6-1,node4-3,-20,True,False,12
78,node6-1,node4-3,-20,True,False,13
79,node6-1,node4-3,-20,True,False,13
80,node6-1,node4-3,-20,True,False,12
81,node6-1,node4-3,-20,True,False,12
82,node6-1,node4-3,-20,True,False,13
83,node6-1,node4-3,-20,True,False,12
84,node6-1,node4-3,-20,True,False,12
85,node6-1,node4-3,-20,True,False,12
86,node6-1,node4-3,-20,True,False,12
87,node6-1,node4-3,-20,True,False,12
88,node6-1,node4-3,-20,True,False,11
89,node6-1,node4-3,-20,True,False,12
90,node6-1,node4-3,-20,True,False,12
91,node6-1,node4-3,-20,True,False,12
92,node6-1,node4-3,-20,True,False,12
93,node6-1,node4-3,-20,True,False,12
94,node6-1,node4-3,-20,True,False,13
95,node6-1,node4-3,-20,True,False,12
96,node6-1,node4-3,-20,True,False,13
97,node6-1,node4-3,-20,True,False,11
