seq,src,dst,noise,received,error,rssi
1,node6-3,node4-3,0,True,False,9
2,node6-3,node4-3,0,True,False,8
3,node6-3,node4-3,0,True,False,6
4,node6-3,node4-3,0,True,False,6
5,node6-3,node4-3,0,True,False,4
6,node6-3,node4-3,0,True,False,6
7,node6-3,node4-3,0,True,False,4
8,node6-3,node4-3,0,True,False,4
9,node6-3,node4-3,0,True,False,5
10,node6-3,node4-3,0,True,False,5
11,node6-3,node4-3,0,True,False,5
12,node6-3,node4-3,0,True,False,7
13,node6-3,node4-3,0,True,False,2
14,node6-3,node4-3,0,True,False,7
15,node6-3,node4-3,0,True,False,4
16,node6-3,node4-3,0,True,False,8
17,node6-3,node4-3,0,True,False,4
18,node6-3,node4-3,0,True,False,4
19,node6-3,node4-3,0,True,False,6
20,node6-3,node4-3,0,True,False,5
21,node6-3,node4-3,0,True,False,7
22,node6-3,node4-3,0,True,False,7
23,node6-3,node4-3,0,True,False,5
24,node6-3,node4-3,0,True,False,6
25,node6-3,node4-3,0,True,False,6
26,node6-3,node4-3,0,True,False,6
27,node6-3,node4-3,0,True,False,5
28,node6-3,node4-3,0,True,False,6
29,node6-3,node4-3,0,True,False,4
30,node6-3,node4-3,0,True,False,5
31,node6-3,node4-3,0,True,False,5
32,node6-3,node4-3,0,True,False,4
33,node6-3,node4-3,0,True,False,4
34,node6-3,node4-3,0,True,False,5
35,node6-3,node4-3,0,True,False,5
36,node6-3,node4-3,0,True,False,7
37,node6-3,node4-3,0,True,False,5
38,node6-3,node4-3,0,True,False,7
39,node6-3,node4-3,0,True,False,5
40,node6-3,node4-3,0,True,False,5
41,node6-3,node4-3,0,True,False,6
42,node6-3,node4-3,0,True,False,3
43,node6-3,node4-3,0,True,False,6
44,node6-3,node4-3,0,True,False,4
45,node6-3,node4-3,0,True,False,6
46,node6-3,node4-3,0,True,False,5
47,node6-3,node4-3,0,True,False,6
48,node6-3,node4-3,0,True,False,7
49,node6-3,node4-3,0,True,False,5
50,node6-3,node4-3,0,True,False,5
51,node6-3,node4-3,0,True,False,6
52,node6-3,node4-3,0,True,False,5
53,node6-3,node4-3,0,True,False,5
54,node6-3,node4-3,0,True,False,5
55,node6-3,node4-3,0,True,False,5
56,node6-3,node4-3,0,True,False,7
57,node6-3,node4-3,0,True,False,4
58,node6-3,node4-3,0,True,False,5
59,node6-3,node4-3,0,True,False,6
60,node6-3,node4-3,0,True,False,5
61,node6-3,node4-3,0,True,False,5
62,node6-3,node4-3,0,True,False,7
63,node6-3,node4-3,0,True,False,3
64,node6-3,node4-3,0,True,False,5
65,node6-3,node4-3,0,True,False,6
66,node6-3,node4-3,0,True,False,6
67,node6-3,node4-3,0,True,False,5
68,node6-3,node4-3,0,True,False,7
69,node6-3,node4-3,0,True,False,5
70,node6-3,node4-3,0,True,False,5
71,node6-3,node4-3,0,True,False,6
72,node6-3,node4-3,0,True,False,5
73,node6-3,node4-3,0,True,False,5
74,node6-3,node4-3,0,True,False,3
75,node6-3,node4-3,0,True,False,3
76,node6-3,node4-3,0,True,False,6
77,node6-3,node4-3,0,True,False,6
78,node6-3,node4-3,0,True,False,7
79,node6-3,node4-3,0,True,False,6
80,node6-3,node4-3,0,True,False,5
81,node6-3,node4-3,0,True,False,5
82,node6-3,node4-3,0,True,False,4
83,node6-3,node4-3,0,True,False,3
84,node6-3,node4-3,0,True,False,4
85,node6-3,node4-3,0,True,False,6
86,node6-3,node4-3,0,True,False,5
87,node6-3,node4-3,0,True,False,5
88,node6-3,node4-3,0,True,False,7
89,node6-3,node4-3,0,True,False,6
90,node6-3,node4-3,0,True,False,4
91,node6-3,node4-3,0,True,False,6
92,node6-3,node4-3,0,True,False,5
93,node6-3,node4-3,0,True,False,5
94,node6-3,node4-3,0,True,False,5
95,node6-3,node4-3,0,True,False,6
96,node6-3,node4-3,0,True,False,4
97,node6-3,node4-3,0,True,False,6
98,node6-3,node4-3,0,True,False,5
99,node6-3,node4-3,0,True,False,4
100,node6-3,node4-3,0,True,False,5
101,node6-3,node4-3,0,True,False,5
102,node6-3,node4-3,0,True,False,5
103,node6-3,node4-3,0,True,False,6
104,node6-3,node4-3,0,True,False,5
105,node6-3,node4-3,0,True,False,4
106,node6-3,node4-3,0,True,False,7
107,node6-3,node4-3,0,True,False,6
108,node6-3,node4-3,0,True,False,3
109,node6-3,node4-3,0,True,False,4
110,node6-3,node4-3,0,True,False,5
111,node6-3,node4-3,0,True,False,7
112,node6-3,node4-3,0,True,False,4
113,node6-3,node4-3,0,True,False,5
114,node6-3,node4-3,0,True,False,6
115,node6-3,node4-3,0,True,False,7
116,node6-3,node4-3,0,True,False,5
117,node6-3,node4-3,0,True,False,4
118,node6-3,node4-3,0,True,False,6
119,node6-3,node4-3,0,True,False,6
120,node6-3,node4-3,0,True,False,6
121,node6-3,node4-3,0,True,False,5
122,node6-3,node4-3,0,True,False,6
123,node6-3,node4-3,0,True,False,6
124,node6-3,node4-3,0,True,False,6
125,node6-3,node4-3,0,True,False,5
126,node6-3,node4-3,0,True,False,5
127,node6-3,node4-3,0,True,False,4
128,node6-3,node4-3,0,True,False,6
129,node6-3,node4-3,0,True,False,6
130,node6-3,node4-3,0,True,False,6
131,node6-3,node4-3,0,True,False,5
132,node6-3,node4-3,0,True,False,6
133,node6-3,node4-3,0,True,False,6
134,node6-3,node4-3,0,True,False,5
135,node6-3,node4-3,0,True,False,5
136,node6-3,node4-3,0,True,False,4
137,node6-3,node4-3,0,True,False,5
138,node6-3,node4-3,0,True,False,4
139,node6-3,node4-3,0,True,False,5
140,node6-3,node4-3,0,True,False,5
141,node6-3,node4-3,0,True,False,6
142,node6-3,node4-3,0,True,False,4
143,node6-3,node4-3,0,True,False,6
144,node6-3,node4-3,0,True,False,4
145,node6-3,node4-3,0,True,False,6
146,node6-3,node4-3,0,True,False,4
147,node6-3,node4-3,0,True,False,6
148,node6-3,node4-3,0,True,False,5
149,node6-3,node4-3,0,True,False,7
150,node6-3,node4-3,0,True,False,5
151,node6-3,node4-3,0,True,False,5
152,node6-3,node4-3,0,True,False,3
153,node6-3,node4-3,0,True,False,4
154,node6-3,node4-3,0,True,False,6
155,node6-3,node4-3,0,True,False,5
156,node6-3,node4-3,0,True,False,6
157,node6-3,node4-3,0,True,False,6
158,node6-3,node4-3,0,True,False,5
159,node6-3,node4-3,0,True,False,4
160,node6-3,node4-3,0,True,False,6
161,node6-3,node4-3,0,True,False,7
162,node6-3,node4-3,0,True,False,5
163,node6-3,node4-3,0,True,False,4
164,node6-3,node4-3,0,True,False,5
165,node6-3,node4-3,0,True,False,3
166,node6-3,node4-3,0,True,False,6
167,node6-3,node4-3,0,True,False,5
168,node6-3,node4-3,0,True,False,6
169,node6-3,node4-3,0,True,False,6
170,node6-3,node4-3,0,True,False,6
171,node6-3,node4-3,0,True,False,6
172,node6-3,node4-3,0,True,False,4
173,node6-3,node4-3,0,True,False,6
174,node6-3,node4-3,0,True,False,6
175,node6-3,node4-3,0,True,False,6
176,node6-3,node4-3,0,True,False,6
177,node6-3,node4-3,0,True,False,6
178,node6-3,node4-3,0,True,False,6
179,node6-3,node4-3,0,True,False,6
180,node6-3,node4-3,0,True,False,5
181,node6-3,node4-3,0,True,False,5
182,node6-3,node4-3,0,True,False,6
183,node6-3,node4-3,0,True,False,7
184,node6-3,node4-3,0,True,False,7
185,node6-3,node4-3,0,True,False,4
186,node6-3,node4-3,0,True,False,6
187,node6-3,node4-3,0,True,False,7
188,node6-3,node4-3,0,True,False,5
189,node6-3,node4-3,0,True,False,5
190,node6-3,node4-3,0,True,False,6
191,node6-3,node4-3,0,True,False,5
192,node6-3,node4-3,0,True,False,3
193,node6-3,node4-3,0,True,False,6
194,node6-3,node4-3,0,True,False,5
195,node6-3,node4-3,0,True,False,5
196,node6-3,node4-3,0,True,False,3
197,node6-3,node4-3,0,True,False,6
198,node6-3,node4-3,0,True,False,6
199,node6-3,node4-3,0,True,False,5
200,node6-3,node4-3,0,True,False,6
201,node6-3,node4-3,0,True,False,5
202,node6-3,node4-3,0,True,False,5
203,node6-3,node4-3,0,True,False,7
204,node6-3,node4-3,0,True,False,5
205,node6-3,node4-3,0,True,False,6
206,node6-3,node4-3,0,True,False,6
207,node6-3,node4-3,0,True,False,7
208,node6-3,node4-3,0,True,False,6
209,node6-3,node4-3,0,True,False,7
210,node6-3,node4-3,0,True,False,6
211,node6-3,node4-3,0,True,False,6
212,node6-3,node4-3,0,True,False,5
213,node6-3,node4-3,0,True,False,4
214,node6-3,node4-3,0,True,False,4
215,node6-3,node4-3,0,True,False,5
216,node6-3,node4-3,0,True,False,4
217,node6-3,node4-3,0,True,False,6
218,node6-3,node4-3,0,True,False,4
219,node6-3,node4-3,0,True,False,7
220,node6-3,node4-3,0,True,False,6
221,node6-3,node4-3,0,True,False,5
222,node6-3,node4-3,0,True,False,5
223,node6-3,node4-3,0,True,False,7
224,node6-3,node4-3,0,True,False,6
225,node6-3,node4-3,0,True,False,6
226,node6-3,node4-3,0,True,False,5
227,node6-3,node4-3,0,True,False,5
228,node6-3,node4-3,0,True,False,5
229,node6-3,node4-3,0,True,False,5
230,node6-3,node4-3,0,True,False,4
231,node6-3,node4-3,0,True,False,4
232,node6-3,node4-3,0,True,False,7
233,node6-3,node4-3,0,True,False,4
234,node6-3,node4-3,0,True,False,5
235,node6-3,node4-3,0,True,False,5
236,node6-3,node4-3,0,True,False,6
237,node6-3,node4-3,0,True,False,5
238,node6-3,node4-3,0,True,False,6
239,node6-3,node4-3,0,True,False,5
240,node6-3,node4-3,0,True,False,3
241,node6-3,node4-3,0,True,False,4
242,node6-3,node4-3,0,True,False,6
243,node6-3,node4-3,0,True,False,6
244,node6-3,node4-3,0,True,False,5
245,node6-3,node4-3,0,True,False,6
246,node6-3,node4-3,0,True,False,5
247,node6-3,node4-3,0,True,False,6
248,node6-3,node4-3,0,True,False,6
249,node6-3,node4-3,0,True,False,6
250,node6-3,node4-3,0,True,False,6
251,node6-3,node4-3,0,True,False,6
252,node6-3,node4-3,0,True,False,6
253,node6-3,node4-3,0,True,False,5
254,node6-3,node4-3,0,True,False,6
255,node6-3,node4-3,0,True,False,6
