seq,src,dst,noise,received,error,rssi
1,node1-6,node5-6,-5,True,False,11
2,node1-6,node5-6,-5,True,False,11
3,node1-6,node5-6,-5,True,False,9
4,node1-6,node5-6,-5,True,False,9
5,node1-6,node5-6,-5,True,False,10
6,node1-6,node5-6,-5,True,False,10
7,node1-6,node5-6,-5,True,False,9
8,node1-6,node5-6,-5,True,False,8
9,node1-6,node5-6,-5,True,False,10
10,node1-6,node5-6,-5,True,False,10
11,node1-6,node5-6,-5,True,False,8
12,node1-6,node5-6,-5,True,False,9
13,node1-6,node5-6,-5,True,False,9
14,node1-6,node5-6,-5,True,False,9
15,node1-6,node5-6,-5,True,False,9
16,node1-6,node5-6,-5,True,False,10
17,node1-6,node5-6,-5,True,False,11
18,node1-6,node5-6,-5,True,False,9
19,node1-6,node5-6,-5,True,False,8
20,node1-6,node5-6,-5,True,False,9
21,node1-6,node5-6,-5,True,False,9
22,node1-6,node5-6,-5,True,False,10
23,node1-6,node5-6,-5,True,False,9
24,node1-6,node5-6,-5,True,False,12
25,node1-6,node5-6,-5,True,False,10
26,node1-6,node5-6,-5,True,False,9
27,node1-6,node5-6,-5,True,False,8
28,node1-6,node5-6,-5,True,False,10
29,node1-6,node5-6,-5,True,False,9
30,node1-6,node5-6,-5,True,False,9
31,node1-6,node5-6,-5,True,False,10
32,node1-6,node5-6,-5,True,False,8
33,node1-6,node5-6,-5,True,False,11
34,node1-6,node5-6,-5,True,False,8
35,node1-6,node5-6,-5,True,False,8
36,node1-6,node5-6,-5,True,False,10
37,node1-6,node5-6,-5,True,False,10
38,node1-6,node5-6,-5,True,False,10
39,node1-6,node5-6,-5,True,False,11
40,node1-6,node5-6,-5,True,False,9
41,node1-6,node5-6,-5,True,False,10
42,node1-6,node5-6,-5,True,False,10
43,node1-6,node5-6,-5,True,False,8
44,node1-6,node5-6,-5,True,False,11
45,node1-6,node5-6,-5,True,False,11
46,node1-6,node5-6,-5,True,False,9
47,node1-6,node5-6,-5,True,False,9
48,node1-6,node5-6,-5,True,False,10
49,node1-6,node5-6,-5,True,False,9
50,node1-6,node5-6,-5,True,False,9
51,node1-6,node5-6,-5,True,False,7
52,node1-6,node5-6,-5,True,False,9
53,node1-6,node5-6,-5,True,False,5
54,node1-6,node5-6,-5,True,False,10
55,node1-6,node5-6,-5,True,False,11
56,node1-6,node5-6,-5,True,False,9
57,node1-6,node5-6,-5,True,False,9
58,node1-6,node5-6,-5,True,False,9
59,node1-6,node5-6,-5,True,False,8
60,node1-6,node5-6,-5,True,False,8
61,node1-6,node5-6,-5,True,False,8
62,node1-6,node5-6,-5,True,False,10
63,node1-6,node5-6,-5,True,False,11
64,node1-6,node5-6,-5,True,False,11
65,node1-6,node5-6,-5,True,False,11
