seq,src,dst,noise,received,error,rssi
1,node3-2,node5-2,0,True,False,12
2,node3-2,node5-2,0,True,False,11
3,node3-2,node5-2,0,True,False,9
4,node3-2,node5-2,0,True,False,8
5,node3-2,node5-2,0,True,False,7
6,node3-2,node5-2,0,True,False,6
7,node3-2,node5-2,0,True,False,8
8,node3-2,node5-2,0,True,False,8
9,node3-2,node5-2,0,True,False,5
10,node3-2,node5-2,0,True,False,7
11,node3-2,node5-2,0,True,False,7
12,node3-2,node5-2,0,True,False,7
13,node3-2,node5-2,0,True,False,8
14,node3-2,node5-2,0,True,False,7
15,node3-2,node5-2,0,True,False,7
16,node3-2,node5-2,0,True,False,7
17,node3-2,node5-2,0,True,False,6
18,node3-2,node5-2,0,True,False,6
19,node3-2,node5-2,0,True,False,7
20,node3-2,node5-2,0,True,False,6
21,node3-2,node5-2,0,True,False,6
22,node3-2,node5-2,0,True,False,7
23,node3-2,node5-2,0,True,False,6
24,node3-2,node5-2,0,True,False,6
25,node3-2,node5-2,0,True,False,7
26,node3-2,node5-2,0,True,False,7
27,node3-2,node5-2,0,True,False,6
28,node3-2,node5-2,0,True,False,6
29,node3-2,node5-2,0,True,False,7
30,node3-2,node5-2,0,True,False,6
31,node3-2,node5-2,0,True,False,7
32,node3-2,node5-2,0,True,False,7
33,node3-2,node5-2,0,True,False,7
34,node3-2,node5-2,0,True,False,6
35,node3-2,node5-2,0,True,False,6
36,node3-2,node5-2,0,True,False,8
37,node3-2,node5-2,0,True,False,7
38,node3-2,node5-2,0,True,False,8
39,node3-2,node5-2,0,True,False,6
40,node3-2,node5-2,0,True,False,7
41,node3-2,node5-2,0,True,False,6
42,node3-2,node5-2,0,True,False,5
43,node3-2,node5-2,0,True,False,5
44,node3-2,node5-2,0,True,False,6
45,node3-2,node5-2,0,True,False,6
46,node3-2,node5-2,0,True,False,6
47,node3-2,node5-2,0,True,False,6
48,node3-2,node5-2,0,True,False,6
49,node3-2,node5-2,0,True,False,6
50,node3-2,node5-2,0,True,False,6
51,node3-2,node5-2,0,True,False,7
52,node3-2,node5-2,0,True,False,6
53,node3-2,node5-2,0,True,False,6
54,node3-2,node5-2,0,True,False,6
55,node3-2,node5-2,0,True,False,6
56,node3-2,node5-2,0,True,False,7
57,node3-2,node5-2,0,True,False,6
58,node3-2,node5-2,0,True,False,7
59,node3-2,node5-2,0,True,False,6
60,node3-2,node5-2,0,True,False,6
61,node3-2,node5-2,0,True,False,6
62,node3-2,node5-2,0,True,False,7
63,node3-2,node5-2,0,True,False,6
64,node3-2,node5-2,0,True,False,7
65,node3-2,node5-2,0,True,False,7
66,node3-2,node5-2,0,True,False,7
67,node3-2,node5-2,0,True,False,6
68,node3-2,node5-2,0,True,False,6
69,node3-2,node5-2,0,True,False,8
70,node3-2,node5-2,0,True,False,6
71,node3-2,node5-2,0,True,False,7
72,node3-2,node5-2,0,True,False,6
73,node3-2,node5-2,0,True,False,6
74,node3-2,node5-2,0,True,False,6
75,node3-2,node5-2,0,True,False,6
76,node3-2,node5-2,0,True,False,6
77,node3-2,node5-2,0,True,False,7
78,node3-2,node5-2,0,True,False,6
79,node3-2,node5-2,0,True,False,6
80,node3-2,node5-2,0,True,False,7
81,node3-2,node5-2,0,True,False,7
82,node3-2,node5-2,0,True,False,6
83,node3-2,node5-2,0,True,False,7
84,node3-2,node5-2,0,True,False,6
85,node3-2,node5-2,0,True,False,6
86,node3-2,node5-2,0,True,False,7
87,node3-2,node5-2,0,True,False,5
88,node3-2,node5-2,0,True,False,7
89,node3-2,node5-2,0,True,False,6
90,node3-2,node5-2,0,True,False,6
91,node3-2,node5-2,0,True,False,6
92,node3-2,node5-2,0,True,False,6
93,node3-2,node5-2,0,True,False,5
94,node3-2,node5-2,0,True,False,7
95,node3-2,node5-2,0,True,False,6
96,node3-2,node5-2,0,True,False,6
97,node3-2,node5-2,0,True,False,5
98,node3-2,node5-2,0,True,False,7
99,node3-2,node5-2,0,True,False,7
100,node3-2,node5-2,0,True,False,6
101,node3-2,node5-2,0,True,False,7
102,node3-2,node5-2,0,True,False,6
103,node3-2,node5-2,0,True,False,6
104,node3-2,node5-2,0,True,False,5
105,node3-2,node5-2,0,True,False,6
106,node3-2,node5-2,0,True,False,5
107,node3-2,node5-2,0,True,False,7
108,node3-2,node5-2,0,True,False,6
109,node3-2,node5-2,0,True,False,7
110,node3-2,node5-2,0,True,False,6
111,node3-2,node5-2,0,True,False,7
112,node3-2,node5-2,0,True,False,6
113,node3-2,node5-2,0,True,False,7
114,node3-2,node5-2,0,True,False,7
115,node3-2,node5-2,0,True,False,5
116,node3-2,node5-2,0,True,False,6
117,node3-2,node5-2,0,True,False,7
118,node3-2,node5-2,0,True,False,6
119,node3-2,node5-2,0,True,False,6
120,node3-2,node5-2,0,True,False,7
121,node3-2,node5-2,0,True,False,7
122,node3-2,node5-2,0,True,False,6
123,node3-2,node5-2,0,True,False,6
124,node3-2,node5-2,0,True,False,6
125,node3-2,node5-2,0,True,False,7
126,node3-2,node5-2,0,True,False,7
127,node3-2,node5-2,0,True,False,6
128,node3-2,node5-2,0,True,False,5
129,node3-2,node5-2,0,True,False,7
130,node3-2,node5-2,0,True,False,6
131,node3-2,node5-2,0,True,False,6
132,node3-2,node5-2,0,True,False,7
133,node3-2,node5-2,0,True,False,7
134,node3-2,node5-2,0,True,False,7
135,node3-2,node5-2,0,True,False,6
136,node3-2,node5-2,0,True,False,7
137,node3-2,node5-2,0,True,False,6
138,node3-2,node5-2,0,True,False,6
139,node3-2,node5-2,0,True,False,6
140,node3-2,node5-2,0,True,False,7
141,node3-2,node5-2,0,True,False,6
142,node3-2,node5-2,0,True,False,7
143,node3-2,node5-2,0,True,False,7
144,node3-2,node5-2,0,True,False,6
145,node3-2,node5-2,0,True,False,7
146,node3-2,node5-2,0,True,False,8
147,node3-2,node5-2,0,True,False,7
148,node3-2,node5-2,0,True,False,5
149,node3-2,node5-2,0,True,False,7
150,node3-2,node5-2,0,True,False,7
151,node3-2,node5-2,0,True,False,6
152,node3-2,node5-2,0,True,False,8
153,node3-2,node5-2,0,True,False,7
154,node3-2,node5-2,0,True,False,7
155,node3-2,node5-2,0,True,False,7
156,node3-2,node5-2,0,True,False,6
157,node3-2,node5-2,0,True,False,7
158,node3-2,node5-2,0,True,False,6
159,node3-2,node5-2,0,True,False,6
160,node3-2,node5-2,0,True,False,6
161,node3-2,node5-2,0,True,False,7
162,node3-2,node5-2,0,True,False,6
163,node3-2,node5-2,0,True,False,7
