seq,src,dst,noise,received,error,rssi
1,node6-5,node8-5,-15,True,False,25
2,node6-5,node8-5,-15,True,False,22
3,node6-5,node8-5,-15,True,False,20
4,node6-5,node8-5,-15,True,False,21
5,node6-5,node8-5,-15,True,False,20
6,node6-5,node8-5,-15,True,False,20
7,node6-5,node8-5,-15,True,False,20
8,node6-5,node8-5,-15,True,False,20
9,node6-5,node8-5,-15,True,False,21
10,node6-5,node8-5,-15,True,False,20
11,node6-5,node8-5,-15,True,False,20
12,node6-5,node8-5,-15,True,False,20
13,node6-5,node8-5,-15,True,False,20
14,node6-5,node8-5,-15,True,False,20
15,node6-5,node8-5,-15,True,False,21
16,node6-5,node8-5,-15,True,False,20
17,node6-5,node8-5,-15,True,False,20
18,node6-5,node8-5,-15,True,False,21
19,node6-5,node8-5,-15,True,False,21
20,node6-5,node8-5,-15,True,False,20
21,node6-5,node8-5,-15,True,False,20
22,node6-5,node8-5,-15,True,False,20
23,node6-5,node8-5,-15,True,False,21
24,node6-5,node8-5,-15,True,False,20
25,node6-5,node8-5,-15,True,False,21
26,node6-5,node8-5,-15,True,False,20
27,node6-5,node8-5,-15,True,False,21
28,node6-5,node8-5,-15,True,False,20
29,node6-5,node8-5,-15,True,False,20
30,node6-5,node8-5,-15,True,False,21
31,node6-5,node8-5,-15,True,False,20
32,node6-5,node8-5,-15,True,False,21
33,node6-5,node8-5,-15,True,False,19
34,node6-5,node8-5,-15,True,False,20
35,node6-5,node8-5,-15,True,False,20
36,node6-5,node8-5,-15,True,False,20
37,node6-5,node8-5,-15,True,False,20
38,node6-5,node8-5,-15,True,False,20
39,node6-5,node8-5,-15,True,False,20
40,node6-5,node8-5,-15,True,False,19
41,node6-5,node8-5,-15,True,False,20
42,node6-5,node8-5,-15,True,False,20
43,node6-5,node8-5,-15,True,False,20
44,node6-5,node8-5,-15,True,False,20
45,node6-5,node8-5,-15,True,False,20
46,node6-5,node8-5,-15,True,False,20
47,node6-5,node8-5,-15,True,False,20
48,node6-5,node8-5,-15,True,False,20
49,node6-5,node8-5,-15,True,False,20
50,node6-5,node8-5,-15,True,False,21
51,node6-5,node8-5,-15,True,False,20
52,node6-5,node8-5,-15,True,False,20
53,node6-5,node8-5,-15,True,False,20
54,node6-5,node8-5,-15,True,False,20
55,node6-5,node8-5,-15,True,False,20
56,node6-5,node8-5,-15,True,False,21
57,node6-5,node8-5,-15,True,False,20
58,node6-5,node8-5,-15,True,False,21
59,node6-5,node8-5,-15,True,False,20
60,node6-5,node8-5,-15,True,False,20
61,node6-5,node8-5,-15,True,False,21
62,node6-5,node8-5,-15,True,False,20
63,node6-5,node8-5,-15,True,False,20
64,node6-5,node8-5,-15,True,False,19
65,node6-5,node8-5,-15,True,False,20
66,node6-5,node8-5,-15,True,False,19
67,node6-5,node8-5,-15,True,False,21
68,node6-5,node8-5,-15,True,False,19
69,node6-5,node8-5,-15,True,False,20
70,node6-5,node8-5,-15,True,False,21
71,node6-5,node8-5,-15,True,False,20
72,node6-5,node8-5,-15,True,False,20
73,node6-5,node8-5,-15,True,False,20
74,node6-5,node8-5,-15,True,False,21
75,node6-5,node8-5,-15,True,False,21
76,node6-5,node8-5,-15,True,False,20
77,node6-5,node8-5,-15,True,False,19
78,node6-5,node8-5,-15,True,False,20
79,node6-5,node8-5,-15,True,False,21
80,node6-5,node8-5,-15,True,False,21
81,node6-5,node8-5,-15,True,False,20
82,node6-5,node8-5,-15,True,False,21
83,node6-5,node8-5,-15,True,False,20
84,node6-5,node8-5,-15,True,False,19
85,node6-5,node8-5,-15,True,False,19
86,node6-5,node8-5,-15,True,False,20
87,node6-5,node8-5,-15,True,False,20
88,node6-5,node8-5,-15,True,False,21
89,node6-5,node8-5,-15,True,False,20
90,node6-5,node8-5,-15,True,False,19
91,node6-5,node8-5,-15,True,False,20
92,node6-5,node8-5,-15,True,False,20
93,node6-5,node8-5,-15,True,False,19
94,node6-5,node8-5,-15,True,False,21
95,node6-5,node8-5,-15,True,False,20
96,node6-5,node8-5,-15,True,False,20
97,node6-5,node8-5,-15,True,False,20
98,node6-5,node8-5,-15,True,False,20
99,node6-5,node8-5,-15,True,False,20
100,node6-5,node8-5,-15,True,False,21
101,node6-5,node8-5,-15,True,False,20
102,node6-5,node8-5,-15,True,False,19
103,node6-5,node8-5,-15,True,False,21
104,node6-5,node8-5,-15,True,False,20
105,node6-5,node8-5,-15,True,False,20
106,node6-5,node8-5,-15,True,False,20
107,node6-5,node8-5,-15,True,False,20
108,node6-5,node8-5,-15,True,False,20
109,node6-5,node8-5,-15,True,False,20
110,node6-5,node8-5,-15,True,False,20
111,node6-5,node8-5,-15,True,False,21
112,node6-5,node8-5,-15,True,False,21
113,node6-5,node8-5,-15,True,False,21
114,node6-5,node8-5,-15,True,False,20
