seq,src,dst,noise,received,error,rssi
1,node4-5,node4-1,-15,True,False,9
2,node4-5,node4-1,-15,True,False,8
3,node4-5,node4-1,-15,True,False,6
4,node4-5,node4-1,-15,True,False,2
5,node4-5,node4-1,-15,False,False,0
6,node4-5,node4-1,-15,False,False,0
7,node4-5,node4-1,-15,False,False,0
8,node4-5,node4-1,-15,False,False,0
9,node4-5,node4-1,-15,False,False,0
10,node4-5,node4-1,-15,False,False,0
11,node4-5,node4-1,-15,False,False,0
12,node4-5,node4-1,-15,True,False,4
13,node4-5,node4-1,-15,True,False,4
14,node4-5,node4-1,-15,True,False,2
15,node4-5,node4-1,-15,True,False,3
16,node4-5,node4-1,-15,False,False,0
17,node4-5,node4-1,-15,False,False,0
18,node4-5,node4-1,-15,False,False,0
19,node4-5,node4-1,-15,False,False,0
20,node4-5,node4-1,-15,False,False,0
21,node4-5,node4-1,-15,True,False,1
22,node4-5,node4-1,-15,False,False,0
23,node4-5,node4-1,-15,True,False,0
24,node4-5,node4-1,-15,False,False,0
25,node4-5,node4-1,-15,True,False,4
26,node4-5,node4-1,-15,True,False,2
27,node4-5,node4-1,-15,True,False,3
28,node4-5,node4-1,-15,False,False,0
29,node4-5,node4-1,-15,True,False,4
30,node4-5,node4-1,-15,False,False,0
31,node4-5,node4-1,-15,False,False,0
32,node4-5,node4-1,-15,False,False,0
33,node4-5,node4-1,-15,False,False,0
34,node4-5,node4-1,-15,True,False,3
35,node4-5,node4-1,-15,True,False,2
36,node4-5,node4-1,-15,True,False,2
37,node4-5,node4-1,-15,True,False,3
38,node4-5,node4-1,-15,True,False,1
39,node4-5,node4-1,-15,True,False,0
40,node4-5,node4-1,-15,False,False,0
41,node4-5,node4-1,-15,False,False,0
42,node4-5,node4-1,-15,False,False,0
43,node4-5,node4-1,-15,True,False,2
44,node4-5,node4-1,-15,False,False,0
45,node4-5,node4-1,-15,False,False,0
46,node4-5,node4-1,-15,False,False,0
47,node4-5,node4-1,-15,True,False,1
48,node4-5,node4-1,-15,False,False,0
49,node4-5,node4-1,-15,True,False,1
50,node4-5,node4-1,-15,False,False,0
51,node4-5,node4-1,-15,False,False,0
52,node4-5,node4-1,-15,False,False,0
53,node4-5,node4-1,-15,False,False,0
54,node4-5,node4-1,-15,False,False,0
55,node4-5,node4-1,-15,False,False,0
56,node4-5,node4-1,-15,False,False,0
57,node4-5,node4-1,-15,False,False,0
58,node4-5,node4-1,-15,True,False,2
59,node4-5,node4-1,-15,False,False,0
60,node4-5,node4-1,-15,True,False,3
61,node4-5,node4-1,-15,True,False,2
62,node4-5,node4-1,-15,True,False,4
63,node4-5,node4-1,-15,True,False,3
64,node4-5,node4-1,-15,False,False,0
65,node4-5,node4-1,-15,False,False,0
66,node4-5,node4-1,-15,False,False,0
67,node4-5,node4-1,-15,False,False,0
68,node4-5,node4-1,-15,False,False,0
69,node4-5,node4-1,-15,True,False,3
70,node4-5,node4-1,-15,False,False,0
71,node4-5,node4-1,-15,False,False,0
72,node4-5,node4-1,-15,False,False,0
73,node4-5,node4-1,-15,True,False,2
74,node4-5,node4-1,-15,True,False,2
75,node4-5,node4-1,-15,True,False,1
76,node4-5,node4-1,-15,True,False,4
77,node4-5,node4-1,-15,True,False,3
78,node4-5,node4-1,-15,True,False,4
79,node4-5,node4-1,-15,False,False,0
80,node4-5,node4-1,-15,True,False,3
81,node4-5,node4-1,-15,False,False,0
82,node4-5,node4-1,-15,False,False,0
83,node4-5,node4-1,-15,False,False,0
84,node4-5,node4-1,-15,False,False,0
