seq,src,dst,noise,received,error,rssi
1,node1-8,node6-3,-10,True,False,11
2,node1-8,node6-3,-10,True,False,9
3,node1-8,node6-3,-10,True,False,9
4,node1-8,node6-3,-10,True,False,4
5,node1-8,node6-3,-10,True,False,5
6,node1-8,node6-3,-10,True,False,7
7,node1-8,node6-3,-10,True,False,6
8,node1-8,node6-3,-10,True,False,5
9,node1-8,node6-3,-10,True,False,4
10,node1-8,node6-3,-10,True,False,6
11,node1-8,node6-3,-10,True,False,5
12,node1-8,node6-3,-10,True,False,6
13,node1-8,node6-3,-10,True,False,5
14,node1-8,node6-3,-10,True,False,5
15,node1-8,node6-3,-10,True,False,2
16,node1-8,node6-3,-10,True,False,5
17,node1-8,node6-3,-10,True,False,6
18,node1-8,node6-3,-10,True,False,7
19,node1-8,node6-3,-10,True,False,5
20,node1-8,node6-3,-10,True,False,4
21,node1-8,node6-3,-10,True,False,4
22,node1-8,node6-3,-10,True,False,4
23,node1-8,node6-3,-10,True,False,5
24,node1-8,node6-3,-10,True,False,5
25,node1-8,node6-3,-10,True,False,5
26,node1-8,node6-3,-10,True,False,5
27,node1-8,node6-3,-10,True,False,5
28,node1-8,node6-3,-10,True,False,5
29,node1-8,node6-3,-10,True,False,6
30,node1-8,node6-3,-10,True,False,6
31,node1-8,node6-3,-10,True,False,6
32,node1-8,node6-3,-10,True,False,5
33,node1-8,node6-3,-10,True,False,5
34,node1-8,node6-3,-10,True,False,6
35,node1-8,node6-3,-10,True,False,6
36,node1-8,node6-3,-10,True,False,5
37,node1-8,node6-3,-10,True,False,6
38,node1-8,node6-3,-10,True,False,7
39,node1-8,node6-3,-10,True,False,5
40,node1-8,node6-3,-10,True,False,4
41,node1-8,node6-3,-10,True,False,5
42,node1-8,node6-3,-10,True,False,5
43,node1-8,node6-3,-10,True,False,6
44,node1-8,node6-3,-10,True,False,4
45,node1-8,node6-3,-10,True,False,5
46,node1-8,node6-3,-10,True,False,6
47,node1-8,node6-3,-10,True,False,5
48,node1-8,node6-3,-10,True,False,6
49,node1-8,node6-3,-10,True,False,4
50,node1-8,node6-3,-10,True,False,7
51,node1-8,node6-3,-10,True,False,7
52,node1-8,node6-3,-10,True,False,6
53,node1-8,node6-3,-10,True,False,5
54,node1-8,node6-3,-10,True,False,6
55,node1-8,node6-3,-10,True,False,4
56,node1-8,node6-3,-10,True,False,6
57,node1-8,node6-3,-10,True,False,5
58,node1-8,node6-3,-10,True,False,5
59,node1-8,node6-3,-10,True,False,6
60,node1-8,node6-3,-10,True,False,6
61,node1-8,node6-3,-10,True,False,5
62,node1-8,node6-3,-10,True,False,6
63,node1-8,node6-3,-10,True,False,5
64,node1-8,node6-3,-10,True,False,6
65,node1-8,node6-3,-10,True,False,5
66,node1-8,node6-3,-10,True,False,5
67,node1-8,node6-3,-10,True,False,6
68,node1-8,node6-3,-10,True,False,6
69,node1-8,node6-3,-10,True,False,5
70,node1-8,node6-3,-10,True,False,6
71,node1-8,node6-3,-10,True,False,6
72,node1-8,node6-3,-10,True,False,4
73,node1-8,node6-3,-10,True,False,6
74,node1-8,node6-3,-10,True,False,5
75,node1-8,node6-3,-10,True,False,6
76,node1-8,node6-3,-10,True,False,6
77,node1-8,node6-3,-10,True,False,5
78,node1-8,node6-3,-10,True,False,6
79,node1-8,node6-3,-10,True,False,5
80,node1-8,node6-3,-10,True,False,6
81,node1-8,node6-3,-10,True,False,4
82,node1-8,node6-3,-10,True,False,5
83,node1-8,node6-3,-10,True,False,5
84,node1-8,node6-3,-10,True,False,5
85,node1-8,node6-3,-10,True,False,5
86,node1-8,node6-3,-10,True,False,5
87,node1-8,node6-3,-10,True,False,5
88,node1-8,node6-3,-10,True,False,5
89,node1-8,node6-3,-10,True,False,6
90,node1-8,node6-3,-10,True,False,2
91,node1-8,node6-3,-10,True,False,6
92,node1-8,node6-3,-10,True,False,5
93,node1-8,node6-3,-10,True,False,6
94,node1-8,node6-3,-10,True,False,5
95,node1-8,node6-3,-10,True,False,5
96,node1-8,node6-3,-10,True,False,7
97,node1-8,node6-3,-10,True,False,4
98,node1-8,node6-3,-10,True,False,6
99,node1-8,node6-3,-10,True,False,7
100,node1-8,node6-3,-10,True,False,5
101,node1-8,node6-3,-10,True,False,3
102,node1-8,node6-3,-10,True,False,5
103,node1-8,node6-3,-10,True,False,4
104,node1-8,node6-3,-10,True,False,5
105,node1-8,node6-3,-10,True,False,7
106,node1-8,node6-3,-10,True,False,4
107,node1-8,node6-3,-10,True,False,5
108,node1-8,node6-3,-10,True,False,5
109,node1-8,node6-3,-10,True,False,4
110,node1-8,node6-3,-10,True,False,6
111,node1-8,node6-3,-10,True,False,4
112,node1-8,node6-3,-10,True,False,5
113,node1-8,node6-3,-10,True,False,5
114,node1-8,node6-3,-10,True,False,5
115,node1-8,node6-3,-10,True,False,6
116,node1-8,node6-3,-10,True,False,5
117,node1-8,node6-3,-10,True,False,4
118,node1-8,node6-3,-10,True,False,3
119,node1-8,node6-3,-10,True,False,6
120,node1-8,node6-3,-10,True,False,3
121,node1-8,node6-3,-10,True,False,6
122,node1-8,node6-3,-10,True,False,5
123,node1-8,node6-3,-10,True,False,5
124,node1-8,node6-3,-10,True,False,6
125,node1-8,node6-3,-10,True,False,5
126,node1-8,node6-3,-10,True,False,5
127,node1-8,node6-3,-10,True,False,6
128,node1-8,node6-3,-10,True,False,3
129,node1-8,node6-3,-10,True,False,4
130,node1-8,node6-3,-10,True,False,5
131,node1-8,node6-3,-10,True,False,5
132,node1-8,node6-3,-10,True,False,4
133,node1-8,node6-3,-10,True,False,4
134,node1-8,node6-3,-10,True,False,5
135,node1-8,node6-3,-10,True,False,6
136,node1-8,node6-3,-10,True,False,4
137,node1-8,node6-3,-10,True,False,6
138,node1-8,node6-3,-10,True,False,4
139,node1-8,node6-3,-10,True,False,6
140,node1-8,node6-3,-10,True,False,6
141,node1-8,node6-3,-10,True,False,5
142,node1-8,node6-3,-10,True,False,4
143,node1-8,node6-3,-10,True,False,7
144,node1-8,node6-3,-10,True,False,4
145,node1-8,node6-3,-10,True,False,6
146,node1-8,node6-3,-10,True,False,6
147,node1-8,node6-3,-10,True,False,5
148,node1-8,node6-3,-10,True,False,5
149,node1-8,node6-3,-10,True,False,5
150,node1-8,node6-3,-10,True,False,5
151,node1-8,node6-3,-10,True,False,5
152,node1-8,node6-3,-10,True,False,6
153,node1-8,node6-3,-10,True,False,6
154,node1-8,node6-3,-10,True,False,4
155,node1-8,node6-3,-10,True,False,3
156,node1-8,node6-3,-10,True,False,5
157,node1-8,node6-3,-10,True,False,6
158,node1-8,node6-3,-10,True,False,5
159,node1-8,node6-3,-10,True,False,5
160,node1-8,node6-3,-10,True,False,5
161,node1-8,node6-3,-10,True,False,6
162,node1-8,node6-3,-10,True,False,5
163,node1-8,node6-3,-10,True,False,5
164,node1-8,node6-3,-10,True,False,6
165,node1-8,node6-3,-10,True,False,7
166,node1-8,node6-3,-10,True,False,5
167,node1-8,node6-3,-10,True,False,6
168,node1-8,node6-3,-10,True,False,5
169,node1-8,node6-3,-10,True,False,4
170,node1-8,node6-3,-10,True,False,6
171,node1-8,node6-3,-10,True,False,3
172,node1-8,node6-3,-10,True,False,6
173,node1-8,node6-3,-10,True,False,5
174,node1-8,node6-3,-10,True,False,5
175,node1-8,node6-3,-10,True,False,5
176,node1-8,node6-3,-10,True,False,4
177,node1-8,node6-3,-10,True,False,6
178,node1-8,node6-3,-10,True,False,6
179,node1-8,node6-3,-10,True,False,5
180,node1-8,node6-3,-10,True,False,5
181,node1-8,node6-3,-10,True,False,4
182,node1-8,node6-3,-10,True,False,5
183,node1-8,node6-3,-10,True,False,5
184,node1-8,node6-3,-10,True,False,5
185,node1-8,node6-3,-10,True,False,2
186,node1-8,node6-3,-10,True,False,4
187,node1-8,node6-3,-10,True,False,6
188,node1-8,node6-3,-10,True,False,6
189,node1-8,node6-3,-10,True,False,5
190,node1-8,node6-3,-10,True,False,6
191,node1-8,node6-3,-10,True,False,4
192,node1-8,node6-3,-10,True,False,5
193,node1-8,node6-3,-10,True,False,6
194,node1-8,node6-3,-10,True,False,4
195,node1-8,node6-3,-10,True,False,6
196,node1-8,node6-3,-10,True,False,4
197,node1-8,node6-3,-10,True,False,7
198,node1-8,node6-3,-10,True,False,6
199,node1-8,node6-3,-10,True,False,5
200,node1-8,node6-3,-10,True,False,5
201,node1-8,node6-3,-10,True,False,5
202,node1-8,node6-3,-10,True,False,5
203,node1-8,node6-3,-10,True,False,4
204,node1-8,node6-3,-10,True,False,6
205,node1-8,node6-3,-10,True,False,5
206,node1-8,node6-3,-10,True,False,6
207,node1-8,node6-3,-10,True,False,4
208,node1-8,node6-3,-10,True,False,6
209,node1-8,node6-3,-10,True,False,6
210,node1-8,node6-3,-10,True,False,5
211,node1-8,node6-3,-10,True,False,4
212,node1-8,node6-3,-10,True,False,6
213,node1-8,node6-3,-10,True,False,6
214,node1-8,node6-3,-10,True,False,6
215,node1-8,node6-3,-10,True,False,6
216,node1-8,node6-3,-10,True,False,5
217,node1-8,node6-3,-10,True,False,4
218,node1-8,node6-3,-10,True,False,6
219,node1-8,node6-3,-10,True,False,5
220,node1-8,node6-3,-10,True,False,5
221,node1-8,node6-3,-10,True,False,6
222,node1-8,node6-3,-10,True,False,5
223,node1-8,node6-3,-10,True,False,6
224,node1-8,node6-3,-10,True,False,7
225,node1-8,node6-3,-10,True,False,5
226,node1-8,node6-3,-10,True,False,5
227,node1-8,node6-3,-10,True,False,5
228,node1-8,node6-3,-10,True,False,6
229,node1-8,node6-3,-10,True,False,5
230,node1-8,node6-3,-10,True,False,6
231,node1-8,node6-3,-10,True,False,6
232,node1-8,node6-3,-10,True,False,6
233,node1-8,node6-3,-10,True,False,5
234,node1-8,node6-3,-10,True,False,6
235,node1-8,node6-3,-10,True,False,5
236,node1-8,node6-3,-10,True,False,5
237,node1-8,node6-3,-10,True,False,5
238,node1-8,node6-3,-10,True,False,5
239,node1-8,node6-3,-10,True,False,6
240,node1-8,node6-3,-10,True,False,5
241,node1-8,node6-3,-10,True,False,6
242,node1-8,node6-3,-10,True,False,4
243,node1-8,node6-3,-10,True,False,5
244,node1-8,node6-3,-10,True,False,6
245,node1-8,node6-3,-10,True,False,6
246,node1-8,node6-3,-10,True,False,5
247,node1-8,node6-3,-10,True,False,5
248,node1-8,node6-3,-10,True,False,6
249,node1-8,node6-3,-10,True,False,4
250,node1-8,node6-3,-10,True,False,5
251,node1-8,node6-3,-10,True,False,6
252,node1-8,node6-3,-10,True,False,5
253,node1-8,node6-3,-10,True,False,6
254,node1-8,node6-3,-10,True,False,5
255,node1-8,node6-3,-10,True,False,5
256,node1-8,node6-3,-10,True,False,5
257,node1-8,node6-3,-10,True,False,5
258,node1-8,node6-3,-10,True,False,5
259,node1-8,node6-3,-10,True,False,3
260,node1-8,node6-3,-10,True,False,3
261,node1-8,node6-3,-10,True,False,7
262,node1-8,node6-3,-10,True,False,5
263,node1-8,node6-3,-10,True,False,5
264,node1-8,node6-3,-10,True,False,6
265,node1-8,node6-3,-10,True,False,6
