seq,src,dst,noise,received,error,rssi
1,node7-2,node6-5,-10,True,False,12
2,node7-2,node6-5,-10,True,False,12
3,node7-2,node6-5,-10,True,False,10
4,node7-2,node6-5,-10,True,False,6
5,node7-2,node6-5,-10,True,False,6
6,node7-2,node6-5,-10,True,False,9
7,node7-2,node6-5,-10,True,False,7
8,node7-2,node6-5,-10,True,False,8
9,node7-2,node6-5,-10,True,False,7
10,node7-2,node6-5,-10,True,False,8
11,node7-2,node6-5,-10,True,False,7
12,node7-2,node6-5,-10,True,False,6
13,node7-2,node6-5,-10,True,False,7
14,node7-2,node6-5,-10,True,False,8
15,node7-2,node6-5,-10,True,False,8
16,node7-2,node6-5,-10,True,False,6
17,node7-2,node6-5,-10,True,False,9
18,node7-2,node6-5,-10,True,False,7
19,node7-2,node6-5,-10,True,False,8
20,node7-2,node6-5,-10,True,False,6
21,node7-2,node6-5,-10,True,False,7
22,node7-2,node6-5,-10,True,False,8
23,node7-2,node6-5,-10,True,False,8
24,node7-2,node6-5,-10,True,False,8
25,node7-2,node6-5,-10,True,False,8
26,node7-2,node6-5,-10,True,False,7
27,node7-2,node6-5,-10,True,False,7
28,node7-2,node6-5,-10,True,False,8
29,node7-2,node6-5,-10,True,False,8
30,node7-2,node6-5,-10,True,False,7
31,node7-2,node6-5,-10,True,False,6
32,node7-2,node6-5,-10,True,False,8
33,node7-2,node6-5,-10,True,False,7
34,node7-2,node6-5,-10,True,False,7
35,node7-2,node6-5,-10,True,False,7
36,node7-2,node6-5,-10,True,False,6
37,node7-2,node6-5,-10,True,False,7
38,node7-2,node6-5,-10,True,False,7
39,node7-2,node6-5,-10,True,False,8
40,node7-2,node6-5,-10,True,False,7
41,node7-2,node6-5,-10,True,False,9
42,node7-2,node6-5,-10,True,False,7
43,node7-2,node6-5,-10,True,False,7
44,node7-2,node6-5,-10,True,False,8
45,node7-2,node6-5,-10,True,False,8
46,node7-2,node6-5,-10,True,False,7
47,node7-2,node6-5,-10,True,False,7
48,node7-2,node6-5,-10,True,False,8
49,node7-2,node6-5,-10,True,False,8
50,node7-2,node6-5,-10,True,False,6
51,node7-2,node6-5,-10,True,False,6
52,node7-2,node6-5,-10,True,False,7
53,node7-2,node6-5,-10,True,False,8
54,node7-2,node6-5,-10,True,False,8
55,node7-2,node6-5,-10,True,False,7
56,node7-2,node6-5,-10,True,False,7
57,node7-2,node6-5,-10,True,False,7
58,node7-2,node6-5,-10,True,False,8
59,node7-2,node6-5,-10,True,False,7
60,node7-2,node6-5,-10,True,False,7
61,node7-2,node6-5,-10,True,False,8
62,node7-2,node6-5,-10,True,False,6
63,node7-2,node6-5,-10,True,False,7
64,node7-2,node6-5,-10,True,False,8
65,node7-2,node6-5,-10,True,False,8
66,node7-2,node6-5,-10,True,False,7
67,node7-2,node6-5,-10,True,False,6
68,node7-2,node6-5,-10,True,False,7
69,node7-2,node6-5,-10,True,False,6
70,node7-2,node6-5,-10,True,False,6
71,node7-2,node6-5,-10,True,False,8
72,node7-2,node6-5,-10,True,False,7
73,node7-2,node6-5,-10,True,False,7
74,node7-2,node6-5,-10,True,False,8
75,node7-2,node6-5,-10,True,False,8
76,node7-2,node6-5,-10,True,False,7
77,node7-2,node6-5,-10,True,False,7
78,node7-2,node6-5,-10,True,False,6
79,node7-2,node6-5,-10,True,False,8
80,node7-2,node6-5,-10,True,False,8
81,node7-2,node6-5,-10,True,False,6
82,node7-2,node6-5,-10,True,False,7
83,node7-2,node6-5,-10,True,False,6
84,node7-2,node6-5,-10,True,False,6
85,node7-2,node6-5,-10,True,False,7
86,node7-2,node6-5,-10,True,False,7
87,node7-2,node6-5,-10,True,False,8
88,node7-2,node6-5,-10,True,False,7
89,node7-2,node6-5,-10,True,False,7
90,node7-2,node6-5,-10,True,False,8
91,node7-2,node6-5,-10,True,False,7
92,node7-2,node6-5,-10,True,False,8
93,node7-2,node6-5,-10,True,False,6
94,node7-2,node6-5,-10,True,False,7
95,node7-2,node6-5,-10,True,False,6
96,node7-2,node6-5,-10,True,False,8
97,node7-2,node6-5,-10,True,False,7
98,node7-2,node6-5,-10,True,False,7
99,node7-2,node6-5,-10,True,False,8
100,node7-2,node6-5,-10,True,False,7
101,node7-2,node6-5,-10,True,False,6
102,node7-2,node6-5,-10,True,False,7
103,node7-2,node6-5,-10,True,False,7
104,node7-2,node6-5,-10,True,False,7
105,node7-2,node6-5,-10,True,False,7
106,node7-2,node6-5,-10,True,False,7
107,node7-2,node6-5,-10,True,False,8
108,node7-2,node6-5,-10,True,False,6
109,node7-2,node6-5,-10,True,False,7
110,node7-2,node6-5,-10,True,False,8
111,node7-2,node6-5,-10,True,False,8
112,node7-2,node6-5,-10,True,False,8
113,node7-2,node6-5,-10,True,False,7
114,node7-2,node6-5,-10,True,False,7
115,node7-2,node6-5,-10,True,False,7
116,node7-2,node6-5,-10,True,False,7
117,node7-2,node6-5,-10,True,False,7
118,node7-2,node6-5,-10,True,False,7
119,node7-2,node6-5,-10,True,False,7
120,node7-2,node6-5,-10,True,False,7
121,node7-2,node6-5,-10,True,False,8
122,node7-2,node6-5,-10,True,False,9
123,node7-2,node6-5,-10,True,False,7
124,node7-2,node6-5,-10,True,False,7
125,node7-2,node6-5,-10,True,False,7
126,node7-2,node6-5,-10,True,False,6
127,node7-2,node6-5,-10,True,False,6
128,node7-2,node6-5,-10,True,False,7
129,node7-2,node6-5,-10,True,False,8
130,node7-2,node6-5,-10,True,False,6
131,node7-2,node6-5,-10,True,False,6
132,node7-2,node6-5,-10,True,False,7
133,node7-2,node6-5,-10,True,False,6
134,node7-2,node6-5,-10,True,False,7
135,node7-2,node6-5,-10,True,False,7
136,node7-2,node6-5,-10,True,False,7
137,node7-2,node6-5,-10,True,False,7
138,node7-2,node6-5,-10,True,False,6
139,node7-2,node6-5,-10,True,False,8
140,node7-2,node6-5,-10,True,False,8
141,node7-2,node6-5,-10,True,False,7
142,node7-2,node6-5,-10,True,False,7
143,node7-2,node6-5,-10,True,False,6
144,node7-2,node6-5,-10,True,False,7
145,node7-2,node6-5,-10,True,False,7
146,node7-2,node6-5,-10,True,False,7
147,node7-2,node6-5,-10,True,False,7
148,node7-2,node6-5,-10,True,False,7
149,node7-2,node6-5,-10,True,False,8
150,node7-2,node6-5,-10,True,False,6
151,node7-2,node6-5,-10,True,False,7
152,node7-2,node6-5,-10,True,False,7
153,node7-2,node6-5,-10,True,False,7
154,node7-2,node6-5,-10,True,False,7
155,node7-2,node6-5,-10,True,False,8
156,node7-2,node6-5,-10,True,False,7
157,node7-2,node6-5,-10,True,False,7
158,node7-2,node6-5,-10,True,False,7
159,node7-2,node6-5,-10,True,False,6
160,node7-2,node6-5,-10,True,False,8
161,node7-2,node6-5,-10,True,False,7
162,node7-2,node6-5,-10,True,False,8
163,node7-2,node6-5,-10,True,False,7
164,node7-2,node6-5,-10,True,False,7
165,node7-2,node6-5,-10,True,False,8
166,node7-2,node6-5,-10,True,False,7
167,node7-2,node6-5,-10,True,False,7
168,node7-2,node6-5,-10,True,False,8
169,node7-2,node6-5,-10,True,False,6
170,node7-2,node6-5,-10,True,False,7
171,node7-2,node6-5,-10,True,False,7
172,node7-2,node6-5,-10,True,False,6
173,node7-2,node6-5,-10,True,False,9
174,node7-2,node6-5,-10,True,False,7
175,node7-2,node6-5,-10,True,False,7
176,node7-2,node6-5,-10,True,False,8
177,node7-2,node6-5,-10,True,False,7
178,node7-2,node6-5,-10,True,False,8
179,node7-2,node6-5,-10,True,False,7
180,node7-2,node6-5,-10,True,False,8
181,node7-2,node6-5,-10,True,False,7
182,node7-2,node6-5,-10,True,False,8
183,node7-2,node6-5,-10,True,False,6
184,node7-2,node6-5,-10,True,False,8
185,node7-2,node6-5,-10,True,False,8
186,node7-2,node6-5,-10,True,False,6
187,node7-2,node6-5,-10,True,False,8
188,node7-2,node6-5,-10,True,False,7
189,node7-2,node6-5,-10,True,False,8
190,node7-2,node6-5,-10,True,False,8
191,node7-2,node6-5,-10,True,False,8
192,node7-2,node6-5,-10,True,False,6
193,node7-2,node6-5,-10,True,False,8
194,node7-2,node6-5,-10,True,False,7
195,node7-2,node6-5,-10,True,False,7
196,node7-2,node6-5,-10,True,False,8
197,node7-2,node6-5,-10,True,False,6
198,node7-2,node6-5,-10,True,False,6
199,node7-2,node6-5,-10,True,False,6
200,node7-2,node6-5,-10,True,False,6
201,node7-2,node6-5,-10,True,False,6
202,node7-2,node6-5,-10,True,False,7
203,node7-2,node6-5,-10,True,False,8
204,node7-2,node6-5,-10,True,False,7
205,node7-2,node6-5,-10,True,False,6
206,node7-2,node6-5,-10,True,False,7
207,node7-2,node6-5,-10,True,False,8
208,node7-2,node6-5,-10,True,False,6
209,node7-2,node6-5,-10,True,False,6
210,node7-2,node6-5,-10,True,False,7
211,node7-2,node6-5,-10,True,False,7
212,node7-2,node6-5,-10,True,False,6
213,node7-2,node6-5,-10,True,False,7
214,node7-2,node6-5,-10,True,False,8
215,node7-2,node6-5,-10,True,False,6
216,node7-2,node6-5,-10,True,False,8
217,node7-2,node6-5,-10,True,False,7
218,node7-2,node6-5,-10,True,False,7
219,node7-2,node6-5,-10,True,False,6
220,node7-2,node6-5,-10,True,False,8
221,node7-2,node6-5,-10,True,False,7
222,node7-2,node6-5,-10,True,False,6
223,node7-2,node6-5,-10,True,False,7
224,node7-2,node6-5,-10,True,False,7
225,node7-2,node6-5,-10,True,False,8
226,node7-2,node6-5,-10,True,False,8
227,node7-2,node6-5,-10,True,False,9
228,node7-2,node6-5,-10,True,False,6
229,node7-2,node6-5,-10,True,False,8
230,node7-2,node6-5,-10,True,False,8
231,node7-2,node6-5,-10,True,False,7
232,node7-2,node6-5,-10,True,False,7
233,node7-2,node6-5,-10,True,False,6
234,node7-2,node6-5,-10,True,False,7
235,node7-2,node6-5,-10,True,False,6
236,node7-2,node6-5,-10,True,False,7
237,node7-2,node6-5,-10,True,False,9
238,node7-2,node6-5,-10,True,False,6
239,node7-2,node6-5,-10,True,False,7
240,node7-2,node6-5,-10,True,False,7
241,node7-2,node6-5,-10,True,False,7
242,node7-2,node6-5,-10,True,False,8
243,node7-2,node6-5,-10,True,False,7
244,node7-2,node6-5,-10,True,False,8
