seq,src,dst,noise,received,error,rssi
1,node6-1,node6-3,-5,True,False,17
2,node6-1,node6-3,-5,True,False,16
3,node6-1,node6-3,-5,True,False,13
4,node6-1,node6-3,-5,True,False,11
5,node6-1,node6-3,-5,True,False,9
6,node6-1,node6-3,-5,True,False,10
7,node6-1,node6-3,-5,True,False,8
8,node6-1,node6-3,-5,True,False,7
9,node6-1,node6-3,-5,True,False,10
10,node6-1,node6-3,-5,True,False,9
11,node6-1,node6-3,-5,True,False,10
12,node6-1,node6-3,-5,True,False,9
13,node6-1,node6-3,-5,True,False,10
14,node6-1,node6-3,-5,True,False,10
15,node6-1,node6-3,-5,True,False,10
16,node6-1,node6-3,-5,True,False,10
17,node6-1,node6-3,-5,True,False,10
18,node6-1,node6-3,-5,True,False,11
19,node6-1,node6-3,-5,True,False,10
20,node6-1,node6-3,-5,True,False,10
21,node6-1,node6-3,-5,True,False,10
22,node6-1,node6-3,-5,True,False,10
23,node6-1,node6-3,-5,True,False,10
24,node6-1,node6-3,-5,True,False,10
25,node6-1,node6-3,-5,True,False,11
26,node6-1,node6-3,-5,True,False,10
27,node6-1,node6-3,-5,True,False,11
28,node6-1,node6-3,-5,True,False,9
29,node6-1,node6-3,-5,True,False,8
30,node6-1,node6-3,-5,True,False,10
31,node6-1,node6-3,-5,True,False,11
32,node6-1,node6-3,-5,True,False,11
33,node6-1,node6-3,-5,True,False,10
34,node6-1,node6-3,-5,True,False,10
35,node6-1,node6-3,-5,True,False,10
36,node6-1,node6-3,-5,True,False,9
37,node6-1,node6-3,-5,True,False,9
38,node6-1,node6-3,-5,True,False,10
39,node6-1,node6-3,-5,True,False,9
40,node6-1,node6-3,-5,True,False,10
41,node6-1,node6-3,-5,True,False,9
42,node6-1,node6-3,-5,True,False,10
43,node6-1,node6-3,-5,True,False,8
44,node6-1,node6-3,-5,True,False,11
45,node6-1,node6-3,-5,True,False,11
46,node6-1,node6-3,-5,True,False,10
47,node6-1,node6-3,-5,True,False,10
48,node6-1,node6-3,-5,True,False,10
49,node6-1,node6-3,-5,True,False,11
50,node6-1,node6-3,-5,True,False,10
51,node6-1,node6-3,-5,True,False,10
52,node6-1,node6-3,-5,True,False,10
53,node6-1,node6-3,-5,True,False,8
54,node6-1,node6-3,-5,True,False,8
55,node6-1,node6-3,-5,True,False,10
56,node6-1,node6-3,-5,True,False,10
57,node6-1,node6-3,-5,True,False,10
58,node6-1,node6-3,-5,True,False,9
59,node6-1,node6-3,-5,True,False,9
60,node6-1,node6-3,-5,True,False,9
61,node6-1,node6-3,-5,True,False,11
62,node6-1,node6-3,-5,True,False,9
63,node6-1,node6-3,-5,True,False,11
64,node6-1,node6-3,-5,True,False,10
65,node6-1,node6-3,-5,True,False,10
66,node6-1,node6-3,-5,True,False,9
67,node6-1,node6-3,-5,True,False,10
68,node6-1,node6-3,-5,True,False,9
69,node6-1,node6-3,-5,True,False,10
70,node6-1,node6-3,-5,True,False,11
71,node6-1,node6-3,-5,True,False,10
72,node6-1,node6-3,-5,True,False,11
73,node6-1,node6-3,-5,True,False,10
74,node6-1,node6-3,-5,True,False,11
75,node6-1,node6-3,-5,True,False,9
76,node6-1,node6-3,-5,True,False,9
77,node6-1,node6-3,-5,True,False,11
78,node6-1,node6-3,-5,True,False,8
79,node6-1,node6-3,-5,True,False,9
80,node6-1,node6-3,-5,True,False,11
81,node6-1,node6-3,-5,True,False,10
82,node6-1,node6-3,-5,True,False,11
83,node6-1,node6-3,-5,True,False,9
84,node6-1,node6-3,-5,True,False,8
85,node6-1,node6-3,-5,True,False,10
86,node6-1,node6-3,-5,True,False,10
87,node6-1,node6-3,-5,True,False,11
88,node6-1,node6-3,-5,True,False,10
89,node6-1,node6-3,-5,True,False,8
90,node6-1,node6-3,-5,True,False,10
91,node6-1,node6-3,-5,True,False,10
92,node6-1,node6-3,-5,True,False,9
93,node6-1,node6-3,-5,True,False,9
94,node6-1,node6-3,-5,True,False,9
95,node6-1,node6-3,-5,True,False,9
96,node6-1,node6-3,-5,True,False,10
97,node6-1,node6-3,-5,True,False,10
98,node6-1,node6-3,-5,True,False,9
99,node6-1,node6-3,-5,True,False,10
100,node6-1,node6-3,-5,True,False,10
101,node6-1,node6-3,-5,True,False,10
102,node6-1,node6-3,-5,True,False,10
103,node6-1,node6-3,-5,True,False,9
104,node6-1,node6-3,-5,True,False,10
105,node6-1,node6-3,-5,True,False,10
106,node6-1,node6-3,-5,True,False,9
107,node6-1,node6-3,-5,True,False,10
108,node6-1,node6-3,-5,True,False,10
109,node6-1,node6-3,-5,True,False,11
110,node6-1,node6-3,-5,True,False,11
111,node6-1,node6-3,-5,True,False,10
112,node6-1,node6-3,-5,True,False,10
113,node6-1,node6-3,-5,True,False,10
114,node6-1,node6-3,-5,True,False,9
115,node6-1,node6-3,-5,True,False,11
116,node6-1,node6-3,-5,True,False,10
117,node6-1,node6-3,-5,True,False,10
118,node6-1,node6-3,-5,True,False,9
119,node6-1,node6-3,-5,True,False,9
120,node6-1,node6-3,-5,True,False,10
121,node6-1,node6-3,-5,True,False,8
122,node6-1,node6-3,-5,True,False,9
123,node6-1,node6-3,-5,True,False,10
124,node6-1,node6-3,-5,True,False,10
125,node6-1,node6-3,-5,True,False,10
126,node6-1,node6-3,-5,True,False,9
127,node6-1,node6-3,-5,True,False,9
128,node6-1,node6-3,-5,True,False,10
129,node6-1,node6-3,-5,True,False,10
130,node6-1,node6-3,-5,True,False,10
131,node6-1,node6-3,-5,True,False,9
132,node6-1,node6-3,-5,True,False,10
133,node6-1,node6-3,-5,True,False,11
134,node6-1,node6-3,-5,True,False,10
135,node6-1,node6-3,-5,True,False,10
136,node6-1,node6-3,-5,True,False,10
137,node6-1,node6-3,-5,True,False,10
138,node6-1,node6-3,-5,True,False,11
139,node6-1,node6-3,-5,True,False,9
140,node6-1,node6-3,-5,True,False,10
141,node6-1,node6-3,-5,True,False,10
142,node6-1,node6-3,-5,True,False,10
143,node6-1,node6-3,-5,True,False,9
144,node6-1,node6-3,-5,True,False,8
145,node6-1,node6-3,-5,True,False,9
146,node6-1,node6-3,-5,True,False,9
147,node6-1,node6-3,-5,True,False,10
148,node6-1,node6-3,-5,True,False,9
149,node6-1,node6-3,-5,True,False,9
150,node6-1,node6-3,-5,True,False,10
151,node6-1,node6-3,-5,True,False,10
152,node6-1,node6-3,-5,True,False,9
153,node6-1,node6-3,-5,True,False,10
154,node6-1,node6-3,-5,True,False,9
155,node6-1,node6-3,-5,True,False,11
156,node6-1,node6-3,-5,True,False,8
157,node6-1,node6-3,-5,True,False,11
158,node6-1,node6-3,-5,True,False,10
159,node6-1,node6-3,-5,True,False,12
160,node6-1,node6-3,-5,True,False,10
161,node6-1,node6-3,-5,True,False,10
162,node6-1,node6-3,-5,True,False,10
163,node6-1,node6-3,-5,True,False,8
164,node6-1,node6-3,-5,True,False,8
165,node6-1,node6-3,-5,True,False,10
166,node6-1,node6-3,-5,True,False,10
167,node6-1,node6-3,-5,True,False,10
168,node6-1,node6-3,-5,True,False,10
169,node6-1,node6-3,-5,True,False,8
170,node6-1,node6-3,-5,True,False,9
171,node6-1,node6-3,-5,True,False,9
172,node6-1,node6-3,-5,True,False,9
173,node6-1,node6-3,-5,True,False,10
174,node6-1,node6-3,-5,True,False,12
175,node6-1,node6-3,-5,True,False,9
176,node6-1,node6-3,-5,True,False,10
177,node6-1,node6-3,-5,True,False,8
178,node6-1,node6-3,-5,True,False,10
179,node6-1,node6-3,-5,True,False,11
180,node6-1,node6-3,-5,True,False,10
181,node6-1,node6-3,-5,True,False,10
182,node6-1,node6-3,-5,True,False,11
183,node6-1,node6-3,-5,True,False,7
184,node6-1,node6-3,-5,True,False,10
185,node6-1,node6-3,-5,True,False,9
186,node6-1,node6-3,-5,True,False,9
187,node6-1,node6-3,-5,True,False,10
188,node6-1,node6-3,-5,True,False,8
189,node6-1,node6-3,-5,True,False,10
190,node6-1,node6-3,-5,True,False,11
191,node6-1,node6-3,-5,True,False,10
192,node6-1,node6-3,-5,True,False,11
193,node6-1,node6-3,-5,True,False,11
194,node6-1,node6-3,-5,True,False,11
195,node6-1,node6-3,-5,True,False,10
196,node6-1,node6-3,-5,True,False,8
197,node6-1,node6-3,-5,True,False,10
198,node6-1,node6-3,-5,True,False,8
199,node6-1,node6-3,-5,True,False,9
200,node6-1,node6-3,-5,True,False,10
201,node6-1,node6-3,-5,True,False,10
202,node6-1,node6-3,-5,True,False,10
203,node6-1,node6-3,-5,True,False,10
204,node6-1,node6-3,-5,True,False,9
205,node6-1,node6-3,-5,True,False,10
206,node6-1,node6-3,-5,True,False,11
207,node6-1,node6-3,-5,True,False,10
208,node6-1,node6-3,-5,True,False,10
209,node6-1,node6-3,-5,True,False,9
210,node6-1,node6-3,-5,True,False,10
211,node6-1,node6-3,-5,True,False,10
212,node6-1,node6-3,-5,True,False,10
213,node6-1,node6-3,-5,True,False,9
214,node6-1,node6-3,-5,True,False,11
215,node6-1,node6-3,-5,True,False,9
216,node6-1,node6-3,-5,True,False,9
217,node6-1,node6-3,-5,True,False,9
218,node6-1,node6-3,-5,True,False,10
219,node6-1,node6-3,-5,True,False,8
220,node6-1,node6-3,-5,True,False,11
221,node6-1,node6-3,-5,True,False,9
222,node6-1,node6-3,-5,True,False,11
223,node6-1,node6-3,-5,True,False,10
224,node6-1,node6-3,-5,True,False,10
225,node6-1,node6-3,-5,True,False,10
226,node6-1,node6-3,-5,True,False,10
227,node6-1,node6-3,-5,True,False,9
228,node6-1,node6-3,-5,True,False,10
229,node6-1,node6-3,-5,True,False,10
230,node6-1,node6-3,-5,True,False,11
231,node6-1,node6-3,-5,True,False,9
232,node6-1,node6-3,-5,True,False,10
233,node6-1,node6-3,-5,True,False,11
234,node6-1,node6-3,-5,True,False,10
235,node6-1,node6-3,-5,True,False,10
236,node6-1,node6-3,-5,True,False,9
237,node6-1,node6-3,-5,True,False,11
238,node6-1,node6-3,-5,True,False,10
239,node6-1,node6-3,-5,True,False,10
240,node6-1,node6-3,-5,True,False,10
241,node6-1,node6-3,-5,True,False,10
242,node6-1,node6-3,-5,True,False,11
243,node6-1,node6-3,-5,True,False,10
244,node6-1,node6-3,-5,True,False,9
245,node6-1,node6-3,-5,True,False,10
246,node6-1,node6-3,-5,True,False,10
247,node6-1,node6-3,-5,True,False,10
248,node6-1,node6-3,-5,True,False,9
249,node6-1,node6-3,-5,True,False,9
250,node6-1,node6-3,-5,True,False,10
251,node6-1,node6-3,-5,True,False,9
252,node6-1,node6-3,-5,True,False,10
253,node6-1,node6-3,-5,True,False,10
254,node6-1,node6-3,-5,True,False,10
255,node6-1,node6-3,-5,True,False,11
256,node6-1,node6-3,-5,True,False,9
257,node6-1,node6-3,-5,True,False,9
258,node6-1,node6-3,-5,True,False,10
259,node6-1,node6-3,-5,True,False,9
260,node6-1,node6-3,-5,True,False,10
261,node6-1,node6-3,-5,True,False,9
262,node6-1,node6-3,-5,True,False,10
263,node6-1,node6-3,-5,True,False,9
264,node6-1,node6-3,-5,True,False,10
265,node6-1,node6-3,-5,True,False,10
266,node6-1,node6-3,-5,True,False,10
267,node6-1,node6-3,-5,True,False,10
268,node6-1,node6-3,-5,True,False,10
269,node6-1,node6-3,-5,True,False,10
270,node6-1,node6-3,-5,True,False,9
271,node6-1,node6-3,-5,True,False,10
272,node6-1,node6-3,-5,True,False,10
273,node6-1,node6-3,-5,True,False,10
274,node6-1,node6-3,-5,True,False,12
275,node6-1,node6-3,-5,True,False,10
276,node6-1,node6-3,-5,True,False,11
277,node6-1,node6-3,-5,True,False,9
278,node6-1,node6-3,-5,True,False,9
279,node6-1,node6-3,-5,True,False,10
280,node6-1,node6-3,-5,True,False,10
281,node6-1,node6-3,-5,True,False,10
282,node6-1,node6-3,-5,True,False,10
