seq,src,dst,noise,received,error,rssi
1,node4-5,node8-5,-20,True,False,17
2,node4-5,node8-5,-20,True,False,17
3,node4-5,node8-5,-20,True,False,15
4,node4-5,node8-5,-20,True,False,13
5,node4-5,node8-5,-20,True,False,13
6,node4-5,node8-5,-20,True,False,12
7,node4-5,node8-5,-20,True,False,13
8,node4-5,node8-5,-20,True,False,13
9,node4-5,node8-5,-20,True,False,13
10,node4-5,node8-5,-20,True,False,12
11,node4-5,node8-5,-20,True,False,12
12,node4-5,node8-5,-20,True,False,12
13,node4-5,node8-5,-20,True,False,13
14,node4-5,node8-5,-20,True,False,11
15,node4-5,node8-5,-20,True,False,12
16,node4-5,node8-5,-20,True,False,13
17,node4-5,node8-5,-20,True,False,13
18,node4-5,node8-5,-20,True,False,12
19,node4-5,node8-5,-20,True,False,12
20,node4-5,node8-5,-20,True,False,12
21,node4-5,node8-5,-20,True,False,11
22,node4-5,node8-5,-20,True,False,13
23,node4-5,node8-5,-20,True,False,11
24,node4-5,node8-5,-20,True,False,12
25,node4-5,node8-5,-20,True,False,13
26,node4-5,node8-5,-20,True,False,12
27,node4-5,node8-5,-20,True,False,12
28,node4-5,node8-5,-20,True,False,12
29,node4-5,node8-5,-20,True,False,13
30,node4-5,node8-5,-20,True,False,12
31,node4-5,node8-5,-20,True,False,13
32,node4-5,node8-5,-20,True,False,12
33,node4-5,node8-5,-20,True,False,13
34,node4-5,node8-5,-20,True,False,13
35,node4-5,node8-5,-20,True,False,12
36,node4-5,node8-5,-20,True,False,11
37,node4-5,node8-5,-20,True,False,12
38,node4-5,node8-5,-20,True,False,11
39,node4-5,node8-5,-20,True,False,12
40,node4-5,node8-5,-20,True,False,12
41,node4-5,node8-5,-20,True,False,13
42,node4-5,node8-5,-20,True,False,10
43,node4-5,node8-5,-20,True,False,12
44,node4-5,node8-5,-20,True,False,12
45,node4-5,node8-5,-20,True,False,12
46,node4-5,node8-5,-20,True,False,12
47,node4-5,node8-5,-20,True,False,12
48,node4-5,node8-5,-20,True,False,12
49,node4-5,node8-5,-20,True,False,14
50,node4-5,node8-5,-20,True,False,12
51,node4-5,node8-5,-20,True,False,12
52,node4-5,node8-5,-20,True,False,11
53,node4-5,node8-5,-20,True,False,11
54,node4-5,node8-5,-20,True,False,12
55,node4-5,node8-5,-20,True,False,11
56,node4-5,node8-5,-20,True,False,11
57,node4-5,node8-5,-20,True,False,11
58,node4-5,node8-5,-20,True,False,11
59,node4-5,node8-5,-20,True,False,12
60,node4-5,node8-5,-20,True,False,12
61,node4-5,node8-5,-20,True,False,13
62,node4-5,node8-5,-20,True,False,11
63,node4-5,node8-5,-20,True,False,13
64,node4-5,node8-5,-20,True,False,12
65,node4-5,node8-5,-20,True,False,11
66,node4-5,node8-5,-20,True,False,12
67,node4-5,node8-5,-20,True,False,11
68,node4-5,node8-5,-20,True,False,12
69,node4-5,node8-5,-20,True,False,11
70,node4-5,node8-5,-20,True,False,12
71,node4-5,node8-5,-20,True,False,11
72,node4-5,node8-5,-20,True,False,13
73,node4-5,node8-5,-20,True,False,13
74,node4-5,node8-5,-20,True,False,12
75,node4-5,node8-5,-20,True,False,13
76,node4-5,node8-5,-20,True,False,13
77,node4-5,node8-5,-20,True,False,12
78,node4-5,node8-5,-20,True,False,13
79,node4-5,node8-5,-20,True,False,12
80,node4-5,node8-5,-20,True,False,12
81,node4-5,node8-5,-20,True,False,12
82,node4-5,node8-5,-20,True,False,12
83,node4-5,node8-5,-20,True,False,14
84,node4-5,node8-5,-20,True,False,12
85,node4-5,node8-5,-20,True,False,13
86,node4-5,node8-5,-20,True,False,12
87,node4-5,node8-5,-20,True,False,11
88,node4-5,node8-5,-20,True,False,12
89,node4-5,node8-5,-20,True,False,12
90,node4-5,node8-5,-20,True,False,11
91,node4-5,node8-5,-20,True,False,11
92,node4-5,node8-5,-20,True,False,14
93,node4-5,node8-5,-20,True,False,12
94,node4-5,node8-5,-20,True,False,12
95,node4-5,node8-5,-20,True,False,12
96,node4-5,node8-5,-20,True,False,11
97,node4-5,node8-5,-20,True,False,12
98,node4-5,node8-5,-20,True,False,12
99,node4-5,node8-5,-20,True,False,12
100,node4-5,node8-5,-20,True,False,12
101,node4-5,node8-5,-20,True,False,14
102,node4-5,node8-5,-20,True,False,11
103,node4-5,node8-5,-20,True,False,13
104,node4-5,node8-5,-20,True,False,12
105,node4-5,node8-5,-20,True,False,13
106,node4-5,node8-5,-20,True,False,11
107,node4-5,node8-5,-20,True,False,11
108,node4-5,node8-5,-20,True,False,11
109,node4-5,node8-5,-20,True,False,10
110,node4-5,node8-5,-20,True,False,13
111,node4-5,node8-5,-20,True,False,12
112,node4-5,node8-5,-20,True,False,12
113,node4-5,node8-5,-20,True,False,13
114,node4-5,node8-5,-20,True,False,12
115,node4-5,node8-5,-20,True,False,13
116,node4-5,node8-5,-20,True,False,13
117,node4-5,node8-5,-20,True,False,11
118,node4-5,node8-5,-20,True,False,13
119,node4-5,node8-5,-20,True,False,12
120,node4-5,node8-5,-20,True,False,13
121,node4-5,node8-5,-20,True,False,13
122,node4-5,node8-5,-20,True,False,11
123,node4-5,node8-5,-20,True,False,13
124,node4-5,node8-5,-20,True,False,12
125,node4-5,node8-5,-20,True,False,11
126,node4-5,node8-5,-20,True,False,13
127,node4-5,node8-5,-20,True,False,12
128,node4-5,node8-5,-20,True,False,13
129,node4-5,node8-5,-20,True,False,13
130,node4-5,node8-5,-20,True,False,12
131,node4-5,node8-5,-20,True,False,12
132,node4-5,node8-5,-20,True,False,13
133,node4-5,node8-5,-20,True,False,13
134,node4-5,node8-5,-20,True,False,13
135,node4-5,node8-5,-20,True,False,12
136,node4-5,node8-5,-20,True,False,11
137,node4-5,node8-5,-20,True,False,11
138,node4-5,node8-5,-20,True,False,11
139,node4-5,node8-5,-20,True,False,13
140,node4-5,node8-5,-20,True,False,13
141,node4-5,node8-5,-20,True,False,12
142,node4-5,node8-5,-20,True,False,12
143,node4-5,node8-5,-20,True,False,12
144,node4-5,node8-5,-20,True,False,13
145,node4-5,node8-5,-20,True,False,12
146,node4-5,node8-5,-20,True,False,11
147,node4-5,node8-5,-20,True,False,13
148,node4-5,node8-5,-20,True,False,13
149,node4-5,node8-5,-20,True,False,12
150,node4-5,node8-5,-20,True,False,12
151,node4-5,node8-5,-20,True,False,13
152,node4-5,node8-5,-20,True,False,13
153,node4-5,node8-5,-20,True,False,14
154,node4-5,node8-5,-20,True,False,12
155,node4-5,node8-5,-20,True,False,13
156,node4-5,node8-5,-20,True,False,12
157,node4-5,node8-5,-20,True,False,14
158,node4-5,node8-5,-20,True,False,13
159,node4-5,node8-5,-20,True,False,12
160,node4-5,node8-5,-20,True,False,11
161,node4-5,node8-5,-20,True,False,12
162,node4-5,node8-5,-20,True,False,12
163,node4-5,node8-5,-20,True,False,12
164,node4-5,node8-5,-20,True,False,12
165,node4-5,node8-5,-20,True,False,11
166,node4-5,node8-5,-20,True,False,11
167,node4-5,node8-5,-20,True,False,13
168,node4-5,node8-5,-20,True,False,11
169,node4-5,node8-5,-20,True,False,12
170,node4-5,node8-5,-20,True,False,11
171,node4-5,node8-5,-20,True,False,11
172,node4-5,node8-5,-20,True,False,12
173,node4-5,node8-5,-20,True,False,13
174,node4-5,node8-5,-20,True,False,13
175,node4-5,node8-5,-20,True,False,10
176,node4-5,node8-5,-20,True,False,12
177,node4-5,node8-5,-20,True,False,12
178,node4-5,node8-5,-20,True,False,11
179,node4-5,node8-5,-20,True,False,12
180,node4-5,node8-5,-20,True,False,13
181,node4-5,node8-5,-20,True,False,12
182,node4-5,node8-5,-20,True,False,12
183,node4-5,node8-5,-20,True,False,12
184,node4-5,node8-5,-20,True,False,13
185,node4-5,node8-5,-20,True,False,11
186,node4-5,node8-5,-20,True,False,13
187,node4-5,node8-5,-20,True,False,12
188,node4-5,node8-5,-20,True,False,12
189,node4-5,node8-5,-20,True,False,12
190,node4-5,node8-5,-20,True,False,12
191,node4-5,node8-5,-20,True,False,13
192,node4-5,node8-5,-20,True,False,12
193,node4-5,node8-5,-20,True,False,12
194,node4-5,node8-5,-20,True,False,12
195,node4-5,node8-5,-20,True,False,12
196,node4-5,node8-5,-20,True,False,12
197,node4-5,node8-5,-20,True,False,12
198,node4-5,node8-5,-20,True,False,12
199,node4-5,node8-5,-20,True,False,12
200,node4-5,node8-5,-20,True,False,11
201,node4-5,node8-5,-20,True,False,12
202,node4-5,node8-5,-20,True,False,12
203,node4-5,node8-5,-20,True,False,12
204,node4-5,node8-5,-20,True,False,11
205,node4-5,node8-5,-20,True,False,13
206,node4-5,node8-5,-20,True,False,12
207,node4-5,node8-5,-20,True,False,12
208,node4-5,node8-5,-20,True,False,12
209,node4-5,node8-5,-20,True,False,13
210,node4-5,node8-5,-20,True,False,12
211,node4-5,node8-5,-20,True,False,13
212,node4-5,node8-5,-20,True,False,12
213,node4-5,node8-5,-20,True,False,12
214,node4-5,node8-5,-20,True,False,10
215,node4-5,node8-5,-20,True,False,12
216,node4-5,node8-5,-20,True,False,12
217,node4-5,node8-5,-20,True,False,11
218,node4-5,node8-5,-20,True,False,12
219,node4-5,node8-5,-20,True,False,13
220,node4-5,node8-5,-20,True,False,11
221,node4-5,node8-5,-20,True,False,13
222,node4-5,node8-5,-20,True,False,11
