seq,src,dst,noise,received,error,rssi
1,node1-4,node8-3,-10,True,False,15
2,node1-4,node8-3,-10,True,False,12
3,node1-4,node8-3,-10,True,False,11
4,node1-4,node8-3,-10,True,False,8
5,node1-4,node8-3,-10,True,False,9
6,node1-4,node8-3,-10,True,False,9
7,node1-4,node8-3,-10,True,False,10
8,node1-4,node8-3,-10,True,False,10
9,node1-4,node8-3,-10,True,False,9
10,node1-4,node8-3,-10,True,False,9
11,node1-4,node8-3,-10,True,False,10
12,node1-4,node8-3,-10,True,False,10
13,node1-4,node8-3,-10,True,False,8
14,node1-4,node8-3,-10,True,False,10
15,node1-4,node8-3,-10,True,False,9
16,node1-4,node8-3,-10,True,False,9
17,node1-4,node8-3,-10,True,False,10
18,node1-4,node8-3,-10,True,False,10
19,node1-4,node8-3,-10,True,False,10
20,node1-4,node8-3,-10,True,False,8
21,node1-4,node8-3,-10,True,False,11
22,node1-4,node8-3,-10,True,False,11
23,node1-4,node8-3,-10,True,False,10
24,node1-4,node8-3,-10,True,False,9
25,node1-4,node8-3,-10,True,False,10
26,node1-4,node8-3,-10,True,False,9
27,node1-4,node8-3,-10,True,False,9
28,node1-4,node8-3,-10,True,False,9
29,node1-4,node8-3,-10,True,False,10
30,node1-4,node8-3,-10,True,False,11
31,node1-4,node8-3,-10,True,False,9
32,node1-4,node8-3,-10,True,False,9
33,node1-4,node8-3,-10,True,False,10
34,node1-4,node8-3,-10,True,False,9
35,node1-4,node8-3,-10,True,False,9
36,node1-4,node8-3,-10,True,False,10
37,node1-4,node8-3,-10,True,False,10
38,node1-4,node8-3,-10,True,False,9
39,node1-4,node8-3,-10,True,False,10
40,node1-4,node8-3,-10,True,False,10
41,node1-4,node8-3,-10,True,False,9
42,node1-4,node8-3,-10,True,False,11
43,node1-4,node8-3,-10,True,False,9
44,node1-4,node8-3,-10,True,False,10
45,node1-4,node8-3,-10,True,False,10
46,node1-4,node8-3,-10,True,False,10
47,node1-4,node8-3,-10,True,False,8
48,node1-4,node8-3,-10,True,False,10
49,node1-4,node8-3,-10,True,False,10
50,node1-4,node8-3,-10,True,False,9
51,node1-4,node8-3,-10,True,False,9
52,node1-4,node8-3,-10,True,False,11
53,node1-4,node8-3,-10,True,False,10
54,node1-4,node8-3,-10,True,False,9
55,node1-4,node8-3,-10,True,False,10
56,node1-4,node8-3,-10,True,False,9
57,node1-4,node8-3,-10,True,False,9
58,node1-4,node8-3,-10,True,False,11
59,node1-4,node8-3,-10,True,False,11
60,node1-4,node8-3,-10,True,False,10
61,node1-4,node8-3,-10,True,False,9
