seq,src,dst,noise,received,error,rssi
1,node5-8,node3-8,-15,True,False,20
2,node5-8,node3-8,-15,True,False,20
3,node5-8,node3-8,-15,True,False,16
4,node5-8,node3-8,-15,True,False,17
5,node5-8,node3-8,-15,True,False,16
6,node5-8,node3-8,-15,True,False,16
7,node5-8,node3-8,-15,True,False,17
8,node5-8,node3-8,-15,True,False,16
9,node5-8,node3-8,-15,True,False,16
10,node5-8,node3-8,-15,True,False,17
11,node5-8,node3-8,-15,True,False,17
12,node5-8,node3-8,-15,True,False,16
13,node5-8,node3-8,-15,True,False,16
14,node5-8,node3-8,-15,True,False,17
15,node5-8,node3-8,-15,True,False,16
16,node5-8,node3-8,-15,True,False,17
17,node5-8,node3-8,-15,True,False,17
18,node5-8,node3-8,-15,True,False,16
19,node5-8,node3-8,-15,True,False,16
20,node5-8,node3-8,-15,True,False,16
21,node5-8,node3-8,-15,True,False,17
22,node5-8,node3-8,-15,True,False,16
23,node5-8,node3-8,-15,True,False,17
24,node5-8,node3-8,-15,True,False,17
25,node5-8,node3-8,-15,True,False,16
26,node5-8,node3-8,-15,True,False,17
27,node5-8,node3-8,-15,True,False,17
28,node5-8,node3-8,-15,True,False,17
29,node5-8,node3-8,-15,True,False,17
30,node5-8,node3-8,-15,True,False,17
31,node5-8,node3-8,-15,True,False,16
32,node5-8,node3-8,-15,True,False,16
33,node5-8,node3-8,-15,True,False,17
34,node5-8,node3-8,-15,True,False,15
35,node5-8,node3-8,-15,True,False,16
36,node5-8,node3-8,-15,True,False,17
37,node5-8,node3-8,-15,True,False,17
38,node5-8,node3-8,-15,True,False,16
39,node5-8,node3-8,-15,True,False,16
40,node5-8,node3-8,-15,True,False,17
41,node5-8,node3-8,-15,True,False,16
42,node5-8,node3-8,-15,True,False,17
43,node5-8,node3-8,-15,True,False,17
44,node5-8,node3-8,-15,True,False,16
45,node5-8,node3-8,-15,True,False,17
46,node5-8,node3-8,-15,True,False,17
47,node5-8,node3-8,-15,True,False,17
48,node5-8,node3-8,-15,True,False,16
49,node5-8,node3-8,-15,True,False,17
50,node5-8,node3-8,-15,True,False,17
51,node5-8,node3-8,-15,True,False,17
52,node5-8,node3-8,-15,True,False,16
53,node5-8,node3-8,-15,True,False,16
54,node5-8,node3-8,-15,True,False,17
55,node5-8,node3-8,-15,True,False,16
56,node5-8,node3-8,-15,True,False,16
57,node5-8,node3-8,-15,True,False,17
58,node5-8,node3-8,-15,True,False,17
59,node5-8,node3-8,-15,True,False,17
60,node5-8,node3-8,-15,True,False,17
61,node5-8,node3-8,-15,True,False,16
62,node5-8,node3-8,-15,True,False,16
63,node5-8,node3-8,-15,True,False,15
64,node5-8,node3-8,-15,True,False,17
65,node5-8,node3-8,-15,True,False,16
66,node5-8,node3-8,-15,True,False,17
67,node5-8,node3-8,-15,True,False,15
68,node5-8,node3-8,-15,True,False,17
69,node5-8,node3-8,-15,True,False,17
70,node5-8,node3-8,-15,True,False,15
71,node5-8,node3-8,-15,True,False,17
72,node5-8,node3-8,-15,True,False,16
73,node5-8,node3-8,-15,True,False,17
74,node5-8,node3-8,-15,True,False,17
75,node5-8,node3-8,-15,True,False,17
76,node5-8,node3-8,-15,True,False,16
77,node5-8,node3-8,-15,True,False,16
