seq,src,dst,noise,received,error,rssi
1,node5-4,node3-4,0,True,False,9
2,node5-4,node3-4,0,True,False,10
3,node5-4,node3-4,0,True,False,8
4,node5-4,node3-4,0,True,False,9
5,node5-4,node3-4,0,True,False,8
6,node5-4,node3-4,0,True,False,6
7,node5-4,node3-4,0,True,False,6
8,node5-4,node3-4,0,True,False,7
9,node5-4,node3-4,0,True,False,7
10,node5-4,node3-4,0,True,False,6
11,node5-4,node3-4,0,True,False,8
12,node5-4,node3-4,0,True,False,7
13,node5-4,node3-4,0,True,False,7
14,node5-4,node3-4,0,True,False,7
15,node5-4,node3-4,0,True,False,6
16,node5-4,node3-4,0,True,False,7
17,node5-4,node3-4,0,True,False,7
18,node5-4,node3-4,0,True,False,8
19,node5-4,node3-4,0,True,False,6
20,node5-4,node3-4,0,True,False,8
21,node5-4,node3-4,0,True,False,7
22,node5-4,node3-4,0,True,False,7
23,node5-4,node3-4,0,True,False,8
24,node5-4,node3-4,0,True,False,5
25,node5-4,node3-4,0,True,False,8
26,node5-4,node3-4,0,True,False,7
27,node5-4,node3-4,0,True,False,6
28,node5-4,node3-4,0,True,False,6
29,node5-4,node3-4,0,True,False,7
30,node5-4,node3-4,0,True,False,7
31,node5-4,node3-4,0,True,False,6
32,node5-4,node3-4,0,True,False,9
33,node5-4,node3-4,0,True,False,7
34,node5-4,node3-4,0,True,False,6
35,node5-4,node3-4,0,True,False,6
36,node5-4,node3-4,0,True,False,6
37,node5-4,node3-4,0,True,False,7
38,node5-4,node3-4,0,True,False,7
39,node5-4,node3-4,0,True,False,6
40,node5-4,node3-4,0,True,False,5
41,node5-4,node3-4,0,True,False,7
42,node5-4,node3-4,0,True,False,6
43,node5-4,node3-4,0,True,False,6
44,node5-4,node3-4,0,True,False,7
45,node5-4,node3-4,0,True,False,6
46,node5-4,node3-4,0,True,False,5
47,node5-4,node3-4,0,True,False,6
48,node5-4,node3-4,0,True,False,6
49,node5-4,node3-4,0,True,False,6
50,node5-4,node3-4,0,True,False,6
51,node5-4,node3-4,0,True,False,8
52,node5-4,node3-4,0,True,False,8
53,node5-4,node3-4,0,True,False,6
54,node5-4,node3-4,0,True,False,7
55,node5-4,node3-4,0,True,False,7
56,node5-4,node3-4,0,True,False,7
57,node5-4,node3-4,0,True,False,7
58,node5-4,node3-4,0,True,False,7
59,node5-4,node3-4,0,True,False,6
60,node5-4,node3-4,0,True,False,7
61,node5-4,node3-4,0,True,False,6
62,node5-4,node3-4,0,True,False,7
63,node5-4,node3-4,0,True,False,8
64,node5-4,node3-4,0,True,False,6
65,node5-4,node3-4,0,True,False,8
66,node5-4,node3-4,0,True,False,9
67,node5-4,node3-4,0,True,False,6
68,node5-4,node3-4,0,True,False,8
69,node5-4,node3-4,0,True,False,8
70,node5-4,node3-4,0,True,False,6
71,node5-4,node3-4,0,True,False,6
72,node5-4,node3-4,0,True,False,8
73,node5-4,node3-4,0,True,False,8
74,node5-4,node3-4,0,True,False,8
75,node5-4,node3-4,0,True,False,8
76,node5-4,node3-4,0,True,False,9
77,node5-4,node3-4,0,True,False,7
78,node5-4,node3-4,0,True,False,7
79,node5-4,node3-4,0,True,False,7
80,node5-4,node3-4,0,True,False,8
81,node5-4,node3-4,0,True,False,7
82,node5-4,node3-4,0,True,False,7
83,node5-4,node3-4,0,True,False,8
84,node5-4,node3-4,0,True,False,7
85,node5-4,node3-4,0,True,False,7
86,node5-4,node3-4,0,True,False,8
87,node5-4,node3-4,0,True,False,6
88,node5-4,node3-4,0,True,False,6
89,node5-4,node3-4,0,True,False,5
90,node5-4,node3-4,0,True,False,7
91,node5-4,node3-4,0,True,False,7
92,node5-4,node3-4,0,True,False,6
93,node5-4,node3-4,0,True,False,6
94,node5-4,node3-4,0,True,False,7
95,node5-4,node3-4,0,True,False,6
96,node5-4,node3-4,0,True,False,7
97,node5-4,node3-4,0,True,False,7
98,node5-4,node3-4,0,True,False,5
99,node5-4,node3-4,0,True,False,9
100,node5-4,node3-4,0,True,False,6
101,node5-4,node3-4,0,True,False,7
102,node5-4,node3-4,0,True,False,8
103,node5-4,node3-4,0,True,False,5
104,node5-4,node3-4,0,True,False,6
105,node5-4,node3-4,0,True,False,6
106,node5-4,node3-4,0,True,False,7
107,node5-4,node3-4,0,True,False,7
108,node5-4,node3-4,0,True,False,6
109,node5-4,node3-4,0,True,False,5
110,node5-4,node3-4,0,True,False,6
111,node5-4,node3-4,0,True,False,6
112,node5-4,node3-4,0,True,False,8
113,node5-4,node3-4,0,True,False,4
114,node5-4,node3-4,0,True,False,6
115,node5-4,node3-4,0,True,False,8
116,node5-4,node3-4,0,True,False,7
117,node5-4,node3-4,0,True,False,7
118,node5-4,node3-4,0,True,False,6
119,node5-4,node3-4,0,True,False,6
120,node5-4,node3-4,0,True,False,5
121,node5-4,node3-4,0,True,False,7
122,node5-4,node3-4,0,True,False,8
123,node5-4,node3-4,0,True,False,7
124,node5-4,node3-4,0,True,False,7
125,node5-4,node3-4,0,True,False,8
126,node5-4,node3-4,0,True,False,7
127,node5-4,node3-4,0,True,False,8
128,node5-4,node3-4,0,True,False,7
129,node5-4,node3-4,0,True,False,7
130,node5-4,node3-4,0,True,False,8
131,node5-4,node3-4,0,True,False,8
132,node5-4,node3-4,0,True,False,7
133,node5-4,node3-4,0,True,False,7
134,node5-4,node3-4,0,True,False,5
135,node5-4,node3-4,0,True,False,6
136,node5-4,node3-4,0,True,False,7
137,node5-4,node3-4,0,True,False,6
138,node5-4,node3-4,0,True,False,8
139,node5-4,node3-4,0,True,False,6
140,node5-4,node3-4,0,True,False,7
141,node5-4,node3-4,0,True,False,6
142,node5-4,node3-4,0,True,False,8
143,node5-4,node3-4,0,True,False,5
144,node5-4,node3-4,0,True,False,7
145,node5-4,node3-4,0,True,False,4
146,node5-4,node3-4,0,True,False,5
147,node5-4,node3-4,0,True,False,7
148,node5-4,node3-4,0,True,False,8
149,node5-4,node3-4,0,True,False,6
150,node5-4,node3-4,0,True,False,7
151,node5-4,node3-4,0,True,False,6
152,node5-4,node3-4,0,True,False,8
153,node5-4,node3-4,0,True,False,6
154,node5-4,node3-4,0,True,False,6
155,node5-4,node3-4,0,True,False,7
156,node5-4,node3-4,0,True,False,7
157,node5-4,node3-4,0,True,False,8
158,node5-4,node3-4,0,True,False,7
159,node5-4,node3-4,0,True,False,6
160,node5-4,node3-4,0,True,False,9
161,node5-4,node3-4,0,True,False,7
162,node5-4,node3-4,0,True,False,7
163,node5-4,node3-4,0,True,False,7
164,node5-4,node3-4,0,True,False,7
165,node5-4,node3-4,0,True,False,7
166,node5-4,node3-4,0,True,False,6
167,node5-4,node3-4,0,True,False,7
168,node5-4,node3-4,0,True,False,6
169,node5-4,node3-4,0,True,False,8
170,node5-4,node3-4,0,True,False,7
171,node5-4,node3-4,0,True,False,8
