seq,src,dst,noise,received,error,rssi
1,node3-4,node8-3,0,True,False,12
2,node3-4,node8-3,0,True,False,11
3,node3-4,node8-3,0,True,False,7
4,node3-4,node8-3,0,True,False,6
5,node3-4,node8-3,0,True,False,5
6,node3-4,node8-3,0,True,False,7
7,node3-4,node8-3,0,True,False,8
8,node3-4,node8-3,0,True,False,7
9,node3-4,node8-3,0,True,False,6
10,node3-4,node8-3,0,True,False,6
11,node3-4,node8-3,0,True,False,6
12,node3-4,node8-3,0,True,False,7
13,node3-4,node8-3,0,True,False,6
14,node3-4,node8-3,0,True,False,8
15,node3-4,node8-3,0,True,False,6
16,node3-4,node8-3,0,True,False,6
17,node3-4,node8-3,0,True,False,6
18,node3-4,node8-3,0,True,False,7
19,node3-4,node8-3,0,True,False,7
20,node3-4,node8-3,0,True,False,6
21,node3-4,node8-3,0,True,False,6
22,node3-4,node8-3,0,True,False,7
23,node3-4,node8-3,0,True,False,8
24,node3-4,node8-3,0,True,False,6
25,node3-4,node8-3,0,True,False,7
26,node3-4,node8-3,0,True,False,6
27,node3-4,node8-3,0,True,False,6
28,node3-4,node8-3,0,True,False,8
29,node3-4,node8-3,0,True,False,7
30,node3-4,node8-3,0,True,False,6
31,node3-4,node8-3,0,True,False,6
32,node3-4,node8-3,0,True,False,6
33,node3-4,node8-3,0,True,False,7
34,node3-4,node8-3,0,True,False,6
35,node3-4,node8-3,0,True,False,7
36,node3-4,node8-3,0,True,False,8
37,node3-4,node8-3,0,True,False,7
38,node3-4,node8-3,0,True,False,7
39,node3-4,node8-3,0,True,False,7
40,node3-4,node8-3,0,True,False,6
41,node3-4,node8-3,0,True,False,7
42,node3-4,node8-3,0,True,False,7
43,node3-4,node8-3,0,True,False,7
44,node3-4,node8-3,0,True,False,6
45,node3-4,node8-3,0,True,False,7
46,node3-4,node8-3,0,True,False,7
47,node3-4,node8-3,0,True,False,6
48,node3-4,node8-3,0,True,False,6
49,node3-4,node8-3,0,True,False,7
50,node3-4,node8-3,0,True,False,7
51,node3-4,node8-3,0,True,False,7
52,node3-4,node8-3,0,True,False,7
53,node3-4,node8-3,0,True,False,6
54,node3-4,node8-3,0,True,False,7
55,node3-4,node8-3,0,True,False,8
56,node3-4,node8-3,0,True,False,7
57,node3-4,node8-3,0,True,False,7
58,node3-4,node8-3,0,True,False,6
59,node3-4,node8-3,0,True,False,7
60,node3-4,node8-3,0,True,False,8
61,node3-4,node8-3,0,True,False,8
62,node3-4,node8-3,0,True,False,7
63,node3-4,node8-3,0,True,False,7
64,node3-4,node8-3,0,True,False,7
65,node3-4,node8-3,0,True,False,6
66,node3-4,node8-3,0,True,False,6
67,node3-4,node8-3,0,True,False,6
68,node3-4,node8-3,0,True,False,7
69,node3-4,node8-3,0,True,False,6
70,node3-4,node8-3,0,True,False,6
71,node3-4,node8-3,0,True,False,7
72,node3-4,node8-3,0,True,False,6
73,node3-4,node8-3,0,True,False,6
74,node3-4,node8-3,0,True,False,7
75,node3-4,node8-3,0,True,False,7
76,node3-4,node8-3,0,True,False,6
77,node3-4,node8-3,0,True,False,6
78,node3-4,node8-3,0,True,False,6
79,node3-4,node8-3,0,True,False,6
80,node3-4,node8-3,0,True,False,7
81,node3-4,node8-3,0,True,False,7
82,node3-4,node8-3,0,True,False,7
83,node3-4,node8-3,0,True,False,8
84,node3-4,node8-3,0,True,False,7
85,node3-4,node8-3,0,True,False,7
86,node3-4,node8-3,0,True,False,6
87,node3-4,node8-3,0,True,False,7
88,node3-4,node8-3,0,True,False,6
89,node3-4,node8-3,0,True,False,6
90,node3-4,node8-3,0,True,False,6
91,node3-4,node8-3,0,True,False,5
92,node3-4,node8-3,0,True,False,6
93,node3-4,node8-3,0,True,False,6
94,node3-4,node8-3,0,True,False,7
95,node3-4,node8-3,0,True,False,7
96,node3-4,node8-3,0,True,False,7
97,node3-4,node8-3,0,True,False,5
98,node3-4,node8-3,0,True,False,7
99,node3-4,node8-3,0,True,False,6
100,node3-4,node8-3,0,True,False,6
101,node3-4,node8-3,0,True,False,7
102,node3-4,node8-3,0,True,False,7
103,node3-4,node8-3,0,True,False,7
104,node3-4,node8-3,0,True,False,7
105,node3-4,node8-3,0,True,False,5
106,node3-4,node8-3,0,True,False,7
107,node3-4,node8-3,0,True,False,7
108,node3-4,node8-3,0,True,False,6
109,node3-4,node8-3,0,True,False,4
110,node3-4,node8-3,0,True,False,7
