seq,src,dst,noise,received,error,rssi
1,node6-1,node4-3,-15,True,False,13
2,node6-1,node4-3,-15,True,False,11
3,node6-1,node4-3,-15,True,False,10
4,node6-1,node4-3,-15,True,False,7
5,node6-1,node4-3,-15,True,False,7
6,node6-1,node4-3,-15,True,False,7
7,node6-1,node4-3,-15,True,False,7
8,node6-1,node4-3,-15,True,False,8
9,node6-1,node4-3,-15,True,False,8
10,node6-1,node4-3,-15,True,False,8
11,node6-1,node4-3,-15,True,False,8
12,node6-1,node4-3,-15,True,False,8
13,node6-1,node4-3,-15,True,False,8
14,node6-1,node4-3,-15,True,False,7
15,node6-1,node4-3,-15,True,False,8
16,node6-1,node4-3,-15,True,False,7
17,node6-1,node4-3,-15,True,False,8
18,node6-1,node4-3,-15,True,False,7
19,node6-1,node4-3,-15,True,False,7
20,node6-1,node4-3,-15,True,False,7
21,node6-1,node4-3,-15,True,False,7
22,node6-1,node4-3,-15,True,False,8
23,node6-1,node4-3,-15,True,False,9
24,node6-1,node4-3,-15,True,False,9
25,node6-1,node4-3,-15,True,False,8
26,node6-1,node4-3,-15,True,False,8
27,node6-1,node4-3,-15,True,False,7
28,node6-1,node4-3,-15,True,False,8
29,node6-1,node4-3,-15,True,False,8
30,node6-1,node4-3,-15,True,False,9
31,node6-1,node4-3,-15,True,False,7
32,node6-1,node4-3,-15,True,False,7
33,node6-1,node4-3,-15,True,False,7
34,node6-1,node4-3,-15,True,False,8
35,node6-1,node4-3,-15,True,False,10
36,node6-1,node4-3,-15,True,False,7
37,node6-1,node4-3,-15,True,False,9
38,node6-1,node4-3,-15,True,False,8
39,node6-1,node4-3,-15,True,False,8
40,node6-1,node4-3,-15,True,False,7
41,node6-1,node4-3,-15,True,False,8
42,node6-1,node4-3,-15,True,False,8
43,node6-1,node4-3,-15,True,False,7
44,node6-1,node4-3,-15,True,False,8
45,node6-1,node4-3,-15,True,False,7
46,node6-1,node4-3,-15,True,False,8
47,node6-1,node4-3,-15,True,False,8
48,node6-1,node4-3,-15,True,False,8
49,node6-1,node4-3,-15,True,False,7
50,node6-1,node4-3,-15,True,False,8
51,node6-1,node4-3,-15,True,False,6
52,node6-1,node4-3,-15,True,False,6
53,node6-1,node4-3,-15,True,False,8
54,node6-1,node4-3,-15,True,False,8
55,node6-1,node4-3,-15,True,False,8
56,node6-1,node4-3,-15,True,False,7
57,node6-1,node4-3,-15,True,False,7
58,node6-1,node4-3,-15,True,False,7
59,node6-1,node4-3,-15,True,False,7
60,node6-1,node4-3,-15,True,False,8
61,node6-1,node4-3,-15,True,False,7
62,node6-1,node4-3,-15,True,False,7
63,node6-1,node4-3,-15,True,False,8
64,node6-1,node4-3,-15,True,False,9
65,node6-1,node4-3,-15,True,False,8
66,node6-1,node4-3,-15,True,False,7
67,node6-1,node4-3,-15,True,False,7
68,node6-1,node4-3,-15,True,False,8
69,node6-1,node4-3,-15,True,False,6
70,node6-1,node4-3,-15,True,False,8
71,node6-1,node4-3,-15,True,False,7
72,node6-1,node4-3,-15,True,False,7
73,node6-1,node4-3,-15,True,False,8
74,node6-1,node4-3,-15,True,False,8
75,node6-1,node4-3,-15,True,False,7
76,node6-1,node4-3,-15,True,False,8
77,node6-1,node4-3,-15,True,False,7
78,node6-1,node4-3,-15,True,False,7
79,node6-1,node4-3,-15,True,False,7
80,node6-1,node4-3,-15,True,False,9
81,node6-1,node4-3,-15,True,False,7
82,node6-1,node4-3,-15,True,False,8
83,node6-1,node4-3,-15,True,False,8
84,node6-1,node4-3,-15,True,False,8
85,node6-1,node4-3,-15,True,False,9
86,node6-1,node4-3,-15,True,False,7
87,node6-1,node4-3,-15,True,False,8
88,node6-1,node4-3,-15,True,False,6
89,node6-1,node4-3,-15,True,False,8
90,node6-1,node4-3,-15,True,False,7
91,node6-1,node4-3,-15,True,False,7
92,node6-1,node4-3,-15,True,False,7
93,node6-1,node4-3,-15,True,False,8
94,node6-1,node4-3,-15,True,False,8
95,node6-1,node4-3,-15,True,False,7
96,node6-1,node4-3,-15,True,False,7
97,node6-1,node4-3,-15,True,False,7
98,node6-1,node4-3,-15,True,False,6
99,node6-1,node4-3,-15,True,False,9
100,node6-1,node4-3,-15,True,False,6
101,node6-1,node4-3,-15,True,False,8
102,node6-1,node4-3,-15,True,False,7
103,node6-1,node4-3,-15,True,False,7
104,node6-1,node4-3,-15,True,False,6
105,node6-1,node4-3,-15,True,False,8
106,node6-1,node4-3,-15,True,False,7
107,node6-1,node4-3,-15,True,False,7
108,node6-1,node4-3,-15,True,False,8
109,node6-1,node4-3,-15,True,False,8
110,node6-1,node4-3,-15,True,False,7
111,node6-1,node4-3,-15,True,False,8
112,node6-1,node4-3,-15,True,False,8
113,node6-1,node4-3,-15,True,False,7
114,node6-1,node4-3,-15,True,False,7
115,node6-1,node4-3,-15,True,False,7
116,node6-1,node4-3,-15,True,False,8
117,node6-1,node4-3,-15,True,False,8
118,node6-1,node4-3,-15,True,False,7
119,node6-1,node4-3,-15,True,False,8
120,node6-1,node4-3,-15,True,False,7
121,node6-1,node4-3,-15,True,False,8
122,node6-1,node4-3,-15,True,False,7
123,node6-1,node4-3,-15,True,False,5
124,node6-1,node4-3,-15,True,False,7
125,node6-1,node4-3,-15,True,False,7
126,node6-1,node4-3,-15,True,False,8
127,node6-1,node4-3,-15,True,False,7
128,node6-1,node4-3,-15,True,False,9
129,node6-1,node4-3,-15,True,False,8
130,node6-1,node4-3,-15,True,False,8
131,node6-1,node4-3,-15,True,False,8
132,node6-1,node4-3,-15,True,False,8
133,node6-1,node4-3,-15,True,False,9
134,node6-1,node4-3,-15,True,False,9
135,node6-1,node4-3,-15,True,False,9
136,node6-1,node4-3,-15,True,False,8
137,node6-1,node4-3,-15,True,False,7
138,node6-1,node4-3,-15,True,False,8
139,node6-1,node4-3,-15,True,False,8
140,node6-1,node4-3,-15,True,False,8
141,node6-1,node4-3,-15,True,False,8
142,node6-1,node4-3,-15,True,False,8
143,node6-1,node4-3,-15,True,False,7
144,node6-1,node4-3,-15,True,False,8
145,node6-1,node4-3,-15,True,False,7
146,node6-1,node4-3,-15,True,False,8
147,node6-1,node4-3,-15,True,False,6
148,node6-1,node4-3,-15,True,False,8
149,node6-1,node4-3,-15,True,False,6
150,node6-1,node4-3,-15,True,False,7
151,node6-1,node4-3,-15,True,False,9
152,node6-1,node4-3,-15,True,False,7
153,node6-1,node4-3,-15,True,False,7
154,node6-1,node4-3,-15,True,False,8
155,node6-1,node4-3,-15,True,False,8
156,node6-1,node4-3,-15,True,False,7
157,node6-1,node4-3,-15,True,False,7
158,node6-1,node4-3,-15,True,False,7
159,node6-1,node4-3,-15,True,False,9
160,node6-1,node4-3,-15,True,False,8
161,node6-1,node4-3,-15,True,False,8
162,node6-1,node4-3,-15,True,False,8
163,node6-1,node4-3,-15,True,False,7
164,node6-1,node4-3,-15,True,False,8
165,node6-1,node4-3,-15,True,False,8
166,node6-1,node4-3,-15,True,False,8
167,node6-1,node4-3,-15,True,False,8
168,node6-1,node4-3,-15,True,False,6
169,node6-1,node4-3,-15,True,False,9
170,node6-1,node4-3,-15,True,False,7
171,node6-1,node4-3,-15,True,False,8
172,node6-1,node4-3,-15,True,False,9
173,node6-1,node4-3,-15,True,False,9
174,node6-1,node4-3,-15,True,False,6
175,node6-1,node4-3,-15,True,False,8
176,node6-1,node4-3,-15,True,False,7
177,node6-1,node4-3,-15,True,False,7
178,node6-1,node4-3,-15,True,False,5
179,node6-1,node4-3,-15,True,False,7
180,node6-1,node4-3,-15,True,False,8
181,node6-1,node4-3,-15,True,False,7
182,node6-1,node4-3,-15,True,False,6
183,node6-1,node4-3,-15,True,False,8
184,node6-1,node4-3,-15,True,False,7
185,node6-1,node4-3,-15,True,False,9
186,node6-1,node4-3,-15,True,False,8
187,node6-1,node4-3,-15,True,False,8
188,node6-1,node4-3,-15,True,False,6
189,node6-1,node4-3,-15,True,False,7
190,node6-1,node4-3,-15,True,False,7
191,node6-1,node4-3,-15,True,False,8
192,node6-1,node4-3,-15,True,False,9
193,node6-1,node4-3,-15,True,False,7
194,node6-1,node4-3,-15,True,False,8
195,node6-1,node4-3,-15,True,False,8
196,node6-1,node4-3,-15,True,False,6
197,node6-1,node4-3,-15,True,False,7
198,node6-1,node4-3,-15,True,False,7
199,node6-1,node4-3,-15,True,False,7
200,node6-1,node4-3,-15,True,False,7
201,node6-1,node4-3,-15,True,False,7
202,node6-1,node4-3,-15,True,False,8
203,node6-1,node4-3,-15,True,False,8
204,node6-1,node4-3,-15,True,False,7
205,node6-1,node4-3,-15,True,False,7
206,node6-1,node4-3,-15,True,False,8
207,node6-1,node4-3,-15,True,False,9
208,node6-1,node4-3,-15,True,False,9
209,node6-1,node4-3,-15,True,False,7
210,node6-1,node4-3,-15,True,False,7
211,node6-1,node4-3,-15,True,False,8
212,node6-1,node4-3,-15,True,False,7
213,node6-1,node4-3,-15,True,False,6
214,node6-1,node4-3,-15,True,False,6
215,node6-1,node4-3,-15,True,False,7
216,node6-1,node4-3,-15,True,False,6
217,node6-1,node4-3,-15,True,False,7
218,node6-1,node4-3,-15,True,False,7
219,node6-1,node4-3,-15,True,False,8
220,node6-1,node4-3,-15,True,False,7
221,node6-1,node4-3,-15,True,False,8
222,node6-1,node4-3,-15,True,False,8
223,node6-1,node4-3,-15,True,False,8
224,node6-1,node4-3,-15,True,False,7
225,node6-1,node4-3,-15,True,False,7
226,node6-1,node4-3,-15,True,False,9
227,node6-1,node4-3,-15,True,False,7
228,node6-1,node4-3,-15,True,False,8
229,node6-1,node4-3,-15,True,False,9
230,node6-1,node4-3,-15,True,False,6
231,node6-1,node4-3,-15,True,False,8
232,node6-1,node4-3,-15,True,False,8
233,node6-1,node4-3,-15,True,False,7
234,node6-1,node4-3,-15,True,False,7
235,node6-1,node4-3,-15,True,False,7
236,node6-1,node4-3,-15,True,False,7
237,node6-1,node4-3,-15,True,False,7
238,node6-1,node4-3,-15,True,False,8
239,node6-1,node4-3,-15,True,False,8
240,node6-1,node4-3,-15,True,False,9
241,node6-1,node4-3,-15,True,False,7
242,node6-1,node4-3,-15,True,False,7
243,node6-1,node4-3,-15,True,False,8
244,node6-1,node4-3,-15,True,False,7
245,node6-1,node4-3,-15,True,False,8
246,node6-1,node4-3,-15,True,False,8
247,node6-1,node4-3,-15,True,False,8
248,node6-1,node4-3,-15,True,False,7
249,node6-1,node4-3,-15,True,False,9
250,node6-1,node4-3,-15,True,False,9
251,node6-1,node4-3,-15,True,False,6
252,node6-1,node4-3,-15,True,False,9
253,node6-1,node4-3,-15,True,False,7
254,node6-1,node4-3,-15,True,False,6
255,node6-1,node4-3,-15,True,False,7
256,node6-1,node4-3,-15,True,False,8
257,node6-1,node4-3,-15,True,False,8
258,node6-1,node4-3,-15,True,False,7
