seq,src,dst,noise,received,error,rssi
1,node7-2,node8-3,-20,True,False,28
2,node7-2,node8-3,-20,True,False,27
3,node7-2,node8-3,-20,True,False,24
4,node7-2,node8-3,-20,True,False,22
5,node7-2,node8-3,-20,True,False,22
6,node7-2,node8-3,-20,True,False,21
7,node7-2,node8-3,-20,True,False,22
8,node7-2,node8-3,-20,True,False,22
9,node7-2,node8-3,-20,True,False,22
10,node7-2,node8-3,-20,True,False,22
11,node7-2,node8-3,-20,True,False,22
12,node7-2,node8-3,-20,True,False,21
13,node7-2,node8-3,-20,True,False,22
14,node7-2,node8-3,-20,True,False,22
15,node7-2,node8-3,-20,True,False,22
16,node7-2,node8-3,-20,True,False,22
17,node7-2,node8-3,-20,True,False,21
18,node7-2,node8-3,-20,True,False,22
19,node7-2,node8-3,-20,True,False,22
20,node7-2,node8-3,-20,True,False,22
21,node7-2,node8-3,-20,True,False,21
22,node7-2,node8-3,-20,True,False,21
23,node7-2,node8-3,-20,True,False,22
24,node7-2,node8-3,-20,True,False,22
25,node7-2,node8-3,-20,True,False,22
26,node7-2,node8-3,-20,True,False,22
27,node7-2,node8-3,-20,True,False,20
28,node7-2,node8-3,-20,True,False,22
29,node7-2,node8-3,-20,True,False,22
30,node7-2,node8-3,-20,True,False,22
31,node7-2,node8-3,-20,True,False,22
32,node7-2,node8-3,-20,True,False,22
33,node7-2,node8-3,-20,True,False,22
34,node7-2,node8-3,-20,True,False,21
35,node7-2,node8-3,-20,True,False,21
36,node7-2,node8-3,-20,True,False,21
37,node7-2,node8-3,-20,True,False,20
38,node7-2,node8-3,-20,True,False,21
39,node7-2,node8-3,-20,True,False,21
40,node7-2,node8-3,-20,True,False,21
41,node7-2,node8-3,-20,True,False,22
42,node7-2,node8-3,-20,True,False,21
43,node7-2,node8-3,-20,True,False,22
44,node7-2,node8-3,-20,True,False,21
45,node7-2,node8-3,-20,True,False,22
46,node7-2,node8-3,-20,True,False,22
47,node7-2,node8-3,-20,True,False,22
48,node7-2,node8-3,-20,True,False,21
49,node7-2,node8-3,-20,True,False,21
50,node7-2,node8-3,-20,True,False,22
51,node7-2,node8-3,-20,True,False,22
52,node7-2,node8-3,-20,True,False,22
53,node7-2,node8-3,-20,True,False,22
54,node7-2,node8-3,-20,True,False,21
55,node7-2,node8-3,-20,True,False,21
56,node7-2,node8-3,-20,True,False,22
57,node7-2,node8-3,-20,True,False,21
58,node7-2,node8-3,-20,True,False,22
59,node7-2,node8-3,-20,True,False,22
60,node7-2,node8-3,-20,True,False,22
61,node7-2,node8-3,-20,True,False,22
62,node7-2,node8-3,-20,True,False,20
63,node7-2,node8-3,-20,True,False,22
64,node7-2,node8-3,-20,True,False,21
65,node7-2,node8-3,-20,True,False,22
66,node7-2,node8-3,-20,True,False,21
67,node7-2,node8-3,-20,True,False,21
68,node7-2,node8-3,-20,True,False,22
69,node7-2,node8-3,-20,True,False,22
70,node7-2,node8-3,-20,True,False,22
71,node7-2,node8-3,-20,True,False,22
72,node7-2,node8-3,-20,True,False,22
73,node7-2,node8-3,-20,True,False,22
74,node7-2,node8-3,-20,True,False,22
75,node7-2,node8-3,-20,True,False,22
76,node7-2,node8-3,-20,True,False,22
77,node7-2,node8-3,-20,True,False,22
78,node7-2,node8-3,-20,True,False,22
79,node7-2,node8-3,-20,True,False,22
80,node7-2,node8-3,-20,True,False,22
81,node7-2,node8-3,-20,True,False,22
82,node7-2,node8-3,-20,True,False,21
83,node7-2,node8-3,-20,True,False,21
84,node7-2,node8-3,-20,True,False,21
85,node7-2,node8-3,-20,True,False,21
86,node7-2,node8-3,-20,True,False,22
87,node7-2,node8-3,-20,True,False,22
88,node7-2,node8-3,-20,True,False,22
89,node7-2,node8-3,-20,True,False,22
90,node7-2,node8-3,-20,True,False,22
91,node7-2,node8-3,-20,True,False,21
92,node7-2,node8-3,-20,True,False,22
93,node7-2,node8-3,-20,True,False,21
94,node7-2,node8-3,-20,True,False,21
95,node7-2,node8-3,-20,True,False,21
96,node7-2,node8-3,-20,True,False,22
97,node7-2,node8-3,-20,True,False,22
98,node7-2,node8-3,-20,True,False,22
99,node7-2,node8-3,-20,True,False,21
100,node7-2,node8-3,-20,True,False,21
101,node7-2,node8-3,-20,True,False,22
102,node7-2,node8-3,-20,True,False,21
103,node7-2,node8-3,-20,True,False,21
104,node7-2,node8-3,-20,True,False,21
105,node7-2,node8-3,-20,True,False,21
106,node7-2,node8-3,-20,True,False,22
107,node7-2,node8-3,-20,True,False,22
108,node7-2,node8-3,-20,True,False,23
109,node7-2,node8-3,-20,True,False,21
110,node7-2,node8-3,-20,True,False,22
111,node7-2,node8-3,-20,True,False,22
112,node7-2,node8-3,-20,True,False,22
113,node7-2,node8-3,-20,True,False,22
114,node7-2,node8-3,-20,True,False,21
115,node7-2,node8-3,-20,True,False,20
116,node7-2,node8-3,-20,True,False,22
117,node7-2,node8-3,-20,True,False,22
