seq,src,dst,noise,received,error,rssi
1,node5-8,node2-1,-20,True,False,17
2,node5-8,node2-1,-20,True,False,15
3,node5-8,node2-1,-20,True,False,11
4,node5-8,node2-1,-20,True,False,12
5,node5-8,node2-1,-20,True,False,10
6,node5-8,node2-1,-20,True,False,11
7,node5-8,node2-1,-20,True,False,11
8,node5-8,node2-1,-20,True,False,12
9,node5-8,node2-1,-20,True,False,13
10,node5-8,node2-1,-20,True,False,12
11,node5-8,node2-1,-20,True,False,12
12,node5-8,node2-1,-20,True,False,12
13,node5-8,node2-1,-20,True,False,11
14,node5-8,node2-1,-20,True,False,11
15,node5-8,node2-1,-20,True,False,12
16,node5-8,node2-1,-20,True,False,13
17,node5-8,node2-1,-20,True,False,11
18,node5-8,node2-1,-20,True,False,11
19,node5-8,node2-1,-20,True,False,12
20,node5-8,node2-1,-20,True,False,12
21,node5-8,node2-1,-20,True,False,12
22,node5-8,node2-1,-20,True,False,12
23,node5-8,node2-1,-20,True,False,11
24,node5-8,node2-1,-20,True,False,11
25,node5-8,node2-1,-20,True,False,13
26,node5-8,node2-1,-20,True,False,11
27,node5-8,node2-1,-20,True,False,11
28,node5-8,node2-1,-20,True,False,11
29,node5-8,node2-1,-20,True,False,12
30,node5-8,node2-1,-20,True,False,12
31,node5-8,node2-1,-20,True,False,11
32,node5-8,node2-1,-20,True,False,11
33,node5-8,node2-1,-20,True,False,11
34,node5-8,node2-1,-20,True,False,12
35,node5-8,node2-1,-20,True,False,12
36,node5-8,node2-1,-20,True,False,12
37,node5-8,node2-1,-20,True,False,12
38,node5-8,node2-1,-20,True,False,12
39,node5-8,node2-1,-20,True,False,11
40,node5-8,node2-1,-20,True,False,11
41,node5-8,node2-1,-20,True,False,12
42,node5-8,node2-1,-20,True,False,11
43,node5-8,node2-1,-20,True,False,13
44,node5-8,node2-1,-20,True,False,12
45,node5-8,node2-1,-20,True,False,12
46,node5-8,node2-1,-20,True,False,12
47,node5-8,node2-1,-20,True,False,12
48,node5-8,node2-1,-20,True,False,12
49,node5-8,node2-1,-20,True,False,12
50,node5-8,node2-1,-20,True,False,12
51,node5-8,node2-1,-20,True,False,12
52,node5-8,node2-1,-20,True,False,10
53,node5-8,node2-1,-20,True,False,13
54,node5-8,node2-1,-20,True,False,11
55,node5-8,node2-1,-20,True,False,11
56,node5-8,node2-1,-20,True,False,12
57,node5-8,node2-1,-20,True,False,12
58,node5-8,node2-1,-20,True,False,12
59,node5-8,node2-1,-20,True,False,11
60,node5-8,node2-1,-20,True,False,11
61,node5-8,node2-1,-20,True,False,12
62,node5-8,node2-1,-20,True,False,10
63,node5-8,node2-1,-20,True,False,13
64,node5-8,node2-1,-20,True,False,12
65,node5-8,node2-1,-20,True,False,12
66,node5-8,node2-1,-20,True,False,12
67,node5-8,node2-1,-20,True,False,12
68,node5-8,node2-1,-20,True,False,10
69,node5-8,node2-1,-20,True,False,13
70,node5-8,node2-1,-20,True,False,12
71,node5-8,node2-1,-20,True,False,10
72,node5-8,node2-1,-20,True,False,11
73,node5-8,node2-1,-20,True,False,12
74,node5-8,node2-1,-20,True,False,11
75,node5-8,node2-1,-20,True,False,11
76,node5-8,node2-1,-20,True,False,11
77,node5-8,node2-1,-20,True,False,12
78,node5-8,node2-1,-20,True,False,12
79,node5-8,node2-1,-20,True,False,12
80,node5-8,node2-1,-20,True,False,12
81,node5-8,node2-1,-20,True,False,11
82,node5-8,node2-1,-20,True,False,12
83,node5-8,node2-1,-20,True,False,12
84,node5-8,node2-1,-20,True,False,12
85,node5-8,node2-1,-20,True,False,12
86,node5-8,node2-1,-20,True,False,12
87,node5-8,node2-1,-20,True,False,12
88,node5-8,node2-1,-20,True,False,12
89,node5-8,node2-1,-20,True,False,12
90,node5-8,node2-1,-20,True,False,12
91,node5-8,node2-1,-20,True,False,11
92,node5-8,node2-1,-20,True,False,10
93,node5-8,node2-1,-20,True,False,10
94,node5-8,node2-1,-20,True,False,12
95,node5-8,node2-1,-20,True,False,12
96,node5-8,node2-1,-20,True,False,11
97,node5-8,node2-1,-20,True,False,12
98,node5-8,node2-1,-20,True,False,12
99,node5-8,node2-1,-20,True,False,12
100,node5-8,node2-1,-20,True,False,12
101,node5-8,node2-1,-20,True,False,12
102,node5-8,node2-1,-20,True,False,12
103,node5-8,node2-1,-20,True,False,12
104,node5-8,node2-1,-20,True,False,11
105,node5-8,node2-1,-20,True,False,12
106,node5-8,node2-1,-20,True,False,12
107,node5-8,node2-1,-20,True,False,10
108,node5-8,node2-1,-20,True,False,11
109,node5-8,node2-1,-20,True,False,12
110,node5-8,node2-1,-20,True,False,12
111,node5-8,node2-1,-20,True,False,12
112,node5-8,node2-1,-20,True,False,12
113,node5-8,node2-1,-20,True,False,12
114,node5-8,node2-1,-20,True,False,12
115,node5-8,node2-1,-20,True,False,10
116,node5-8,node2-1,-20,True,False,12
117,node5-8,node2-1,-20,True,False,12
118,node5-8,node2-1,-20,True,False,12
119,node5-8,node2-1,-20,True,False,11
120,node5-8,node2-1,-20,True,False,12
121,node5-8,node2-1,-20,True,False,13
122,node5-8,node2-1,-20,True,False,11
123,node5-8,node2-1,-20,True,False,12
124,node5-8,node2-1,-20,True,False,11
125,node5-8,node2-1,-20,True,False,12
126,node5-8,node2-1,-20,True,False,13
127,node5-8,node2-1,-20,True,False,12
128,node5-8,node2-1,-20,True,False,12
129,node5-8,node2-1,-20,True,False,12
130,node5-8,node2-1,-20,True,False,11
131,node5-8,node2-1,-20,True,False,11
132,node5-8,node2-1,-20,True,False,12
133,node5-8,node2-1,-20,True,False,12
134,node5-8,node2-1,-20,True,False,10
135,node5-8,node2-1,-20,True,False,12
136,node5-8,node2-1,-20,True,False,12
137,node5-8,node2-1,-20,True,False,13
138,node5-8,node2-1,-20,True,False,12
139,node5-8,node2-1,-20,True,False,12
140,node5-8,node2-1,-20,True,False,11
141,node5-8,node2-1,-20,True,False,11
142,node5-8,node2-1,-20,True,False,11
143,node5-8,node2-1,-20,True,False,11
144,node5-8,node2-1,-20,True,False,10
145,node5-8,node2-1,-20,True,False,12
146,node5-8,node2-1,-20,True,False,12
147,node5-8,node2-1,-20,True,False,11
148,node5-8,node2-1,-20,True,False,10
149,node5-8,node2-1,-20,True,False,12
150,node5-8,node2-1,-20,True,False,11
151,node5-8,node2-1,-20,True,False,12
152,node5-8,node2-1,-20,True,False,12
153,node5-8,node2-1,-20,True,False,11
154,node5-8,node2-1,-20,True,False,10
155,node5-8,node2-1,-20,True,False,11
156,node5-8,node2-1,-20,True,False,12
157,node5-8,node2-1,-20,True,False,12
158,node5-8,node2-1,-20,True,False,12
159,node5-8,node2-1,-20,True,False,12
160,node5-8,node2-1,-20,True,False,12
161,node5-8,node2-1,-20,True,False,12
162,node5-8,node2-1,-20,True,False,12
163,node5-8,node2-1,-20,True,False,12
164,node5-8,node2-1,-20,True,False,12
165,node5-8,node2-1,-20,True,False,11
166,node5-8,node2-1,-20,True,False,13
167,node5-8,node2-1,-20,True,False,11
168,node5-8,node2-1,-20,True,False,13
