seq,src,dst,noise,received,error,rssi
1,node7-6,node8-5,-20,True,False,6
2,node7-6,node8-5,-20,True,False,5
3,node7-6,node8-5,-20,True,False,4
4,node7-6,node8-5,-20,True,False,0
5,node7-6,node8-5,-20,True,False,1
6,node7-6,node8-5,-20,False,False,0
7,node7-6,node8-5,-20,False,False,0
8,node7-6,node8-5,-20,True,False,0
9,node7-6,node8-5,-20,True,False,2
10,node7-6,node8-5,-20,True,False,3
11,node7-6,node8-5,-20,True,False,1
12,node7-6,node8-5,-20,False,False,0
13,node7-6,node8-5,-20,True,False,2
14,node7-6,node8-5,-20,True,False,1
15,node7-6,node8-5,-20,False,False,0
16,node7-6,node8-5,-20,True,False,3
17,node7-6,node8-5,-20,True,False,1
18,node7-6,node8-5,-20,False,False,0
19,node7-6,node8-5,-20,True,False,1
20,node7-6,node8-5,-20,True,False,2
21,node7-6,node8-5,-20,False,False,0
22,node7-6,node8-5,-20,False,False,0
23,node7-6,node8-5,-20,True,False,2
24,node7-6,node8-5,-20,True,False,2
25,node7-6,node8-5,-20,False,False,0
26,node7-6,node8-5,-20,True,False,3
27,node7-6,node8-5,-20,False,True,0
28,node7-6,node8-5,-20,True,False,1
29,node7-6,node8-5,-20,True,False,1
30,node7-6,node8-5,-20,False,False,0
31,node7-6,node8-5,-20,False,False,0
32,node7-6,node8-5,-20,False,False,0
33,node7-6,node8-5,-20,True,False,0
34,node7-6,node8-5,-20,False,False,0
35,node7-6,node8-5,-20,False,False,0
36,node7-6,node8-5,-20,True,False,1
37,node7-6,node8-5,-20,True,False,1
38,node7-6,node8-5,-20,False,False,0
39,node7-6,node8-5,-20,True,False,2
40,node7-6,node8-5,-20,False,False,0
41,node7-6,node8-5,-20,False,False,0
42,node7-6,node8-5,-20,True,False,2
43,node7-6,node8-5,-20,True,False,3
44,node7-6,node8-5,-20,False,False,0
45,node7-6,node8-5,-20,True,False,2
46,node7-6,node8-5,-20,False,False,0
47,node7-6,node8-5,-20,True,False,2
48,node7-6,node8-5,-20,True,False,1
49,node7-6,node8-5,-20,True,False,3
50,node7-6,node8-5,-20,False,False,0
51,node7-6,node8-5,-20,True,False,0
52,node7-6,node8-5,-20,True,False,0
53,node7-6,node8-5,-20,True,False,1
54,node7-6,node8-5,-20,False,False,0
55,node7-6,node8-5,-20,False,False,0
56,node7-6,node8-5,-20,False,False,0
57,node7-6,node8-5,-20,True,False,1
58,node7-6,node8-5,-20,True,False,1
59,node7-6,node8-5,-20,True,False,1
60,node7-6,node8-5,-20,False,False,0
61,node7-6,node8-5,-20,False,False,0
62,node7-6,node8-5,-20,True,False,1
63,node7-6,node8-5,-20,True,False,3
64,node7-6,node8-5,-20,True,False,1
65,node7-6,node8-5,-20,True,False,4
66,node7-6,node8-5,-20,True,False,2
67,node7-6,node8-5,-20,False,False,0
68,node7-6,node8-5,-20,True,False,0
69,node7-6,node8-5,-20,True,False,3
70,node7-6,node8-5,-20,False,False,0
71,node7-6,node8-5,-20,False,False,0
72,node7-6,node8-5,-20,True,False,1
73,node7-6,node8-5,-20,False,False,0
74,node7-6,node8-5,-20,True,False,2
75,node7-6,node8-5,-20,True,False,3
76,node7-6,node8-5,-20,False,False,0
77,node7-6,node8-5,-20,True,False,1
78,node7-6,node8-5,-20,True,False,3
79,node7-6,node8-5,-20,True,False,1
80,node7-6,node8-5,-20,True,False,2
81,node7-6,node8-5,-20,True,False,0
82,node7-6,node8-5,-20,False,False,0
83,node7-6,node8-5,-20,True,False,1
84,node7-6,node8-5,-20,False,False,0
85,node7-6,node8-5,-20,True,False,1
86,node7-6,node8-5,-20,False,False,0
87,node7-6,node8-5,-20,False,False,0
88,node7-6,node8-5,-20,True,False,3
89,node7-6,node8-5,-20,True,False,1
90,node7-6,node8-5,-20,False,False,0
91,node7-6,node8-5,-20,True,False,1
92,node7-6,node8-5,-20,False,False,0
93,node7-6,node8-5,-20,True,False,2
94,node7-6,node8-5,-20,False,False,0
95,node7-6,node8-5,-20,False,False,0
96,node7-6,node8-5,-20,False,False,0
97,node7-6,node8-5,-20,True,False,2
98,node7-6,node8-5,-20,True,False,4
99,node7-6,node8-5,-20,False,False,0
100,node7-6,node8-5,-20,False,False,0
101,node7-6,node8-5,-20,False,True,0
102,node7-6,node8-5,-20,False,False,0
103,node7-6,node8-5,-20,True,False,0
104,node7-6,node8-5,-20,True,False,2
105,node7-6,node8-5,-20,True,False,1
106,node7-6,node8-5,-20,False,False,0
107,node7-6,node8-5,-20,True,False,3
108,node7-6,node8-5,-20,False,False,0
109,node7-6,node8-5,-20,True,False,2
110,node7-6,node8-5,-20,True,False,1
111,node7-6,node8-5,-20,True,False,1
112,node7-6,node8-5,-20,False,False,0
113,node7-6,node8-5,-20,True,False,0
114,node7-6,node8-5,-20,True,False,0
115,node7-6,node8-5,-20,False,False,0
116,node7-6,node8-5,-20,False,False,0
117,node7-6,node8-5,-20,True,False,2
118,node7-6,node8-5,-20,True,False,1
119,node7-6,node8-5,-20,True,False,3
120,node7-6,node8-5,-20,False,False,0
121,node7-6,node8-5,-20,True,False,1
122,node7-6,node8-5,-20,True,False,3
123,node7-6,node8-5,-20,True,False,2
124,node7-6,node8-5,-20,True,False,2
125,node7-6,node8-5,-20,False,False,0
126,node7-6,node8-5,-20,False,False,0
127,node7-6,node8-5,-20,True,False,2
128,node7-6,node8-5,-20,False,False,0
129,node7-6,node8-5,-20,False,True,0
130,node7-6,node8-5,-20,True,False,1
131,node7-6,node8-5,-20,True,False,0
132,node7-6,node8-5,-20,False,False,0
133,node7-6,node8-5,-20,False,False,0
134,node7-6,node8-5,-20,True,False,2
135,node7-6,node8-5,-20,True,False,2
136,node7-6,node8-5,-20,True,False,1
137,node7-6,node8-5,-20,False,False,0
138,node7-6,node8-5,-20,False,False,0
139,node7-6,node8-5,-20,False,False,0
140,node7-6,node8-5,-20,True,False,1
141,node7-6,node8-5,-20,False,False,0
142,node7-6,node8-5,-20,True,False,1
143,node7-6,node8-5,-20,False,False,0
144,node7-6,node8-5,-20,True,False,3
145,node7-6,node8-5,-20,True,False,2
146,node7-6,node8-5,-20,False,False,0
147,node7-6,node8-5,-20,True,False,1
148,node7-6,node8-5,-20,False,False,0
149,node7-6,node8-5,-20,False,False,0
150,node7-6,node8-5,-20,False,False,0
151,node7-6,node8-5,-20,False,False,0
152,node7-6,node8-5,-20,True,False,1
153,node7-6,node8-5,-20,True,False,1
154,node7-6,node8-5,-20,True,False,2
155,node7-6,node8-5,-20,True,False,4
156,node7-6,node8-5,-20,False,False,0
157,node7-6,node8-5,-20,True,False,1
158,node7-6,node8-5,-20,False,False,0
159,node7-6,node8-5,-20,False,False,0
160,node7-6,node8-5,-20,False,False,0
161,node7-6,node8-5,-20,True,False,1
162,node7-6,node8-5,-20,True,False,2
163,node7-6,node8-5,-20,True,False,2
164,node7-6,node8-5,-20,False,True,0
165,node7-6,node8-5,-20,True,False,2
166,node7-6,node8-5,-20,False,False,0
167,node7-6,node8-5,-20,False,False,0
168,node7-6,node8-5,-20,True,False,2
169,node7-6,node8-5,-20,False,False,0
170,node7-6,node8-5,-20,True,False,2
171,node7-6,node8-5,-20,False,False,0
172,node7-6,node8-5,-20,False,True,0
173,node7-6,node8-5,-20,True,False,2
174,node7-6,node8-5,-20,True,False,4
175,node7-6,node8-5,-20,False,False,0
176,node7-6,node8-5,-20,True,False,2
177,node7-6,node8-5,-20,False,False,0
178,node7-6,node8-5,-20,True,False,1
179,node7-6,node8-5,-20,False,False,0
180,node7-6,node8-5,-20,True,False,2
181,node7-6,node8-5,-20,False,False,0
182,node7-6,node8-5,-20,True,False,1
183,node7-6,node8-5,-20,True,False,2
184,node7-6,node8-5,-20,False,False,0
185,node7-6,node8-5,-20,False,False,0
186,node7-6,node8-5,-20,True,False,3
187,node7-6,node8-5,-20,True,False,0
188,node7-6,node8-5,-20,False,False,0
189,node7-6,node8-5,-20,False,False,0
190,node7-6,node8-5,-20,True,False,1
191,node7-6,node8-5,-20,True,False,2
192,node7-6,node8-5,-20,True,False,0
193,node7-6,node8-5,-20,True,False,3
194,node7-6,node8-5,-20,True,False,0
195,node7-6,node8-5,-20,True,False,1
196,node7-6,node8-5,-20,True,False,3
197,node7-6,node8-5,-20,True,False,1
198,node7-6,node8-5,-20,True,False,2
199,node7-6,node8-5,-20,False,False,0
200,node7-6,node8-5,-20,True,False,1
201,node7-6,node8-5,-20,False,False,0
202,node7-6,node8-5,-20,True,False,2
203,node7-6,node8-5,-20,True,False,1
204,node7-6,node8-5,-20,True,False,1
205,node7-6,node8-5,-20,True,False,1
206,node7-6,node8-5,-20,True,False,1
207,node7-6,node8-5,-20,True,False,1
208,node7-6,node8-5,-20,True,False,3
209,node7-6,node8-5,-20,True,False,2
210,node7-6,node8-5,-20,True,False,2
211,node7-6,node8-5,-20,True,False,3
212,node7-6,node8-5,-20,True,False,4
213,node7-6,node8-5,-20,False,True,0
214,node7-6,node8-5,-20,True,False,0
215,node7-6,node8-5,-20,True,False,1
216,node7-6,node8-5,-20,True,False,0
217,node7-6,node8-5,-20,False,False,0
218,node7-6,node8-5,-20,False,False,0
219,node7-6,node8-5,-20,True,False,3
220,node7-6,node8-5,-20,False,False,0
221,node7-6,node8-5,-20,False,False,0
222,node7-6,node8-5,-20,True,False,2
223,node7-6,node8-5,-20,True,False,3
224,node7-6,node8-5,-20,False,False,0
225,node7-6,node8-5,-20,False,False,0
226,node7-6,node8-5,-20,True,False,2
227,node7-6,node8-5,-20,False,False,0
228,node7-6,node8-5,-20,True,False,3
229,node7-6,node8-5,-20,True,False,1
230,node7-6,node8-5,-20,True,False,1
231,node7-6,node8-5,-20,True,False,1
232,node7-6,node8-5,-20,False,False,0
233,node7-6,node8-5,-20,True,False,2
234,node7-6,node8-5,-20,False,False,0
235,node7-6,node8-5,-20,True,False,0
236,node7-6,node8-5,-20,True,False,2
237,node7-6,node8-5,-20,True,False,1
238,node7-6,node8-5,-20,False,False,0
239,node7-6,node8-5,-20,True,False,2
240,node7-6,node8-5,-20,True,False,1
241,node7-6,node8-5,-20,False,False,0
242,node7-6,node8-5,-20,True,False,3
243,node7-6,node8-5,-20,True,False,3
244,node7-6,node8-5,-20,False,False,0
245,node7-6,node8-5,-20,False,False,0
246,node7-6,node8-5,-20,True,False,0
247,node7-6,node8-5,-20,False,False,0
248,node7-6,node8-5,-20,True,False,2
249,node7-6,node8-5,-20,False,False,0
250,node7-6,node8-5,-20,False,False,0
251,node7-6,node8-5,-20,True,False,2
252,node7-6,node8-5,-20,True,False,1
253,node7-6,node8-5,-20,False,False,0
254,node7-6,node8-5,-20,False,False,0
255,node7-6,node8-5,-20,True,False,1
256,node7-6,node8-5,-20,False,False,0
257,node7-6,node8-5,-20,False,False,0
258,node7-6,node8-5,-20,True,False,1
259,node7-6,node8-5,-20,False,False,0
260,node7-6,node8-5,-20,True,False,2
261,node7-6,node8-5,-20,False,False,0
262,node7-6,node8-5,-20,False,True,0
263,node7-6,node8-5,-20,False,False,0
264,node7-6,node8-5,-20,True,False,2
265,node7-6,node8-5,-20,True,False,1
266,node7-6,node8-5,-20,True,False,1
267,node7-6,node8-5,-20,True,False,1
268,node7-6,node8-5,-20,False,False,0
269,node7-6,node8-5,-20,True,False,1
270,node7-6,node8-5,-20,True,False,2
271,node7-6,node8-5,-20,True,False,2
272,node7-6,node8-5,-20,True,False,1
273,node7-6,node8-5,-20,True,False,1
274,node7-6,node8-5,-20,False,False,0
275,node7-6,node8-5,-20,False,False,0
276,node7-6,node8-5,-20,True,False,0
277,node7-6,node8-5,-20,True,False,1
278,node7-6,node8-5,-20,False,False,0
279,node7-6,node8-5,-20,False,False,0
280,node7-6,node8-5,-20,True,False,1
281,node7-6,node8-5,-20,True,False,1
282,node7-6,node8-5,-20,False,False,0
283,node7-6,node8-5,-20,False,False,0
284,node7-6,node8-5,-20,True,False,4
285,node7-6,node8-5,-20,False,False,0
286,node7-6,node8-5,-20,True,False,2
287,node7-6,node8-5,-20,False,True,0
288,node7-6,node8-5,-20,False,False,0
289,node7-6,node8-5,-20,False,False,0
290,node7-6,node8-5,-20,False,False,0
291,node7-6,node8-5,-20,True,False,3
292,node7-6,node8-5,-20,False,False,0
293,node7-6,node8-5,-20,True,False,2
294,node7-6,node8-5,-20,False,False,0
295,node7-6,node8-5,-20,False,False,0
296,node7-6,node8-5,-20,False,True,0
297,node7-6,node8-5,-20,False,False,0
298,node7-6,node8-5,-20,True,False,3
299,node7-6,node8-5,-20,True,False,2
300,node7-6,node8-5,-20,False,False,0
