seq,src,dst,noise,received,error,rssi
1,node6-1,node7-6,-20,True,False,18
2,node6-1,node7-6,-20,True,False,16
3,node6-1,node7-6,-20,True,False,13
4,node6-1,node7-6,-20,True,False,13
5,node6-1,node7-6,-20,True,False,7
6,node6-1,node7-6,-20,True,False,14
7,node6-1,node7-6,-20,True,False,9
8,node6-1,node7-6,-20,True,False,13
9,node6-1,node7-6,-20,True,False,9
10,node6-1,node7-6,-20,True,False,7
11,node6-1,node7-6,-20,True,False,8
12,node6-1,node7-6,-20,True,False,11
13,node6-1,node7-6,-20,True,False,10
14,node6-1,node7-6,-20,True,False,8
15,node6-1,node7-6,-20,True,False,8
16,node6-1,node7-6,-20,True,False,11
17,node6-1,node7-6,-20,True,False,10
18,node6-1,node7-6,-20,True,False,10
19,node6-1,node7-6,-20,True,False,9
20,node6-1,node7-6,-20,True,False,10
21,node6-1,node7-6,-20,True,False,9
22,node6-1,node7-6,-20,True,False,10
23,node6-1,node7-6,-20,True,False,9
24,node6-1,node7-6,-20,True,False,9
25,node6-1,node7-6,-20,True,False,10
26,node6-1,node7-6,-20,True,False,10
27,node6-1,node7-6,-20,True,False,10
28,node6-1,node7-6,-20,True,False,9
29,node6-1,node7-6,-20,True,False,11
30,node6-1,node7-6,-20,True,False,12
31,node6-1,node7-6,-20,True,False,10
32,node6-1,node7-6,-20,True,False,8
33,node6-1,node7-6,-20,True,False,9
34,node6-1,node7-6,-20,True,False,11
35,node6-1,node7-6,-20,True,False,13
36,node6-1,node7-6,-20,True,False,11
37,node6-1,node7-6,-20,True,False,9
38,node6-1,node7-6,-20,True,False,9
39,node6-1,node7-6,-20,True,False,11
40,node6-1,node7-6,-20,True,False,10
41,node6-1,node7-6,-20,True,False,9
42,node6-1,node7-6,-20,True,False,9
43,node6-1,node7-6,-20,True,False,11
44,node6-1,node7-6,-20,True,False,11
45,node6-1,node7-6,-20,True,False,8
46,node6-1,node7-6,-20,True,False,10
47,node6-1,node7-6,-20,True,False,12
48,node6-1,node7-6,-20,True,False,11
49,node6-1,node7-6,-20,True,False,12
50,node6-1,node7-6,-20,True,False,10
51,node6-1,node7-6,-20,True,False,9
52,node6-1,node7-6,-20,True,False,7
53,node6-1,node7-6,-20,True,False,10
54,node6-1,node7-6,-20,True,False,11
55,node6-1,node7-6,-20,True,False,9
56,node6-1,node7-6,-20,True,False,11
57,node6-1,node7-6,-20,True,False,11
58,node6-1,node7-6,-20,True,False,10
59,node6-1,node7-6,-20,True,False,10
60,node6-1,node7-6,-20,True,False,8
61,node6-1,node7-6,-20,True,False,10
62,node6-1,node7-6,-20,True,False,11
63,node6-1,node7-6,-20,True,False,10
64,node6-1,node7-6,-20,True,False,11
65,node6-1,node7-6,-20,True,False,8
66,node6-1,node7-6,-20,True,False,10
67,node6-1,node7-6,-20,True,False,8
68,node6-1,node7-6,-20,True,False,8
69,node6-1,node7-6,-20,True,False,10
70,node6-1,node7-6,-20,True,False,11
71,node6-1,node7-6,-20,True,False,11
72,node6-1,node7-6,-20,True,False,8
73,node6-1,node7-6,-20,True,False,13
74,node6-1,node7-6,-20,True,False,8
75,node6-1,node7-6,-20,True,False,11
76,node6-1,node7-6,-20,True,False,8
77,node6-1,node7-6,-20,True,False,10
78,node6-1,node7-6,-20,True,False,8
79,node6-1,node7-6,-20,True,False,9
80,node6-1,node7-6,-20,True,False,10
81,node6-1,node7-6,-20,True,False,9
82,node6-1,node7-6,-20,True,False,11
83,node6-1,node7-6,-20,True,False,7
84,node6-1,node7-6,-20,True,False,9
85,node6-1,node7-6,-20,True,False,9
86,node6-1,node7-6,-20,True,False,10
87,node6-1,node7-6,-20,True,False,9
88,node6-1,node7-6,-20,True,False,11
89,node6-1,node7-6,-20,True,False,9
90,node6-1,node7-6,-20,True,False,9
91,node6-1,node7-6,-20,True,False,10
92,node6-1,node7-6,-20,True,False,9
93,node6-1,node7-6,-20,True,False,11
94,node6-1,node7-6,-20,True,False,8
95,node6-1,node7-6,-20,True,False,10
96,node6-1,node7-6,-20,True,False,10
97,node6-1,node7-6,-20,True,False,10
98,node6-1,node7-6,-20,True,False,9
99,node6-1,node7-6,-20,True,False,10
100,node6-1,node7-6,-20,True,False,9
101,node6-1,node7-6,-20,True,False,9
102,node6-1,node7-6,-20,True,False,8
103,node6-1,node7-6,-20,True,False,7
104,node6-1,node7-6,-20,True,False,8
105,node6-1,node7-6,-20,True,False,10
106,node6-1,node7-6,-20,True,False,9
107,node6-1,node7-6,-20,True,False,12
108,node6-1,node7-6,-20,True,False,10
109,node6-1,node7-6,-20,True,False,9
110,node6-1,node7-6,-20,True,False,13
111,node6-1,node7-6,-20,True,False,8
112,node6-1,node7-6,-20,True,False,13
113,node6-1,node7-6,-20,True,False,8
114,node6-1,node7-6,-20,True,False,10
115,node6-1,node7-6,-20,True,False,11
116,node6-1,node7-6,-20,True,False,10
117,node6-1,node7-6,-20,True,False,9
118,node6-1,node7-6,-20,True,False,13
119,node6-1,node7-6,-20,True,False,10
120,node6-1,node7-6,-20,True,False,10
121,node6-1,node7-6,-20,True,False,11
122,node6-1,node7-6,-20,True,False,8
123,node6-1,node7-6,-20,True,False,9
124,node6-1,node7-6,-20,True,False,8
125,node6-1,node7-6,-20,True,False,11
126,node6-1,node7-6,-20,True,False,10
127,node6-1,node7-6,-20,True,False,11
128,node6-1,node7-6,-20,True,False,10
129,node6-1,node7-6,-20,True,False,11
130,node6-1,node7-6,-20,True,False,8
131,node6-1,node7-6,-20,True,False,10
132,node6-1,node7-6,-20,True,False,9
133,node6-1,node7-6,-20,True,False,10
134,node6-1,node7-6,-20,True,False,10
135,node6-1,node7-6,-20,True,False,10
136,node6-1,node7-6,-20,True,False,13
137,node6-1,node7-6,-20,True,False,11
138,node6-1,node7-6,-20,True,False,8
139,node6-1,node7-6,-20,True,False,9
140,node6-1,node7-6,-20,True,False,9
141,node6-1,node7-6,-20,True,False,10
142,node6-1,node7-6,-20,True,False,9
143,node6-1,node7-6,-20,True,False,9
144,node6-1,node7-6,-20,True,False,10
145,node6-1,node7-6,-20,True,False,9
146,node6-1,node7-6,-20,True,False,9
147,node6-1,node7-6,-20,True,False,11
148,node6-1,node7-6,-20,True,False,13
149,node6-1,node7-6,-20,True,False,9
150,node6-1,node7-6,-20,True,False,10
151,node6-1,node7-6,-20,True,False,13
152,node6-1,node7-6,-20,True,False,12
153,node6-1,node7-6,-20,True,False,9
154,node6-1,node7-6,-20,True,False,11
155,node6-1,node7-6,-20,True,False,12
156,node6-1,node7-6,-20,True,False,8
157,node6-1,node7-6,-20,True,False,8
158,node6-1,node7-6,-20,True,False,9
159,node6-1,node7-6,-20,True,False,11
160,node6-1,node7-6,-20,True,False,10
161,node6-1,node7-6,-20,True,False,10
162,node6-1,node7-6,-20,True,False,9
163,node6-1,node7-6,-20,True,False,11
164,node6-1,node7-6,-20,True,False,11
165,node6-1,node7-6,-20,True,False,11
166,node6-1,node7-6,-20,True,False,13
167,node6-1,node7-6,-20,True,False,9
168,node6-1,node7-6,-20,True,False,8
169,node6-1,node7-6,-20,True,False,11
170,node6-1,node7-6,-20,True,False,11
171,node6-1,node7-6,-20,True,False,10
172,node6-1,node7-6,-20,True,False,11
173,node6-1,node7-6,-20,True,False,11
174,node6-1,node7-6,-20,True,False,9
175,node6-1,node7-6,-20,True,False,10
176,node6-1,node7-6,-20,True,False,9
177,node6-1,node7-6,-20,True,False,10
178,node6-1,node7-6,-20,True,False,8
179,node6-1,node7-6,-20,True,False,10
180,node6-1,node7-6,-20,True,False,11
181,node6-1,node7-6,-20,True,False,10
182,node6-1,node7-6,-20,True,False,10
183,node6-1,node7-6,-20,True,False,11
184,node6-1,node7-6,-20,True,False,11
185,node6-1,node7-6,-20,True,False,9
186,node6-1,node7-6,-20,True,False,9
187,node6-1,node7-6,-20,True,False,9
188,node6-1,node7-6,-20,True,False,10
189,node6-1,node7-6,-20,True,False,9
190,node6-1,node7-6,-20,True,False,9
191,node6-1,node7-6,-20,True,False,13
192,node6-1,node7-6,-20,True,False,7
193,node6-1,node7-6,-20,True,False,9
194,node6-1,node7-6,-20,True,False,8
195,node6-1,node7-6,-20,True,False,10
196,node6-1,node7-6,-20,True,False,10
197,node6-1,node7-6,-20,True,False,11
198,node6-1,node7-6,-20,True,False,11
199,node6-1,node7-6,-20,True,False,10
200,node6-1,node7-6,-20,True,False,11
201,node6-1,node7-6,-20,True,False,9
202,node6-1,node7-6,-20,True,False,9
203,node6-1,node7-6,-20,True,False,11
204,node6-1,node7-6,-20,True,False,10
205,node6-1,node7-6,-20,True,False,10
206,node6-1,node7-6,-20,True,False,9
207,node6-1,node7-6,-20,True,False,10
208,node6-1,node7-6,-20,True,False,9
209,node6-1,node7-6,-20,True,False,14
210,node6-1,node7-6,-20,True,False,12
211,node6-1,node7-6,-20,True,False,10
212,node6-1,node7-6,-20,True,False,13
213,node6-1,node7-6,-20,True,False,9
214,node6-1,node7-6,-20,True,False,10
215,node6-1,node7-6,-20,True,False,10
216,node6-1,node7-6,-20,True,False,8
217,node6-1,node7-6,-20,True,False,12
218,node6-1,node7-6,-20,True,False,11
219,node6-1,node7-6,-20,True,False,10
220,node6-1,node7-6,-20,True,False,11
221,node6-1,node7-6,-20,True,False,11
222,node6-1,node7-6,-20,True,False,9
223,node6-1,node7-6,-20,True,False,8
224,node6-1,node7-6,-20,True,False,8
225,node6-1,node7-6,-20,True,False,10
226,node6-1,node7-6,-20,True,False,10
227,node6-1,node7-6,-20,True,False,11
228,node6-1,node7-6,-20,True,False,10
229,node6-1,node7-6,-20,True,False,9
230,node6-1,node7-6,-20,True,False,7
231,node6-1,node7-6,-20,True,False,12
232,node6-1,node7-6,-20,True,False,10
233,node6-1,node7-6,-20,True,False,11
234,node6-1,node7-6,-20,True,False,9
235,node6-1,node7-6,-20,True,False,10
236,node6-1,node7-6,-20,True,False,11
237,node6-1,node7-6,-20,True,False,11
238,node6-1,node7-6,-20,True,False,11
239,node6-1,node7-6,-20,True,False,10
240,node6-1,node7-6,-20,True,False,12
241,node6-1,node7-6,-20,True,False,10
242,node6-1,node7-6,-20,True,False,10
243,node6-1,node7-6,-20,True,False,13
244,node6-1,node7-6,-20,True,False,9
245,node6-1,node7-6,-20,True,False,12
246,node6-1,node7-6,-20,True,False,8
247,node6-1,node7-6,-20,True,False,10
248,node6-1,node7-6,-20,True,False,10
249,node6-1,node7-6,-20,True,False,10
250,node6-1,node7-6,-20,True,False,9
251,node6-1,node7-6,-20,True,False,6
252,node6-1,node7-6,-20,True,False,9
253,node6-1,node7-6,-20,True,False,8
254,node6-1,node7-6,-20,True,False,10
255,node6-1,node7-6,-20,True,False,8
256,node6-1,node7-6,-20,True,False,13
257,node6-1,node7-6,-20,True,False,10
258,node6-1,node7-6,-20,True,False,10
259,node6-1,node7-6,-20,True,False,13
260,node6-1,node7-6,-20,True,False,10
261,node6-1,node7-6,-20,True,False,10
262,node6-1,node7-6,-20,True,False,9
263,node6-1,node7-6,-20,True,False,9
264,node6-1,node7-6,-20,True,False,9
265,node6-1,node7-6,-20,True,False,11
266,node6-1,node7-6,-20,True,False,9
267,node6-1,node7-6,-20,True,False,11
268,node6-1,node7-6,-20,True,False,10
269,node6-1,node7-6,-20,True,False,9
270,node6-1,node7-6,-20,True,False,12
271,node6-1,node7-6,-20,True,False,10
272,node6-1,node7-6,-20,True,False,11
273,node6-1,node7-6,-20,True,False,10
274,node6-1,node7-6,-20,True,False,9
275,node6-1,node7-6,-20,True,False,10
276,node6-1,node7-6,-20,True,False,10
277,node6-1,node7-6,-20,True,False,10
278,node6-1,node7-6,-20,True,False,13
279,node6-1,node7-6,-20,True,False,12
280,node6-1,node7-6,-20,True,False,10
281,node6-1,node7-6,-20,True,False,10
282,node6-1,node7-6,-20,True,False,13
283,node6-1,node7-6,-20,True,False,9
284,node6-1,node7-6,-20,True,False,8
285,node6-1,node7-6,-20,True,False,8
286,node6-1,node7-6,-20,True,False,11
287,node6-1,node7-6,-20,True,False,11
288,node6-1,node7-6,-20,True,False,9
289,node6-1,node7-6,-20,True,False,11
290,node6-1,node7-6,-20,True,False,11
291,node6-1,node7-6,-20,True,False,9
292,node6-1,node7-6,-20,True,False,9
293,node6-1,node7-6,-20,True,False,10
294,node6-1,node7-6,-20,True,False,11
295,node6-1,node7-6,-20,True,False,11
296,node6-1,node7-6,-20,True,False,8
297,node6-1,node7-6,-20,True,False,10
298,node6-1,node7-6,-20,True,False,11
299,node6-1,node7-6,-20,True,False,9
300,node6-1,node7-6,-20,True,False,8
