seq,src,dst,noise,received,error,rssi
1,node3-2,node5-2,-5,True,False,17
2,node3-2,node5-2,-5,True,False,16
3,node3-2,node5-2,-5,True,False,13
4,node3-2,node5-2,-5,True,False,12
5,node3-2,node5-2,-5,True,False,12
6,node3-2,node5-2,-5,True,False,11
7,node3-2,node5-2,-5,True,False,10
8,node3-2,node5-2,-5,True,False,10
9,node3-2,node5-2,-5,True,False,10
10,node3-2,node5-2,-5,True,False,10
11,node3-2,node5-2,-5,True,False,10
12,node3-2,node5-2,-5,True,False,11
13,node3-2,node5-2,-5,True,False,10
14,node3-2,node5-2,-5,True,False,10
15,node3-2,node5-2,-5,True,False,10
16,node3-2,node5-2,-5,True,False,9
17,node3-2,node5-2,-5,True,False,11
18,node3-2,node5-2,-5,True,False,9
19,node3-2,node5-2,-5,True,False,11
20,node3-2,node5-2,-5,True,False,11
21,node3-2,node5-2,-5,True,False,10
22,node3-2,node5-2,-5,True,False,11
23,node3-2,node5-2,-5,True,False,10
24,node3-2,node5-2,-5,True,False,11
25,node3-2,node5-2,-5,True,False,10
26,node3-2,node5-2,-5,True,False,9
27,node3-2,node5-2,-5,True,False,10
28,node3-2,node5-2,-5,True,False,10
29,node3-2,node5-2,-5,True,False,9
30,node3-2,node5-2,-5,True,False,10
31,node3-2,node5-2,-5,True,False,10
32,node3-2,node5-2,-5,True,False,9
33,node3-2,node5-2,-5,True,False,10
34,node3-2,node5-2,-5,True,False,11
35,node3-2,node5-2,-5,True,False,10
36,node3-2,node5-2,-5,True,False,9
37,node3-2,node5-2,-5,True,False,10
38,node3-2,node5-2,-5,True,False,10
39,node3-2,node5-2,-5,True,False,9
40,node3-2,node5-2,-5,True,False,10
41,node3-2,node5-2,-5,True,False,10
42,node3-2,node5-2,-5,True,False,11
43,node3-2,node5-2,-5,True,False,10
44,node3-2,node5-2,-5,True,False,10
45,node3-2,node5-2,-5,True,False,10
46,node3-2,node5-2,-5,True,False,10
47,node3-2,node5-2,-5,True,False,9
48,node3-2,node5-2,-5,True,False,11
49,node3-2,node5-2,-5,True,False,11
50,node3-2,node5-2,-5,True,False,10
51,node3-2,node5-2,-5,True,False,10
52,node3-2,node5-2,-5,True,False,11
53,node3-2,node5-2,-5,True,False,11
54,node3-2,node5-2,-5,True,False,10
55,node3-2,node5-2,-5,True,False,9
56,node3-2,node5-2,-5,True,False,9
57,node3-2,node5-2,-5,True,False,11
58,node3-2,node5-2,-5,True,False,10
59,node3-2,node5-2,-5,True,False,11
60,node3-2,node5-2,-5,True,False,9
61,node3-2,node5-2,-5,True,False,10
62,node3-2,node5-2,-5,True,False,10
63,node3-2,node5-2,-5,True,False,10
64,node3-2,node5-2,-5,True,False,10
65,node3-2,node5-2,-5,True,False,10
66,node3-2,node5-2,-5,True,False,10
67,node3-2,node5-2,-5,True,False,11
68,node3-2,node5-2,-5,True,False,10
69,node3-2,node5-2,-5,True,False,10
70,node3-2,node5-2,-5,True,False,10
71,node3-2,node5-2,-5,True,False,10
72,node3-2,node5-2,-5,True,False,10
73,node3-2,node5-2,-5,True,False,9
74,node3-2,node5-2,-5,True,False,9
75,node3-2,node5-2,-5,True,False,10
76,node3-2,node5-2,-5,True,False,9
77,node3-2,node5-2,-5,True,False,10
78,node3-2,node5-2,-5,True,False,10
79,node3-2,node5-2,-5,True,False,10
80,node3-2,node5-2,-5,True,False,10
81,node3-2,node5-2,-5,True,False,10
82,node3-2,node5-2,-5,True,False,11
83,node3-2,node5-2,-5,True,False,10
84,node3-2,node5-2,-5,True,False,10
85,node3-2,node5-2,-5,True,False,11
86,node3-2,node5-2,-5,True,False,9
87,node3-2,node5-2,-5,True,False,11
88,node3-2,node5-2,-5,True,False,10
89,node3-2,node5-2,-5,True,False,10
90,node3-2,node5-2,-5,True,False,9
91,node3-2,node5-2,-5,True,False,9
92,node3-2,node5-2,-5,True,False,10
93,node3-2,node5-2,-5,True,False,11
94,node3-2,node5-2,-5,True,False,10
95,node3-2,node5-2,-5,True,False,11
96,node3-2,node5-2,-5,True,False,10
97,node3-2,node5-2,-5,True,False,10
98,node3-2,node5-2,-5,True,False,10
99,node3-2,node5-2,-5,True,False,11
100,node3-2,node5-2,-5,True,False,11
101,node3-2,node5-2,-5,True,False,9
102,node3-2,node5-2,-5,True,False,11
103,node3-2,node5-2,-5,True,False,10
104,node3-2,node5-2,-5,True,False,9
105,node3-2,node5-2,-5,True,False,10
106,node3-2,node5-2,-5,True,False,10
107,node3-2,node5-2,-5,True,False,10
108,node3-2,node5-2,-5,True,False,10
109,node3-2,node5-2,-5,True,False,10
110,node3-2,node5-2,-5,True,False,10
111,node3-2,node5-2,-5,True,False,9
112,node3-2,node5-2,-5,True,False,9
113,node3-2,node5-2,-5,True,False,8
114,node3-2,node5-2,-5,True,False,10
115,node3-2,node5-2,-5,True,False,11
116,node3-2,node5-2,-5,True,False,11
117,node3-2,node5-2,-5,True,False,10
118,node3-2,node5-2,-5,True,False,10
119,node3-2,node5-2,-5,True,False,10
120,node3-2,node5-2,-5,True,False,10
121,node3-2,node5-2,-5,True,False,10
122,node3-2,node5-2,-5,True,False,10
123,node3-2,node5-2,-5,True,False,10
124,node3-2,node5-2,-5,True,False,10
125,node3-2,node5-2,-5,True,False,11
126,node3-2,node5-2,-5,True,False,11
127,node3-2,node5-2,-5,True,False,11
128,node3-2,node5-2,-5,True,False,10
129,node3-2,node5-2,-5,True,False,10
