seq,src,dst,noise,received,error,rssi
1,node5-8,node2-5,-5,True,False,17
2,node5-8,node2-5,-5,True,False,15
3,node5-8,node2-5,-5,True,False,12
4,node5-8,node2-5,-5,True,False,13
5,node5-8,node2-5,-5,True,False,12
6,node5-8,node2-5,-5,True,False,12
7,node5-8,node2-5,-5,True,False,12
8,node5-8,node2-5,-5,True,False,13
9,node5-8,node2-5,-5,True,False,12
10,node5-8,node2-5,-5,True,False,14
11,node5-8,node2-5,-5,True,False,12
12,node5-8,node2-5,-5,True,False,13
13,node5-8,node2-5,-5,True,False,13
14,node5-8,node2-5,-5,True,False,13
15,node5-8,node2-5,-5,True,False,12
16,node5-8,node2-5,-5,True,False,13
17,node5-8,node2-5,-5,True,False,13
18,node5-8,node2-5,-5,True,False,13
19,node5-8,node2-5,-5,True,False,12
20,node5-8,node2-5,-5,True,False,12
21,node5-8,node2-5,-5,True,False,12
22,node5-8,node2-5,-5,True,False,12
23,node5-8,node2-5,-5,True,False,13
24,node5-8,node2-5,-5,True,False,13
25,node5-8,node2-5,-5,True,False,13
26,node5-8,node2-5,-5,True,False,12
27,node5-8,node2-5,-5,True,False,12
28,node5-8,node2-5,-5,True,False,13
29,node5-8,node2-5,-5,True,False,12
30,node5-8,node2-5,-5,True,False,13
31,node5-8,node2-5,-5,True,False,13
32,node5-8,node2-5,-5,True,False,13
33,node5-8,node2-5,-5,True,False,13
34,node5-8,node2-5,-5,True,False,12
35,node5-8,node2-5,-5,True,False,13
36,node5-8,node2-5,-5,True,False,13
37,node5-8,node2-5,-5,True,False,12
38,node5-8,node2-5,-5,True,False,13
39,node5-8,node2-5,-5,True,False,13
40,node5-8,node2-5,-5,True,False,12
41,node5-8,node2-5,-5,True,False,12
42,node5-8,node2-5,-5,True,False,13
43,node5-8,node2-5,-5,True,False,12
44,node5-8,node2-5,-5,True,False,12
45,node5-8,node2-5,-5,True,False,12
46,node5-8,node2-5,-5,True,False,13
47,node5-8,node2-5,-5,True,False,13
48,node5-8,node2-5,-5,True,False,12
49,node5-8,node2-5,-5,True,False,12
50,node5-8,node2-5,-5,True,False,13
51,node5-8,node2-5,-5,True,False,13
52,node5-8,node2-5,-5,True,False,12
53,node5-8,node2-5,-5,True,False,11
54,node5-8,node2-5,-5,True,False,12
55,node5-8,node2-5,-5,True,False,13
56,node5-8,node2-5,-5,True,False,13
57,node5-8,node2-5,-5,True,False,13
58,node5-8,node2-5,-5,True,False,12
59,node5-8,node2-5,-5,True,False,13
60,node5-8,node2-5,-5,True,False,13
61,node5-8,node2-5,-5,True,False,12
62,node5-8,node2-5,-5,True,False,13
63,node5-8,node2-5,-5,True,False,12
64,node5-8,node2-5,-5,True,False,12
65,node5-8,node2-5,-5,True,False,12
66,node5-8,node2-5,-5,True,False,12
67,node5-8,node2-5,-5,True,False,13
68,node5-8,node2-5,-5,True,False,13
69,node5-8,node2-5,-5,True,False,13
70,node5-8,node2-5,-5,True,False,12
71,node5-8,node2-5,-5,True,False,13
72,node5-8,node2-5,-5,True,False,12
73,node5-8,node2-5,-5,True,False,13
74,node5-8,node2-5,-5,True,False,12
75,node5-8,node2-5,-5,True,False,13
76,node5-8,node2-5,-5,True,False,12
77,node5-8,node2-5,-5,True,False,12
78,node5-8,node2-5,-5,True,False,13
79,node5-8,node2-5,-5,True,False,13
80,node5-8,node2-5,-5,True,False,13
81,node5-8,node2-5,-5,True,False,13
82,node5-8,node2-5,-5,True,False,13
83,node5-8,node2-5,-5,True,False,13
84,node5-8,node2-5,-5,True,False,13
85,node5-8,node2-5,-5,True,False,12
86,node5-8,node2-5,-5,True,False,13
87,node5-8,node2-5,-5,True,False,12
88,node5-8,node2-5,-5,True,False,13
89,node5-8,node2-5,-5,True,False,13
90,node5-8,node2-5,-5,True,False,13
91,node5-8,node2-5,-5,True,False,12
92,node5-8,node2-5,-5,True,False,13
93,node5-8,node2-5,-5,True,False,11
94,node5-8,node2-5,-5,True,False,13
95,node5-8,node2-5,-5,True,False,12
96,node5-8,node2-5,-5,True,False,14
97,node5-8,node2-5,-5,True,False,13
98,node5-8,node2-5,-5,True,False,12
99,node5-8,node2-5,-5,True,False,13
100,node5-8,node2-5,-5,True,False,13
101,node5-8,node2-5,-5,True,False,12
102,node5-8,node2-5,-5,True,False,13
103,node5-8,node2-5,-5,True,False,13
104,node5-8,node2-5,-5,True,False,11
105,node5-8,node2-5,-5,True,False,13
106,node5-8,node2-5,-5,True,False,13
107,node5-8,node2-5,-5,True,False,13
108,node5-8,node2-5,-5,True,False,12
109,node5-8,node2-5,-5,True,False,12
110,node5-8,node2-5,-5,True,False,13
111,node5-8,node2-5,-5,True,False,13
112,node5-8,node2-5,-5,True,False,13
113,node5-8,node2-5,-5,True,False,13
114,node5-8,node2-5,-5,True,False,13
