seq,src,dst,noise,received,error,rssi
1,node6-5,node3-8,-20,True,False,23
2,node6-5,node3-8,-20,True,False,20
3,node6-5,node3-8,-20,True,False,18
4,node6-5,node3-8,-20,True,False,17
5,node6-5,node3-8,-20,True,False,18
6,node6-5,node3-8,-20,True,False,17
7,node6-5,node3-8,-20,True,False,17
8,node6-5,node3-8,-20,True,False,17
9,node6-5,node3-8,-20,True,False,17
10,node6-5,node3-8,-20,True,False,17
11,node6-5,node3-8,-20,True,False,17
12,node6-5,node3-8,-20,True,False,17
13,node6-5,node3-8,-20,True,False,16
14,node6-5,node3-8,-20,True,False,17
15,node6-5,node3-8,-20,True,False,17
16,node6-5,node3-8,-20,True,False,17
17,node6-5,node3-8,-20,True,False,17
18,node6-5,node3-8,-20,True,False,18
19,node6-5,node3-8,-20,True,False,17
20,node6-5,node3-8,-20,True,False,17
21,node6-5,node3-8,-20,True,False,17
22,node6-5,node3-8,-20,True,False,16
23,node6-5,node3-8,-20,True,False,17
24,node6-5,node3-8,-20,True,False,18
25,node6-5,node3-8,-20,True,False,18
26,node6-5,node3-8,-20,True,False,17
27,node6-5,node3-8,-20,True,False,18
28,node6-5,node3-8,-20,True,False,17
29,node6-5,node3-8,-20,True,False,17
30,node6-5,node3-8,-20,True,False,16
31,node6-5,node3-8,-20,True,False,17
32,node6-5,node3-8,-20,True,False,18
33,node6-5,node3-8,-20,True,False,17
34,node6-5,node3-8,-20,True,False,18
35,node6-5,node3-8,-20,True,False,17
36,node6-5,node3-8,-20,True,False,18
37,node6-5,node3-8,-20,True,False,17
38,node6-5,node3-8,-20,True,False,18
39,node6-5,node3-8,-20,True,False,17
40,node6-5,node3-8,-20,True,False,17
41,node6-5,node3-8,-20,True,False,17
42,node6-5,node3-8,-20,True,False,16
43,node6-5,node3-8,-20,True,False,17
44,node6-5,node3-8,-20,True,False,17
45,node6-5,node3-8,-20,True,False,16
46,node6-5,node3-8,-20,True,False,17
47,node6-5,node3-8,-20,True,False,18
48,node6-5,node3-8,-20,True,False,18
49,node6-5,node3-8,-20,True,False,17
50,node6-5,node3-8,-20,True,False,17
51,node6-5,node3-8,-20,True,False,17
52,node6-5,node3-8,-20,True,False,18
53,node6-5,node3-8,-20,True,False,17
54,node6-5,node3-8,-20,True,False,18
55,node6-5,node3-8,-20,True,False,17
56,node6-5,node3-8,-20,True,False,18
57,node6-5,node3-8,-20,True,False,18
58,node6-5,node3-8,-20,True,False,17
59,node6-5,node3-8,-20,True,False,18
60,node6-5,node3-8,-20,True,False,18
61,node6-5,node3-8,-20,True,False,18
62,node6-5,node3-8,-20,True,False,17
63,node6-5,node3-8,-20,True,False,17
64,node6-5,node3-8,-20,True,False,17
65,node6-5,node3-8,-20,True,False,18
66,node6-5,node3-8,-20,True,False,17
67,node6-5,node3-8,-20,True,False,17
68,node6-5,node3-8,-20,True,False,17
69,node6-5,node3-8,-20,True,False,17
70,node6-5,node3-8,-20,True,False,18
71,node6-5,node3-8,-20,True,False,17
72,node6-5,node3-8,-20,True,False,18
73,node6-5,node3-8,-20,True,False,17
74,node6-5,node3-8,-20,True,False,18
75,node6-5,node3-8,-20,True,False,18
76,node6-5,node3-8,-20,True,False,17
77,node6-5,node3-8,-20,True,False,17
78,node6-5,node3-8,-20,True,False,17
79,node6-5,node3-8,-20,True,False,17
80,node6-5,node3-8,-20,True,False,17
81,node6-5,node3-8,-20,True,False,16
82,node6-5,node3-8,-20,True,False,17
83,node6-5,node3-8,-20,True,False,18
84,node6-5,node3-8,-20,True,False,18
85,node6-5,node3-8,-20,True,False,17
86,node6-5,node3-8,-20,True,False,19
87,node6-5,node3-8,-20,True,False,17
88,node6-5,node3-8,-20,True,False,18
89,node6-5,node3-8,-20,True,False,18
90,node6-5,node3-8,-20,True,False,17
91,node6-5,node3-8,-20,True,False,17
92,node6-5,node3-8,-20,True,False,17
93,node6-5,node3-8,-20,True,False,18
94,node6-5,node3-8,-20,True,False,18
95,node6-5,node3-8,-20,True,False,18
96,node6-5,node3-8,-20,True,False,17
97,node6-5,node3-8,-20,True,False,17
98,node6-5,node3-8,-20,True,False,17
99,node6-5,node3-8,-20,True,False,17
100,node6-5,node3-8,-20,True,False,18
101,node6-5,node3-8,-20,True,False,17
102,node6-5,node3-8,-20,True,False,17
103,node6-5,node3-8,-20,True,False,18
104,node6-5,node3-8,-20,True,False,17
105,node6-5,node3-8,-20,True,False,18
106,node6-5,node3-8,-20,True,False,18
107,node6-5,node3-8,-20,True,False,17
108,node6-5,node3-8,-20,True,False,16
109,node6-5,node3-8,-20,True,False,18
110,node6-5,node3-8,-20,True,False,17
111,node6-5,node3-8,-20,True,False,17
112,node6-5,node3-8,-20,True,False,17
113,node6-5,node3-8,-20,True,False,18
114,node6-5,node3-8,-20,True,False,17
115,node6-5,node3-8,-20,True,False,18
116,node6-5,node3-8,-20,True,False,17
117,node6-5,node3-8,-20,True,False,16
118,node6-5,node3-8,-20,True,False,17
119,node6-5,node3-8,-20,True,False,17
120,node6-5,node3-8,-20,True,False,17
121,node6-5,node3-8,-20,True,False,18
122,node6-5,node3-8,-20,True,False,18
123,node6-5,node3-8,-20,True,False,17
124,node6-5,node3-8,-20,True,False,18
125,node6-5,node3-8,-20,True,False,17
126,node6-5,node3-8,-20,True,False,18
127,node6-5,node3-8,-20,True,False,17
128,node6-5,node3-8,-20,True,False,16
129,node6-5,node3-8,-20,True,False,17
130,node6-5,node3-8,-20,True,False,18
131,node6-5,node3-8,-20,True,False,18
132,node6-5,node3-8,-20,True,False,18
133,node6-5,node3-8,-20,True,False,18
134,node6-5,node3-8,-20,True,False,17
135,node6-5,node3-8,-20,True,False,17
136,node6-5,node3-8,-20,True,False,17
137,node6-5,node3-8,-20,True,False,17
138,node6-5,node3-8,-20,True,False,17
139,node6-5,node3-8,-20,True,False,17
140,node6-5,node3-8,-20,True,False,18
141,node6-5,node3-8,-20,True,False,16
142,node6-5,node3-8,-20,True,False,17
143,node6-5,node3-8,-20,True,False,18
144,node6-5,node3-8,-20,True,False,17
145,node6-5,node3-8,-20,True,False,18
146,node6-5,node3-8,-20,True,False,16
147,node6-5,node3-8,-20,True,False,17
148,node6-5,node3-8,-20,True,False,17
149,node6-5,node3-8,-20,True,False,18
150,node6-5,node3-8,-20,True,False,17
151,node6-5,node3-8,-20,True,False,17
152,node6-5,node3-8,-20,True,False,17
153,node6-5,node3-8,-20,True,False,18
154,node6-5,node3-8,-20,True,False,18
155,node6-5,node3-8,-20,True,False,18
156,node6-5,node3-8,-20,True,False,17
157,node6-5,node3-8,-20,True,False,18
158,node6-5,node3-8,-20,True,False,17
159,node6-5,node3-8,-20,True,False,18
160,node6-5,node3-8,-20,True,False,17
161,node6-5,node3-8,-20,True,False,18
162,node6-5,node3-8,-20,True,False,17
163,node6-5,node3-8,-20,True,False,18
164,node6-5,node3-8,-20,True,False,18
165,node6-5,node3-8,-20,True,False,17
166,node6-5,node3-8,-20,True,False,17
167,node6-5,node3-8,-20,True,False,18
168,node6-5,node3-8,-20,True,False,18
169,node6-5,node3-8,-20,True,False,16
170,node6-5,node3-8,-20,True,False,18
171,node6-5,node3-8,-20,True,False,17
172,node6-5,node3-8,-20,True,False,17
173,node6-5,node3-8,-20,True,False,18
174,node6-5,node3-8,-20,True,False,18
175,node6-5,node3-8,-20,True,False,17
176,node6-5,node3-8,-20,True,False,18
177,node6-5,node3-8,-20,True,False,17
178,node6-5,node3-8,-20,True,False,17
179,node6-5,node3-8,-20,True,False,17
180,node6-5,node3-8,-20,True,False,18
181,node6-5,node3-8,-20,True,False,17
182,node6-5,node3-8,-20,True,False,17
183,node6-5,node3-8,-20,True,False,17
184,node6-5,node3-8,-20,True,False,18
185,node6-5,node3-8,-20,True,False,18
186,node6-5,node3-8,-20,True,False,16
187,node6-5,node3-8,-20,True,False,17
