seq,src,dst,noise,received,error,rssi
1,node6-5,node5-2,-10,True,False,16
2,node6-5,node5-2,-10,True,False,12
3,node6-5,node5-2,-10,True,False,11
4,node6-5,node5-2,-10,True,False,9
5,node6-5,node5-2,-10,True,False,7
6,node6-5,node5-2,-10,True,False,11
7,node6-5,node5-2,-10,True,False,10
8,node6-5,node5-2,-10,True,False,11
9,node6-5,node5-2,-10,True,False,7
10,node6-5,node5-2,-10,True,False,9
11,node6-5,node5-2,-10,True,False,10
12,node6-5,node5-2,-10,True,False,10
13,node6-5,node5-2,-10,True,False,10
14,node6-5,node5-2,-10,True,False,9
15,node6-5,node5-2,-10,True,False,9
16,node6-5,node5-2,-10,True,False,8
17,node6-5,node5-2,-10,True,False,10
18,node6-5,node5-2,-10,True,False,10
19,node6-5,node5-2,-10,True,False,10
20,node6-5,node5-2,-10,True,False,6
21,node6-5,node5-2,-10,True,False,11
22,node6-5,node5-2,-10,True,False,9
23,node6-5,node5-2,-10,True,False,11
24,node6-5,node5-2,-10,True,False,9
25,node6-5,node5-2,-10,True,False,8
26,node6-5,node5-2,-10,True,False,9
27,node6-5,node5-2,-10,True,False,10
28,node6-5,node5-2,-10,True,False,11
29,node6-5,node5-2,-10,True,False,10
30,node6-5,node5-2,-10,True,False,10
31,node6-5,node5-2,-10,True,False,10
32,node6-5,node5-2,-10,True,False,10
33,node6-5,node5-2,-10,True,False,7
34,node6-5,node5-2,-10,True,False,8
35,node6-5,node5-2,-10,True,False,8
36,node6-5,node5-2,-10,True,False,8
37,node6-5,node5-2,-10,True,False,10
38,node6-5,node5-2,-10,True,False,10
39,node6-5,node5-2,-10,True,False,9
40,node6-5,node5-2,-10,True,False,8
41,node6-5,node5-2,-10,True,False,11
42,node6-5,node5-2,-10,True,False,10
43,node6-5,node5-2,-10,True,False,8
44,node6-5,node5-2,-10,True,False,11
45,node6-5,node5-2,-10,True,False,11
46,node6-5,node5-2,-10,True,False,9
47,node6-5,node5-2,-10,True,False,10
48,node6-5,node5-2,-10,True,False,10
49,node6-5,node5-2,-10,True,False,9
50,node6-5,node5-2,-10,True,False,9
51,node6-5,node5-2,-10,True,False,9
52,node6-5,node5-2,-10,True,False,8
53,node6-5,node5-2,-10,True,False,8
54,node6-5,node5-2,-10,True,False,9
55,node6-5,node5-2,-10,True,False,10
56,node6-5,node5-2,-10,True,False,10
57,node6-5,node5-2,-10,True,False,8
58,node6-5,node5-2,-10,True,False,10
59,node6-5,node5-2,-10,True,False,7
60,node6-5,node5-2,-10,True,False,10
61,node6-5,node5-2,-10,True,False,10
62,node6-5,node5-2,-10,True,False,9
63,node6-5,node5-2,-10,True,False,9
64,node6-5,node5-2,-10,True,False,10
65,node6-5,node5-2,-10,True,False,11
66,node6-5,node5-2,-10,True,False,8
67,node6-5,node5-2,-10,True,False,7
68,node6-5,node5-2,-10,True,False,9
69,node6-5,node5-2,-10,True,False,9
70,node6-5,node5-2,-10,True,False,10
71,node6-5,node5-2,-10,True,False,11
72,node6-5,node5-2,-10,True,False,10
73,node6-5,node5-2,-10,True,False,10
74,node6-5,node5-2,-10,True,False,9
75,node6-5,node5-2,-10,True,False,9
76,node6-5,node5-2,-10,True,False,9
77,node6-5,node5-2,-10,True,False,9
78,node6-5,node5-2,-10,True,False,10
79,node6-5,node5-2,-10,True,False,10
80,node6-5,node5-2,-10,True,False,9
