seq,src,dst,noise,received,error,rssi
1,node3-2,node3-6,-10,True,False,11
2,node3-2,node3-6,-10,True,False,9
3,node3-2,node3-6,-10,True,False,7
4,node3-2,node3-6,-10,True,False,6
5,node3-2,node3-6,-10,True,False,7
6,node3-2,node3-6,-10,True,False,6
7,node3-2,node3-6,-10,True,False,6
8,node3-2,node3-6,-10,True,False,5
9,node3-2,node3-6,-10,True,False,3
10,node3-2,node3-6,-10,True,False,5
11,node3-2,node3-6,-10,True,False,6
12,node3-2,node3-6,-10,True,False,5
13,node3-2,node3-6,-10,True,False,5
14,node3-2,node3-6,-10,True,False,4
15,node3-2,node3-6,-10,True,False,6
16,node3-2,node3-6,-10,True,False,4
17,node3-2,node3-6,-10,True,False,6
18,node3-2,node3-6,-10,True,False,4
19,node3-2,node3-6,-10,True,False,4
20,node3-2,node3-6,-10,True,False,3
21,node3-2,node3-6,-10,True,False,5
22,node3-2,node3-6,-10,True,False,6
23,node3-2,node3-6,-10,True,False,4
24,node3-2,node3-6,-10,True,False,5
25,node3-2,node3-6,-10,True,False,4
26,node3-2,node3-6,-10,True,False,4
27,node3-2,node3-6,-10,True,False,5
28,node3-2,node3-6,-10,True,False,4
29,node3-2,node3-6,-10,True,False,4
30,node3-2,node3-6,-10,True,False,5
31,node3-2,node3-6,-10,True,False,5
32,node3-2,node3-6,-10,True,False,4
33,node3-2,node3-6,-10,True,False,4
34,node3-2,node3-6,-10,True,False,4
35,node3-2,node3-6,-10,True,False,4
36,node3-2,node3-6,-10,True,False,4
37,node3-2,node3-6,-10,True,False,3
38,node3-2,node3-6,-10,True,False,3
39,node3-2,node3-6,-10,True,False,4
40,node3-2,node3-6,-10,True,False,4
41,node3-2,node3-6,-10,True,False,5
42,node3-2,node3-6,-10,True,False,4
43,node3-2,node3-6,-10,True,False,4
44,node3-2,node3-6,-10,True,False,5
45,node3-2,node3-6,-10,True,False,3
46,node3-2,node3-6,-10,True,False,4
47,node3-2,node3-6,-10,True,False,6
48,node3-2,node3-6,-10,True,False,4
49,node3-2,node3-6,-10,True,False,4
50,node3-2,node3-6,-10,True,False,4
51,node3-2,node3-6,-10,True,False,4
52,node3-2,node3-6,-10,True,False,4
53,node3-2,node3-6,-10,True,False,3
54,node3-2,node3-6,-10,True,False,4
55,node3-2,node3-6,-10,True,False,6
56,node3-2,node3-6,-10,True,False,6
57,node3-2,node3-6,-10,True,False,5
58,node3-2,node3-6,-10,True,False,4
59,node3-2,node3-6,-10,True,False,5
60,node3-2,node3-6,-10,True,False,3
61,node3-2,node3-6,-10,True,False,4
62,node3-2,node3-6,-10,True,False,4
63,node3-2,node3-6,-10,True,False,4
64,node3-2,node3-6,-10,True,False,5
65,node3-2,node3-6,-10,True,False,5
66,node3-2,node3-6,-10,True,False,4
67,node3-2,node3-6,-10,True,False,3
68,node3-2,node3-6,-10,True,False,2
69,node3-2,node3-6,-10,True,False,3
70,node3-2,node3-6,-10,True,False,4
71,node3-2,node3-6,-10,True,False,3
72,node3-2,node3-6,-10,True,False,5
73,node3-2,node3-6,-10,True,False,4
74,node3-2,node3-6,-10,True,False,4
75,node3-2,node3-6,-10,True,False,4
76,node3-2,node3-6,-10,True,False,4
77,node3-2,node3-6,-10,True,False,5
78,node3-2,node3-6,-10,True,False,5
79,node3-2,node3-6,-10,True,False,4
80,node3-2,node3-6,-10,True,False,4
81,node3-2,node3-6,-10,True,False,4
82,node3-2,node3-6,-10,True,False,5
83,node3-2,node3-6,-10,True,False,5
84,node3-2,node3-6,-10,True,False,5
85,node3-2,node3-6,-10,True,False,4
86,node3-2,node3-6,-10,True,False,4
87,node3-2,node3-6,-10,True,False,5
88,node3-2,node3-6,-10,True,False,4
89,node3-2,node3-6,-10,True,False,5
90,node3-2,node3-6,-10,True,False,4
91,node3-2,node3-6,-10,True,False,4
92,node3-2,node3-6,-10,True,False,4
93,node3-2,node3-6,-10,True,False,4
94,node3-2,node3-6,-10,True,False,4
95,node3-2,node3-6,-10,True,False,4
96,node3-2,node3-6,-10,True,False,5
97,node3-2,node3-6,-10,True,False,3
98,node3-2,node3-6,-10,True,False,4
99,node3-2,node3-6,-10,True,False,5
