seq,src,dst,noise,received,error,rssi
1,node1-2,node7-4,-10,True,False,7
2,node1-2,node7-4,-10,True,False,5
3,node1-2,node7-4,-10,True,False,4
4,node1-2,node7-4,-10,True,False,3
5,node1-2,node7-4,-10,True,False,4
6,node1-2,node7-4,-10,True,False,3
7,node1-2,node7-4,-10,True,False,4
8,node1-2,node7-4,-10,True,False,4
9,node1-2,node7-4,-10,True,False,3
10,node1-2,node7-4,-10,True,False,2
11,node1-2,node7-4,-10,True,False,2
12,node1-2,node7-4,-10,True,False,4
13,node1-2,node7-4,-10,True,False,5
14,node1-2,node7-4,-10,True,False,3
15,node1-2,node7-4,-10,True,False,4
16,node1-2,node7-4,-10,True,False,5
17,node1-2,node7-4,-10,False,False,0
18,node1-2,node7-4,-10,True,False,3
19,node1-2,node7-4,-10,True,False,2
20,node1-2,node7-4,-10,True,False,4
21,node1-2,node7-4,-10,True,False,5
22,node1-2,node7-4,-10,True,False,3
23,node1-2,node7-4,-10,True,False,3
24,node1-2,node7-4,-10,True,False,3
25,node1-2,node7-4,-10,True,False,3
26,node1-2,node7-4,-10,True,False,2
27,node1-2,node7-4,-10,True,False,4
28,node1-2,node7-4,-10,True,False,3
29,node1-2,node7-4,-10,True,False,6
30,node1-2,node7-4,-10,True,False,3
31,node1-2,node7-4,-10,True,False,3
32,node1-2,node7-4,-10,True,False,5
33,node1-2,node7-4,-10,True,False,6
34,node1-2,node7-4,-10,True,False,3
35,node1-2,node7-4,-10,True,False,3
36,node1-2,node7-4,-10,True,False,4
37,node1-2,node7-4,-10,True,False,5
38,node1-2,node7-4,-10,True,False,4
39,node1-2,node7-4,-10,True,False,3
40,node1-2,node7-4,-10,True,False,5
41,node1-2,node7-4,-10,True,False,1
42,node1-2,node7-4,-10,True,False,3
43,node1-2,node7-4,-10,True,False,3
44,node1-2,node7-4,-10,True,False,4
45,node1-2,node7-4,-10,True,False,3
46,node1-2,node7-4,-10,True,False,2
47,node1-2,node7-4,-10,True,False,4
48,node1-2,node7-4,-10,True,False,3
49,node1-2,node7-4,-10,True,False,2
50,node1-2,node7-4,-10,True,False,4
51,node1-2,node7-4,-10,True,False,4
52,node1-2,node7-4,-10,True,False,4
53,node1-2,node7-4,-10,True,False,4
54,node1-2,node7-4,-10,True,False,4
55,node1-2,node7-4,-10,True,False,4
56,node1-2,node7-4,-10,True,False,3
57,node1-2,node7-4,-10,True,False,2
58,node1-2,node7-4,-10,True,False,2
59,node1-2,node7-4,-10,True,False,2
60,node1-2,node7-4,-10,True,False,3
61,node1-2,node7-4,-10,True,False,5
62,node1-2,node7-4,-10,True,False,2
63,node1-2,node7-4,-10,True,False,3
64,node1-2,node7-4,-10,True,False,2
65,node1-2,node7-4,-10,True,False,4
66,node1-2,node7-4,-10,True,False,4
67,node1-2,node7-4,-10,True,False,4
68,node1-2,node7-4,-10,True,False,2
69,node1-2,node7-4,-10,True,False,6
70,node1-2,node7-4,-10,True,False,2
71,node1-2,node7-4,-10,True,False,3
