seq,src,dst,noise,received,error,rssi
1,node8-5,node1-2,-10,True,False,10
2,node8-5,node1-2,-10,True,False,8
3,node8-5,node1-2,-10,True,False,5
4,node8-5,node1-2,-10,True,False,4
5,node8-5,node1-2,-10,True,False,6
6,node8-5,node1-2,-10,True,False,6
7,node8-5,node1-2,-10,True,False,5
8,node8-5,node1-2,-10,True,False,5
9,node8-5,node1-2,-10,True,False,5
10,node8-5,node1-2,-10,True,False,7
11,node8-5,node1-2,-10,True,False,7
12,node8-5,node1-2,-10,True,False,7
13,node8-5,node1-2,-10,True,False,3
14,node8-5,node1-2,-10,True,False,7
15,node8-5,node1-2,-10,True,False,8
16,node8-5,node1-2,-10,True,False,5
17,node8-5,node1-2,-10,True,False,4
18,node8-5,node1-2,-10,True,False,7
19,node8-5,node1-2,-10,True,False,5
20,node8-5,node1-2,-10,True,False,5
21,node8-5,node1-2,-10,True,False,6
22,node8-5,node1-2,-10,True,False,5
23,node8-5,node1-2,-10,True,False,6
24,node8-5,node1-2,-10,True,False,6
25,node8-5,node1-2,-10,True,False,6
26,node8-5,node1-2,-10,True,False,5
27,node8-5,node1-2,-10,True,False,6
28,node8-5,node1-2,-10,True,False,4
29,node8-5,node1-2,-10,True,False,5
30,node8-5,node1-2,-10,True,False,5
31,node8-5,node1-2,-10,True,False,5
32,node8-5,node1-2,-10,True,False,4
33,node8-5,node1-2,-10,True,False,5
34,node8-5,node1-2,-10,True,False,5
35,node8-5,node1-2,-10,True,False,5
36,node8-5,node1-2,-10,True,False,5
37,node8-5,node1-2,-10,True,False,6
38,node8-5,node1-2,-10,True,False,6
39,node8-5,node1-2,-10,True,False,6
40,node8-5,node1-2,-10,True,False,5
41,node8-5,node1-2,-10,True,False,5
42,node8-5,node1-2,-10,True,False,5
43,node8-5,node1-2,-10,True,False,5
44,node8-5,node1-2,-10,True,False,6
45,node8-5,node1-2,-10,True,False,5
46,node8-5,node1-2,-10,True,False,4
47,node8-5,node1-2,-10,True,False,5
48,node8-5,node1-2,-10,True,False,4
49,node8-5,node1-2,-10,True,False,6
50,node8-5,node1-2,-10,True,False,6
51,node8-5,node1-2,-10,True,False,6
52,node8-5,node1-2,-10,True,False,6
53,node8-5,node1-2,-10,True,False,5
54,node8-5,node1-2,-10,True,False,4
55,node8-5,node1-2,-10,True,False,4
56,node8-5,node1-2,-10,True,False,5
57,node8-5,node1-2,-10,True,False,7
58,node8-5,node1-2,-10,True,False,6
59,node8-5,node1-2,-10,True,False,6
60,node8-5,node1-2,-10,True,False,6
61,node8-5,node1-2,-10,True,False,5
62,node8-5,node1-2,-10,True,False,5
63,node8-5,node1-2,-10,True,False,5
64,node8-5,node1-2,-10,True,False,6
65,node8-5,node1-2,-10,True,False,4
66,node8-5,node1-2,-10,True,False,4
67,node8-5,node1-2,-10,True,False,5
68,node8-5,node1-2,-10,True,False,5
69,node8-5,node1-2,-10,True,False,6
70,node8-5,node1-2,-10,True,False,5
71,node8-5,node1-2,-10,True,False,6
72,node8-5,node1-2,-10,True,False,4
73,node8-5,node1-2,-10,True,False,6
74,node8-5,node1-2,-10,True,False,4
75,node8-5,node1-2,-10,True,False,6
76,node8-5,node1-2,-10,True,False,3
77,node8-5,node1-2,-10,True,False,4
78,node8-5,node1-2,-10,True,False,6
79,node8-5,node1-2,-10,True,False,5
80,node8-5,node1-2,-10,True,False,7
81,node8-5,node1-2,-10,True,False,6
82,node8-5,node1-2,-10,True,False,6
83,node8-5,node1-2,-10,True,False,5
84,node8-5,node1-2,-10,True,False,6
85,node8-5,node1-2,-10,True,False,5
86,node8-5,node1-2,-10,True,False,6
87,node8-5,node1-2,-10,True,False,4
88,node8-5,node1-2,-10,True,False,5
89,node8-5,node1-2,-10,True,False,5
90,node8-5,node1-2,-10,True,False,5
91,node8-5,node1-2,-10,True,False,6
92,node8-5,node1-2,-10,True,False,6
93,node8-5,node1-2,-10,True,False,4
94,node8-5,node1-2,-10,True,False,3
95,node8-5,node1-2,-10,True,False,5
96,node8-5,node1-2,-10,True,False,5
97,node8-5,node1-2,-10,True,False,3
98,node8-5,node1-2,-10,True,False,5
99,node8-5,node1-2,-10,True,False,5
100,node8-5,node1-2,-10,True,False,7
101,node8-5,node1-2,-10,True,False,4
102,node8-5,node1-2,-10,True,False,5
103,node8-5,node1-2,-10,True,False,4
104,node8-5,node1-2,-10,True,False,5
105,node8-5,node1-2,-10,True,False,5
106,node8-5,node1-2,-10,True,False,4
107,node8-5,node1-2,-10,True,False,5
108,node8-5,node1-2,-10,True,False,6
109,node8-5,node1-2,-10,True,False,4
110,node8-5,node1-2,-10,True,False,4
111,node8-5,node1-2,-10,True,False,6
112,node8-5,node1-2,-10,True,False,6
113,node8-5,node1-2,-10,True,False,5
114,node8-5,node1-2,-10,True,False,5
115,node8-5,node1-2,-10,True,False,4
116,node8-5,node1-2,-10,True,False,7
117,node8-5,node1-2,-10,True,False,7
118,node8-5,node1-2,-10,True,False,6
119,node8-5,node1-2,-10,True,False,6
120,node8-5,node1-2,-10,True,False,6
121,node8-5,node1-2,-10,True,False,5
122,node8-5,node1-2,-10,True,False,5
123,node8-5,node1-2,-10,True,False,5
124,node8-5,node1-2,-10,True,False,4
125,node8-5,node1-2,-10,True,False,6
126,node8-5,node1-2,-10,True,False,6
127,node8-5,node1-2,-10,True,False,4
128,node8-5,node1-2,-10,True,False,6
129,node8-5,node1-2,-10,True,False,5
130,node8-5,node1-2,-10,True,False,6
131,node8-5,node1-2,-10,True,False,6
132,node8-5,node1-2,-10,True,False,5
133,node8-5,node1-2,-10,True,False,5
134,node8-5,node1-2,-10,True,False,7
135,node8-5,node1-2,-10,True,False,5
136,node8-5,node1-2,-10,True,False,5
137,node8-5,node1-2,-10,True,False,3
138,node8-5,node1-2,-10,True,False,4
139,node8-5,node1-2,-10,True,False,7
140,node8-5,node1-2,-10,True,False,5
141,node8-5,node1-2,-10,True,False,5
142,node8-5,node1-2,-10,True,False,4
143,node8-5,node1-2,-10,True,False,6
144,node8-5,node1-2,-10,True,False,4
145,node8-5,node1-2,-10,True,False,5
146,node8-5,node1-2,-10,True,False,6
147,node8-5,node1-2,-10,True,False,6
148,node8-5,node1-2,-10,True,False,5
149,node8-5,node1-2,-10,True,False,6
150,node8-5,node1-2,-10,True,False,6
151,node8-5,node1-2,-10,True,False,6
152,node8-5,node1-2,-10,True,False,5
153,node8-5,node1-2,-10,True,False,7
154,node8-5,node1-2,-10,True,False,6
155,node8-5,node1-2,-10,True,False,5
156,node8-5,node1-2,-10,True,False,6
157,node8-5,node1-2,-10,True,False,6
158,node8-5,node1-2,-10,True,False,5
159,node8-5,node1-2,-10,True,False,5
160,node8-5,node1-2,-10,True,False,4
161,node8-5,node1-2,-10,True,False,5
162,node8-5,node1-2,-10,True,False,7
163,node8-5,node1-2,-10,True,False,4
164,node8-5,node1-2,-10,True,False,4
165,node8-5,node1-2,-10,True,False,5
166,node8-5,node1-2,-10,True,False,7
167,node8-5,node1-2,-10,True,False,5
168,node8-5,node1-2,-10,True,False,4
169,node8-5,node1-2,-10,True,False,6
170,node8-5,node1-2,-10,True,False,6
171,node8-5,node1-2,-10,True,False,8
172,node8-5,node1-2,-10,True,False,6
173,node8-5,node1-2,-10,True,False,6
174,node8-5,node1-2,-10,True,False,7
175,node8-5,node1-2,-10,True,False,6
176,node8-5,node1-2,-10,True,False,7
177,node8-5,node1-2,-10,True,False,7
178,node8-5,node1-2,-10,True,False,6
179,node8-5,node1-2,-10,True,False,5
180,node8-5,node1-2,-10,True,False,5
181,node8-5,node1-2,-10,True,False,5
182,node8-5,node1-2,-10,True,False,6
183,node8-5,node1-2,-10,True,False,5
184,node8-5,node1-2,-10,True,False,5
185,node8-5,node1-2,-10,True,False,5
186,node8-5,node1-2,-10,True,False,7
187,node8-5,node1-2,-10,True,False,4
188,node8-5,node1-2,-10,True,False,5
189,node8-5,node1-2,-10,True,False,5
190,node8-5,node1-2,-10,True,False,6
191,node8-5,node1-2,-10,True,False,4
192,node8-5,node1-2,-10,True,False,6
193,node8-5,node1-2,-10,True,False,5
194,node8-5,node1-2,-10,True,False,7
195,node8-5,node1-2,-10,True,False,6
196,node8-5,node1-2,-10,True,False,8
197,node8-5,node1-2,-10,True,False,6
198,node8-5,node1-2,-10,True,False,5
199,node8-5,node1-2,-10,True,False,6
200,node8-5,node1-2,-10,True,False,5
201,node8-5,node1-2,-10,True,False,6
202,node8-5,node1-2,-10,True,False,5
203,node8-5,node1-2,-10,True,False,4
204,node8-5,node1-2,-10,True,False,5
205,node8-5,node1-2,-10,True,False,4
206,node8-5,node1-2,-10,True,False,6
207,node8-5,node1-2,-10,True,False,6
208,node8-5,node1-2,-10,True,False,5
209,node8-5,node1-2,-10,True,False,5
210,node8-5,node1-2,-10,True,False,6
211,node8-5,node1-2,-10,True,False,5
212,node8-5,node1-2,-10,True,False,6
213,node8-5,node1-2,-10,True,False,6
214,node8-5,node1-2,-10,True,False,4
215,node8-5,node1-2,-10,True,False,6
216,node8-5,node1-2,-10,True,False,5
217,node8-5,node1-2,-10,True,False,7
218,node8-5,node1-2,-10,True,False,5
219,node8-5,node1-2,-10,True,False,6
220,node8-5,node1-2,-10,True,False,8
221,node8-5,node1-2,-10,True,False,6
222,node8-5,node1-2,-10,True,False,4
223,node8-5,node1-2,-10,True,False,7
224,node8-5,node1-2,-10,True,False,5
225,node8-5,node1-2,-10,True,False,7
226,node8-5,node1-2,-10,True,False,6
227,node8-5,node1-2,-10,True,False,3
228,node8-5,node1-2,-10,True,False,6
229,node8-5,node1-2,-10,True,False,6
230,node8-5,node1-2,-10,True,False,6
231,node8-5,node1-2,-10,True,False,6
232,node8-5,node1-2,-10,True,False,4
233,node8-5,node1-2,-10,True,False,6
234,node8-5,node1-2,-10,True,False,6
235,node8-5,node1-2,-10,True,False,5
236,node8-5,node1-2,-10,True,False,5
237,node8-5,node1-2,-10,True,False,6
238,node8-5,node1-2,-10,True,False,4
239,node8-5,node1-2,-10,True,False,7
240,node8-5,node1-2,-10,True,False,5
241,node8-5,node1-2,-10,True,False,6
242,node8-5,node1-2,-10,True,False,5
243,node8-5,node1-2,-10,True,False,5
244,node8-5,node1-2,-10,True,False,6
245,node8-5,node1-2,-10,True,False,7
246,node8-5,node1-2,-10,True,False,7
247,node8-5,node1-2,-10,True,False,5
248,node8-5,node1-2,-10,True,False,6
249,node8-5,node1-2,-10,True,False,4
250,node8-5,node1-2,-10,True,False,5
251,node8-5,node1-2,-10,True,False,5
252,node8-5,node1-2,-10,True,False,6
253,node8-5,node1-2,-10,True,False,6
254,node8-5,node1-2,-10,True,False,5
255,node8-5,node1-2,-10,True,False,5
256,node8-5,node1-2,-10,True,False,5
257,node8-5,node1-2,-10,True,False,6
258,node8-5,node1-2,-10,True,False,7
259,node8-5,node1-2,-10,True,False,4
260,node8-5,node1-2,-10,True,False,4
261,node8-5,node1-2,-10,True,False,5
262,node8-5,node1-2,-10,True,False,4
263,node8-5,node1-2,-10,True,False,4
264,node8-5,node1-2,-10,True,False,6
265,node8-5,node1-2,-10,True,False,7
266,node8-5,node1-2,-10,True,False,6
267,node8-5,node1-2,-10,True,False,6
268,node8-5,node1-2,-10,True,False,6
269,node8-5,node1-2,-10,True,False,5
270,node8-5,node1-2,-10,True,False,6
271,node8-5,node1-2,-10,True,False,6
272,node8-5,node1-2,-10,True,False,6
273,node8-5,node1-2,-10,True,False,6
274,node8-5,node1-2,-10,True,False,5
275,node8-5,node1-2,-10,True,False,5
