seq,src,dst,noise,received,error,rssi
1,node2-1,node3-2,0,True,False,12
2,node2-1,node3-2,0,True,False,11
3,node2-1,node3-2,0,True,False,8
4,node2-1,node3-2,0,True,False,8
5,node2-1,node3-2,0,True,False,9
6,node2-1,node3-2,0,True,False,7
7,node2-1,node3-2,0,True,False,8
8,node2-1,node3-2,0,True,False,6
9,node2-1,node3-2,0,True,False,8
10,node2-1,node3-2,0,True,False,8
11,node2-1,node3-2,0,True,False,7
12,node2-1,node3-2,0,True,False,8
13,node2-1,node3-2,0,True,False,8
14,node2-1,node3-2,0,True,False,8
15,node2-1,node3-2,0,True,False,7
16,node2-1,node3-2,0,True,False,7
17,node2-1,node3-2,0,True,False,7
18,node2-1,node3-2,0,True,False,9
19,node2-1,node3-2,0,True,False,7
20,node2-1,node3-2,0,True,False,7
21,node2-1,node3-2,0,True,False,8
22,node2-1,node3-2,0,True,False,6
23,node2-1,node3-2,0,True,False,7
24,node2-1,node3-2,0,True,False,7
25,node2-1,node3-2,0,True,False,8
26,node2-1,node3-2,0,True,False,6
27,node2-1,node3-2,0,True,False,7
28,node2-1,node3-2,0,True,False,6
29,node2-1,node3-2,0,True,False,7
30,node2-1,node3-2,0,True,False,7
31,node2-1,node3-2,0,True,False,8
32,node2-1,node3-2,0,True,False,8
33,node2-1,node3-2,0,True,False,8
34,node2-1,node3-2,0,True,False,9
35,node2-1,node3-2,0,True,False,7
36,node2-1,node3-2,0,True,False,7
37,node2-1,node3-2,0,True,False,7
38,node2-1,node3-2,0,True,False,7
39,node2-1,node3-2,0,True,False,9
40,node2-1,node3-2,0,True,False,7
41,node2-1,node3-2,0,True,False,8
42,node2-1,node3-2,0,True,False,7
43,node2-1,node3-2,0,True,False,7
44,node2-1,node3-2,0,True,False,8
45,node2-1,node3-2,0,True,False,8
46,node2-1,node3-2,0,True,False,5
47,node2-1,node3-2,0,True,False,7
48,node2-1,node3-2,0,True,False,7
49,node2-1,node3-2,0,True,False,8
50,node2-1,node3-2,0,True,False,8
51,node2-1,node3-2,0,True,False,9
52,node2-1,node3-2,0,True,False,9
53,node2-1,node3-2,0,True,False,8
54,node2-1,node3-2,0,True,False,7
55,node2-1,node3-2,0,True,False,7
56,node2-1,node3-2,0,True,False,8
57,node2-1,node3-2,0,True,False,9
58,node2-1,node3-2,0,True,False,7
59,node2-1,node3-2,0,True,False,7
60,node2-1,node3-2,0,True,False,8
61,node2-1,node3-2,0,True,False,8
62,node2-1,node3-2,0,True,False,9
63,node2-1,node3-2,0,True,False,6
64,node2-1,node3-2,0,True,False,9
65,node2-1,node3-2,0,True,False,8
66,node2-1,node3-2,0,True,False,9
67,node2-1,node3-2,0,True,False,7
68,node2-1,node3-2,0,True,False,7
69,node2-1,node3-2,0,True,False,6
70,node2-1,node3-2,0,True,False,8
71,node2-1,node3-2,0,True,False,8
72,node2-1,node3-2,0,True,False,7
73,node2-1,node3-2,0,True,False,7
74,node2-1,node3-2,0,True,False,7
75,node2-1,node3-2,0,True,False,8
76,node2-1,node3-2,0,True,False,7
77,node2-1,node3-2,0,True,False,8
78,node2-1,node3-2,0,True,False,6
79,node2-1,node3-2,0,True,False,8
80,node2-1,node3-2,0,True,False,7
81,node2-1,node3-2,0,True,False,8
82,node2-1,node3-2,0,True,False,7
83,node2-1,node3-2,0,True,False,7
84,node2-1,node3-2,0,True,False,9
85,node2-1,node3-2,0,True,False,8
86,node2-1,node3-2,0,True,False,7
87,node2-1,node3-2,0,True,False,8
88,node2-1,node3-2,0,True,False,6
89,node2-1,node3-2,0,True,False,7
90,node2-1,node3-2,0,True,False,7
91,node2-1,node3-2,0,True,False,8
92,node2-1,node3-2,0,True,False,9
93,node2-1,node3-2,0,True,False,8
94,node2-1,node3-2,0,True,False,7
95,node2-1,node3-2,0,True,False,7
96,node2-1,node3-2,0,True,False,8
97,node2-1,node3-2,0,True,False,8
98,node2-1,node3-2,0,True,False,8
99,node2-1,node3-2,0,True,False,9
100,node2-1,node3-2,0,True,False,8
101,node2-1,node3-2,0,True,False,8
102,node2-1,node3-2,0,True,False,7
103,node2-1,node3-2,0,True,False,7
104,node2-1,node3-2,0,True,False,7
105,node2-1,node3-2,0,True,False,7
106,node2-1,node3-2,0,True,False,7
107,node2-1,node3-2,0,True,False,9
108,node2-1,node3-2,0,True,False,7
109,node2-1,node3-2,0,True,False,7
110,node2-1,node3-2,0,True,False,8
111,node2-1,node3-2,0,True,False,9
112,node2-1,node3-2,0,True,False,8
