seq,src,dst,noise,received,error,rssi
1,node3-6,node4-3,-15,True,False,20
2,node3-6,node4-3,-15,True,False,21
3,node3-6,node4-3,-15,True,False,19
4,node3-6,node4-3,-15,True,False,14
5,node3-6,node4-3,-15,True,False,15
6,node3-6,node4-3,-15,True,False,16
7,node3-6,node4-3,-15,True,False,15
8,node3-6,node4-3,-15,True,False,15
9,node3-6,node4-3,-15,True,False,15
10,node3-6,node4-3,-15,True,False,14
11,node3-6,node4-3,-15,True,False,16
12,node3-6,node4-3,-15,True,False,15
13,node3-6,node4-3,-15,True,False,15
14,node3-6,node4-3,-15,True,False,15
15,node3-6,node4-3,-15,True,False,15
16,node3-6,node4-3,-15,True,False,14
17,node3-6,node4-3,-15,True,False,15
18,node3-6,node4-3,-15,True,False,15
19,node3-6,node4-3,-15,True,False,15
20,node3-6,node4-3,-15,True,False,15
21,node3-6,node4-3,-15,True,False,15
22,node3-6,node4-3,-15,True,False,15
23,node3-6,node4-3,-15,True,False,14
24,node3-6,node4-3,-15,True,False,15
25,node3-6,node4-3,-15,True,False,15
26,node3-6,node4-3,-15,True,False,15
27,node3-6,node4-3,-15,True,False,15
28,node3-6,node4-3,-15,True,False,15
29,node3-6,node4-3,-15,True,False,15
30,node3-6,node4-3,-15,True,False,15
31,node3-6,node4-3,-15,True,False,15
32,node3-6,node4-3,-15,True,False,16
33,node3-6,node4-3,-15,True,False,15
34,node3-6,node4-3,-15,True,False,15
35,node3-6,node4-3,-15,True,False,16
36,node3-6,node4-3,-15,True,False,16
37,node3-6,node4-3,-15,True,False,15
38,node3-6,node4-3,-15,True,False,16
39,node3-6,node4-3,-15,True,False,16
40,node3-6,node4-3,-15,True,False,16
41,node3-6,node4-3,-15,True,False,16
42,node3-6,node4-3,-15,True,False,16
43,node3-6,node4-3,-15,True,False,16
44,node3-6,node4-3,-15,True,False,16
45,node3-6,node4-3,-15,True,False,16
46,node3-6,node4-3,-15,True,False,15
47,node3-6,node4-3,-15,True,False,16
48,node3-6,node4-3,-15,True,False,15
49,node3-6,node4-3,-15,True,False,16
50,node3-6,node4-3,-15,True,False,15
51,node3-6,node4-3,-15,True,False,16
52,node3-6,node4-3,-15,True,False,14
53,node3-6,node4-3,-15,True,False,15
54,node3-6,node4-3,-15,True,False,16
55,node3-6,node4-3,-15,True,False,16
56,node3-6,node4-3,-15,True,False,15
57,node3-6,node4-3,-15,True,False,15
58,node3-6,node4-3,-15,True,False,15
59,node3-6,node4-3,-15,True,False,16
60,node3-6,node4-3,-15,True,False,15
61,node3-6,node4-3,-15,True,False,16
62,node3-6,node4-3,-15,True,False,16
63,node3-6,node4-3,-15,True,False,16
64,node3-6,node4-3,-15,True,False,16
65,node3-6,node4-3,-15,True,False,16
66,node3-6,node4-3,-15,True,False,15
67,node3-6,node4-3,-15,True,False,16
68,node3-6,node4-3,-15,True,False,15
69,node3-6,node4-3,-15,True,False,16
70,node3-6,node4-3,-15,True,False,16
71,node3-6,node4-3,-15,True,False,16
72,node3-6,node4-3,-15,True,False,15
73,node3-6,node4-3,-15,True,False,16
74,node3-6,node4-3,-15,True,False,15
75,node3-6,node4-3,-15,True,False,16
76,node3-6,node4-3,-15,True,False,16
77,node3-6,node4-3,-15,True,False,15
78,node3-6,node4-3,-15,True,False,15
79,node3-6,node4-3,-15,True,False,16
80,node3-6,node4-3,-15,True,False,15
81,node3-6,node4-3,-15,True,False,15
82,node3-6,node4-3,-15,True,False,16
83,node3-6,node4-3,-15,True,False,15
84,node3-6,node4-3,-15,True,False,16
85,node3-6,node4-3,-15,True,False,16
86,node3-6,node4-3,-15,True,False,16
87,node3-6,node4-3,-15,True,False,16
88,node3-6,node4-3,-15,True,False,16
89,node3-6,node4-3,-15,True,False,16
90,node3-6,node4-3,-15,True,False,15
91,node3-6,node4-3,-15,True,False,15
92,node3-6,node4-3,-15,True,False,14
93,node3-6,node4-3,-15,True,False,15
94,node3-6,node4-3,-15,True,False,15
95,node3-6,node4-3,-15,True,False,16
96,node3-6,node4-3,-15,True,False,16
97,node3-6,node4-3,-15,True,False,16
98,node3-6,node4-3,-15,True,False,15
99,node3-6,node4-3,-15,True,False,15
100,node3-6,node4-3,-15,True,False,16
101,node3-6,node4-3,-15,True,False,16
102,node3-6,node4-3,-15,True,False,15
103,node3-6,node4-3,-15,True,False,16
104,node3-6,node4-3,-15,True,False,15
105,node3-6,node4-3,-15,True,False,15
106,node3-6,node4-3,-15,True,False,16
107,node3-6,node4-3,-15,True,False,16
108,node3-6,node4-3,-15,True,False,16
109,node3-6,node4-3,-15,True,False,15
110,node3-6,node4-3,-15,True,False,15
111,node3-6,node4-3,-15,True,False,15
112,node3-6,node4-3,-15,True,False,15
113,node3-6,node4-3,-15,True,False,15
114,node3-6,node4-3,-15,True,False,14
115,node3-6,node4-3,-15,True,False,15
116,node3-6,node4-3,-15,True,False,15
117,node3-6,node4-3,-15,True,False,17
118,node3-6,node4-3,-15,True,False,15
119,node3-6,node4-3,-15,True,False,15
120,node3-6,node4-3,-15,True,False,17
121,node3-6,node4-3,-15,True,False,16
122,node3-6,node4-3,-15,True,False,16
123,node3-6,node4-3,-15,True,False,16
124,node3-6,node4-3,-15,True,False,15
125,node3-6,node4-3,-15,True,False,15
126,node3-6,node4-3,-15,True,False,16
127,node3-6,node4-3,-15,True,False,16
128,node3-6,node4-3,-15,True,False,15
129,node3-6,node4-3,-15,True,False,15
130,node3-6,node4-3,-15,True,False,16
131,node3-6,node4-3,-15,True,False,16
132,node3-6,node4-3,-15,True,False,16
133,node3-6,node4-3,-15,True,False,15
134,node3-6,node4-3,-15,True,False,16
135,node3-6,node4-3,-15,True,False,16
136,node3-6,node4-3,-15,True,False,16
137,node3-6,node4-3,-15,True,False,16
138,node3-6,node4-3,-15,True,False,16
139,node3-6,node4-3,-15,True,False,15
140,node3-6,node4-3,-15,True,False,15
141,node3-6,node4-3,-15,True,False,16
142,node3-6,node4-3,-15,True,False,15
143,node3-6,node4-3,-15,True,False,16
144,node3-6,node4-3,-15,True,False,15
145,node3-6,node4-3,-15,True,False,15
146,node3-6,node4-3,-15,True,False,15
147,node3-6,node4-3,-15,True,False,16
148,node3-6,node4-3,-15,True,False,16
149,node3-6,node4-3,-15,True,False,16
150,node3-6,node4-3,-15,True,False,15
151,node3-6,node4-3,-15,True,False,15
152,node3-6,node4-3,-15,True,False,16
153,node3-6,node4-3,-15,True,False,15
154,node3-6,node4-3,-15,True,False,16
155,node3-6,node4-3,-15,True,False,16
156,node3-6,node4-3,-15,True,False,15
157,node3-6,node4-3,-15,True,False,16
158,node3-6,node4-3,-15,True,False,15
159,node3-6,node4-3,-15,True,False,15
160,node3-6,node4-3,-15,True,False,16
161,node3-6,node4-3,-15,True,False,15
162,node3-6,node4-3,-15,True,False,16
163,node3-6,node4-3,-15,True,False,15
164,node3-6,node4-3,-15,True,False,16
165,node3-6,node4-3,-15,True,False,15
166,node3-6,node4-3,-15,True,False,16
167,node3-6,node4-3,-15,True,False,16
168,node3-6,node4-3,-15,True,False,16
169,node3-6,node4-3,-15,True,False,15
170,node3-6,node4-3,-15,True,False,16
171,node3-6,node4-3,-15,True,False,16
172,node3-6,node4-3,-15,True,False,15
173,node3-6,node4-3,-15,True,False,16
174,node3-6,node4-3,-15,True,False,15
175,node3-6,node4-3,-15,True,False,16
176,node3-6,node4-3,-15,True,False,16
177,node3-6,node4-3,-15,True,False,15
178,node3-6,node4-3,-15,True,False,15
179,node3-6,node4-3,-15,True,False,16
180,node3-6,node4-3,-15,True,False,15
181,node3-6,node4-3,-15,True,False,15
182,node3-6,node4-3,-15,True,False,14
183,node3-6,node4-3,-15,True,False,15
184,node3-6,node4-3,-15,True,False,15
185,node3-6,node4-3,-15,True,False,15
