seq,src,dst,noise,received,error,rssi
1,node8-7,node3-8,-20,True,False,20
2,node8-7,node3-8,-20,True,False,19
3,node8-7,node3-8,-20,True,False,17
4,node8-7,node3-8,-20,True,False,16
5,node8-7,node3-8,-20,True,False,16
6,node8-7,node3-8,-20,True,False,15
7,node8-7,node3-8,-20,True,False,17
8,node8-7,node3-8,-20,True,False,15
9,node8-7,node3-8,-20,True,False,16
10,node8-7,node3-8,-20,True,False,15
11,node8-7,node3-8,-20,True,False,16
12,node8-7,node3-8,-20,True,False,16
13,node8-7,node3-8,-20,True,False,16
14,node8-7,node3-8,-20,True,False,16
15,node8-7,node3-8,-20,True,False,17
16,node8-7,node3-8,-20,True,False,16
17,node8-7,node3-8,-20,True,False,15
18,node8-7,node3-8,-20,True,False,15
19,node8-7,node3-8,-20,True,False,16
20,node8-7,node3-8,-20,True,False,16
21,node8-7,node3-8,-20,True,False,16
22,node8-7,node3-8,-20,True,False,16
23,node8-7,node3-8,-20,True,False,15
24,node8-7,node3-8,-20,True,False,15
25,node8-7,node3-8,-20,True,False,15
26,node8-7,node3-8,-20,True,False,16
27,node8-7,node3-8,-20,True,False,16
28,node8-7,node3-8,-20,True,False,15
29,node8-7,node3-8,-20,True,False,15
30,node8-7,node3-8,-20,True,False,15
31,node8-7,node3-8,-20,True,False,17
32,node8-7,node3-8,-20,True,False,16
33,node8-7,node3-8,-20,True,False,16
34,node8-7,node3-8,-20,True,False,15
35,node8-7,node3-8,-20,True,False,17
36,node8-7,node3-8,-20,True,False,17
37,node8-7,node3-8,-20,True,False,16
38,node8-7,node3-8,-20,True,False,16
39,node8-7,node3-8,-20,True,False,15
40,node8-7,node3-8,-20,True,False,16
41,node8-7,node3-8,-20,True,False,16
42,node8-7,node3-8,-20,True,False,17
43,node8-7,node3-8,-20,True,False,16
44,node8-7,node3-8,-20,True,False,14
45,node8-7,node3-8,-20,True,False,17
46,node8-7,node3-8,-20,True,False,15
47,node8-7,node3-8,-20,True,False,15
48,node8-7,node3-8,-20,True,False,16
49,node8-7,node3-8,-20,True,False,16
50,node8-7,node3-8,-20,True,False,15
51,node8-7,node3-8,-20,True,False,15
52,node8-7,node3-8,-20,True,False,16
53,node8-7,node3-8,-20,True,False,15
54,node8-7,node3-8,-20,True,False,16
55,node8-7,node3-8,-20,True,False,15
56,node8-7,node3-8,-20,True,False,16
57,node8-7,node3-8,-20,True,False,16
58,node8-7,node3-8,-20,True,False,16
59,node8-7,node3-8,-20,True,False,16
60,node8-7,node3-8,-20,True,False,14
61,node8-7,node3-8,-20,True,False,17
62,node8-7,node3-8,-20,True,False,15
63,node8-7,node3-8,-20,True,False,16
64,node8-7,node3-8,-20,True,False,16
65,node8-7,node3-8,-20,True,False,16
66,node8-7,node3-8,-20,True,False,16
67,node8-7,node3-8,-20,True,False,17
68,node8-7,node3-8,-20,True,False,15
69,node8-7,node3-8,-20,True,False,15
70,node8-7,node3-8,-20,True,False,16
71,node8-7,node3-8,-20,True,False,17
72,node8-7,node3-8,-20,True,False,17
73,node8-7,node3-8,-20,True,False,17
74,node8-7,node3-8,-20,True,False,16
75,node8-7,node3-8,-20,True,False,15
76,node8-7,node3-8,-20,True,False,15
77,node8-7,node3-8,-20,True,False,16
78,node8-7,node3-8,-20,True,False,17
79,node8-7,node3-8,-20,True,False,16
80,node8-7,node3-8,-20,True,False,16
81,node8-7,node3-8,-20,True,False,15
82,node8-7,node3-8,-20,True,False,16
83,node8-7,node3-8,-20,True,False,16
84,node8-7,node3-8,-20,True,False,17
85,node8-7,node3-8,-20,True,False,16
86,node8-7,node3-8,-20,True,False,15
87,node8-7,node3-8,-20,True,False,16
88,node8-7,node3-8,-20,True,False,16
89,node8-7,node3-8,-20,True,False,16
90,node8-7,node3-8,-20,True,False,17
91,node8-7,node3-8,-20,True,False,15
92,node8-7,node3-8,-20,True,False,16
93,node8-7,node3-8,-20,True,False,16
94,node8-7,node3-8,-20,True,False,15
95,node8-7,node3-8,-20,True,False,15
96,node8-7,node3-8,-20,True,False,15
97,node8-7,node3-8,-20,True,False,16
98,node8-7,node3-8,-20,True,False,16
99,node8-7,node3-8,-20,True,False,14
100,node8-7,node3-8,-20,True,False,17
101,node8-7,node3-8,-20,True,False,15
102,node8-7,node3-8,-20,True,False,16
103,node8-7,node3-8,-20,True,False,16
104,node8-7,node3-8,-20,True,False,15
105,node8-7,node3-8,-20,True,False,14
106,node8-7,node3-8,-20,True,False,15
107,node8-7,node3-8,-20,True,False,15
108,node8-7,node3-8,-20,True,False,16
109,node8-7,node3-8,-20,True,False,17
110,node8-7,node3-8,-20,True,False,15
111,node8-7,node3-8,-20,True,False,16
112,node8-7,node3-8,-20,True,False,16
113,node8-7,node3-8,-20,True,False,16
114,node8-7,node3-8,-20,True,False,16
115,node8-7,node3-8,-20,True,False,15
116,node8-7,node3-8,-20,True,False,16
117,node8-7,node3-8,-20,True,False,16
118,node8-7,node3-8,-20,True,False,16
119,node8-7,node3-8,-20,True,False,15
120,node8-7,node3-8,-20,True,False,14
121,node8-7,node3-8,-20,True,False,16
122,node8-7,node3-8,-20,True,False,15
123,node8-7,node3-8,-20,True,False,15
124,node8-7,node3-8,-20,True,False,17
125,node8-7,node3-8,-20,True,False,16
126,node8-7,node3-8,-20,True,False,16
127,node8-7,node3-8,-20,True,False,16
128,node8-7,node3-8,-20,True,False,14
129,node8-7,node3-8,-20,True,False,15
130,node8-7,node3-8,-20,True,False,16
131,node8-7,node3-8,-20,True,False,15
132,node8-7,node3-8,-20,True,False,16
133,node8-7,node3-8,-20,True,False,16
134,node8-7,node3-8,-20,True,False,16
135,node8-7,node3-8,-20,True,False,16
136,node8-7,node3-8,-20,True,False,16
137,node8-7,node3-8,-20,True,False,16
138,node8-7,node3-8,-20,True,False,17
139,node8-7,node3-8,-20,True,False,16
140,node8-7,node3-8,-20,True,False,15
141,node8-7,node3-8,-20,True,False,16
142,node8-7,node3-8,-20,True,False,16
143,node8-7,node3-8,-20,True,False,16
144,node8-7,node3-8,-20,True,False,16
145,node8-7,node3-8,-20,True,False,16
146,node8-7,node3-8,-20,True,False,16
147,node8-7,node3-8,-20,True,False,15
148,node8-7,node3-8,-20,True,False,16
149,node8-7,node3-8,-20,True,False,16
150,node8-7,node3-8,-20,True,False,16
151,node8-7,node3-8,-20,True,False,15
152,node8-7,node3-8,-20,True,False,15
153,node8-7,node3-8,-20,True,False,16
154,node8-7,node3-8,-20,True,False,16
155,node8-7,node3-8,-20,True,False,15
156,node8-7,node3-8,-20,True,False,16
157,node8-7,node3-8,-20,True,False,14
158,node8-7,node3-8,-20,True,False,15
159,node8-7,node3-8,-20,True,False,15
160,node8-7,node3-8,-20,True,False,15
161,node8-7,node3-8,-20,True,False,17
162,node8-7,node3-8,-20,True,False,16
163,node8-7,node3-8,-20,True,False,16
164,node8-7,node3-8,-20,True,False,15
165,node8-7,node3-8,-20,True,False,15
166,node8-7,node3-8,-20,True,False,16
167,node8-7,node3-8,-20,True,False,16
168,node8-7,node3-8,-20,True,False,16
169,node8-7,node3-8,-20,True,False,16
170,node8-7,node3-8,-20,True,False,16
171,node8-7,node3-8,-20,True,False,16
172,node8-7,node3-8,-20,True,False,16
173,node8-7,node3-8,-20,True,False,15
174,node8-7,node3-8,-20,True,False,15
175,node8-7,node3-8,-20,True,False,15
176,node8-7,node3-8,-20,True,False,16
177,node8-7,node3-8,-20,True,False,17
178,node8-7,node3-8,-20,True,False,15
179,node8-7,node3-8,-20,True,False,16
180,node8-7,node3-8,-20,True,False,16
181,node8-7,node3-8,-20,True,False,15
182,node8-7,node3-8,-20,True,False,16
183,node8-7,node3-8,-20,True,False,16
184,node8-7,node3-8,-20,True,False,15
185,node8-7,node3-8,-20,True,False,16
186,node8-7,node3-8,-20,True,False,16
187,node8-7,node3-8,-20,True,False,16
188,node8-7,node3-8,-20,True,False,15
189,node8-7,node3-8,-20,True,False,15
190,node8-7,node3-8,-20,True,False,17
191,node8-7,node3-8,-20,True,False,15
192,node8-7,node3-8,-20,True,False,15
193,node8-7,node3-8,-20,True,False,16
194,node8-7,node3-8,-20,True,False,16
195,node8-7,node3-8,-20,True,False,16
196,node8-7,node3-8,-20,True,False,15
197,node8-7,node3-8,-20,True,False,15
198,node8-7,node3-8,-20,True,False,16
199,node8-7,node3-8,-20,True,False,16
200,node8-7,node3-8,-20,True,False,15
201,node8-7,node3-8,-20,True,False,16
202,node8-7,node3-8,-20,True,False,16
203,node8-7,node3-8,-20,True,False,17
204,node8-7,node3-8,-20,True,False,16
205,node8-7,node3-8,-20,True,False,16
206,node8-7,node3-8,-20,True,False,16
207,node8-7,node3-8,-20,True,False,15
208,node8-7,node3-8,-20,True,False,16
209,node8-7,node3-8,-20,True,False,14
210,node8-7,node3-8,-20,True,False,15
211,node8-7,node3-8,-20,True,False,15
212,node8-7,node3-8,-20,True,False,16
213,node8-7,node3-8,-20,True,False,15
214,node8-7,node3-8,-20,True,False,15
215,node8-7,node3-8,-20,True,False,16
216,node8-7,node3-8,-20,True,False,16
217,node8-7,node3-8,-20,True,False,15
218,node8-7,node3-8,-20,True,False,14
219,node8-7,node3-8,-20,True,False,16
220,node8-7,node3-8,-20,True,False,15
221,node8-7,node3-8,-20,True,False,16
222,node8-7,node3-8,-20,True,False,16
223,node8-7,node3-8,-20,True,False,16
224,node8-7,node3-8,-20,True,False,17
225,node8-7,node3-8,-20,True,False,15
226,node8-7,node3-8,-20,True,False,17
227,node8-7,node3-8,-20,True,False,17
228,node8-7,node3-8,-20,True,False,16
229,node8-7,node3-8,-20,True,False,16
230,node8-7,node3-8,-20,True,False,15
231,node8-7,node3-8,-20,True,False,16
232,node8-7,node3-8,-20,True,False,16
233,node8-7,node3-8,-20,True,False,17
234,node8-7,node3-8,-20,True,False,16
235,node8-7,node3-8,-20,True,False,16
236,node8-7,node3-8,-20,True,False,16
237,node8-7,node3-8,-20,True,False,15
238,node8-7,node3-8,-20,True,False,16
239,node8-7,node3-8,-20,True,False,14
240,node8-7,node3-8,-20,True,False,17
241,node8-7,node3-8,-20,True,False,15
242,node8-7,node3-8,-20,True,False,16
243,node8-7,node3-8,-20,True,False,15
244,node8-7,node3-8,-20,True,False,16
245,node8-7,node3-8,-20,True,False,16
246,node8-7,node3-8,-20,True,False,14
247,node8-7,node3-8,-20,True,False,15
248,node8-7,node3-8,-20,True,False,16
249,node8-7,node3-8,-20,True,False,15
250,node8-7,node3-8,-20,True,False,15
251,node8-7,node3-8,-20,True,False,15
252,node8-7,node3-8,-20,True,False,16
253,node8-7,node3-8,-20,True,False,16
254,node8-7,node3-8,-20,True,False,16
255,node8-7,node3-8,-20,True,False,16
256,node8-7,node3-8,-20,True,False,16
257,node8-7,node3-8,-20,True,False,17
258,node8-7,node3-8,-20,True,False,16
259,node8-7,node3-8,-20,True,False,16
260,node8-7,node3-8,-20,True,False,15
261,node8-7,node3-8,-20,True,False,17
262,node8-7,node3-8,-20,True,False,16
263,node8-7,node3-8,-20,True,False,16
264,node8-7,node3-8,-20,True,False,15
265,node8-7,node3-8,-20,True,False,16
266,node8-7,node3-8,-20,True,False,16
267,node8-7,node3-8,-20,True,False,16
268,node8-7,node3-8,-20,True,False,16
269,node8-7,node3-8,-20,True,False,16
270,node8-7,node3-8,-20,True,False,17
271,node8-7,node3-8,-20,True,False,16
272,node8-7,node3-8,-20,True,False,15
273,node8-7,node3-8,-20,True,False,15
274,node8-7,node3-8,-20,True,False,15
275,node8-7,node3-8,-20,True,False,15
276,node8-7,node3-8,-20,True,False,14
277,node8-7,node3-8,-20,True,False,16
278,node8-7,node3-8,-20,True,False,16
279,node8-7,node3-8,-20,True,False,15
280,node8-7,node3-8,-20,True,False,16
281,node8-7,node3-8,-20,True,False,15
282,node8-7,node3-8,-20,True,False,16
283,node8-7,node3-8,-20,True,False,17
284,node8-7,node3-8,-20,True,False,15
285,node8-7,node3-8,-20,True,False,16
286,node8-7,node3-8,-20,True,False,17
287,node8-7,node3-8,-20,True,False,15
288,node8-7,node3-8,-20,True,False,17
289,node8-7,node3-8,-20,True,False,16
290,node8-7,node3-8,-20,True,False,16
291,node8-7,node3-8,-20,True,False,16
292,node8-7,node3-8,-20,True,False,15
293,node8-7,node3-8,-20,True,False,15
294,node8-7,node3-8,-20,True,False,16
295,node8-7,node3-8,-20,True,False,16
296,node8-7,node3-8,-20,True,False,17
297,node8-7,node3-8,-20,True,False,16
298,node8-7,node3-8,-20,True,False,16
299,node8-7,node3-8,-20,True,False,16
300,node8-7,node3-8,-20,True,False,16
