seq,src,dst,noise,received,error,rssi
1,node8-7,node8-3,0,True,False,15
2,node8-7,node8-3,0,True,False,12
3,node8-7,node8-3,0,True,False,9
4,node8-7,node8-3,0,True,False,8
5,node8-7,node8-3,0,True,False,11
6,node8-7,node8-3,0,True,False,8
7,node8-7,node8-3,0,True,False,10
8,node8-7,node8-3,0,True,False,10
9,node8-7,node8-3,0,True,False,9
10,node8-7,node8-3,0,True,False,9
11,node8-7,node8-3,0,True,False,9
12,node8-7,node8-3,0,True,False,10
13,node8-7,node8-3,0,True,False,9
14,node8-7,node8-3,0,True,False,10
15,node8-7,node8-3,0,True,False,8
16,node8-7,node8-3,0,True,False,10
17,node8-7,node8-3,0,True,False,10
18,node8-7,node8-3,0,True,False,9
19,node8-7,node8-3,0,True,False,8
20,node8-7,node8-3,0,True,False,10
21,node8-7,node8-3,0,True,False,9
22,node8-7,node8-3,0,True,False,10
23,node8-7,node8-3,0,True,False,10
24,node8-7,node8-3,0,True,False,9
25,node8-7,node8-3,0,True,False,8
26,node8-7,node8-3,0,True,False,10
27,node8-7,node8-3,0,True,False,9
28,node8-7,node8-3,0,True,False,10
29,node8-7,node8-3,0,True,False,9
30,node8-7,node8-3,0,True,False,10
31,node8-7,node8-3,0,True,False,10
32,node8-7,node8-3,0,True,False,10
33,node8-7,node8-3,0,True,False,9
34,node8-7,node8-3,0,True,False,10
35,node8-7,node8-3,0,True,False,8
36,node8-7,node8-3,0,True,False,8
37,node8-7,node8-3,0,True,False,11
38,node8-7,node8-3,0,True,False,9
39,node8-7,node8-3,0,True,False,10
40,node8-7,node8-3,0,True,False,10
41,node8-7,node8-3,0,True,False,10
42,node8-7,node8-3,0,True,False,9
43,node8-7,node8-3,0,True,False,9
44,node8-7,node8-3,0,True,False,8
45,node8-7,node8-3,0,True,False,9
46,node8-7,node8-3,0,True,False,9
47,node8-7,node8-3,0,True,False,9
48,node8-7,node8-3,0,True,False,10
49,node8-7,node8-3,0,True,False,9
50,node8-7,node8-3,0,True,False,10
51,node8-7,node8-3,0,True,False,9
52,node8-7,node8-3,0,True,False,10
53,node8-7,node8-3,0,True,False,7
54,node8-7,node8-3,0,True,False,10
55,node8-7,node8-3,0,True,False,9
56,node8-7,node8-3,0,True,False,11
57,node8-7,node8-3,0,True,False,9
58,node8-7,node8-3,0,True,False,9
59,node8-7,node8-3,0,True,False,8
60,node8-7,node8-3,0,True,False,8
